Unnamed: 0,Disk (GB),Memory (GB),CPU (Core),Bandwidth (MB/s),Region,Latitude,Longitude
137,9990,72,19,1920,Arizona,34.068471077009576,112.60574612882304
138,9473,72,19,1636,Arizona,33.28625245960122,113.79616165765066
139,9418,43,16,1636,Arizona,34.42208713758341,113.42027495550713
140,9170,42,16,1600,Arizona,35.26331746276286,111.93046007606492
141,8922,34,16,1600,Arizona,33.57533700716704,113.30167777481016
142,8922,34,16,1600,Arizona,36.65258197536742,110.89819649431487
143,8922,34,16,1600,Arizona,33.68384585799871,111.57707390967744
144,8674,34,16,1600,Arizona,31.65979756100683,110.2571301516737
145,8426,34,16,1600,Arizona,33.4249099585342,112.34157421200676
146,8178,34,16,1600,Arizona,35.35334964206151,110.87646530681477
147,8112,34,16,1600,Arizona,35.4427333208875,111.79031939644874
148,7931,34,16,1600,Arizona,31.709971566311125,112.24569451606811
149,7435,34,16,1536,Arizona,34.35511832497063,113.69323199256262
150,7435,34,16,1536,Arizona,36.32497237839018,114.0162463437884
151,7150,34,16,1458,Arizona,32.466039040625695,109.90552429445556
152,6939,34,16,1438,Arizona,34.97548803394292,110.00356244874628
153,6939,34,16,1279,Arizona,31.661740169021808,112.41779956562615
154,6932,34,16,1279,Arizona,32.886002258783776,112.04766619517696
155,6746,34,16,1279,Arizona,34.379955442638824,113.9155213283505
156,6674,34,15,1279,Arizona,35.70663538716514,112.22197074930054
157,6444,34,14,1279,Arizona,34.4951823900862,110.7864500741202
158,6244,34,12,1279,Arizona,36.15249739076214,114.21864446499478
159,6196,34,12,1279,Arizona,34.80518916488741,112.10536450845744
160,5948,34,12,1197,Arizona,35.33049769082884,112.28070309399584
161,5948,34,12,1151,Arizona,33.18436926657555,114.1008492101929
162,5948,34,12,1151,Arizona,32.10078723788614,111.80528784634195
163,5825,34,12,1120,Arizona,36.36056987663915,111.67157084952149
164,5700,34,12,1023,Arizona,35.78535340172853,114.7206823542736
165,5583,34,12,1002,Arizona,36.80054133087971,114.80082544146822
166,5454,30,12,983,Arizona,33.53826487436861,113.61829643899192
167,5452,29,12,958,Arizona,34.43371252789786,114.5345908349718
168,5452,27,12,958,Arizona,32.86452118272626,111.75717116253264
169,5236,26,12,958,Arizona,32.19799841584304,112.40091189895809
170,5204,26,12,958,Arizona,32.446409975299005,110.75030762030735
171,5204,26,12,958,Arizona,32.08627377981035,109.86738941176198
172,4995,26,12,958,Arizona,34.95195475290284,110.81926108276365
173,4956,26,12,958,Arizona,32.93143825582189,113.18445906585286
174,4956,26,12,958,Arizona,32.08473407960273,112.1231983897462
175,4709,26,12,958,Arizona,35.36078984229006,109.69297269476476
176,4662,26,12,958,Arizona,36.76745497072248,113.42605683745036
177,4470,26,12,958,Arizona,34.035878393696485,112.61682088702756
178,4461,21,12,958,Arizona,31.67078210696626,110.37815720296548
179,4461,21,12,958,Arizona,35.93597016666953,110.91738425268328
180,4461,18,12,958,Arizona,34.39087397745231,112.11726718955693
181,4456,16,12,958,Arizona,35.421789563319955,112.51348688422564
182,4213,16,12,958,Arizona,32.87400292036184,113.69449551190988
183,4009,16,12,958,Arizona,36.48782216438448,114.15613096651028
184,3965,16,12,958,Arizona,36.93609179163752,110.26351953466674
185,3965,16,12,958,Arizona,34.30699069394855,111.9863117851474
186,3965,16,12,958,Arizona,31.79960047471125,114.27427655367268
187,3961,16,12,955,Arizona,32.866148524474795,109.19058674885318
188,3825,16,12,950,Arizona,33.916406308708694,109.82270083500244
189,3717,16,12,895,Arizona,33.51528105789696,112.89650596784897
190,3717,16,12,894,Arizona,34.09502998161323,109.58364773270708
191,3552,16,12,878,Arizona,36.173701820759526,109.55808670576263
192,3469,16,12,876,Arizona,32.34182408987603,111.90334948923991
193,3469,16,12,864,Arizona,34.470702456757884,110.99452402165728
194,3222,16,12,851,Arizona,35.343195863163125,111.72135395912198
195,3222,16,12,800,Arizona,32.715782007356864,114.629356409189
196,3048,16,12,800,Arizona,34.50091236243462,109.44571424032463
197,2974,16,12,800,Arizona,33.818568542004414,110.61494344760231
198,2974,16,12,800,Arizona,33.9973890896578,110.668474090565
199,2974,16,12,788,Arizona,35.659110677577935,110.98968913405366
200,2974,16,12,766,Arizona,36.61292893927978,114.18952611151272
201,2974,16,12,766,Arizona,32.50203290530719,110.8774970598009
202,2971,16,12,766,Arizona,32.002109953002865,110.4845699580812
203,2899,16,12,766,Arizona,32.46155765234786,109.56790172144795
204,2726,16,12,766,Arizona,34.10488569763022,113.8029558594678
205,2726,16,12,766,Arizona,36.93234070758129,111.46570406171044
206,2726,16,12,752,Arizona,36.26899517165627,110.3178498994826
207,2706,16,12,745,Arizona,32.75750783362461,113.72203987660548
208,2581,16,12,735,Arizona,32.116980336360314,114.1155282223519
209,2478,16,12,735,Arizona,35.98314920421815,112.7972813649347
210,2478,16,12,717,Arizona,34.707206232680605,109.26341839246696
211,2478,16,12,704,Arizona,34.61828035842037,112.0818186056883
212,2478,16,12,702,Arizona,35.11755259428284,112.68326889517354
213,2478,16,12,692,Arizona,31.78908073589985,109.24764052676473
214,2478,16,12,671,Arizona,35.79266855243942,114.24911679339904
215,2478,16,12,671,Arizona,33.09854960494833,109.29708107633184
216,2478,16,12,668,Arizona,36.74380342656737,109.82205025149618
