region,fixed_reliability,seed,method,share,share_tag,domain_count,domain_failure_prob,total_accepted,expected_target_satisfaction_ratio,expected_reliability,expected_reliability_loss
Alabama,0.996,1,MDCA,none,none,6,0.0,1374,1.0,0.997872376368451,1.3322676295501878e-15
Alabama,0.996,1,MDCA,none,none,6,0.01,1374,0.9658438789610443,0.989924294132975,0.007948082235477383
Alabama,0.996,1,MDCA,none,none,6,0.03,1374,0.9005124106165546,0.9734996462640823,0.024372730104370133
Alabama,0.996,1,MDCA,none,none,6,0.05,1374,0.8389951891602985,0.9563947105046251,0.041477665863827284
Alabama,0.996,1,DMDCA,"0.5,0.5",0p5_0p5,6,0.0,1408,1.0,0.9978519162410883,1.1102230246251565e-15
Alabama,0.996,1,DMDCA,"0.5,0.5",0p5_0p5,6,0.01,1408,0.9651836023043203,0.9908372184670436,0.007014697774045731
Alabama,0.996,1,DMDCA,"0.5,0.5",0p5_0p5,6,0.03,1408,0.8986211515693937,0.9762295154423088,0.021622400798780528
Alabama,0.996,1,DMDCA,"0.5,0.5",0p5_0p5,6,0.05,1408,0.8359860369651095,0.9608721803981037,0.03697973584298564
Alabama,0.996,1,DMDCA,"0.6,0.4",0p6_0p4,6,0.0,1406,1.0,0.9978528560525829,9.992007221626409e-16
Alabama,0.996,1,DMDCA,"0.6,0.4",0p6_0p4,6,0.01,1406,0.9654206063425859,0.990453147547258,0.007399708505325897
Alabama,0.996,1,DMDCA,"0.6,0.4",0p6_0p4,6,0.03,1406,0.8993068181025632,0.975091270928685,0.02276158512389892
Alabama,0.996,1,DMDCA,"0.6,0.4",0p6_0p4,6,0.05,1406,0.8370879400337837,0.9590023191005671,0.03885053695201679
Alabama,0.996,1,DMDCA,"0.7,0.3",0p7_0p3,6,0.0,1409,1.0,0.997850827693737,1.1102230246251565e-15
Alabama,0.996,1,DMDCA,"0.7,0.3",0p7_0p3,6,0.01,1409,0.965464397318006,0.9906182304816982,0.007232597212039948
Alabama,0.996,1,DMDCA,"0.7,0.3",0p7_0p3,6,0.03,1409,0.8994238171568701,0.975570589118273,0.022280238575465128
Alabama,0.996,1,DMDCA,"0.7,0.3",0p7_0p3,6,0.05,1409,0.8372609770892475,0.9597704903252391,0.03808033736849903
Alabama,0.996,2,MDCA,none,none,6,0.0,1347,1.0,0.997867425293766,-5.551115123125783e-16
Alabama,0.996,2,MDCA,none,none,6,0.01,1347,0.9658213884101425,0.9900448484686111,0.007822576825154415
