region,fixed_reliability,seed,method,share,share_tag,domain_count,domain_failure_prob,total_accepted,expected_target_satisfaction_ratio,expected_reliability,expected_reliability_loss
Alabama,0.9,1,DMDCA,"0.5,0.5",0p5_0p5,6,0.0,1475,1.0,0.9327599092019304,0.0
Alabama,0.9,1,DMDCA,"0.5,0.5",0p5_0p5,6,0.01,1475,0.97507215270922,0.9177687442433536,0.0149911649585769
Alabama,0.9,1,DMDCA,"0.5,0.5",0p5_0p5,6,0.03,1475,0.9266651595264882,0.888028109077465,0.0447318001244655
Alabama,0.9,1,DMDCA,"0.5,0.5",0p5_0p5,6,0.05,1475,0.8801425552860164,0.8586217566006533,0.0741381526012772
Alabama,0.9,1,MDCA,none,none,6,0.0,1478,1.0,0.9332149215545305,0.0
Alabama,0.9,1,MDCA,none,none,6,0.01,1478,0.9753511881280132,0.9176843061315356,0.0155306154229946
Alabama,0.9,1,MDCA,none,none,6,0.03,1478,0.9274888939173116,0.8869245395502452,0.0462903820042851
Alabama,0.9,1,MDCA,none,none,6,0.05,1478,0.8814915536514715,0.8565764342981721,0.0766384872563582
Alabama,0.9,2,DMDCA,"0.5,0.5",0p5_0p5,6,0.0,1382,1.0,0.9322645920832108,4.440892098500626e-16
Alabama,0.9,2,DMDCA,"0.5,0.5",0p5_0p5,6,0.01,1382,0.9744582397492774,0.917338629584028,0.0149259624991832
Alabama,0.9,2,DMDCA,"0.5,0.5",0p5_0p5,6,0.03,1382,0.9249185564118876,0.8876936824392774,0.0445709096439338
Alabama,0.9,2,DMDCA,"0.5,0.5",0p5_0p5,6,0.05,1382,0.8773831890037083,0.858339283846339,0.0739253082368722
Alabama,0.9,2,MDCA,none,none,6,0.0,1387,1.0,0.9323216632369472,9.992007221626409e-16
Alabama,0.9,2,MDCA,none,none,6,0.01,1387,0.9749170614080762,0.9165578808863848,0.0157637823505633
Alabama,0.9,2,MDCA,none,none,6,0.03,1387,0.9262414642252756,0.8853442248388085,0.0469774383981396
Alabama,0.9,2,MDCA,none,none,6,0.05,1387,0.8795011468321912,0.8545588649193456,0.0777627983176024
Alabama,0.9,3,DMDCA,"0.5,0.5",0p5_0p5,6,0.0,1408,1.0,0.9335921872811968,1.4432899320127037e-15
Alabama,0.9,3,DMDCA,"0.5,0.5",0p5_0p5,6,0.01,1408,0.9739554332837348,0.918941470567092,0.0146507167141063
Alabama,0.9,3,DMDCA,"0.5,0.5",0p5_0p5,6,0.03,1408,0.923497782733694,0.8897977378732556,0.0437944494079427
Alabama,0.9,3,DMDCA,"0.5,0.5",0p5_0p5,6,0.05,1408,0.8751557339533022,0.8608820233053518,0.0727101639758465
Alabama,0.9,3,MDCA,none,none,6,0.0,1412,1.0,0.933443168141471,2.1094237467877974e-15
Alabama,0.9,3,MDCA,none,none,6,0.01,1412,0.974360852194908,0.9178801437683802,0.0155630243730928
Alabama,0.9,3,MDCA,none,none,6,0.03,1412,0.9246605293858988,0.8870196675919612,0.0464235005495119
Alabama,0.9,3,MDCA,none,none,6,0.05,1412,0.8770067529435194,0.8565267392605258,0.0769164288809473
Alabama,0.9,4,DMDCA,"0.5,0.5",0p5_0p5,6,0.0,1443,1.0,0.9328489850614006,1.3322676295501878e-15
Alabama,0.9,4,DMDCA,"0.5,0.5",0p5_0p5,6,0.01,1443,0.9748366754828854,0.9177933664470448,0.0150556186143571
Alabama,0.9,4,DMDCA,"0.5,0.5",0p5_0p5,6,0.03,1443,0.9260212204714592,0.8879170641902221,0.0449319208711798
