section,experiment,region,x_name,x_value,seed,trace_hash_nunique,total_arrivals_nunique,arrivals_per_slot_nunique,trace_consistent
split_enabled,length,Alabama,fixed_sfc_len,1.0,1,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,1.0,2,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,1.0,3,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,1.0,4,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,1.0,5,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,2.0,1,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,2.0,2,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,2.0,3,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,2.0,4,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,2.0,5,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,3.0,1,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,3.0,2,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,3.0,3,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,3.0,4,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,3.0,5,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,4.0,1,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,4.0,2,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,4.0,3,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,4.0,4,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,4.0,5,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,5.0,1,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,5.0,2,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,5.0,3,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,5.0,4,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,5.0,5,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,6.0,1,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,6.0,2,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,6.0,3,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,6.0,4,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,6.0,5,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,1.0,1,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,1.0,2,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,1.0,3,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,1.0,4,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,1.0,5,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,2.0,1,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,2.0,2,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,2.0,3,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,2.0,4,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,2.0,5,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,3.0,1,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,3.0,2,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,3.0,3,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,3.0,4,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,3.0,5,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,4.0,1,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,4.0,2,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,4.0,3,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,4.0,4,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,4.0,5,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,5.0,1,1,1,1,True
