section,experiment,region,x_name,x_value,method,algo,seed,time_slots,arrival_rate,mean_service_time,trace_seed,algo_seed,trace_hash,arrivals_per_slot,diversity,p_split,split_reliability_mode,mechanism,fixed_sfc_len,fixed_reliability,max_backup_level,explicit_split_replicas,split_enforce_distinct,strict_split_resource_ablation,split_replica_resource_scale,cap_base_min,cap_base_max,cap_scale,total_arrivals,total_accepted,total_rejected,acceptance_ratio,avg_cost_per_arrival,total_cost,total_cost_resource,avg_cost_per_accepted,final_utilization,avg_utilization_over_time,avg_leftover_capacity_sum_over_time,final_leftover_capacity_sum,final_leftover_capacity_min,final_leftover_capacity_max,final_leftover_capacity_avg,avg_e2e_delay_accepted,p95_e2e_delay_accepted,avg_access_delay_accepted,avg_processing_delay_accepted,avg_network_delay_accepted,avg_split_proc_overhead_accepted,avg_split_net_overhead_accepted,total_transmitted_bits_accepted,avg_transmitted_bits_per_accepted,total_split_transmitted_bits_accepted,avg_split_transmitted_bits_per_accepted,avg_split_overhead_ratio_accepted,p95_split_overhead_ratio_accepted,rga_accepted_total,rga_rejected_total,rga_rejection_ratio,mdca_rejected_total,mdca_capacity_rejected_total,mdca_reliability_rejected_total,mdca_qos_rejected_total,mdca_rejection_ratio,capacity_rejection_ratio,reliability_rejection_ratio,qos_rejected_total,qos_rejection_ratio,arrivals_per_slot_key
split_enabled,length,Alabama,fixed_sfc_len,1.0,DMDCA,mdca,1,120,20.0,9.0,13684459855362265872,1274429512653363058,bfad5e7246ee951d74c96362b597e1cd0e9b31a7a2ef18bfb29e09bf8d9c373f,"[19, 21, 15, 14, 19, 21, 13, 18, 20, 17, 13, 28, 26, 27, 22, 17, 15, 19, 15, 16, 16, 15, 18, 27, 33, 20, 15, 15, 23, 19, 15, 20, 24, 18, 25, 23, 20, 25, 20, 15, 25, 9, 21, 21, 20, 20, 28, 28, 14, 18, 24, 24, 25, 20, 16, 18, 15, 15, 26, 22, 26, 22, 14, 26, 14, 16, 16, 16, 19, 21, 27, 14, 22, 23, 18, 21, 24, 21, 17, 20, 19, 20, 25, 20, 15, 18, 17, 14, 23, 19, 24, 17, 18, 20, 17, 20, 13, 21, 23, 24, 22, 23, 17, 19, 17, 26, 23, 27, 18, 28, 16, 16, 16, 24, 25, 16, 18, 19, 25, 24]",True,0.3,identical_active_pool,,1.0,,2,True,False,False,1.0,500,700,0.2,2393,2393,0,1.0,8.6458934333,20689.6229858651,13532.6229858651,8.6458934333,0.3267271061,0.301174353,121466.9388888889,117025.4666666667,0.4666666667,2384.0,854.200486618,0.0249218232,0.0527907476,0.0080681261,0.0150455195,0.0011807573,1.139930074e-19,0.0,275899928.33772635,115294.5793304331,275899928.33772635,115294.5793304331,2.941147917e-18,0.0,2393,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,"[19,21,15,14,19,21,13,18,20,17,13,28,26,27,22,17,15,19,15,16,16,15,18,27,33,20,15,15,23,19,15,20,24,18,25,23,20,25,20,15,25,9,21,21,20,20,28,28,14,18,24,24,25,20,16,18,15,15,26,22,26,22,14,26,14,16,16,16,19,21,27,14,22,23,18,21,24,21,17,20,19,20,25,20,15,18,17,14,23,19,24,17,18,20,17,20,13,21,23,24,22,23,17,19,17,26,23,27,18,28,16,16,16,24,25,16,18,19,25,24]"
split_enabled,length,Alabama,fixed_sfc_len,1.0,DMDCA,mdca,2,120,20.0,9.0,9943833491649862544,1988428424119012433,e1282a85fd6fefcae0a465b91098a42a16c5cfe7637ab791507e2b6a973ed66d,"[22, 27, 14, 19, 22, 22, 28, 17, 28, 18, 30, 21, 30, 26, 21, 20, 12, 21, 19, 19, 24, 25, 19, 20, 21, 14, 17, 19, 21, 28, 23, 22, 18, 15, 28, 11, 26, 13, 18, 26, 14, 23, 28, 12, 20, 21, 17, 16, 17, 22, 18, 15, 17, 19, 14, 23, 19, 20, 16, 21, 22, 29, 18, 23, 12, 25, 26, 18, 24, 22, 20, 26, 21, 19, 15, 19, 20, 28, 21, 18, 22, 19, 23, 14, 14, 26, 22, 24, 21, 18, 18, 23, 14, 15, 18, 18, 15, 19, 20, 19, 21, 23, 23, 23, 18, 24, 14, 19, 14, 17, 16, 13, 15, 21, 18, 19, 24, 31, 28, 16]",True,0.3,identical_active_pool,,1.0,,2,True,False,False,1.0,500,700,0.2,2421,2421,0,1.0,8.4086715338,20357.3937832638,13042.3937832638,8.4086715338,0.3186951769,0.296821314,123116.6027777778,119286.8,1.3333333333,2776.0,870.7065693431,0.0252000489,0.053851631,0.0080802208,0.0152092818,0.0012911767,1.142868213e-19,0.0,298266440.9824455,123199.6864859337,298266440.9824455,123199.6864859337,3.437336662e-18,0.0,2421,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,"[22,27,14,19,22,22,28,17,28,18,30,21,30,26,21,20,12,21,19,19,24,25,19,20,21,14,17,19,21,28,23,22,18,15,28,11,26,13,18,26,14,23,28,12,20,21,17,16,17,22,18,15,17,19,14,23,19,20,16,21,22,29,18,23,12,25,26,18,24,22,20,26,21,19,15,19,20,28,21,18,22,19,23,14,14,26,22,24,21,18,18,23,14,15,18,18,15,19,20,19,21,23,23,23,18,24,14,19,14,17,16,13,15,21,18,19,24,31,28,16]"
split_enabled,length,Alabama,fixed_sfc_len,1.0,DMDCA,mdca,3,120,20.0,9.0,15230867148868995436,15868857010820782473,fd9c3b0897fea466f7ce23e10fa74dc2d1051d9038d40bd7dcbee0e9f7968c4a,"[20, 23, 23, 19, 17, 19, 21, 19, 25, 20, 28, 24, 25, 16, 19, 20, 19, 22, 12, 19, 18, 25, 21, 23, 19, 21, 21, 19, 13, 24, 13, 24, 24, 24, 9, 17, 16, 23, 20, 21, 19, 21, 29, 26, 14, 22, 24, 18, 31, 25, 11, 13, 16, 21, 27, 20, 18, 18, 12, 19, 21, 20, 16, 16, 20, 21, 22, 16, 17, 14, 21, 31, 21, 13, 23, 23, 21, 23, 22, 14, 24, 26, 17, 24, 21, 18, 29, 16, 24, 20, 18, 18, 32, 17, 24, 23, 19, 14, 16, 17, 19, 15, 24, 20, 25, 13, 18, 21, 22, 26, 21, 25, 26, 24, 19, 24, 15, 16, 15, 27]",True,0.3,identical_active_pool,,1.0,,2,True,False,False,1.0,500,700,0.2,2436,2436,0,1.0,8.2284321597,20044.4607411054,12838.4607411054,8.2284321597,0.3594356899,0.2878867258,124462.1611111111,111956.9333333333,4.6,2240.0,817.203892944,0.0249524327,0.0537160592,0.0080442236,0.0151434476,0.0011683979,9.613615323000001e-20,0.0,264570378.58886272,108608.5297983837,264570378.58886272,108608.5297983837,2.615954313e-18,0.0,2436,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,"[20,23,23,19,17,19,21,19,25,20,28,24,25,16,19,20,19,22,12,19,18,25,21,23,19,21,21,19,13,24,13,24,24,24,9,17,16,23,20,21,19,21,29,26,14,22,24,18,31,25,11,13,16,21,27,20,18,18,12,19,21,20,16,16,20,21,22,16,17,14,21,31,21,13,23,23,21,23,22,14,24,26,17,24,21,18,29,16,24,20,18,18,32,17,24,23,19,14,16,17,19,15,24,20,25,13,18,21,22,26,21,25,26,24,19,24,15,16,15,27]"
split_enabled,length,Alabama,fixed_sfc_len,1.0,DMDCA,mdca,4,120,20.0,9.0,11299920209669479896,4574233998141395180,293d1cdd505ccd03085ebf5fb22191afd59f9996e83ae5e3855f627fd2574007,"[22, 20, 21, 13, 17, 21, 19, 22, 19, 19, 22, 26, 31, 21, 22, 17, 21, 13, 18, 15, 27, 16, 16, 19, 20, 22, 11, 24, 14, 24, 28, 26, 18, 23, 21, 20, 16, 15, 15, 21, 20, 17, 18, 18, 20, 16, 22, 13, 18, 14, 19, 11, 27, 14, 22, 25, 27, 21, 27, 14, 11, 9, 11, 17, 11, 19, 16, 21, 21, 19, 14, 15, 23, 28, 15, 28, 19, 19, 26, 20, 21, 22, 11, 19, 22, 17, 18, 26, 16, 16, 25, 20, 19, 10, 26, 27, 22, 15, 27, 20, 33, 15, 19, 28, 19, 23, 20, 22, 19, 13, 15, 18, 13, 16, 30, 28, 25, 18, 25, 20]",True,0.3,identical_active_pool,,1.0,,2,True,False,False,1.0,500,700,0.2,2358,2358,0,1.0,7.7918926677,18373.2829104422,11204.2829104422,7.7918926677,0.2775022364,0.2653922543,128711.0638888889,126589.2666666667,0.0,2132.0,924.0092457421,0.0255260619,0.0562519707,0.008083818,0.0157466144,0.0010994618,7.706203737e-20,0.0,272334535.4751103,115493.865765526,272334535.4751103,115493.865765526,2.2613763129999998e-18,0.0,2358,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,"[22,20,21,13,17,21,19,22,19,19,22,26,31,21,22,17,21,13,18,15,27,16,16,19,20,22,11,24,14,24,28,26,18,23,21,20,16,15,15,21,20,17,18,18,20,16,22,13,18,14,19,11,27,14,22,25,27,21,27,14,11,9,11,17,11,19,16,21,21,19,14,15,23,28,15,28,19,19,26,20,21,22,11,19,22,17,18,26,16,16,25,20,19,10,26,27,22,15,27,20,33,15,19,28,19,23,20,22,19,13,15,18,13,16,30,28,25,18,25,20]"
split_enabled,length,Alabama,fixed_sfc_len,1.0,DMDCA,mdca,5,120,20.0,9.0,17822267641813869819,6041356402655296302,edfe4dfba2a6521deb86eb9d02d31ab2a3198b7c7efa0b8243dec23ec6c9772c,"[25, 17, 15, 19, 34, 22, 13, 24, 21, 13, 24, 13, 22, 20, 34, 20, 21, 19, 20, 16, 21, 25, 18, 20, 16, 16, 17, 12, 27, 22, 23, 13, 26, 16, 27, 22, 15, 12, 18, 21, 17, 13, 17, 20, 18, 19, 15, 22, 18, 19, 23, 21, 21, 22, 20, 21, 14, 18, 21, 17, 20, 14, 20, 12, 14, 14, 19, 20, 23, 19, 26, 14, 22, 18, 13, 26, 30, 21, 16, 25, 17, 26, 18, 23, 20, 22, 11, 23, 12, 17, 21, 16, 16, 18, 24, 17, 22, 20, 26, 18, 21, 22, 16, 10, 24, 23, 22, 22, 18, 17, 22, 26, 15, 21, 21, 18, 23, 26, 18, 16]",True,0.3,identical_active_pool,,1.0,,2,True,False,False,1.0,500,700,0.2,2349,2349,0,1.0,8.0499976401,18909.4444566381,11906.4444566382,8.0499976401,0.2535850498,0.2785105758,124197.7666666667,128488.4666666667,3.4,2020.0,937.8720194647,0.0256497298,0.0550503126,0.0081241791,0.015701445,0.0011959897,9.785051535000001e-20,0.0,271786914.33566624,115703.2415222079,271786914.33566624,115703.2415222079,2.701913311e-18,0.0,2349,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,"[25,17,15,19,34,22,13,24,21,13,24,13,22,20,34,20,21,19,20,16,21,25,18,20,16,16,17,12,27,22,23,13,26,16,27,22,15,12,18,21,17,13,17,20,18,19,15,22,18,19,23,21,21,22,20,21,14,18,21,17,20,14,20,12,14,14,19,20,23,19,26,14,22,18,13,26,30,21,16,25,17,26,18,23,20,22,11,23,12,17,21,16,16,18,24,17,22,20,26,18,21,22,16,10,24,23,22,22,18,17,22,26,15,21,21,18,23,26,18,16]"
split_enabled,length,Alabama,fixed_sfc_len,1.0,MDCA,mdca,1,120,20.0,9.0,13684459855362265872,14880128096359974019,bfad5e7246ee951d74c96362b597e1cd0e9b31a7a2ef18bfb29e09bf8d9c373f,"[19, 21, 15, 14, 19, 21, 13, 18, 20, 17, 13, 28, 26, 27, 22, 17, 15, 19, 15, 16, 16, 15, 18, 27, 33, 20, 15, 15, 23, 19, 15, 20, 24, 18, 25, 23, 20, 25, 20, 15, 25, 9, 21, 21, 20, 20, 28, 28, 14, 18, 24, 24, 25, 20, 16, 18, 15, 15, 26, 22, 26, 22, 14, 26, 14, 16, 16, 16, 19, 21, 27, 14, 22, 23, 18, 21, 24, 21, 17, 20, 19, 20, 25, 20, 15, 18, 17, 14, 23, 19, 24, 17, 18, 20, 17, 20, 13, 21, 23, 24, 22, 23, 17, 19, 17, 26, 23, 27, 18, 28, 16, 16, 16, 24, 25, 16, 18, 19, 25, 24]",False,,,,1.0,,2,False,False,False,1.0,500,700,0.2,2393,2393,0,1.0,9.223903162,22072.8002666181,14915.8002666181,9.223903162,0.3478912734,0.3225695439,117748.1166666667,113346.8,0.6,2384.0,827.3489051095,0.0237410659,0.0513619756,0.0080681261,0.0156729398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2393,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,"[19,21,15,14,19,21,13,18,20,17,13,28,26,27,22,17,15,19,15,16,16,15,18,27,33,20,15,15,23,19,15,20,24,18,25,23,20,25,20,15,25,9,21,21,20,20,28,28,14,18,24,24,25,20,16,18,15,15,26,22,26,22,14,26,14,16,16,16,19,21,27,14,22,23,18,21,24,21,17,20,19,20,25,20,15,18,17,14,23,19,24,17,18,20,17,20,13,21,23,24,22,23,17,19,17,26,23,27,18,28,16,16,16,24,25,16,18,19,25,24]"
split_enabled,length,Alabama,fixed_sfc_len,1.0,MDCA,mdca,2,120,20.0,9.0,9943833491649862544,16121394405342853155,e1282a85fd6fefcae0a465b91098a42a16c5cfe7637ab791507e2b6a973ed66d,"[22, 27, 14, 19, 22, 22, 28, 17, 28, 18, 30, 21, 30, 26, 21, 20, 12, 21, 19, 19, 24, 25, 19, 20, 21, 14, 17, 19, 21, 28, 23, 22, 18, 15, 28, 11, 26, 13, 18, 26, 14, 23, 28, 12, 20, 21, 17, 16, 17, 22, 18, 15, 17, 19, 14, 23, 19, 20, 16, 21, 22, 29, 18, 23, 12, 25, 26, 18, 24, 22, 20, 26, 21, 19, 15, 19, 20, 28, 21, 18, 22, 19, 23, 14, 14, 26, 22, 24, 21, 18, 18, 23, 14, 15, 18, 18, 15, 19, 20, 19, 21, 23, 23, 23, 18, 24, 14, 19, 14, 17, 16, 13, 15, 21, 18, 19, 24, 31, 28, 16]",False,,,,1.0,,2,False,False,False,1.0,500,700,0.2,2421,2421,0,1.0,8.9866441399,21756.6654626934,14441.6654626934,8.9866441399,0.3464758421,0.3198431379,119085.8083333334,114422.8,0.2,2776.0,835.202919708,0.0239088722,0.0525228462,0.0080802208,0.0158286514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2421,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,"[22,27,14,19,22,22,28,17,28,18,30,21,30,26,21,20,12,21,19,19,24,25,19,20,21,14,17,19,21,28,23,22,18,15,28,11,26,13,18,26,14,23,28,12,20,21,17,16,17,22,18,15,17,19,14,23,19,20,16,21,22,29,18,23,12,25,26,18,24,22,20,26,21,19,15,19,20,28,21,18,22,19,23,14,14,26,22,24,21,18,18,23,14,15,18,18,15,19,20,19,21,23,23,23,18,24,14,19,14,17,16,13,15,21,18,19,24,31,28,16]"
split_enabled,length,Alabama,fixed_sfc_len,1.0,MDCA,mdca,3,120,20.0,9.0,15230867148868995436,8021305762253439011,fd9c3b0897fea466f7ce23e10fa74dc2d1051d9038d40bd7dcbee0e9f7968c4a,"[20, 23, 23, 19, 17, 19, 21, 19, 25, 20, 28, 24, 25, 16, 19, 20, 19, 22, 12, 19, 18, 25, 21, 23, 19, 21, 21, 19, 13, 24, 13, 24, 24, 24, 9, 17, 16, 23, 20, 21, 19, 21, 29, 26, 14, 22, 24, 18, 31, 25, 11, 13, 16, 21, 27, 20, 18, 18, 12, 19, 21, 20, 16, 16, 20, 21, 22, 16, 17, 14, 21, 31, 21, 13, 23, 23, 21, 23, 22, 14, 24, 26, 17, 24, 21, 18, 29, 16, 24, 20, 18, 18, 32, 17, 24, 23, 19, 14, 16, 17, 19, 15, 24, 20, 25, 13, 18, 21, 22, 26, 21, 25, 26, 24, 19, 24, 15, 16, 15, 27]",False,,,,1.0,,2,False,False,False,1.0,500,700,0.2,2436,2436,0,1.0,8.7789003291,21385.4012017664,14179.4012017664,8.7789003291,0.38429762,0.3064155642,121223.7166666667,107611.6,0.8,2240.0,785.4861313869,0.0237840348,0.0512155457,0.0080442236,0.0157398111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2436,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,"[20,23,23,19,17,19,21,19,25,20,28,24,25,16,19,20,19,22,12,19,18,25,21,23,19,21,21,19,13,24,13,24,24,24,9,17,16,23,20,21,19,21,29,26,14,22,24,18,31,25,11,13,16,21,27,20,18,18,12,19,21,20,16,16,20,21,22,16,17,14,21,31,21,13,23,23,21,23,22,14,24,26,17,24,21,18,29,16,24,20,18,18,32,17,24,23,19,14,16,17,19,15,24,20,25,13,18,21,22,26,21,25,26,24,19,24,15,16,15,27]"
split_enabled,length,Alabama,fixed_sfc_len,1.0,MDCA,mdca,4,120,20.0,9.0,11299920209669479896,16336488235466383848,293d1cdd505ccd03085ebf5fb22191afd59f9996e83ae5e3855f627fd2574007,"[22, 20, 21, 13, 17, 21, 19, 22, 19, 19, 22, 26, 31, 21, 22, 17, 21, 13, 18, 15, 27, 16, 16, 19, 20, 22, 11, 24, 14, 24, 28, 26, 18, 23, 21, 20, 16, 15, 15, 21, 20, 17, 18, 18, 20, 16, 22, 13, 18, 14, 19, 11, 27, 14, 22, 25, 27, 21, 27, 14, 11, 9, 11, 17, 11, 19, 16, 21, 21, 19, 14, 15, 23, 28, 15, 28, 19, 19, 26, 20, 21, 22, 11, 19, 22, 17, 18, 26, 16, 16, 25, 20, 19, 10, 26, 27, 22, 15, 27, 20, 33, 15, 19, 28, 19, 23, 20, 22, 19, 13, 15, 18, 13, 16, 30, 28, 25, 18, 25, 20]",False,,,,1.0,,2,False,False,False,1.0,500,700,0.2,2358,2358,0,1.0,8.2653478193,19489.6901579178,12320.6901579178,8.2653478193,0.2932585129,0.2832868464,125575.7416666667,123828.6,3.0,2132.0,903.8583941606,0.0244266001,0.0550471361,0.008083818,0.0163427821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2358,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,"[22,20,21,13,17,21,19,22,19,19,22,26,31,21,22,17,21,13,18,15,27,16,16,19,20,22,11,24,14,24,28,26,18,23,21,20,16,15,15,21,20,17,18,18,20,16,22,13,18,14,19,11,27,14,22,25,27,21,27,14,11,9,11,17,11,19,16,21,21,19,14,15,23,28,15,28,19,19,26,20,21,22,11,19,22,17,18,26,16,16,25,20,19,10,26,27,22,15,27,20,33,15,19,28,19,23,20,22,19,13,15,18,13,16,30,28,25,18,25,20]"
split_enabled,length,Alabama,fixed_sfc_len,1.0,MDCA,mdca,5,120,20.0,9.0,17822267641813869819,10056931585136477576,edfe4dfba2a6521deb86eb9d02d31ab2a3198b7c7efa0b8243dec23ec6c9772c,"[25, 17, 15, 19, 34, 22, 13, 24, 21, 13, 24, 13, 22, 20, 34, 20, 21, 19, 20, 16, 21, 25, 18, 20, 16, 16, 17, 12, 27, 22, 23, 13, 26, 16, 27, 22, 15, 12, 18, 21, 17, 13, 17, 20, 18, 19, 15, 22, 18, 19, 23, 21, 21, 22, 20, 21, 14, 18, 21, 17, 20, 14, 20, 12, 14, 14, 19, 20, 23, 19, 26, 14, 22, 18, 13, 26, 30, 21, 16, 25, 17, 26, 18, 23, 20, 22, 11, 23, 12, 17, 21, 16, 16, 18, 24, 17, 22, 20, 26, 18, 21, 22, 16, 10, 24, 23, 22, 22, 18, 17, 22, 26, 15, 21, 21, 18, 23, 26, 18, 16]",False,,,,1.0,,2,False,False,False,1.0,500,700,0.2,2349,2349,0,1.0,8.5811745135,20157.1789321306,13154.1789321306,8.5811745135,0.2645218333,0.2995245752,120580.4,126605.8,2.6,2020.0,924.1299270073,0.0244537401,0.0537138934,0.0081241791,0.016329561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2349,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,"[25,17,15,19,34,22,13,24,21,13,24,13,22,20,34,20,21,19,20,16,21,25,18,20,16,16,17,12,27,22,23,13,26,16,27,22,15,12,18,21,17,13,17,20,18,19,15,22,18,19,23,21,21,22,20,21,14,18,21,17,20,14,20,12,14,14,19,20,23,19,26,14,22,18,13,26,30,21,16,25,17,26,18,23,20,22,11,23,12,17,21,16,16,18,24,17,22,20,26,18,21,22,16,10,24,23,22,22,18,17,22,26,15,21,21,18,23,26,18,16]"
