slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,21,21,0,0,0,0,21,0,0,0.07142415825895829,0.12273496812379286,0.008367402091230028,0.05115101768151146,0.008123552534683748,5.782411586589357e-19,0.0,976722.8824380612,339742.3672668197,5.976418861345375e-18,154275.46666666667,0.10907269536721131,21
1,31,31,0,0,0,0,31,0,0,0.07266601883136042,0.10691921019007472,0.007590657180948348,0.050780115847300196,0.01104579649456375,8.953411488912552e-19,0.0,1194202.0293710986,327786.7987077922,1.118451437003404e-17,127257.13333333333,0.2651012034147443,47
2,19,19,0,0,0,0,19,0,0,0.06117855761439852,0.10086330950591378,0.007374655780245278,0.04081483645358356,0.010861558527454148,2.282530889443167e-19,0.0,1198196.7446481471,221999.2035653627,3.3188464957922822e-18,112441.13333333335,0.3506623054528263,62
3,20,20,0,0,0,0,20,0,0,0.06288828246791779,0.08990187231575175,0.008324083340518058,0.04098763077027357,0.011337885405592295,2.168404344971009e-19,0.0,1418336.3921117017,210175.30086023157,3.1716351902833083e-18,101148.80000000002,0.4158745411832102,73
4,13,13,0,0,0,0,13,0,0,0.06763359612810949,0.10001428381530153,0.00826371782396734,0.046633033618562234,0.009166152281436604,2.0016040107424698e-19,0.0,1194537.6519904844,143156.82762514142,2.6470165920995984e-18,93883.80000000002,0.45782927972982645,81
5,19,19,0,0,0,0,19,0,0,0.05839455669274111,0.08834907741445065,0.007931985400893566,0.03488854807551761,0.010873395795613095,7.304098846218135e-19,0.0,1558391.7802016905,442337.08086834603,1.1527201606973454e-17,82081.46666666667,0.5259867207814457,91
6,25,25,0,0,0,0,25,0,0,0.06714874607147896,0.11856111219348099,0.007939254105996612,0.04471534643524952,0.010188255205803349,2.7755575615628914e-19,0.0,1499122.7519762153,303790.2729244877,3.890769735378949e-18,72497.46666666667,0.5813334811710906,103
7,21,21,0,0,0,0,21,0,0,0.05786492508935143,0.0975482666057936,0.00801567949356973,0.037100753696059884,0.010460958341625798,3.097720492815727e-19,0.0,1393695.1938809764,268121.94679858285,6.131389391624105e-18,57410.466666666674,0.6684595844681036,115
8,22,22,0,0,0,0,22,0,0,0.05958150918295691,0.08743732816399367,0.007736484752890021,0.038197105376123974,0.011334258289104216,4.1396810222173807e-19,0.0,1315297.6608675057,310850.7824563626,6.5354759607785474e-18,50107.133333333346,0.710635694656512,120
9,26,26,0,1,0,0,25,1,1,0.06837511405876605,0.11061243264285307,0.007906649022061086,0.042624769296374654,0.013558804395809627,7.28583859910259e-19,0.0,1602933.536710852,415539.30882200116,9.734803406862582e-18,39006.80000000001,0.7747391472071368,127
10,20,20,0,0,0,0,20,0,0,0.07285088892378291,0.12469427476864609,0.008094318060406249,0.0500517953259637,0.010553906364869622,8.673617379884035e-19,0.0,1598876.127615794,310750.325410521,1.006067891905753e-17,39608.80000000002,0.7712626499456002,126
11,22,22,0,0,0,0,22,0,0,0.07355288744688558,0.1291975667080841,0.008513657271646448,0.04979426871236637,0.012120014466611723,6.30808536718839e-19,0.0,1587977.8171307864,278222.2320625577,9.954678490782788e-18,29941.46666666668,0.8270906530347935,136
12,23,23,0,0,0,0,23,0,0,0.06444295362883967,0.11626225685172382,0.008476222019256277,0.04116082457973149,0.012282748141730396,4.525365589504714e-19,0.0,1695917.4024920876,353284.4480188587,7.19756599175967e-18,25442.133333333346,0.8530739088688024,141
13,18,18,0,0,0,0,18,0,0,0.06760341849004498,0.103222340121369,0.008437329862851839,0.044416735553535744,0.010980433546209,4.336808689942018e-19,0.0,1732226.571159198,421342.5419221579,4.476470494596296e-18,22871.466666666678,0.8679192836644667,145
14,18,18,0,0,0,0,18,0,0,0.07157743915483882,0.11858137850956511,0.0075883146249992395,0.04711725776735677,0.012784456672460537,4.818676322157798e-19,0.0,1652517.7298692856,445948.32240891963,7.438532106805837e-18,20550.80000000001,0.8813209303614864,147
15,19,19,0,0,0,0,19,0,0,0.07050310617193176,0.1088505265185041,0.008603404156884866,0.047317899828422834,0.011670637488304048,7.532351935162452e-19,0.0,1966779.0215679654,431999.0705377461,1.3049149465566848e-17,15621.80000000001,0.9097854735543661,152
16,27,27,0,2,0,0,25,2,2,0.06441870342817234,0.11697204551476721,0.007906394029319676,0.04378443833672493,0.010481176249630917,2.42861286636753e-19,0.0,1537946.7548971497,169370.2738909965,5.39639150476529e-18,9955.133333333346,0.9425099771236469,153
17,18,18,0,0,0,0,18,0,0,0.07289962527769012,0.11137677794116933,0.008458142106256715,0.05102239269615665,0.010814236508518184,3.3730734255104583e-19,0.0,1698680.4377124077,268516.1412663893,3.6595087098698065e-18,8402.466666666678,0.9514764911016299,156
18,17,17,0,0,0,0,17,0,0,0.07946275175707594,0.13554255956593694,0.007845290365439636,0.05199974765868215,0.012344826877495161,1.0204255741040042e-19,0.0,1734628.230685024,356925.67466538516,1.6240953305040551e-18,7000.466666666678,0.9595729182788296,161
19,25,25,0,1,1,0,24,1,0,0.06500554191068873,0.13140911103379704,0.00811781526482753,0.041250030762701916,0.01253507569807393,5.059610138265688e-19,0.0,1708503.678426531,351133.3714610883,9.480223640258115e-18,6406.466666666678,0.9630032162412095,162
