slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,23,23,0,1,0,0,22,1,1,0.09624214483987364,0.14062702447241998,0.008161738198407398,0.07947654791982069,0.008603858721645569,0.0,0.0,1635482.9629624991,0.0,0.0,129200.4,0.26468854078689474,22
1,25,25,0,0,0,0,25,0,0,0.09353790906729748,0.1259624961048169,0.007779958556634483,0.07503753869501877,0.010720411815644251,0.0,0.0,1829091.1814209905,0.0,0.0,86653.4,0.5068340500511075,43
2,35,35,0,0,0,0,35,0,0,0.09565359710092756,0.13428779290899365,0.008014926554499353,0.075862173673591,0.011776496872837248,0.0,0.0,1963607.891548739,0.0,0.0,35926.40000000001,0.7955339642270944,69
3,19,19,0,0,0,0,19,0,0,0.09537918573460519,0.12455362158828068,0.007870123937699312,0.07422075490699824,0.013288306889907666,0.0,0.0,2029779.7280305692,0.0,0.0,17053.400000000005,0.9029448791292847,77
4,22,22,0,4,4,0,18,4,0,0.12037925942162296,0.16074984200875803,0.008569707094526778,0.09973657681546645,0.012072975511629742,0.0,0.0,2052427.3837340553,0.0,0.0,4417.400000000007,0.974859483098133,88
5,17,17,0,5,4,0,12,5,1,0.10170865574287284,0.15070068916583435,0.007641177311188684,0.07935097988101597,0.014716498550668184,0.0,0.0,2387310.511103293,0.0,0.0,4374.400000000007,0.9751042067425347,90
6,20,20,0,10,9,0,10,10,1,0.1113854084195117,0.17872320690311558,0.007800082275219225,0.09423662860259106,0.009348697541701426,0.0,0.0,1691285.1216727183,0.0,0.0,4662.400000000007,0.9734651274497975,92
7,17,17,0,7,6,0,10,7,1,0.09006694900419696,0.1276023813298536,0.007868644213430255,0.06706245507652368,0.015135849714243005,0.0,0.0,2220348.200789123,0.0,0.0,3918.400000000007,0.9776994156227021,93
8,17,17,0,10,10,0,7,10,0,0.1241826088760568,0.1556225338908971,0.008107089990932076,0.10538769372644244,0.010687825158682301,0.0,0.0,2092974.4217953659,0.0,0.0,3911.400000000007,0.9777392543555117,94
9,20,20,0,10,8,0,10,10,2,0.10605626726890331,0.1753994062504749,0.00844837275159339,0.08528011634846826,0.012327778168841659,0.0,0.0,2297653.071426895,0.0,0.0,4225.400000000007,0.9759522026266245,94
10,22,22,0,9,8,0,13,9,1,0.10354679845291997,0.16718812673754227,0.008081767973400676,0.08267073367163894,0.012794296807880377,0.0,0.0,2114656.178913309,0.0,0.0,4066.400000000007,0.9768571109861566,95
11,17,17,0,7,7,0,10,7,0,0.0948115124384176,0.166453194899212,0.008035984490731571,0.07605734606549389,0.010718181882192155,0.0,0.0,2322543.511111705,0.0,0.0,5386.400000000007,0.9693446642277773,93
12,26,26,0,12,11,0,14,12,1,0.10477813941886914,0.1452675970795471,0.007890520579615411,0.08580151755499033,0.011086101284263388,0.0,0.0,1984273.9109708834,0.0,0.0,4167.400000000007,0.9762822949841897,95
13,25,25,0,12,11,0,13,12,1,0.12764428671969358,0.18221912189485184,0.007929041479324063,0.10330948617473726,0.016405759065632256,0.0,0.0,2484783.2623559902,0.0,0.0,4849.400000000007,0.972400864159027,97
14,19,19,0,7,7,0,12,7,0,0.10634604820723807,0.1619891479119762,0.00786819654323479,0.08646098432602745,0.012016867337975828,0.0,0.0,2137188.894524261,0.0,0.0,4732.400000000007,0.9730667401217016,97
15,21,21,0,15,13,0,6,15,2,0.10006219143674033,0.11704392273314927,0.007361826147988792,0.08113258871743369,0.011567776571317863,0.0,0.0,2038002.0108468223,0.0,0.0,5039.400000000007,0.971319527125624,97
16,22,22,0,16,16,0,6,16,0,0.13243339679783717,0.16708613851852494,0.00728473546972663,0.11378609217246927,0.011362569155641267,0.0,0.0,1924264.2018752352,0.0,0.0,4617.400000000007,0.9737212335892876,98
17,24,24,0,9,9,0,15,9,0,0.10763255520486575,0.15697515467894244,0.007714945014459485,0.08427548674007374,0.015642123450332487,0.0,0.0,2579960.905370684,0.0,0.0,3409.400000000007,0.9805962606227135,98
18,19,19,0,6,4,0,13,6,2,0.1149637791109431,0.1756941975866446,0.00828371904876196,0.09435375810497658,0.01232630195720456,0.0,0.0,2230789.65252843,0.0,0.0,4029.400000000007,0.9770676871452929,98
19,25,25,0,12,11,0,13,12,1,0.10217354429297358,0.1345409061817034,0.008552850971742828,0.0805445422762561,0.013076151044974645,0.0,0.0,2422029.2309750756,0.0,0.0,6170.400000000007,0.9648827261531037,97
20,15,15,0,2,2,0,13,2,0,0.10111928180228531,0.1352471704929696,0.007936001920233957,0.07646677157626451,0.01671650830578685,0.0,0.0,2747239.81534413,0.0,0.0,6205.400000000007,0.9646835324890557,96
21,16,16,0,4,2,0,12,4,2,0.10363314206914948,0.15341138877491392,0.007570065963921136,0.0847198812689135,0.01134319483631483,0.0,0.0,2198403.9541811417,0.0,0.0,7955.400000000007,0.954723849286659,94
22,22,22,0,9,7,0,13,9,2,0.11216953320916567,0.16889280634710843,0.00831433793022415,0.09144105042567421,0.012414144853267287,0.0,0.0,2760422.945237197,0.0,0.0,3862.400000000007,0.9780181254851789,97
23,21,21,0,5,5,0,16,5,0,0.10612329654466962,0.15595942846776176,0.007179906611225825,0.08196820036490765,0.01697518956853613,0.0,0.0,2537427.9692782764,0.0,0.0,4189.400000000007,0.9761570875382167,99
24,22,22,0,12,11,0,10,12,1,0.11474630311072957,0.14455461847317788,0.008730916422584441,0.09033836713251117,0.015677019555633925,0.0,0.0,2435791.2534242934,0.0,0.0,5317.400000000007,0.969737360308329,100
25,16,16,0,0,0,0,16,0,0,0.11560984304119057,0.14811141833891284,0.008215218534189066,0.09257608168750249,0.014818542819499009,0.0,0.0,2621598.1998998215,0.0,0.0,4615.400000000007,0.9737326160843761,100
26,23,23,0,11,10,0,12,11,1,0.11395583584596625,0.15552470171410218,0.007494726970585549,0.08985815784129762,0.01660295103408307,0.0,0.0,2674001.0951418276,0.0,0.0,6997.400000000006,0.9601760644340281,98
27,16,16,0,5,4,0,11,5,1,0.1154705537633613,0.1722546898742687,0.008615818611432164,0.0920180537204128,0.014836681431516308,0.0,0.0,2681929.5759592946,0.0,0.0,7380.400000000007,0.9579963166245894,96
28,17,17,0,8,8,0,9,8,0,0.10317538701820521,0.13734980155371268,0.007981486232356132,0.07843109657115505,0.016762804214694026,0.0,0.0,2690706.2160063097,0.0,0.0,6219.400000000007,0.9646038550234365,97
