slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,24,24,0,0,0,0,24,0,0,0.022761523747373696,0.03172518908349379,0.007644046356474049,0.01345124159075769,0.0009929298372294427,2.8912057932946783e-19,0.0,61089.3056334651,61089.3056334651,3.985455355809926e-18,370436.3333333334,0.01861291114513941,24
1,20,20,0,0,0,0,20,0,0,0.023312941470060824,0.0481882227017811,0.007959932404666317,0.01271403650750314,0.0018579253560849648,0.0,0.0,92013.681712881,92013.681712881,0.0,364547.0,0.03421536472545583,41
2,12,12,0,0,0,0,12,0,0,0.028225586612090067,0.05089685512015,0.008528026036003675,0.014807384345708767,0.003565330052240714,0.0,0.0,214251.15618931127,214251.15618931127,0.0,362256.00000000006,0.040284849865681704,49
3,16,16,0,0,0,0,16,0,0,0.023879510330593393,0.03994342643497681,0.007686421925496493,0.013354978277059249,0.002169105689082094,0.0,0.0,105178.11974949355,105178.11974949355,0.0,360231.3333333334,0.045648745215853825,57
4,18,18,0,0,0,0,18,0,0,0.02647235678538111,0.05524759583214558,0.008587254995034588,0.01640896721920267,0.0011906102993144727,0.0,0.0,101999.22604142125,101999.22604142125,0.0,356954.3333333334,0.054330413834151825,68
5,21,21,0,0,0,0,21,0,0,0.02773094353828585,0.062205701006564765,0.007911436772706068,0.017218264007139408,0.0021223364282933793,4.130293990420969e-20,0.0,127499.13496231496,127499.13496231496,1.7776075181344033e-18,353884.66666666674,0.062462799787351475,79
6,20,20,0,0,0,0,20,0,0,0.0309065649364652,0.04827241083102386,0.008443014719451958,0.0181924944519709,0.0029536803074965623,8.673617379884036e-20,0.0,159174.8155532499,159174.8155532499,2.519683829316761e-18,349252.0,0.07473599991522328,96
7,17,17,0,0,0,0,17,0,0,0.026155488298885195,0.062832554518967,0.007657196277855229,0.018498292021029965,0.0,0.0,0.0,0.0,0.0,0.0,347482.3333333334,0.07942433057279041,101
8,11,11,0,0,0,0,11,0,0,0.02501060019578674,0.04250052678578641,0.008423212395376946,0.016587387800409793,0.0,0.0,0.0,0.0,0.0,0.0,349304.3333333334,0.07459735461229644,98
9,22,22,0,0,0,0,22,0,0,0.028813002652850174,0.05288887529110913,0.007574962160745284,0.01830777042139421,0.0012432571261165664,0.0,0.0,91909.88043264422,91909.88043264422,0.0,348263.0,0.07735613121320817,103
10,14,14,0,0,0,0,14,0,0,0.02663864853886102,0.05858444048421432,0.008065496556646939,0.01761274386875183,0.0007800882999430185,1.2390881971262907e-19,0.0,55362.959720358194,55362.959720358194,4.27766239807283e-18,347864.6666666667,0.078411425079434,107
11,14,14,0,0,0,0,14,0,0,0.02145872329850922,0.03883094083697425,0.008035534434261127,0.01242909858552647,0.0008330624795508119,0.0,0.0,70133.82493413407,70133.82493413407,0.0,344363.0,0.0876882971001054,115
12,15,15,0,0,0,0,15,0,0,0.022475954368852632,0.03799086016738871,0.008271574411978863,0.012911006446893969,0.0011977239632139196,0.0,0.0,64142.74346339503,64142.74346339503,0.0,345028.6666666667,0.0859247641705213,113
13,23,23,0,0,0,0,23,0,0,0.03355442190033735,0.0693029705623167,0.008038866055514593,0.024613006211735792,0.0004963700058642805,0.0,0.0,32923.35112712388,32923.35112712388,0.0,343098.0,0.09103962783008623,123
14,17,17,0,0,0,0,17,0,0,0.01976146203254013,0.03202922721008923,0.008084194178193,0.01064504501357389,0.000908467055187787,1.0204255741040042e-19,0.0,39399.74609473614,39399.74609473614,3.336801313707027e-18,341358.3333333334,0.09564848028852346,124
15,17,17,0,0,0,0,17,0,0,0.02400899546688537,0.04041187510395459,0.008125627249464949,0.015273888250810238,0.0004931654609604044,0.0,0.0,30248.56695546277,30248.56695546277,0.0,342327.66666666674,0.09308045136552356,125
16,23,23,0,0,0,0,23,0,0,0.02681423618253032,0.048642390265385305,0.007911970797025747,0.015512873399884318,0.002199379335486008,5.2795931877555e-19,0.0,156476.43821027532,156476.43821027532,1.1187989150416489e-17,339676.0,0.1001054410775124,131
17,23,23,0,0,0,0,23,0,0,0.028346419000713996,0.06098726797693192,0.008171308471507054,0.019423483330999965,0.0006780125142673546,3.7711379912539284e-20,0.0,38185.81335080639,38185.81335080639,1.2031018009409305e-18,342796.3333333334,0.09183882527689313,126
18,23,23,0,0,0,0,23,0,0,0.026605317046411385,0.06277448689330553,0.008002998391960097,0.016702959388520247,0.0010843856823788901,0.0,0.0,84636.27620548269,84636.27620548269,0.0,340100.00000000006,0.0989821491964753,133
19,24,24,0,0,0,0,24,0,0,0.02149012635182491,0.03801017014660152,0.00818284053671913,0.011752672529204984,0.0012063262556956166,1.4456028966473392e-19,0.0,63942.92153801448,63942.92153801448,3.0992458246812135e-18,336067.66666666674,0.10966490225064573,142
20,20,20,0,0,0,0,20,0,0,0.03347118640071265,0.06609340112132923,0.0077791732559597555,0.0221794625609179,0.0018521752268383558,0.0,0.0,101589.6566561942,101589.6566561942,0.0,335676.66666666674,0.11070076811263985,150
21,23,23,0,0,0,0,23,0,0,0.027881954596099955,0.06378958465674142,0.008036248285591014,0.019135806893337538,0.0006260525724081983,3.7711379912539284e-20,0.0,28172.9260490357,28172.9260490357,1.2799924323132872e-18,332242.6666666667,0.11979837263971815,158
22,24,24,0,0,0,0,24,0,0,0.02269065151283632,0.03862676917098128,0.008505070821418744,0.011551864708006473,0.0022780781917475013,7.228014483236696e-20,0.0,138296.06556613138,138296.06556613138,1.918504835703998e-18,329339.3333333334,0.1274900961332972,165
23,18,18,0,0,0,0,18,0,0,0.025774317106237968,0.037525588604482456,0.008624376189483723,0.015230560375802742,0.0017331005404314767,0.0,0.0,98203.85086611293,98203.85086611293,0.0,334157.00000000006,0.11472678044412399,153
24,24,24,0,0,0,0,24,0,0,0.025563827814174545,0.04810480240511446,0.008516805219007465,0.01330695297588219,0.0029428617639023027,0.0,0.0,200604.79039006238,200604.79039006238,0.0,333769.3333333334,0.11575381539510365,157
25,13,13,0,0,0,0,13,0,0,0.024188771345411468,0.039501432301916016,0.00840823327965164,0.013192960666181395,0.0021376935605375855,0.0,0.0,120750.96760151818,120750.96760151818,0.0,335287.00000000006,0.1117331016102282,149
26,16,16,0,0,0,0,16,0,0,0.03379223894301678,0.0849604860466196,0.00839812192642133,0.0224020356166102,0.0013831504018229134,0.0,0.0,107628.94235594515,107628.94235594515,0.0,335009.3333333334,0.11246871649773127,150
27,19,19,0,0,0,0,19,0,0,0.02786617096744636,0.05786180447818304,0.007840967178923505,0.01572471820183673,0.002779652898449876,9.130123557772668e-20,0.0,182573.25521000064,182573.25521000064,3.766852562522995e-18,333339.3333333334,0.11689300291596671,153
