slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,21,21,0,1,0,0,20,1,1,0.07695361694543235,0.104363450744888,0.008025577707497459,0.06190657073255068,0.0070214685053842235,0.0,0.0,1140982.2614475475,0.0,0.0,346158.4,0.08394962017183172,20
1,18,18,0,1,0,0,17,1,1,0.07955647336940432,0.11247811478037106,0.008414138779084411,0.061142581303450697,0.009999753286869209,0.0,0.0,1448888.5689537248,0.0,0.0,323548.4,0.14378320817060586,34
2,16,16,0,0,0,0,16,0,0,0.09247941583287245,0.16731302022541036,0.008018654630427832,0.07418094239243186,0.01027981881001276,0.0,0.0,1546412.6886008678,0.0,0.0,309949.4,0.17977068995721934,43
3,16,16,0,1,0,0,15,1,1,0.08346385646361831,0.12029187999498686,0.00791874209923932,0.06490892879064908,0.010636185573729907,0.0,0.0,1603043.489004682,0.0,0.0,296998.4,0.21404334799225366,53
4,21,21,0,0,0,0,21,0,0,0.08811754429687471,0.13056284637573393,0.008317657837769736,0.0684501868465703,0.011349699612534672,0.0,0.0,1776132.7861748643,0.0,0.0,273308.4,0.2767349755769932,70
5,22,22,0,0,0,0,22,0,0,0.08414966575267936,0.13174689385401483,0.008159241357781346,0.06435233812034452,0.011638086274553495,0.0,0.0,1573354.38150165,0.0,0.0,253596.40000000002,0.3288994906867604,85
6,18,18,0,0,0,0,18,0,0,0.10374337486071486,0.15430269027323387,0.007621629701943718,0.08410155581056503,0.012020189348206124,0.0,0.0,1430366.141227387,0.0,0.0,247924.40000000002,0.3439094911789784,91
7,19,19,0,0,0,0,19,0,0,0.08954456667979283,0.16914306629789905,0.0074254492031996695,0.06931783974554007,0.012801277731053108,0.0,0.0,1654350.395360788,0.0,0.0,240135.40000000002,0.3645217785262783,95
8,17,17,0,1,0,0,16,1,1,0.09291360411468447,0.1356211121115657,0.00801463029032672,0.07203045801750832,0.012868515806849432,0.0,0.0,1871926.4712395105,0.0,0.0,229434.40000000002,0.3928401874238848,101
9,19,19,0,0,0,0,19,0,0,0.09156321009201429,0.11644725473131037,0.00741548435907737,0.07079477988496259,0.013352945847974348,0.0,0.0,1835720.8903974623,0.0,0.0,223694.40000000002,0.40803013855670056,106
