slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,21,21,0,0,0,0,21,0,0,0.05467688798402763,0.07762471542640366,0.008178609014155172,0.04271210965344066,0.003786169316431798,0.0,0.0,658626.8453276302,0.0,0.0,150490.0,0.1345678302375065,21
1,16,16,0,0,0,0,16,0,0,0.04367708021192448,0.07886222825229534,0.008164961781456866,0.030690789886537975,0.004821328543929645,0.0,0.0,905653.3224634855,0.0,0.0,139607.0,0.19715337282189893,32
2,22,22,0,0,0,0,22,0,0,0.06518402017865327,0.13402490709293838,0.007495614343576271,0.05040692027345795,0.007281485561619031,0.0,0.0,1172423.8301780913,0.0,0.0,117493.0,0.3243257231583184,48
3,22,22,0,1,0,0,21,1,1,0.07077410566727957,0.1437333067941596,0.008467883132074902,0.05533874488258013,0.0069674776526245374,0.0,0.0,1141018.5790828618,0.0,0.0,104348.0,0.39991948933233656,61
4,21,21,0,0,0,0,21,0,0,0.06144237364005652,0.1005834762545579,0.008245458420873028,0.0467534333326734,0.0064434818865100885,0.0,0.0,1200529.9737323883,0.0,0.0,85795.0,0.5066133762723561,75
5,23,23,0,0,0,0,23,0,0,0.06098549567835512,0.12274302105514276,0.007582991414709479,0.04765874013270538,0.005743764130940282,0.0,0.0,1031645.9157699101,0.0,0.0,67617.0,0.6111507274713899,88
6,21,21,0,0,0,0,21,0,0,0.05794293742505187,0.09225800322422897,0.008525743830352626,0.04436664302543566,0.005050550569263593,0.0,0.0,963858.3792720237,0.0,0.0,61370.00000000001,0.6470757375352234,97
7,31,31,0,0,0,0,31,0,0,0.06280386205848953,0.12313358501484585,0.008259686847405374,0.048872900629028174,0.0056712745820559985,0.0,0.0,845175.6125632153,0.0,0.0,36082.00000000001,0.7925010063833458,121
8,19,19,0,1,0,0,18,1,1,0.07887924725339318,0.1312898800238597,0.00738510838466919,0.0632496030413239,0.0082445358274001,0.0,0.0,1421553.3526971093,0.0,0.0,24635.000000000007,0.8583299787221806,124
9,21,21,0,0,0,0,21,0,0,0.06112028709448503,0.10180170946914915,0.008419809351304305,0.046389608687567446,0.006310869055613281,0.0,0.0,1274443.176715539,0.0,0.0,26020.000000000007,0.8503651733854736,122
10,27,27,0,1,0,0,26,1,1,0.051525286220386,0.08581656161337858,0.0081720247669173,0.036165203861019575,0.007188057592449127,0.0,0.0,1177178.9545316508,0.0,0.0,14322.000000000007,0.9176375869802749,130
11,15,15,0,0,0,0,15,0,0,0.04994708575278419,0.10227653437978869,0.00796202472968848,0.035420075149029374,0.006564985874066351,0.0,0.0,1082522.3413732585,0.0,0.0,14828.000000000007,0.9147277014204381,132
12,17,17,0,1,0,0,16,1,1,0.06109789920944862,0.10920074074866466,0.008542446923653756,0.04573441575275207,0.006821036533042796,0.0,0.0,1230517.0655838046,0.0,0.0,9030.000000000007,0.9480706193570647,135
13,19,19,0,1,1,0,18,1,0,0.07021051815747073,0.13635010569281136,0.00863496713252264,0.05183756340111868,0.009737987623829386,0.0,0.0,1665922.7139566639,0.0,0.0,7290.000000000007,0.9580769451952383,134
14,18,18,0,3,3,0,15,3,0,0.06709935286347067,0.12087578859160002,0.0090520499227283,0.04993426694350103,0.008113035997241343,0.0,0.0,1353007.4558137006,0.0,0.0,6228.000000000007,0.9641842544137098,138
15,19,19,0,1,1,0,18,1,0,0.06345054449145283,0.11542169012778637,0.007739626180108513,0.048123149529839586,0.00758776878150472,0.0,0.0,1094563.5940458854,0.0,0.0,4978.000000000007,0.9713727068836621,141
16,20,20,0,6,6,0,14,6,0,0.05847398533157923,0.09287428602055803,0.00744125800514822,0.04328032900720458,0.0077523983192264384,0.0,0.0,1042403.1548862588,0.0,0.0,6062.000000000007,0.9651388809017194,145
17,31,31,0,7,7,0,24,7,0,0.05879837850288457,0.10212267369769042,0.008016466313294168,0.04445288553466714,0.0063290266549232595,0.0,0.0,1154544.0906646906,0.0,0.0,4328.000000000007,0.9751107021680372,151
18,24,24,0,6,6,0,18,6,0,0.061599771983299495,0.12284611131335228,0.008234589140398147,0.04586916164977041,0.007496021193130938,0.0,0.0,1175108.2718330135,0.0,0.0,5946.000000000007,0.965805969290931,151
19,35,35,0,14,14,0,21,14,0,0.058846678078609944,0.10875422656397685,0.009059665867498528,0.04421664136140465,0.0055703708497067675,0.0,0.0,1049070.3007180027,0.0,0.0,6360.000000000007,0.9634251538328829,155
20,31,31,0,11,11,0,20,11,0,0.06386037698398203,0.1393968970348099,0.008442235040123452,0.04945172831256182,0.0059664136312967695,0.0,0.0,1095550.383539772,0.0,0.0,6037.000000000007,0.9652826499511185,158
