slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,41,41,0,1,0,0,40,1,1,0.06370777247748788,0.11486553341732032,0.008029712340887635,0.04006020393325503,0.011344500144903189,8.890457814381136e-19,0.0,1486230.8110902722,501353.3654412818,1.0909368121501711e-17,132318.46666666667,0.24770239174130781,40
1,60,60,0,0,0,0,60,0,0,0.06683294286171723,0.13095736843617756,0.008068113029795987,0.045153667364014244,0.009905840552086766,6.794333614242494e-19,0.0,1265882.6879837783,244894.00254587998,8.390991807664153e-18,82342.13333333333,0.5318431997731861,90
2,53,53,0,1,0,0,52,1,1,0.06096673623454048,0.11693055730810227,0.007893090029255747,0.04094622788977486,0.008910046005637186,5.337610695313253e-19,0.0,1383525.4550996202,306188.0711516604,6.634279854305351e-18,41662.133333333346,0.7631296367680998,123
3,50,50,0,1,0,0,49,1,1,0.06530689487742489,0.10955152326420768,0.008295811055560839,0.045437144155163124,0.008527890333040111,8.850629979473506e-19,0.0,1399495.0189676583,312229.4172234759,1.1413162237670972e-17,11058.466666666676,0.9371270070314563,158
4,57,57,0,14,14,0,43,14,0,0.06458668403902335,0.1196939319157017,0.008054428403818257,0.042407538124243,0.010216580388687106,8.371049331748546e-19,0.0,1577222.0927584504,431528.32578906964,1.0394682831238422e-17,2802.8000000000097,0.98406466013743,172
5,53,53,0,24,24,0,29,24,0,0.06705275216773,0.14537140581617267,0.007843790763800585,0.04536758194909976,0.0102397647317722,2.9909025447875986e-19,0.0,1156380.4516697102,305001.19251754845,3.501631781487038e-18,3865.133333333343,0.9780247562149227,181
6,50,50,0,19,19,0,31,19,0,0.05427401986221853,0.09835237702527434,0.00781575821891084,0.035393060173208285,0.0075114854044131965,6.715058616684414e-19,0.0,1002169.6965040972,319633.38635392126,8.694169318078711e-18,3638.80000000001,0.9793115760339948,190
7,53,53,0,22,22,0,31,22,0,0.052039354763503305,0.10281854542005232,0.007719779159957382,0.03545502559544084,0.007072728604019471,1.9585587631996209e-19,0.0,961251.2451149009,274671.35169665684,2.8084050495462344e-18,3931.8000000000106,0.977645722394872,200
8,42,42,0,17,17,0,25,17,0,0.0535213688671048,0.11310161426989795,0.00783448651472856,0.034629292381794505,0.008127122446239062,3.4694469519536144e-19,0.0,1236932.026611322,375367.0388227795,4.1466884623316844e-18,3746.133333333344,0.9787013315837132,206
9,48,48,0,33,33,0,15,33,0,0.057120157052996404,0.10303292212934632,0.008297884309010564,0.0412816541715133,0.005726949857729865,0.0,0.0,818441.5999687255,226814.36487879202,0.0,4570.133333333344,0.974016473567887,211
