slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,30,30,0,1,0,0,29,1,1,0.0680123285088754,0.12747086136240127,0.007864812696669814,0.04109160011772485,0.015133141902729368,4.785444071660157e-19,0.0,1546659.179896234,351404.8704389153,8.107920444484176e-18,340458.5333333333,0.08736781081703193,29
1,32,32,0,1,0,0,31,1,1,0.07388949629836018,0.13709733538629987,0.007893244044729832,0.04881385389348769,0.01300468753005951,4.0570145809135e-19,0.0,1448672.0763900403,323094.3432400493,5.6088954377867776e-18,314571.8666666667,0.156759536849991,55
2,33,33,0,0,0,0,33,0,0,0.06922284185154805,0.12184112390512868,0.008270087394753477,0.043243990313986236,0.013246889930593487,5.782411586589357e-19,0.0,1703324.1221774204,457419.55276902305,8.711040164645178e-18,289022.5333333334,0.22524700809611842,79
3,26,26,0,0,0,0,26,0,0,0.07064275573732483,0.12391847684435517,0.008414419216457407,0.04775737739089732,0.011002228426622355,6.505213034913027e-19,0.0,1502043.6294435111,205221.97111840514,8.3745226509206e-18,270244.5333333334,0.27558326220815443,97
4,25,25,0,0,0,0,25,0,0,0.05973070411685167,0.1080021412317562,0.007976986317948256,0.03876478719623685,0.009710820830949082,4.683753385137379e-19,0.0,1429058.5363837287,294995.30225658376,4.923615346371958e-18,257532.8666666667,0.3096581202079858,107
5,31,31,0,1,0,0,30,1,1,0.07639721745897855,0.13091666139230254,0.007947639243888619,0.049761186326135375,0.014377526626660832,7.806255641895632e-19,0.0,1862982.4045107237,415069.3182443341,7.633001858008413e-18,234473.8666666667,0.3714700109082435,125
6,39,39,0,2,0,0,37,2,2,0.060649390511692554,0.12752459142476627,0.00755429925162864,0.039646896294103215,0.011206593587903508,4.2195976442679094e-19,0.0,1291265.207155657,214798.93229699793,5.054626993961008e-18,215505.86666666667,0.42231557848717116,146
7,33,33,0,1,0,0,32,1,1,0.07187946323811892,0.14057820778390737,0.00881999986670324,0.0471626038823135,0.013234735619224208,1.3552527156068805e-19,0.0,1690354.5078461736,273755.52719680034,1.4622424540456308e-18,195639.8666666667,0.47556832234645896,163
8,31,31,0,0,0,0,31,0,0,0.06371282573913166,0.11323942765608036,0.00849984701159584,0.03731671887197973,0.01379505102404636,7.554440943769966e-19,0.0,1712697.8556697941,439513.0437279306,6.815411312611228e-18,192792.53333333335,0.48320087609064566,169
9,23,23,0,1,0,0,22,1,1,0.06937280476969089,0.1394108128665112,0.007596858173885768,0.04439087852031987,0.013353752480118513,5.519574696289841e-19,0.0,1532816.6502015935,322751.2001811797,6.655211811696958e-18,199432.2,0.4654026042537861,167
