slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,40,40,0,0,0,0,40,0,0,0.060182437278969395,0.13959554356038462,0.008302587988270587,0.04796285089119684,0.003916998399501962,0.0,0.0,668758.9179842654,0.0,0.0,336472.20000000007,0.10353494850694933,40
1,49,49,0,0,0,0,49,0,0,0.06634741121990527,0.1264495644929615,0.008230480381480686,0.05211123243936973,0.0060056983990548546,0.0,0.0,905812.6572145267,0.0,0.0,287980.2,0.23273249670558516,84
2,51,51,0,0,0,0,51,0,0,0.06532761183375801,0.12255062902097254,0.008002340866692234,0.04927038556237854,0.008054885404687226,0.0,0.0,1105195.1011995755,0.0,0.0,253389.2,0.32489352099286983,117
3,30,30,0,0,0,0,30,0,0,0.053639370619798385,0.09671857456325951,0.007425198757927102,0.039633342976474216,0.006580828885397074,0.0,0.0,898351.4715407781,0.0,0.0,243992.2,0.3499300086696533,126
4,39,39,0,0,0,0,39,0,0,0.06548715604837746,0.1200827546054129,0.00794304544262628,0.04883282363134231,0.008711286974408872,0.0,0.0,1267162.746473514,0.0,0.0,218125.2,0.41884762351857907,146
5,49,49,0,0,0,0,49,0,0,0.063004022500164,0.12068619387686917,0.00812334271559328,0.047846668652936596,0.007034011131634114,0.0,0.0,1137358.6024431724,0.0,0.0,181471.2,0.5165051120047788,176
6,49,49,0,2,0,0,47,2,2,0.06107098031493685,0.10777919424323726,0.007765779728937854,0.047567713464552755,0.005737487121446249,0.0,0.0,841782.1225350702,0.0,0.0,158404.2,0.5779626688037958,198
7,45,45,0,1,0,0,44,1,1,0.06590843391426454,0.12417224581348442,0.008041399393966345,0.04878235532131922,0.009084679198978977,0.0,0.0,1148934.4793174185,0.0,0.0,123638.20000000003,0.6705899467191997,223
8,55,55,0,1,0,0,54,1,1,0.0673101695026751,0.13938575545542742,0.007894656947689723,0.050514867702429446,0.00890064485255593,0.0,0.0,1213470.8139040535,0.0,0.0,93911.20000000001,0.7497917844512142,249
9,42,42,0,0,0,0,42,0,0,0.0668784591895416,0.1333174469198891,0.007957238993083038,0.05029853772172395,0.00862268247473463,0.0,0.0,1262478.1123696368,0.0,0.0,78058.20000000003,0.7920290345459302,267
10,49,49,0,1,0,0,48,1,1,0.06246821236674246,0.12820927937411608,0.007894851879445277,0.04629298581559788,0.008280374671699293,0.0,0.0,1084327.1826254812,0.0,0.0,63667.20000000002,0.8303710686160153,282
11,46,46,0,1,0,0,45,1,1,0.05426543246389304,0.10212374611014652,0.007518479517517831,0.04015365900000734,0.006593293946367868,0.0,0.0,954790.8901029646,0.0,0.0,50656.20000000001,0.865036359790074,297
12,50,50,0,1,0,0,49,1,1,0.06570864004580683,0.1137643246527193,0.007879038748035173,0.05014493256760856,0.007684668730163098,0.0,0.0,1092224.4986396797,0.0,0.0,36211.200000000026,0.9035222664082644,308
