slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,12,12,0,0,0,0,12,0,0,0.06385515993907358,0.1036582187310467,0.007804632234695807,0.04236957805381297,0.010544972743039333,7.228014483236697e-19,0.0,1551378.4029708991,232109.60192850596,8.24916327682343e-18,156118.8666666667,0.08638945263336939,12
1,10,10,0,0,0,0,10,0,0,0.06349625166477091,0.1066665342688738,0.007334204797388064,0.046563932444101355,0.007632298870049864,1.7347234759768072e-19,0.0,1047308.4272414936,85930.83426654284,1.5751664311501171e-18,146475.86666666667,0.14282047020581168,20
2,8,8,0,0,0,0,8,0,0,0.07607373740470035,0.11782353526111924,0.008682793028671493,0.04367962876788961,0.016742008539367054,6.505213034913027e-19,0.0,2101156.920636995,636335.0132337398,5.604010788605897e-18,142976.8666666667,0.16329668409007725,24
3,17,17,0,0,0,0,17,0,0,0.06648214196208999,0.12880357266223974,0.008376550957546103,0.04299958659856619,0.011742945339780394,9.183830166936038e-19,0.0,1586075.8390547102,365860.2710705851,1.4664993528734384e-17,127791.53333333334,0.25216154068830665,36
4,10,10,0,1,0,0,9,1,1,0.08050646824826892,0.14168710174502866,0.008921203187930861,0.055345703322227796,0.01271318412360876,2.409338161078899e-19,0.0,2155571.6169643784,302936.2719620215,5.990426932860989e-18,123772.53333333334,0.2756808043638894,39
5,9,9,0,0,0,0,9,0,0,0.06684397877558534,0.1094770900187736,0.007821121076203676,0.04540599632671302,0.008518801030610966,1.1564823173178713e-18,0.0,1122833.9825467472,167963.90292769216,1.425995093689818e-17,119807.86666666668,0.2988821083497385,42
6,15,15,0,0,0,0,15,0,0,0.06653534640939864,0.13607263055089178,0.007670578779003867,0.04428138247752941,0.010429111618703642,6.938893903907229e-19,0.0,1201416.9994633137,315476.81805006904,5.094198452578639e-18,111165.8666666667,0.3494552550738953,52
7,11,11,0,0,0,0,11,0,0,0.08398520140374155,0.16093737879329467,0.00793487343394414,0.05867946409310238,0.012956662466434283,1.6558724088869523e-18,0.0,1694157.5606418503,396763.79641042533,1.6489033009175164e-17,99567.20000000001,0.4173308708038098,59
8,6,6,0,0,0,0,6,0,0,0.09171951751998901,0.10769966916886108,0.00815687677993177,0.06315075898392693,0.016987558929651068,2.8912057932946783e-19,0.0,2113572.088066809,568606.2642687015,2.7011472918213336e-18,100675.20000000001,0.4108468339407728,57
9,12,12,0,0,0,0,12,0,0,0.08202991778363079,0.1347993831527423,0.008317135511393745,0.053267504686648516,0.01689549037728952,2.8912057932946783e-19,0.0,1776108.1110079156,343769.460565269,4.378238835085498e-18,100199.20000000001,0.4136323949035938,61
10,10,10,0,0,0,0,10,0,0,0.04528813289996393,0.06434147573715998,0.008059733751974035,0.03177943430226043,0.005055574167856538,1.7347234759768072e-19,0.0,576893.4138831234,66076.43864341817,3.0944533481716917e-18,99738.86666666667,0.41632627423808666,64
11,11,11,0,0,0,0,11,0,0,0.06887856656671124,0.11592611086761952,0.00822889514502045,0.04677878902673649,0.010761947751277721,0.0,0.0,1638370.350189765,349990.78302708396,0.0,93424.20000000001,0.4532798224731568,67
12,15,15,0,0,0,0,15,0,0,0.0703479637747211,0.11352803315057813,0.008607108775069433,0.04421287108834097,0.014501608969101453,5.204170427930421e-19,0.0,1872439.055668331,321230.2648473677,6.553423348074199e-18,80667.53333333335,0.527932076007581,75
13,12,12,0,0,0,0,12,0,0,0.06968895042472542,0.1176471587243356,0.007897170412537353,0.044371541884523254,0.012960825981464025,1.0842021724855044e-18,0.0,1954330.8543554007,502407.4992248318,1.6069145785727117e-17,75066.53333333334,0.5607092334713629,78
14,13,13,0,0,0,0,13,0,0,0.05363009305540357,0.11845260703110341,0.00816470158290888,0.03635288306432879,0.007958583747130004,6.672013369141566e-20,0.0,1182301.2872938442,221392.75698719904,1.8082440614395605e-18,70156.86666666668,0.5894406952510476,83
15,12,12,0,1,0,0,11,1,1,0.06082198049760683,0.11175194994045681,0.007367929067521761,0.04018585753251729,0.00965988354327351,3.154042683594195e-19,0.0,1172906.9763417132,267719.870728846,2.8116939276106436e-18,71921.53333333334,0.5791138326900014,83
16,3,3,0,0,0,0,3,0,0,0.04354365457968521,0.056743374510854594,0.008675525028425116,0.024824381029831238,0.007094893204540371,1.1564823173178713e-18,0.0,838185.1972580539,346387.05562656175,2.0322520470869662e-17,91846.53333333334,0.46251235751309483,69
17,10,10,0,1,0,0,9,1,1,0.08336692936718926,0.13649518861598836,0.008764681646042136,0.060964078034391536,0.011204431742610155,9.637352644315595e-19,0.0,1857844.7813762154,306917.12925269944,9.187861041160821e-18,91897.20000000001,0.4622158552257357,66
