slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,8,8,0,0,0,0,8,0,0,0.07956129785105906,0.11867277838616502,0.008115584245701883,0.06519015168728029,0.006255561918076877,0.0,0.0,717004.3595575776,0.0,0.0,164525.40000000002,0.05132436584049482,8
1,12,12,0,0,0,0,12,0,0,0.048574762692864974,0.08694050704281855,0.008192308915777371,0.033689885808403396,0.0066925679686842135,0.0,0.0,934193.955215528,0.0,0.0,147874.40000000002,0.1473362763685344,18
2,7,7,0,0,0,0,7,0,0,0.05687083582499543,0.10334578760877736,0.007776621318606394,0.04352997997176628,0.005564234534622749,0.0,0.0,828143.7952970696,0.0,0.0,141917.40000000002,0.18168514136256064,24
3,8,8,0,0,0,0,8,0,0,0.05077564382863825,0.05911759095021111,0.008616332305548598,0.038496635523186856,0.0036626759999027966,0.0,0.0,637467.1862800363,0.0,0.0,135104.40000000002,0.22096981774401125,29
4,14,14,0,0,0,0,14,0,0,0.0654055637296409,0.10717267282038231,0.008158471888652737,0.050492496298765954,0.00675459554222222,0.0,0.0,1099583.2134683153,0.0,0.0,109681.40000000002,0.36756226272355297,41
5,15,15,0,0,0,0,15,0,0,0.06491498060330485,0.09707560287748973,0.008168149273102089,0.04924729850128141,0.007499532828921352,0.0,0.0,1512458.187422088,0.0,0.0,84039.40000000001,0.5154174912239429,54
6,12,12,0,0,0,0,12,0,0,0.03742521897309337,0.05261600985077182,0.007004462511925896,0.02650701421208942,0.003913742249078061,0.0,0.0,590950.5052843579,0.0,0.0,75110.40000000001,0.5669033088387927,62
7,14,14,0,0,0,0,14,0,0,0.07754340658731103,0.14018034556175218,0.007745144277243892,0.06269287769167284,0.007105384618394293,0.0,0.0,1266301.0176678991,0.0,0.0,55394.40000000001,0.6805884225239064,74
8,11,11,0,0,0,0,11,0,0,0.05097696258126121,0.10832345520854225,0.008207965983078309,0.040540088674624886,0.0022289079235580244,0.0,0.0,632259.034286372,0.0,0.0,66197.40000000001,0.6182968682968684,73
9,14,14,0,0,0,0,14,0,0,0.06921918308253953,0.14658858791957383,0.007513061260836874,0.054282603883461365,0.0074235179382413025,0.0,0.0,1132037.4161234347,0.0,0.0,47074.40000000001,0.728562664046535,82
10,12,12,0,1,0,0,11,1,1,0.043577685568726224,0.07135748050882637,0.008595696894762299,0.0309054648945302,0.004076523779433725,0.0,0.0,889348.578502443,0.0,0.0,45386.40000000001,0.7382958995862221,82
11,11,11,0,0,0,0,11,0,0,0.07739275987585247,0.13046041600924954,0.008088889003261065,0.06090460238519471,0.008399268487396692,0.0,0.0,1577701.0243754482,0.0,0.0,44776.40000000001,0.7418132418132418,83
12,11,11,0,0,0,0,11,0,0,0.06790193776435824,0.15014162226054867,0.008626629295129293,0.05068790266928894,0.008587405799940002,0.0,0.0,1594707.1790299083,0.0,0.0,37409.40000000001,0.784292356873002,87
13,14,14,0,0,0,0,14,0,0,0.06203636019318607,0.09911031590114751,0.00806135825482499,0.04635210246515847,0.007622899473202593,0.0,0.0,1092570.6791671612,0.0,0.0,30982.40000000001,0.821351305222273,91
14,12,12,0,0,0,0,12,0,0,0.07156132194181312,0.12212824503236887,0.009231334537917154,0.05452169354034894,0.007808293863547031,0.0,0.0,1375847.8678599114,0.0,0.0,29414.40000000001,0.8303926045861529,93
15,17,17,0,0,0,0,17,0,0,0.05609098525025339,0.12387723868778584,0.008207849560123897,0.04144531187688906,0.0064378238132404226,0.0,0.0,1142214.178154625,0.0,0.0,15452.400000000009,0.9108993786413141,101
16,9,9,0,0,0,0,9,0,0,0.06054200908506216,0.09636250773459139,0.007694232749611729,0.044549047809635686,0.008298728525814736,0.0,0.0,1122170.0240656633,0.0,0.0,22196.40000000001,0.8720125655609526,97
17,11,11,0,0,0,0,11,0,0,0.06486454383134038,0.08072667791472393,0.008179854207052998,0.05096200100504758,0.005722688619239796,0.0,0.0,1056553.8241090907,0.0,0.0,25814.40000000001,0.8511506898603672,97
18,5,5,0,0,0,0,5,0,0,0.046102246016975865,0.0609815304090504,0.008377289580319889,0.03310927768058434,0.004615678756071647,0.0,0.0,793677.913378809,0.0,0.0,33224.40000000001,0.8084236310042762,93
19,11,11,0,0,0,0,11,0,0,0.07656777320854616,0.14004139747966807,0.008028904903827521,0.06223378168989969,0.006305086614818953,0.0,0.0,1080424.7025371836,0.0,0.0,30496.40000000001,0.8241536467342918,95
20,16,16,0,0,0,0,16,0,0,0.06929109976658596,0.10309561802032977,0.007938995698363769,0.05352481121909705,0.007827292849125124,0.0,0.0,1332158.8680380294,0.0,0.0,26489.40000000001,0.8472585488714521,98
21,9,9,0,0,0,0,9,0,0,0.051806309533147896,0.1210190277577845,0.008860125111524677,0.035085971534557996,0.007860212887065222,0.0,0.0,1262480.2363586181,0.0,0.0,26827.40000000001,0.8453095953095953,95
22,14,14,0,0,0,0,14,0,0,0.06003446782837131,0.09609906508826681,0.00848147228364554,0.04285528290362141,0.00869771264110437,0.0,0.0,1523360.680437841,0.0,0.0,16590.40000000001,0.9043375172407431,96
23,14,14,0,0,0,0,14,0,0,0.07114296084683906,0.1314455043645239,0.007722455410673319,0.0531246910375222,0.01029581439864354,0.0,0.0,1500437.774770428,0.0,0.0,6453.400000000009,0.9627888256920515,102
24,18,18,0,4,4,0,14,4,0,0.06298888592880744,0.11699958826690467,0.008313895104560768,0.0494087812487101,0.005266209575536587,0.0,0.0,988545.8684310751,0.0,0.0,8317.400000000009,0.9520407504278472,101
25,8,8,0,0,0,0,8,0,0,0.06449777663146859,0.10819658350230688,0.007869798839263666,0.04934168105711455,0.007286296735090369,0.0,0.0,966120.4725264809,0.0,0.0,15380.400000000009,0.9113145403467984,96
26,6,6,0,0,0,0,6,0,0,0.04963002062440741,0.07728405556932695,0.008581267455272332,0.03556550195898528,0.005483251210149802,0.0,0.0,1191226.9428413894,0.0,0.0,38849.40000000001,0.7759891227633163,85
27,14,14,0,0,0,0,14,0,0,0.05394219543287736,0.09071615975400657,0.0077431927774658385,0.04092968902184095,0.0052693136335705566,0.0,0.0,833482.3141976021,0.0,0.0,34425.40000000001,0.8014985031114064,91
28,11,11,0,0,0,0,11,0,0,0.07120725033646788,0.1359537922657516,0.007679387128079387,0.05612912563751651,0.0073987375708719745,0.0,0.0,1365114.9099027268,0.0,0.0,46393.40000000001,0.7324894018442405,85
29,9,9,0,0,0,0,9,0,0,0.05522187062925579,0.11201135396261754,0.008197107571202832,0.04090322695485636,0.006121536103196603,0.0,0.0,893716.5670694507,0.0,0.0,59039.40000000001,0.6595708611837644,79
30,10,10,0,0,0,0,10,0,0,0.05951833212607931,0.10327070981309006,0.007917711461718302,0.04646340132323479,0.005137219341126213,0.0,0.0,969539.5313384071,0.0,0.0,54289.40000000001,0.6869600014761306,80
31,17,17,0,0,0,0,17,0,0,0.06429585788917538,0.1205457111113279,0.007601543021122159,0.048249751133181015,0.008444563734872214,0.0,0.0,1506816.3219848652,0.0,0.0,32239.40000000001,0.8141032737806931,90
32,13,13,0,0,0,0,13,0,0,0.05761039227613872,0.09950141785153266,0.007738084077266673,0.041612060897058475,0.008260247301813569,0.0,0.0,1196584.498360491,0.0,0.0,28651.40000000001,0.8347921654373267,92
33,10,10,0,0,0,0,10,0,0,0.06843214778725352,0.08693789002224968,0.009099455369206515,0.05135448641731577,0.007978206000731243,0.0,0.0,1581253.2862243943,0.0,0.0,25773.40000000001,0.8513871013871014,90
34,11,11,0,0,0,0,11,0,0,0.06207488611921159,0.09653691183065963,0.008974794095412618,0.043740713626558715,0.00935937839724025,0.0,0.0,1453132.6054120942,0.0,0.0,20119.40000000001,0.8839888275372146,94
35,4,4,0,1,0,0,3,1,1,0.05351897715090479,0.09072306492098133,0.007718135330085613,0.03831527358866365,0.007485568232155525,0.0,0.0,787408.794478727,0.0,0.0,40562.40000000001,0.7661117338536694,83
