slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,14,14,0,0,0,0,14,0,0,0.08812159672125774,0.14496055897369442,0.0076140530066886435,0.057235013381793313,0.017833371814150952,1.1151793774136618e-18,0.0,1823421.6170798226,236183.10800635302,1.2841723421141051e-17,351199.3333333334,0.0639302388599402,14
1,15,15,0,1,0,0,14,1,1,0.06352174399323977,0.12107440449989752,0.007954123132697723,0.04268785200866282,0.009604085034440166,3.097720492815727e-19,0.0,1219753.729526406,248824.6720846729,7.272748169168806e-18,340678.0,0.09197329317536695,25
2,15,15,0,0,0,0,15,0,0,0.07458469845843009,0.1458531680099211,0.00776553622503039,0.04389377849467629,0.016597478909568735,6.938893903907229e-19,0.0,1677274.3616442403,349155.78275804775,6.978187406998397e-18,325735.6666666667,0.1317998676208627,34
3,5,5,0,0,0,0,5,0,0,0.06546857880669094,0.12589875580911558,0.009319803201682754,0.04349538142874455,0.009067567073755391,0.0,0.0,1062627.6447994614,232994.51737014568,0.0,328639.0,0.12406146301158105,34
4,1,1,0,0,0,0,1,0,0,0.08766109571107203,0.08766109571107203,0.010000022379493574,0.03287299328471925,0.033830415618619464,0.0,0.0,2863181.754966558,954393.918322186,0.0,333339.0,0.11153430974052814,32
5,12,12,0,0,0,0,12,0,0,0.07393044361990621,0.12222447178573884,0.007924501608270634,0.050551977300263305,0.011980701730222641,1.4456028966473392e-19,0.0,1566172.4523818202,165535.58234166272,1.9913364079928367e-18,320193.0,0.14657302397483918,39
6,9,9,0,1,0,0,8,1,1,0.06861010193649486,0.12274022554063932,0.007730662883762477,0.04482376158369037,0.012169887309588616,1.3010426069826053e-18,0.0,1221378.5065941268,228709.83937898953,1.8042616921366366e-17,312514.6666666667,0.16703848323715864,44
7,13,13,0,1,0,0,12,1,1,0.07101215298557954,0.1171410803142806,0.008169676672741313,0.03951800918485147,0.02005749835908407,1.4456028966473392e-19,0.0,1816767.7463782867,433728.25326923147,2.667924990005899e-18,303328.3333333334,0.1915232929532542,49
8,17,17,0,0,0,0,17,0,0,0.07383979736423384,0.16339128060787675,0.007788643135747618,0.04843139315882866,0.014158690722234303,7.142979018728029e-19,0.0,1541034.6873171246,380856.8389595817,8.763655109748983e-18,283503.6666666667,0.24436300314067294,61
9,13,13,0,0,0,0,13,0,0,0.06767065724872344,0.12280203546439639,0.007829021769420732,0.041774796393791995,0.01480457353805725,5.337610695313253e-19,0.0,1407877.2418599178,349711.06730882387,7.665732272578434e-18,282496.3333333334,0.24704790081337658,65
10,15,15,0,0,0,0,15,0,0,0.06480023904231857,0.11502185511494493,0.008159597318739371,0.03927086580278436,0.014216124740070816,1.1564823173178714e-19,0.0,1545305.9524574312,336436.825096732,2.00539810031032e-18,275786.0,0.2649332995722111,70
11,12,12,0,0,0,0,12,0,0,0.07770781094801928,0.12845968571486285,0.0077650213232899985,0.05077998097663628,0.015865853564560592,2.8912057932946783e-19,0.0,1946856.9336580902,249050.21064980453,2.734799774705281e-18,279394.0,0.2553167104228582,65
12,14,14,0,0,0,0,14,0,0,0.0697622863794081,0.12984303017573892,0.008573146042721842,0.04543650427155975,0.01333978255018838,1.5488602464078635e-19,0.0,1669154.3954629202,183827.2860720905,3.0421974501038147e-18,269035.0,0.2829270893026108,74
13,11,11,0,0,0,0,11,0,0,0.054144249819254475,0.09898561676516732,0.007734957535352277,0.028904023553633796,0.013880201194053936,4.731064025391292e-19,0.0,1336799.0097411994,482989.82185261935,8.547416777512873e-18,264695.6666666667,0.294492939038963,78
14,9,9,0,0,0,0,9,0,0,0.08940742338397456,0.16856458747935427,0.008066445673363844,0.056304012703921526,0.01967162830218256,1.0601087908747155e-18,0.0,1796631.307650586,639345.6520893077,9.385335543254699e-18,269543.0,0.2815730906086332,72
15,10,10,0,0,0,0,10,0,0,0.06423481998963522,0.09424011420187559,0.007808968612008936,0.04107706743203378,0.013225106691174226,7.806255641895632e-19,0.0,1402111.575810946,297402.65070834477,8.209753288823265e-18,276748.0,0.262369231179285,69
16,15,15,0,0,0,0,15,0,0,0.07334548663608137,0.1227590925451472,0.008343470535162191,0.04334800792696231,0.017026491775280442,5.782411586589357e-19,0.0,1811622.7270356691,611865.131786817,7.985807650475618e-18,272375.3333333334,0.27402392597429714,76
17,15,15,0,0,0,0,15,0,0,0.06981389152987645,0.13065242339143154,0.008114074170602744,0.048462108923247454,0.011562314525720669,1.1564823173178714e-19,0.0,1527185.378446032,207841.22360108845,9.01467444698833e-19,262396.3333333334,0.30062147118532634,82
18,4,4,0,0,0,0,4,0,0,0.06454252003052888,0.09430490301800687,0.00813892855032593,0.03453166706854517,0.018507484019494855,0.0,0.0,1654170.2689933036,215111.39452988934,0.0,276214.0,0.2637925290190174,72
19,14,14,0,0,0,0,14,0,0,0.07219834370382924,0.10729905933969072,0.0071531364210032245,0.04815090563060779,0.013371840149982162,7.124757133476172e-19,0.0,1471529.7592485677,307074.32789388765,1.3442158963893692e-17,273749.3333333334,0.270361732656334,77
20,14,14,0,0,0,0,14,0,0,0.0751661628418592,0.1249060002834407,0.00798338175831135,0.04644883263888141,0.01616654377348437,1.4869058365515489e-18,0.0,1821062.0707257618,334372.5934964367,1.2907270973361313e-17,262587.3333333334,0.3001123889992049,84
21,18,18,0,0,0,0,18,0,0,0.06749547529560647,0.13843357406930523,0.008364536492917497,0.04340667111597591,0.012491049261348657,6.746146851020917e-19,0.0,1442238.7338683538,295670.4188108099,5.844935475102103e-18,251766.0,0.3289550488425711,92
22,14,14,0,0,0,0,14,0,0,0.07467525862522018,0.1137952475407529,0.008344268888398359,0.04293016246890796,0.018258461277601667,1.2390881971262908e-18,0.0,2253841.114840117,539893.1630717868,1.1104836964756644e-17,245683.6666666667,0.3451666066962521,94
23,8,8,0,0,0,0,8,0,0,0.08021635439854935,0.14460296566111377,0.008817485529029006,0.049411137897945455,0.019272229593554437,4.336808689942018e-19,0.0,2412303.110215587,515171.9065832361,2.8005253611215824e-18,248405.6666666667,0.33791151920608065,89
24,11,11,0,0,0,0,11,0,0,0.05960439787072366,0.09151462302237856,0.007736031096446242,0.03400562231443655,0.014874911633332176,4.731064025391292e-19,0.0,1648276.4984501288,368560.00913566275,7.519351498851246e-18,243591.6666666667,0.3507425225777506,91
25,14,14,0,0,0,0,14,0,0,0.06606827759260987,0.12491149702695921,0.008037422732019335,0.04059815975867369,0.012927360826917976,2.4781763942525814e-19,0.0,1834745.0649335866,548769.7707192627,4.391899630851709e-18,236841.0,0.36873542385756375,96
26,17,17,0,0,0,0,17,0,0,0.07350044447157465,0.13257750797371762,0.0072311229741891725,0.04459105625976742,0.016926772086867024,5.102127870520021e-19,0.0,1736852.637183982,433402.7887182439,6.516434514652289e-18,217175.0,0.421152231565761,107
27,9,9,0,0,0,0,9,0,0,0.07666834623075315,0.12317680428750781,0.008278345219866957,0.04400115209212049,0.019421422757929532,4.818676322157798e-19,0.0,1996394.9921790357,584072.9767840838,5.49432618320281e-18,230373.33333333337,0.38597403058935364,102
28,11,11,0,0,0,0,11,0,0,0.055394153909048206,0.0962990880073416,0.007212741684223004,0.03286885309052089,0.01264170279071966,1.1039149392579681e-18,0.0,1493581.250613206,244745.66955308002,1.902198977604956e-17,230664.6666666667,0.3851975247766658,101
29,4,4,0,0,0,0,4,0,0,0.0565513275511888,0.07908181590388264,0.0071413901997126415,0.02462666332363202,0.02114946528828022,1.5178830414797062e-18,0.0,1863435.7662161777,439042.38366989896,2.209114614169625e-17,241549.00000000003,0.3561869477724323,93
30,14,14,0,0,0,0,14,0,0,0.05797153757471786,0.12387400502806198,0.00802354162343613,0.0365169892271372,0.010789590604391549,1.2390881971262907e-19,0.0,1081569.9336431779,259982.3523350586,1.642958996443869e-18,251267.33333333337,0.33028417092012385,95
31,10,10,0,0,0,0,10,0,0,0.08367617806815282,0.1476230798773739,0.007665070107074899,0.04940017013012622,0.01996051482841669,2.2985086056692693e-18,0.0,2203547.9037494203,583196.2010027634,2.4874001415539184e-17,252861.33333333337,0.326035600215005,93
32,12,12,0,0,0,0,12,0,0,0.06003632063635193,0.14326782301950314,0.00791289380116775,0.03277820603212429,0.015060519311752472,2.8912057932946783e-19,0.0,1550498.9722792793,399716.3301756853,2.854274866550285e-18,250686.33333333337,0.3318327402925668,95
33,13,13,0,0,0,0,13,0,0,0.08168817758809516,0.13306217975753362,0.007581161188269931,0.0524775390581056,0.0176785773637483,1.3344026738283132e-19,0.0,2213796.2254703483,415401.48837313894,1.889130462681974e-18,241941.33333333334,0.35514124143200476,98
34,12,12,0,1,0,0,11,1,1,0.07767613704124493,0.14038415324947773,0.0078119071680550324,0.05197774860032703,0.016067409487387326,0.0,0.0,1700485.9133525619,269562.4863319324,0.0,242896.6666666667,0.35259494205081054,98
35,7,7,0,0,0,0,7,0,0,0.06487499731200048,0.11453966210106754,0.008442217740539373,0.03851664432085052,0.01619346673031684,6.195440985631454e-19,0.0,1630846.7515455165,377843.5768934516,6.669891096733799e-18,246811.0,0.3421618668123727,96
36,8,8,0,1,0,0,7,1,1,0.07390772231482942,0.11291332986903478,0.0078627585598826,0.05356507833916584,0.011132905298270683,4.956352788505163e-19,0.0,1417068.8597448946,173695.02406775864,5.1572971294863756e-18,259423.33333333334,0.3085455619672074,87
37,4,4,0,0,0,0,4,0,0,0.0832323089595666,0.11407997730355852,0.008256871268905674,0.05023733428950369,0.0215727232951272,4.336808689942018e-19,0.0,3000016.5991296214,585062.4016161999,3.58727744343763e-18,264085.3333333334,0.2961196920630267,82
38,14,14,0,0,0,0,14,0,0,0.065384063597425,0.10137091517958213,0.007072353967721476,0.04436423996075499,0.011872337561690746,4.956352788505163e-19,0.0,1254881.0321725404,302248.4843986318,9.01477938888027e-18,265372.3333333334,0.29268938434816605,86
39,11,11,0,0,0,0,11,0,0,0.0624000151249488,0.14915403656816242,0.0072542666290559546,0.03589041430929795,0.015425081093118997,1.8924256101565167e-18,0.0,1482211.3080894744,482054.34730921366,1.724921067529132e-17,267062.66666666674,0.2881840514235199,85
40,14,14,0,0,0,0,14,0,0,0.07363295767176628,0.12972575168524056,0.00808943711049171,0.0454806280756205,0.015802252230513174,1.2390881971262908e-18,0.0,1830007.2785486307,417722.0185974554,1.2485472728200814e-17,261905.6666666667,0.3019292704488009,89
41,17,17,0,0,0,0,17,0,0,0.06441882969979089,0.13334708484092678,0.008069280572233108,0.038248922631364826,0.014208025323986255,4.591915083468019e-19,0.0,1395856.181755582,375159.49847337644,5.214096392017778e-18,251321.6666666667,0.3301393534745082,99
