slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,12,12,0,0,0,0,12,0,0,0.0707873036800545,0.11816567839360181,0.007901373733970067,0.05437274556940245,0.008513184376681986,0.0,0.0,1013005.1848848648,0.0,0.0,354691.60000000003,0.05928975357422661,12
1,12,12,0,1,0,0,11,1,1,0.05747720006662691,0.08699032099658349,0.0077038864609221235,0.042582058139791,0.007191255465913787,0.0,0.0,1041196.8624140013,0.0,0.0,334739.60000000003,0.11220628962043422,22
2,12,12,0,0,0,0,12,0,0,0.05785534481279342,0.08453479476392993,0.008825544311048525,0.04268131299584053,0.006348487505904368,0.0,0.0,1057937.7211596265,0.0,0.0,324124.60000000003,0.14035930837196253,30
3,11,11,0,0,0,0,11,0,0,0.0469349774734793,0.06426874632544338,0.008276898669631282,0.034529325846432195,0.004128752957415816,0.0,0.0,763595.3348584917,0.0,0.0,316801.60000000003,0.1597813108512316,37
4,15,15,0,0,0,0,15,0,0,0.06746210433736753,0.12822811274825768,0.007435963451667996,0.05474010227118695,0.005286038614512592,0.0,0.0,808245.8740972668,0.0,0.0,304416.60000000003,0.1926287095547341,46
5,12,12,0,0,0,0,12,0,0,0.05585268808654928,0.1001275276151466,0.007993272262061653,0.04017047227820456,0.007688943546283057,0.0,0.0,938223.8881988343,0.0,0.0,297325.60000000003,0.2114354034753264,50
6,10,10,0,0,0,0,10,0,0,0.06012695244779186,0.10118289606733306,0.008529767147165013,0.04344092305328046,0.008156262247346386,0.0,0.0,923681.5435541064,0.0,0.0,287466.60000000003,0.23758336502702848,54
7,13,13,0,0,0,0,13,0,0,0.07733891813368951,0.1475608071494082,0.008195718424718073,0.06087920832889601,0.008263991380075419,0.0,0.0,1211965.5056345786,0.0,0.0,282371.60000000003,0.25109628358934943,59
8,17,17,0,0,0,0,17,0,0,0.06560481879885942,0.1073514684156868,0.007912367708357407,0.04891285188279689,0.0087795992077051,0.0,0.0,1426534.5045888918,0.0,0.0,264106.60000000003,0.29953857162483366,68
9,15,15,0,0,0,0,15,0,0,0.07670973839136644,0.12249232121916345,0.00795146678699705,0.05872245799719253,0.010035813607176846,0.0,0.0,1454237.1912922345,0.0,0.0,251017.60000000003,0.3342531135408726,78
