slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,22,22,0,0,0,0,22,0,0,0.023254863963497897,0.039742862856760645,0.008767621594774082,0.014487242368723813,0.0,0.0,0.0,0.0,0.0,0.0,167927.6,0.04156711979754646,22
1,20,20,0,0,0,0,20,0,0,0.02392512838758195,0.04946946991132913,0.007781410146560528,0.01614371824102142,0.0,0.0,0.0,0.0,0.0,0.0,162603.6,0.07195340921154314,39
2,21,21,0,0,0,0,21,0,0,0.024697120939071896,0.06132003539976269,0.008343209068350198,0.0163539118707217,0.0,0.0,0.0,0.0,0.0,0.0,155612.60000000003,0.11185396317346075,57
3,13,13,0,0,0,0,13,0,0,0.02174146049902881,0.047369991208716516,0.008285733388856428,0.013455727110172379,0.0,0.0,0.0,0.0,0.0,0.0,151202.60000000003,0.1370236732252499,64
4,17,17,0,0,0,0,17,0,0,0.021766419468232538,0.03730239876544671,0.008717853629758287,0.013048565838474255,0.0,0.0,0.0,0.0,0.0,0.0,146843.60000000003,0.16190230499752856,73
5,21,21,0,0,0,0,21,0,0,0.028582091103847553,0.0634064516369866,0.007646372756757896,0.020935718347089655,0.0,0.0,0.0,0.0,0.0,0.0,144203.60000000003,0.17696988652513013,83
6,19,19,0,0,0,0,19,0,0,0.0219736166776253,0.04824449366725759,0.008265322545822382,0.013708294131802924,0.0,0.0,0.0,0.0,0.0,0.0,144007.60000000003,0.1780885403052097,88
7,22,22,0,0,0,0,22,0,0,0.03199040958170362,0.08012835085111306,0.007592387380008906,0.024398022201694715,0.0,0.0,0.0,0.0,0.0,0.0,143233.60000000003,0.18250608125307466,97
8,19,19,0,0,0,0,19,0,0,0.02714957086289155,0.067350134632532,0.008478744331682659,0.018670826531208894,0.0,0.0,0.0,0.0,0.0,0.0,141933.60000000003,0.18992572367196947,103
9,19,19,0,0,0,0,19,0,0,0.020670450142508227,0.04151093987451501,0.007846201934972472,0.012824248207535758,0.0,0.0,0.0,0.0,0.0,0.0,141663.60000000003,0.1914667263282014,106
10,22,22,0,0,0,0,22,0,0,0.021003033750480453,0.03376126114003153,0.007386493933896449,0.013616539816584007,0.0,0.0,0.0,0.0,0.0,0.0,137015.60000000003,0.2179948016843728,118
