slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,20,20,0,0,0,0,20,0,0,0.09527879169360137,0.11996124349641152,0.008465758862826855,0.07044626358876178,0.016366769242012726,0.0,0.0,3194259.6225755736,0.0,0.0,115927.6,0.3348755497875435,20
1,17,17,0,2,0,0,15,2,2,0.08930595361986313,0.14832653814523428,0.007550715288887316,0.06792699872611602,0.01382823960485979,0.0,0.0,2745824.7888350086,0.0,0.0,79272.6,0.5451804014582207,31
2,24,24,0,1,0,0,23,1,1,0.10290857434148562,0.13669166508061176,0.008336792080287226,0.076925142932925,0.017646639328273397,0.0,0.0,3121764.537571694,0.0,0.0,34173.600000000006,0.8039319634687476,46
3,20,20,0,2,2,0,18,2,0,0.11623121261723846,0.1615913592948153,0.008614298671943285,0.09116377226256342,0.01645314168273176,0.0,0.0,3164764.7404698934,0.0,0.0,9922.600000000006,0.9430699516795127,57
4,20,20,0,13,13,0,7,13,0,0.11385099298635915,0.1573554307950169,0.008389592182695926,0.0910798139795073,0.014381586824155898,0.0,0.0,3175201.4666900635,0.0,0.0,8890.600000000006,0.9489909612804986,59
5,16,16,0,9,9,0,7,9,0,0.11027998370679215,0.14982588285298928,0.008439898768752356,0.08576588876281659,0.016074196175223213,0.0,0.0,3239107.6411475516,0.0,0.0,8848.600000000006,0.949231932601469,60
6,16,16,0,10,10,0,6,10,0,0.0992451884159488,0.13224315293069722,0.008110701467624038,0.07412906305859311,0.017005423889731665,0.0,0.0,2959124.45453294,0.0,0.0,12170.600000000006,0.9301722485951945,59
7,22,22,0,12,12,0,10,12,0,0.11140658009162178,0.1454295350173833,0.00845599609692998,0.08702859564689994,0.015921988347791897,0.0,0.0,3102123.894414409,0.0,0.0,8348.600000000006,0.952100638803497,60
8,16,16,0,12,11,0,4,12,1,0.07840885910458861,0.09943160431325425,0.007064013517437462,0.057627657549175156,0.013717188037975994,0.0,0.0,2749383.6466668765,0.0,0.0,9761.600000000006,0.9439936750765657,60
9,14,14,0,9,9,0,5,9,0,0.11246601514696912,0.1423281814514699,0.00933407697373531,0.0873953738401552,0.015736564333078636,0.0,0.0,3505701.677401039,0.0,0.0,13389.600000000006,0.9231783428746501,57
10,25,25,0,19,18,0,6,19,1,0.1243014746577011,0.16564728183388,0.008933202482615036,0.09894725437500362,0.01642101780008247,0.0,0.0,3138178.3705435996,0.0,0.0,9963.600000000006,0.9428347177709464,59
11,19,19,0,15,15,0,4,15,0,0.10573767434848817,0.13691104377143154,0.008042251061068116,0.08329865082412617,0.014396772463293872,0.0,0.0,2906278.03884613,0.0,0.0,9985.600000000006,0.9427084946980572,59
12,22,22,0,18,18,0,4,18,0,0.10535183435021821,0.1475797499875268,0.008308676367983879,0.07861294900213187,0.018430208980102454,0.0,0.0,3113453.579027036,0.0,0.0,8246.600000000006,0.9526858548687107,59
13,15,15,0,10,9,0,5,10,1,0.10822725769818561,0.12901618556483252,0.008422328673465682,0.08421034935412038,0.015594579670599556,0.0,0.0,3104291.321894841,0.0,0.0,8226.600000000006,0.9528006031167919,60
14,20,20,0,14,14,0,6,14,0,0.11454202190380074,0.150143377370558,0.008485698980846335,0.09234182385773554,0.013714499065218861,0.0,0.0,3124564.739502164,0.0,0.0,9382.600000000006,0.946168154377703,59
15,27,27,0,18,17,0,9,18,1,0.1029762552605793,0.14165824677258348,0.008460320505090588,0.07905587364640601,0.015460061109082704,0.0,0.0,3145798.6610070136,0.0,0.0,11211.600000000006,0.9356744270906844,59
16,17,17,0,9,9,0,8,9,0,0.10673877831811059,0.12558450030288637,0.008452871775918344,0.0819699514100302,0.01631595513216204,0.0,0.0,3164305.3161146306,0.0,0.0,12275.600000000006,0.9295698202927687,59
17,22,22,0,10,8,0,12,10,2,0.10215187544642496,0.14541375409311091,0.007221651526318776,0.08126514222512307,0.013665081694983117,0.0,0.0,2464057.568290029,0.0,0.0,12015.600000000006,0.9310615475178232,59
18,19,19,0,11,11,0,8,11,0,0.10460524042542543,0.15816670720695053,0.00826672417744465,0.08109789635965334,0.015240619888327442,0.0,0.0,3006107.6006838316,0.0,0.0,8914.600000000006,0.9488532633828013,60
19,23,23,0,18,18,0,5,18,0,0.1466236726332268,0.19506340476815934,0.008481727182445227,0.12119744001365662,0.016944505437124953,0.0,0.0,3102571.69517195,0.0,0.0,9510.600000000006,0.9454337655899838,61
20,29,29,0,23,23,0,6,23,0,0.11293467439823345,0.18315133670497366,0.00825352152464216,0.08942209925070906,0.015259053622882228,0.0,0.0,3099852.9608151484,0.0,0.0,10048.600000000006,0.9423470377166017,61
21,8,8,0,0,0,0,8,0,0,0.09725347466533452,0.12194721667001478,0.007969568742167218,0.07441301455476941,0.014870891368397891,0.0,0.0,2968327.473660589,0.0,0.0,16339.600000000006,0.9062529762826845,57
22,14,14,0,3,3,0,11,3,0,0.11155581893215945,0.13791583075427163,0.007171159861055139,0.08876264496602336,0.015622014105080972,0.0,0.0,2750412.897892698,0.0,0.0,12089.600000000006,0.930636978999923,60
23,23,23,0,18,18,0,5,18,0,0.11824987610473232,0.14378965170240432,0.007725672080445343,0.09873335878787926,0.011790845236407724,0.0,0.0,2788776.44123768,0.0,0.0,11468.600000000006,0.9341999121028419,59
24,15,15,0,6,6,0,9,6,0,0.10090597934771492,0.12078254236052013,0.00807871607218572,0.07709143758893354,0.015735825686595668,0.0,0.0,3007124.1558686662,0.0,0.0,12849.600000000008,0.9262765455728404,59
25,24,24,0,15,15,0,9,15,0,0.1001269420783934,0.13938574449601124,0.008347295813388571,0.07495439415712504,0.016825252107879787,0.0,0.0,3151363.822478521,0.0,0.0,11361.600000000006,0.9348138152300759,59
26,20,20,0,11,11,0,9,11,0,0.0999247213767453,0.12825436822583164,0.008392373079882283,0.07583239432140769,0.015699953975455323,0.0,0.0,3089099.048488224,0.0,0.0,11590.600000000006,0.933499947789547,60
27,11,11,0,5,5,0,6,5,0,0.10849155966594386,0.1349207057289203,0.007803231703261606,0.08557671470282323,0.015111613259859021,0.0,0.0,2884068.651143125,0.0,0.0,14853.600000000006,0.914778771115112,57
28,27,27,0,19,18,0,8,19,1,0.09883403355429368,0.12642825406297964,0.007965052236641144,0.0733740970002797,0.01749488431737283,0.0,0.0,2926658.4108974272,0.0,0.0,10107.600000000006,0.9420085303847623,58
29,13,13,0,7,7,0,6,7,0,0.12277935765195706,0.1424785041652098,0.00813122745500363,0.09854240764240153,0.016105722554551897,0.0,0.0,3048146.3358485443,0.0,0.0,10404.600000000006,0.9403045189007576,58
30,17,17,0,10,10,0,7,10,0,0.12062854641987118,0.1788753623666176,0.008858899466011583,0.09837684743964763,0.013392799514211953,0.0,0.0,3147373.2952500028,0.0,0.0,10255.600000000006,0.941159393348962,59
31,23,23,0,17,17,0,6,17,0,0.10345071588049826,0.1411897717765891,0.007538203731402041,0.0784955271743615,0.01741698497473471,0.0,0.0,2768383.6731727505,0.0,0.0,8825.600000000006,0.9493638930867623,59
32,10,10,0,6,6,0,4,6,0,0.1175890838523801,0.18205905341692588,0.007231438027369802,0.09215826493496286,0.018199380890047426,0.0,0.0,2617737.9383973866,0.0,0.0,10585.600000000006,0.9392660472556235,59
33,17,17,0,8,8,0,9,8,0,0.10388545531876087,0.14470608672253812,0.008293251286937725,0.08059273125571534,0.01499947277610781,0.0,0.0,2942822.672604067,0.0,0.0,11550.600000000006,0.9337294442857094,58
