slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,17,17,0,1,0,0,16,1,1,0.11053562984421088,0.16031578996294243,0.007749907230385972,0.0882602931591799,0.014525429454645009,0.0,0.0,2571102.8378117103,0.0,0.0,120376.6,0.3042804317998712,16
1,17,17,0,0,0,0,17,0,0,0.11955892097690755,0.1672218880337713,0.008330703296489914,0.0949179405802806,0.016310277100137032,0.0,0.0,2978678.2054961063,0.0,0.0,82750.6,0.5217408391639108,28
2,25,25,0,3,0,0,22,3,3,0.10491914670032818,0.14838054063428593,0.008113446185770272,0.08338626635901653,0.013419434155541391,0.0,0.0,2459291.8914996576,0.0,0.0,24011.600000000006,0.86122435769249,46
3,15,15,0,3,2,0,12,3,1,0.117647424321163,0.1667212808371432,0.007629938412463418,0.09708357109235514,0.012933914816344434,0.0,0.0,2993425.351810388,0.0,0.0,5341.600000000008,0.9691280893005965,52
4,12,12,0,6,6,0,6,6,0,0.10134439664169888,0.1451154474443313,0.006411979282480354,0.08164347259864703,0.01328894476057152,0.0,0.0,1656860.1704537205,0.0,0.0,5406.600000000008,0.9687524201760905,52
5,13,13,0,10,10,0,3,10,0,0.09430771400702039,0.10073038340836286,0.008948846950895343,0.06733473690779128,0.018024130148333775,0.0,0.0,3350977.3331968,0.0,0.0,3802.6000000000085,0.9780227782639,53
6,17,17,0,8,8,0,9,8,0,0.11068036323402507,0.15888356208948412,0.008800129108411289,0.08654574386085334,0.015334490264760433,0.0,0.0,3441083.1749917474,0.0,0.0,5095.600000000008,0.9705498524487269,53
7,21,21,0,16,16,0,5,16,0,0.11803780686330483,0.17638965108408391,0.006802201915926742,0.09579329614066574,0.015442308806712334,0.0,0.0,2683493.6684380146,0.0,0.0,5189.600000000008,0.9700065770994413,52
8,22,22,0,10,10,0,12,10,0,0.12151701016891121,0.19070178412774408,0.00818796825261263,0.09730134485632502,0.016027697059973544,0.0,0.0,2970466.2812211476,0.0,0.0,4437.600000000008,0.974352779893726,55
9,22,22,0,15,14,0,7,15,1,0.10903701576622835,0.1334541824433301,0.008238789652724772,0.08452905291467108,0.016269173198832487,0.0,0.0,3041535.1493755034,0.0,0.0,6496.600000000008,0.9624527379343746,53
