slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,24,24,0,0,0,0,24,0,0,0.045223655253622506,0.0773823828264754,0.0078782069709259,0.03430944702775046,0.0030360012549461354,0.0,0.0,442275.5309412938,0.0,0.0,353218.20000000007,0.05400871274146035,24
1,21,21,0,0,0,0,21,0,0,0.03859071979380957,0.06869157721803702,0.00805375938754714,0.02723673743803646,0.0033002229682259554,0.0,0.0,478571.04621471005,0.0,0.0,340135.20000000007,0.08904768868098867,39
2,19,19,0,0,0,0,19,0,0,0.040698649493781255,0.0589106247447379,0.008051474884069465,0.02906828628603343,0.0035788883236783694,0.0,0.0,519671.69737062906,0.0,0.0,329175.20000000007,0.11840083217233077,53
3,25,25,0,0,0,0,25,0,0,0.051201651775204235,0.09853093914902183,0.007748381030170353,0.039771013188540254,0.003682257556493636,0.0,0.0,468069.63991857524,0.0,0.0,319527.20000000007,0.14424016870558531,71
4,18,18,0,0,0,0,18,0,0,0.044171847877474496,0.0704338634470657,0.008435973260232784,0.032321456464355934,0.003414418152885785,0.0,0.0,619977.2401985532,0.0,0.0,317251.20000000007,0.15033576675178006,77
5,25,25,0,0,0,0,25,0,0,0.036899358145450784,0.050085835406523393,0.00792913647175586,0.025915575954514863,0.003054645719180062,0.0,0.0,477414.75494328304,0.0,0.0,301604.20000000007,0.19224166421610767,96
6,18,18,0,1,0,0,17,1,1,0.04765112281229717,0.10051539443609775,0.007799073400178573,0.036871964204691875,0.002980085207426722,0.0,0.0,375964.57959155715,0.0,0.0,298413.20000000007,0.20078782123078587,100
7,25,25,0,0,0,0,25,0,0,0.04543277705112512,0.09225763947957288,0.00872628823494991,0.03299661257405746,0.0037098762421177447,0.0,0.0,572778.9433821079,0.0,0.0,292598.20000000007,0.21636159216163942,107
8,21,21,0,0,0,0,21,0,0,0.037892300422789425,0.0605755164364529,0.008404397215288805,0.026079347666317063,0.0034085555411835604,0.0,0.0,526568.4654000372,0.0,0.0,285578.20000000007,0.23516260195262673,113
9,20,20,0,0,0,0,20,0,0,0.05037261963753069,0.08253501888948393,0.007566101794048386,0.038660114800210185,0.0041464030432721176,0.0,0.0,613496.725178547,0.0,0.0,284677.20000000007,0.23757566602978908,118
10,15,15,0,0,0,0,15,0,0,0.04360687630247946,0.08280653759776654,0.008917305074540404,0.029598357343322182,0.005091213884616867,0.0,0.0,724674.717034774,0.0,0.0,286575.20000000007,0.2324924300492629,113
11,18,18,0,0,0,0,18,0,0,0.03825543417791826,0.05540210309943064,0.0074344010653154486,0.02607028686105543,0.00475074625154739,0.0,0.0,663368.7157758836,0.0,0.0,285216.20000000007,0.23613211271392842,116
12,20,20,0,0,0,0,20,0,0,0.045236468826583935,0.07765645967377056,0.007740607710178706,0.03342176821829737,0.0040740928981078586,0.0,0.0,617708.3600012269,0.0,0.0,275840.20000000007,0.2612429770729452,127
13,24,24,0,0,0,0,24,0,0,0.04590820234502818,0.0840405571693031,0.00789813679663211,0.033614687066566416,0.004395378481829658,0.0,0.0,634175.0971444206,0.0,0.0,272238.20000000007,0.2708898769685487,132
14,13,13,0,0,0,0,13,0,0,0.050632047429137836,0.1012572682656121,0.00851871916547928,0.0374628451596364,0.00465048310402214,0.0,0.0,737269.5567729947,0.0,0.0,273258.20000000007,0.26815810631515735,128
