slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,17,17,0,0,0,0,17,0,0,0.060968380065128405,0.10029349413349209,0.007541485203306366,0.04487321863620067,0.008553676225621372,0.0,0.0,1373858.743294481,0.0,0.0,351607.20000000007,0.06902966599607818,17
1,25,25,0,0,0,0,25,0,0,0.06762185211478688,0.12513733023402143,0.008124087044171885,0.049446072750630385,0.010051692319984613,0.0,0.0,1516990.9574314503,0.0,0.0,319603.20000000007,0.15376847273684313,39
2,30,30,0,0,0,0,30,0,0,0.06442545070838282,0.10923948013036182,0.007812837851293929,0.046884311972573055,0.009728300884515846,0.0,0.0,1448220.905610592,0.0,0.0,279063.2,0.2611085310192647,66
3,14,14,0,0,0,0,14,0,0,0.06321123700580954,0.08412918196944097,0.00820128322756817,0.04485727566782709,0.010152678110414272,0.0,0.0,1468669.039828263,0.0,0.0,268462.20000000007,0.2891774002312021,73
4,22,22,0,0,0,0,22,0,0,0.06185497898759101,0.0937773814367722,0.008074919203065066,0.0449607096771707,0.008819350107355246,0.0,0.0,1511624.9276545078,0.0,0.0,261526.2,0.30754224098716854,78
5,19,19,0,0,0,0,19,0,0,0.06902964466285111,0.10658961010879635,0.007576145539777912,0.052067000500990536,0.009386498622082672,0.0,0.0,1438981.475102532,0.0,0.0,248382.2,0.34234435559161225,86
6,21,21,0,0,0,0,21,0,0,0.06368552850666101,0.1166548985474716,0.008070110940697685,0.04688218063177327,0.008733236934190055,0.0,0.0,1497686.7116589528,0.0,0.0,224970.2,0.40433363641322173,100
7,16,16,0,0,0,0,16,0,0,0.06587644900213767,0.09812370584300803,0.008117537687335663,0.04902822680060013,0.008730684514201871,0.0,0.0,1489896.1388882562,0.0,0.0,226391.2,0.40057117408418075,99
8,33,33,0,0,0,0,33,0,0,0.06061814220334988,0.08451578441975793,0.008348488801640255,0.04248238753358738,0.009787265868122246,0.0,0.0,1542617.0043503367,0.0,0.0,206224.2,0.4539684842810626,113
9,26,26,0,0,0,0,26,0,0,0.06012397492937812,0.09226892125003502,0.007439815935822231,0.042915386564113187,0.00976877242944271,0.0,0.0,1413676.2405153962,0.0,0.0,200291.2,0.4696776250257495,122
10,22,22,0,0,0,0,22,0,0,0.061986064795579304,0.10009642080457219,0.00859734032980665,0.04493345828835196,0.008455266177420666,0.0,0.0,1556342.913297149,0.0,0.0,178949.2,0.5261860493933725,135
11,19,19,0,0,0,0,19,0,0,0.06124208906856726,0.09972057362906021,0.007709427030079108,0.04396458671252014,0.009568075325968017,0.0,0.0,1427343.4004308453,0.0,0.0,183163.2,0.5150284024865613,134
12,21,21,0,1,0,0,20,1,1,0.05828361127606126,0.08138337750383001,0.007903271278905801,0.04124125751316695,0.009139082483988507,0.0,0.0,1481482.2648456055,0.0,0.0,163688.2,0.5665934650186324,143
13,20,20,0,0,0,0,20,0,0,0.07005645951810856,0.11374954658509648,0.008343076840639268,0.05212983329420949,0.009583549383259787,0.0,0.0,1553104.167960671,0.0,0.0,148759.2,0.6061218254058615,154
14,21,21,0,0,0,0,21,0,0,0.0650193586325472,0.10407663866953144,0.007739861387080484,0.048490515156372205,0.008788982089094502,0.0,0.0,1467380.421928861,0.0,0.0,145526.2,0.6146820229496963,156
