slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,22,22,0,0,0,0,22,0,0,0.08105630773424076,0.12208143713855556,0.007335133469891503,0.05955550799457328,0.014165666269775957,0.0,0.0,2063076.5297989103,0.0,0.0,337124.20000000007,0.10350562376212347,22
1,24,24,0,0,0,0,24,0,0,0.08921788572038754,0.12416251762456364,0.007812664223178558,0.06561871110749352,0.015786510389715482,0.0,0.0,2188077.6503982893,0.0,0.0,310773.20000000007,0.17357927409112472,39
2,16,16,0,0,0,0,16,0,0,0.08451694269149441,0.15936400111922133,0.008332721185030995,0.06329860840989057,0.012885613096572855,0.0,0.0,2317550.15482052,0.0,0.0,292621.20000000007,0.22184981034295692,49
3,17,17,0,0,0,0,17,0,0,0.07682171446287453,0.10910397278257394,0.007916243992063714,0.056850102573811234,0.012055367896999573,0.0,0.0,2198208.513526522,0.0,0.0,277420.20000000007,0.26227292744102326,59
4,23,23,0,1,0,0,22,1,1,0.07840722199807595,0.11816918832888566,0.007839630038335104,0.056227548404872936,0.01434004355486791,0.0,0.0,2191125.11279564,0.0,0.0,253319.20000000004,0.3263632863108674,72
5,25,25,0,0,0,0,25,0,0,0.09171020176308545,0.14848120200192377,0.008214956938652209,0.06987596566631019,0.013619279158123053,0.0,0.0,2269685.038598364,0.0,0.0,221753.2,0.410304876621871,89
6,19,19,0,0,0,0,19,0,0,0.08852857904675727,0.14125473431814817,0.008153391183724993,0.06630316661794464,0.01407202124508763,0.0,0.0,2243516.9041549256,0.0,0.0,228769.2,0.39164764423189435,87
7,12,12,0,0,0,0,12,0,0,0.0906071300408542,0.12652733215405604,0.008237376880389882,0.06649954794136624,0.015870205219098082,0.0,0.0,2284722.3692009305,0.0,0.0,234964.20000000004,0.37517364841434797,85
8,22,22,0,0,0,0,22,0,0,0.08773116025231831,0.12378718649395175,0.007564233001698437,0.06644033872199878,0.013726588528621093,0.0,0.0,2132050.2589610987,0.0,0.0,216997.2,0.4229522251462051,94
9,29,29,0,2,0,0,27,2,2,0.08281208169686033,0.12891132783833043,0.008121358226683636,0.060931046626481855,0.013759676843694836,0.0,0.0,2264031.5543448334,0.0,0.0,202109.2,0.46254299992128656,102
10,25,25,0,0,0,0,25,0,0,0.0818721956221812,0.12058549785439297,0.00793928321994451,0.05872731765778921,0.015205594744447472,0.0,0.0,2206825.4065941856,0.0,0.0,188449.2,0.49886822717999235,110
11,20,20,0,0,0,0,20,0,0,0.08732307128463083,0.14791749494504286,0.008256613399892093,0.06390999755596347,0.015156460328775281,0.0,0.0,2289794.2236947594,0.0,0.0,184381.2,0.5096860181381486,113
12,19,19,0,0,0,0,19,0,0,0.08277936578003912,0.11466540156118235,0.008257868746836506,0.06022188802018916,0.01429960901301345,0.0,0.0,2263650.7163272323,0.0,0.0,177499.2,0.5279869122812244,117
13,21,21,0,0,0,0,21,0,0,0.08410882849503713,0.11921835951166398,0.008296944144633923,0.06182943918727759,0.013982445163125634,0.0,0.0,2339363.0045872456,0.0,0.0,177827.2,0.5271146813485117,119
14,25,25,0,0,0,0,25,0,0,0.07992581770954613,0.1371142818688483,0.0078069368644214324,0.05950927591926506,0.01260960492585964,0.0,0.0,2155437.950158057,0.0,0.0,156011.2,0.5851286753365004,131
15,28,28,0,0,0,0,28,0,0,0.08512997512003537,0.1393566960581872,0.00791002045568716,0.06189238698498075,0.01532756767936745,0.0,0.0,2232921.1471250677,0.0,0.0,125704.20000000004,0.6657222816710242,148
16,29,29,0,1,0,0,28,1,1,0.08291758887937285,0.11226579454379654,0.0076780247048924485,0.06079164320982798,0.014447920964652432,0.0,0.0,2148465.4870498287,0.0,0.0,113621.20000000004,0.697853886427023,156
17,26,26,0,0,0,0,26,0,0,0.08198299358214176,0.1534527156917333,0.007738773741923801,0.0610376405229547,0.013206579317263252,0.0,0.0,2155012.0846122145,0.0,0.0,95875.20000000001,0.7450447709755583,164
18,13,13,0,0,0,0,13,0,0,0.07629007947766589,0.10378731694803713,0.007526052982573605,0.054672831922358056,0.014091194572734242,0.0,0.0,2136460.9901583246,0.0,0.0,105927.20000000004,0.7183140839766922,159
19,22,22,0,1,0,0,21,1,1,0.07837463550536822,0.10273925379919391,0.007810232310410432,0.05710555445294425,0.01345884874201352,0.0,0.0,2189374.9295958364,0.0,0.0,110960.20000000004,0.7049301257927196,154
20,24,24,0,1,0,0,23,1,1,0.07748645623603313,0.10825420628000323,0.008192472073338423,0.055061560215645323,0.014232423947049391,0.0,0.0,2299097.5508018313,0.0,0.0,98610.20000000001,0.7377717478018717,158
21,15,15,0,1,0,0,14,1,1,0.08233687409208099,0.11797350074725495,0.008086323562312517,0.060920018242112406,0.013330532287656054,0.0,0.0,2255902.5811488917,0.0,0.0,115818.20000000004,0.6920115347222369,152
22,23,23,0,0,0,0,23,0,0,0.08724522576773591,0.12518289131371213,0.007770729663365749,0.06531014968136703,0.014164346423003146,0.0,0.0,2133141.081274663,0.0,0.0,94301.20000000001,0.74923041575632,165
