slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,17,17,0,0,0,0,17,0,0,0.0512655831827658,0.08453467728351334,0.0080941209507204,0.03743504990069125,0.00573641233135414,0.0,0.0,1241532.442615259,0.0,0.0,150352.0,0.13724185024301516,17
1,6,6,0,0,0,0,6,0,0,0.06862591195610962,0.13191912454026933,0.009730645710122396,0.05128745462451779,0.007607811621469417,0.0,0.0,2003121.6149072023,0.0,0.0,144363.0,0.17160826079222347,19
2,10,10,0,0,0,0,10,0,0,0.0722971414006656,0.11769623692608529,0.00785083381169963,0.05611148806096491,0.008334819528001051,0.0,0.0,1431559.3997899983,0.0,0.0,135481.0,0.22257544371058535,26
3,4,4,0,1,0,0,3,1,1,0.0805584377800151,0.1069187949050464,0.00823897788579944,0.06457560252625871,0.007743857367956953,0.0,0.0,1309183.1666412812,0.0,0.0,140168.0,0.1956802414657799,24
4,10,10,0,0,0,0,10,0,0,0.07557809354222116,0.12747874269898526,0.008413177592903918,0.0575279403587111,0.009636975590606129,0.0,0.0,1707971.0936632068,0.0,0.0,130056.0,0.2537054783122644,29
5,11,11,0,0,0,0,11,0,0,0.06573976996510794,0.10332941928563089,0.007470365387362538,0.052603431476496085,0.005665973101249323,0.0,0.0,1067733.0779458717,0.0,0.0,126983.0,0.2713391366221187,34
6,8,8,0,0,0,0,8,0,0,0.05928653622610934,0.08187729633526913,0.007457065384408443,0.04538680285095162,0.0064426679907492665,0.0,0.0,1381427.523979038,0.0,0.0,127092.0,0.270713666802472,36
7,10,10,0,0,0,0,10,0,0,0.0850501874004421,0.15297814135716645,0.007834891899290305,0.06858456180841743,0.008630733692734354,0.0,0.0,1569143.737352165,0.0,0.0,117559.0,0.3254164538730354,45
8,7,7,0,0,0,0,7,0,0,0.05815694634270607,0.10297918994211536,0.008495601311316997,0.044325357809738064,0.005335987221650996,0.0,0.0,1078901.016866626,0.0,0.0,111157.0,0.36215276383062966,50
9,9,9,0,1,0,0,8,1,1,0.0630943559737921,0.11102303996746268,0.009159005141115794,0.045562425126232806,0.008372925706443494,0.0,0.0,1486011.8923803526,0.0,0.0,105695.00000000003,0.3934951138756748,53
10,6,6,0,0,0,0,6,0,0,0.06235991415942404,0.10451065008758695,0.007740191905493757,0.04629627102521958,0.008323451228710697,0.0,0.0,1221140.9846054018,0.0,0.0,108172.00000000003,0.3792814556805856,52
11,10,10,0,0,0,0,10,0,0,0.06220075660851347,0.0909018690450645,0.00754492070799833,0.047241840196922076,0.007413995703593063,0.0,0.0,1268264.544708583,0.0,0.0,100637.00000000001,0.42251920880936933,57
12,15,15,0,1,0,0,14,1,1,0.06009477815791958,0.10989578764729113,0.008572341842298476,0.044362951157579635,0.007159485158041473,0.0,0.0,1472803.340507673,0.0,0.0,88845.0,0.49018471443572864,60
13,12,12,0,0,0,0,12,0,0,0.090372664394072,0.14884112712328892,0.008484695970850824,0.07239624334317533,0.009491725080045867,0.0,0.0,2100439.3948977846,0.0,0.0,73290.0,0.5794432744779623,64
14,15,15,0,0,0,0,15,0,0,0.04699682459273746,0.09261146687478357,0.008230180332728246,0.03277695090279265,0.005989693357216567,0.0,0.0,1061720.7835953324,0.0,0.0,69878.0,0.5990222013094698,71
15,9,9,0,0,0,0,9,0,0,0.061589047877038866,0.10474664163897937,0.008106545004600847,0.04791625203092165,0.005566250841516369,0.0,0.0,1124256.7882167248,0.0,0.0,74249.0,0.573940287716117,73
16,9,9,0,0,0,0,9,0,0,0.08862573079702991,0.13936911147308537,0.007950958798014591,0.06859605149868721,0.012078720500328134,0.0,0.0,2045609.6834637597,0.0,0.0,79349.00000000001,0.5446751860629256,69
17,10,10,0,0,0,0,10,0,0,0.06106064494930426,0.0930105995808112,0.008861480468566685,0.04528131485192248,0.006917849628815094,0.0,0.0,1495209.948279133,0.0,0.0,81483.0,0.5324297494103942,66
18,12,12,0,0,0,0,12,0,0,0.07566955705952695,0.11425500392208343,0.00802394592847066,0.058855153260877584,0.008790457870178712,0.0,0.0,1725452.7181882383,0.0,0.0,76987.0,0.5582289449070116,67
19,7,7,0,0,0,0,7,0,0,0.07842816067480617,0.10624769703877668,0.008750193161481417,0.059992592988990415,0.009685374524334336,0.0,0.0,1878728.05497353,0.0,0.0,86903.0,0.5013284060848459,62
20,11,11,0,0,0,0,11,0,0,0.060848153050282856,0.14609696637780384,0.006992971002263957,0.04640179108934028,0.007453390958678607,0.0,0.0,1237913.9409243052,0.0,0.0,84396.0,0.5157142119367185,65
21,9,9,0,0,0,0,9,0,0,0.06328448427549005,0.12769165805703275,0.008058263412487275,0.046887612865304865,0.008338607997697903,0.0,0.0,1272633.479630408,0.0,0.0,86401.0,0.5042090102083561,64
22,11,11,0,0,0,0,11,0,0,0.06754146693511384,0.1277911028850644,0.007441656547626032,0.05242355319211471,0.007676257195373099,0.0,0.0,1376077.8216198327,0.0,0.0,80120.0,0.5402509912835903,67
23,7,7,0,0,0,0,7,0,0,0.061721208465697515,0.13548904625907326,0.007680851839288016,0.04688929571786926,0.007151060908540242,0.0,0.0,1357588.8852782354,0.0,0.0,75256.0,0.5681618647034183,68
24,10,10,0,0,0,0,10,0,0,0.0641952341082809,0.11261180223124502,0.007449237615477514,0.04930218703416671,0.007443809458636705,0.0,0.0,1410602.4491344518,0.0,0.0,61466.00000000001,0.6472924042715571,74
25,7,7,0,0,0,0,7,0,0,0.06120340324302832,0.09342690012367803,0.008478815377569464,0.04277489664237832,0.009949691223080545,0.0,0.0,2002481.5203618675,0.0,0.0,61882.00000000001,0.644905290097493,74
26,12,12,0,0,0,0,12,0,0,0.061207324497086685,0.08949567623767538,0.008679436965202776,0.044986302776705685,0.00754158475517823,0.0,0.0,1318777.9221837374,0.0,0.0,57137.000000000015,0.6721333111454131,77
27,8,8,0,0,0,0,8,0,0,0.06630151008903928,0.0926697834419224,0.007149904793333011,0.04919247164767769,0.009959133648028588,0.0,0.0,1672922.156940299,0.0,0.0,51849.00000000001,0.7024772047811142,75
28,7,7,0,0,0,0,7,0,0,0.06828197242491696,0.09049622093291376,0.007983555606871954,0.05383388523660482,0.0064645315814401815,0.0,0.0,1249534.8623750287,0.0,0.0,62889.00000000001,0.6391268670847942,70
29,14,14,0,0,0,0,14,0,0,0.03947548200603039,0.08744202724304136,0.007318490968045425,0.026799472676301443,0.00535751836168353,0.0,0.0,930589.9112834261,0.0,0.0,60271.00000000001,0.6541496192667657,73
30,13,13,0,0,0,0,13,0,0,0.06185623332234612,0.10795760013361307,0.008056817664385913,0.04597944008264116,0.00781997557531906,0.0,0.0,1546585.0056056231,0.0,0.0,49693.00000000001,0.7148488830486202,77
31,4,4,0,0,0,0,4,0,0,0.04917747232577325,0.08164124775686918,0.008292000387755731,0.03178539060723216,0.009100081330785362,0.0,0.0,1356061.8058034726,0.0,0.0,61242.000000000015,0.6485777734422071,69
32,8,8,0,0,0,0,8,0,0,0.04877895255270663,0.09932309527322777,0.008585074500433599,0.0344428335983127,0.005751044453960339,0.0,0.0,1403209.2949730868,0.0,0.0,51705.00000000001,0.7033035135336749,73
33,5,5,0,0,0,0,5,0,0,0.07244502665870142,0.12349373340009435,0.008746442671723828,0.0526667763765568,0.011031807610420807,0.0,0.0,2249633.5780031756,0.0,0.0,50132.00000000001,0.7123297890043553,70
34,10,10,0,0,0,0,10,0,0,0.0732599378086114,0.1221522853481311,0.007014322533235589,0.05851053370594976,0.007735081569426044,0.0,0.0,1387048.4328141916,0.0,0.0,61222.000000000015,0.6486925385467295,67
35,14,14,0,0,0,0,14,0,0,0.07030836921205107,0.10589204225362933,0.008167433230721746,0.052496304316584655,0.00964463166474468,0.0,0.0,1713369.5308176705,0.0,0.0,50595.000000000015,0.7096729768346636,73
36,7,7,0,0,0,0,7,0,0,0.08355144338689728,0.12308951805853838,0.007412500351090561,0.06366358158472622,0.012475361451080498,0.0,0.0,1896561.9068122471,0.0,0.0,58084.00000000001,0.6666991834462812,69
37,9,9,0,0,0,0,9,0,0,0.0692747967831425,0.11331450616066287,0.008124387074889503,0.04983982628402438,0.011310583424228615,0.0,0.0,1680141.6517478435,0.0,0.0,47927.000000000015,0.7249826417779409,71
38,11,11,0,1,0,0,10,1,1,0.059678735859797515,0.09671584670593739,0.00811480112248934,0.044938810712362484,0.0066251240249457,0.0,0.0,1066445.9414012048,0.0,0.0,50052.00000000001,0.7127888494224446,72
39,6,6,0,0,0,0,6,0,0,0.06997236140385103,0.1410589578874486,0.007953080469314575,0.05114837810262347,0.01087090283191298,0.0,0.0,2099393.529976018,0.0,0.0,46633.00000000001,0.732407944040535,72
40,10,10,0,1,0,0,9,1,1,0.07632473816480947,0.12052291491168256,0.007489563685274475,0.06156823105266245,0.0072669434268725335,0.0,0.0,1196563.824907778,0.0,0.0,46925.00000000001,0.7307323735145091,76
41,12,12,0,0,0,0,12,0,0,0.06371840992867293,0.10858733514306532,0.007470678393201091,0.0487367749036751,0.007510956631796743,0.0,0.0,1451034.250319183,0.0,0.0,37177.00000000001,0.7866688854586874,77
42,9,9,0,0,0,0,9,0,0,0.05649301673252617,0.08452032214298978,0.00833515741103231,0.041873105888076675,0.006284753433417178,0.0,0.0,1526489.38916253,0.0,0.0,33181.00000000001,0.8095989533422467,80
43,11,11,0,0,0,0,11,0,0,0.05712868850130459,0.09284438548733456,0.007463678819157635,0.04339250033750015,0.006272509344646806,0.0,0.0,1114010.638270578,0.0,0.0,29052.000000000007,0.8332922091708794,85
44,4,4,0,0,0,0,4,0,0,0.07264524151336188,0.11432673153499628,0.009490653076393216,0.05441642280843626,0.0087381656285324,0.0,0.0,1937791.844226163,0.0,0.0,39741.00000000001,0.7719559990589261,78
45,14,14,0,0,0,0,14,0,0,0.06670964850303403,0.10679990792773861,0.008037673140080052,0.04997416930510374,0.008697806057850229,0.0,0.0,1551830.0677795426,0.0,0.0,27726.000000000007,0.8409011356007092,82
46,9,9,0,1,0,0,8,1,1,0.05345239084891436,0.0864518990699591,0.008418506867633874,0.03812525885905419,0.006908625122226297,0.0,0.0,1269591.722164047,0.0,0.0,30605.000000000007,0.8243806988047214,82
