slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,14,14,0,0,0,0,14,0,0,0.05604801699420602,0.09011580081602417,0.009087747626394665,0.04093497276674774,0.006025296601063604,0.0,0.0,1364184.9569554639,0.0,0.0,156435.80000000002,0.0995764833730296,14
1,19,19,0,0,0,0,19,0,0,0.067381957935708,0.11781575267603438,0.008321512463582615,0.05239237071226893,0.006668074759856456,0.0,0.0,1139134.8221331493,0.0,0.0,135414.80000000002,0.22057054447039703,32
2,17,17,0,0,0,0,17,0,0,0.05521530068323645,0.0950697165774377,0.008272787645775506,0.042336408882910584,0.0046061041545503575,0.0,0.0,810471.7133258649,0.0,0.0,124531.80000000002,0.2832116351379508,43
3,12,12,0,0,0,0,12,0,0,0.05329813870526445,0.1328863280932803,0.007410504083593074,0.04272526200239283,0.003162372619278535,0.0,0.0,514644.3762641253,0.0,0.0,115220.80000000002,0.3368045043105681,53
4,15,15,0,0,0,0,15,0,0,0.047682148173438556,0.0864323461544213,0.008297586964188593,0.03388066815230492,0.005503893056945046,0.0,0.0,958602.8443305118,0.0,0.0,102590.80000000002,0.40950109303897064,63
5,18,18,0,0,0,0,18,0,0,0.07394227904819349,0.15343190550004876,0.00838236399174873,0.05932553023006194,0.006234384826382806,0.0,0.0,1196892.4538121778,0.0,0.0,87010.80000000002,0.4991774867356066,74
6,15,15,0,0,0,0,15,0,0,0.06706182239785649,0.1049046673858697,0.007366638759265889,0.05367511430161032,0.006020069336980266,0.0,0.0,1334046.988494989,0.0,0.0,77255.80000000002,0.5553259604525952,81
7,16,16,0,1,0,0,15,1,1,0.06767809041224715,0.1294896780814061,0.00801121921568506,0.053766397154675,0.005900474041887108,0.0,0.0,1146502.5563251688,0.0,0.0,75472.80000000002,0.5655886696927173,82
8,10,10,0,0,0,0,10,0,0,0.06112956208512462,0.12196867885686061,0.007905316608372449,0.046517033539253495,0.006707211937498686,0.0,0.0,1217425.7151881864,0.0,0.0,71213.8,0.5901029033739735,85
9,19,19,0,0,0,0,19,0,0,0.056492015071780345,0.10966103425894215,0.00813933597610556,0.04414151813542819,0.00421116096024661,0.0,0.0,902571.4033283144,0.0,0.0,68570.8,0.6053156574522925,92
