slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,45,45,0,1,0,0,44,1,1,0.061693759441820026,0.11376769418268184,0.008295647739807059,0.04647318772887091,0.006924923973142052,0.0,0.0,1411808.3353583014,0.0,0.0,120199.8,0.30207207133973346,44
1,33,33,0,0,0,0,33,0,0,0.0715879758878882,0.1138883884458879,0.007868402327658312,0.053885310547672254,0.009834263012557647,0.0,0.0,1739357.6924348609,0.0,0.0,87306.80000000002,0.49306193452937386,65
2,50,50,0,0,0,0,50,0,0,0.06649899562699982,0.11325703658293622,0.008214782124440163,0.04961922690099337,0.008664986601566296,0.0,0.0,1547947.1204687364,0.0,0.0,36110.8,0.7903263079783398,106
3,40,40,0,1,0,0,39,1,1,0.06266441769364979,0.11157759750324658,0.008289275629958051,0.045464392043417304,0.008910750020274435,0.0,0.0,1444270.2804996746,0.0,0.0,6770.800000000007,0.9606860375859783,127
4,39,39,0,10,10,0,29,10,0,0.058405930633269425,0.1101447012157236,0.007880851974300836,0.04314198845433507,0.007383090204633513,0.0,0.0,1441922.3143333674,0.0,0.0,4942.800000000007,0.9713001338955475,134
5,28,28,0,15,15,0,13,15,0,0.05624436971748029,0.0832781464128083,0.008407365206822332,0.03944674596644733,0.008390258544210617,0.0,0.0,1338552.332453297,0.0,0.0,5274.800000000007,0.9693724096205054,136
6,34,34,0,20,20,0,14,20,0,0.06091074724670186,0.1272845145158435,0.007895314484210924,0.045646776968143385,0.00736865579434755,0.0,0.0,1473618.0279981357,0.0,0.0,7191.800000000007,0.9582415438516627,128
7,48,48,0,31,31,0,17,31,0,0.057402067065546014,0.11486187640461334,0.007771032713167338,0.04431428283400025,0.0053167515183784216,0.0,0.0,1066066.6550694962,0.0,0.0,5656.800000000007,0.9671543654245232,135
8,42,42,0,24,24,0,18,24,0,0.06782580473023704,0.1295844125599373,0.00872400410581401,0.05178892462204874,0.007312876002374277,0.0,0.0,1652189.8815359995,0.0,0.0,5595.800000000007,0.96750855572807,139
9,35,35,0,17,17,0,18,17,0,0.05850101785022969,0.10754825837229443,0.007894736718299246,0.04261460473359015,0.007991676398340291,0.0,0.0,1345212.5753682903,0.0,0.0,5211.800000000007,0.9697382127208899,142
10,28,28,0,10,10,0,18,10,0,0.06367912236728877,0.11230438248269768,0.0076634433533591334,0.04804130164051978,0.00797437737340987,0.0,0.0,1332562.4032961635,0.0,0.0,7253.800000000007,0.9578815471496971,143
11,32,32,0,8,8,0,24,8,0,0.06389201132650785,0.13725230884826686,0.008038942309404605,0.048503605963732876,0.007349463053370365,0.0,0.0,1244826.661079726,0.0,0.0,6153.800000000007,0.9642685854103787,153
12,35,35,0,15,15,0,20,15,0,0.060212673537481574,0.11285840161745403,0.00810019945597661,0.04507233601718623,0.0070401380643187236,0.0,0.0,1168595.596494274,0.0,0.0,5348.800000000007,0.968942736137514,153
13,46,46,0,25,25,0,21,25,0,0.06882967082566953,0.1305946451043823,0.008415521133185336,0.053323568113308926,0.007090581579175289,0.0,0.0,1514156.5639310847,0.0,0.0,6654.800000000007,0.9613595798025591,152
14,29,29,0,7,5,0,22,7,2,0.06238447177740916,0.11986796569301125,0.008464768988092102,0.046081506413760014,0.007838196375557046,0.0,0.0,1421052.5336413337,0.0,0.0,6661.800000000007,0.9613189350136275,155
15,33,33,0,11,11,0,22,11,0,0.06844093369941784,0.12217295338638998,0.007673319343910515,0.052518670419905746,0.008248943935601601,0.0,0.0,1399073.5573981127,0.0,0.0,5228.800000000007,0.9696395039477702,157
16,33,33,0,20,20,0,13,20,0,0.07067435421299201,0.11733503114873564,0.008558474245048037,0.055658942935130136,0.0064569370328138405,0.0,0.0,1391489.9535332748,0.0,0.0,5259.800000000007,0.9694595055967874,157
17,36,36,0,19,19,0,17,19,0,0.052575598889244825,0.09458146621958305,0.007549678594780895,0.041059334700781686,0.003966585593682242,0.0,0.0,890353.6566699641,0.0,0.0,5701.800000000007,0.9668930774956771,162
18,42,42,0,20,19,0,22,20,1,0.04954522633410088,0.09541435832452436,0.007647179980115667,0.03565664704398065,0.006241399310004566,0.0,0.0,1181160.2681462253,0.0,0.0,5657.800000000007,0.9671485590261044,160
19,41,41,0,26,26,0,15,26,0,0.07614856282404339,0.121607945571616,0.007525549452322231,0.05953213468188331,0.00909087868983785,0.0,0.0,1759859.3783965027,0.0,0.0,5354.800000000007,0.9689078977470013,159
20,33,33,0,13,13,0,20,13,0,0.06109848697510155,0.10502537487838969,0.008458925775694393,0.046612619537073005,0.006026941662334157,0.0,0.0,1330175.9043724139,0.0,0.0,5144.800000000007,0.9701272414149495,163
21,36,36,0,19,19,0,17,19,0,0.0583715264455013,0.09167109750576542,0.007913623333651316,0.043059436564071525,0.0073984665477784635,0.0,0.0,1268105.6706958518,0.0,0.0,5765.800000000007,0.9665214679968738,157
22,36,36,0,20,20,0,16,20,0,0.06875393956982553,0.1312426110714521,0.008859938807979098,0.05189746903332583,0.00799653172852061,0.0,0.0,1663358.1737776045,0.0,0.0,4961.800000000007,0.9711898123255903,157
23,28,28,0,16,16,0,12,16,0,0.058302485653384445,0.08538419941188614,0.007314922757481534,0.04271898009595593,0.008268582799946968,0.0,0.0,1238381.956299752,0.0,0.0,4808.800000000007,0.9720781912836669,154
24,29,29,0,7,7,0,22,7,0,0.060453256142059875,0.11795919002565483,0.008239439428825178,0.04659948276729822,0.005614333945936465,0.0,0.0,1191922.633437279,0.0,0.0,6307.800000000007,0.9633744000538833,157
25,27,27,0,15,15,0,12,15,0,0.06865342889307219,0.11071762928068786,0.008267705688465776,0.052238833969545984,0.008146889235060422,0.0,0.0,1625963.688686833,0.0,0.0,5650.800000000007,0.9671892038150359,157
26,23,23,0,11,10,0,12,11,1,0.05671647614295781,0.1110435037263163,0.008206324043207066,0.042422076333196924,0.006088075766553814,0.0,0.0,1210383.2974563309,0.0,0.0,7486.800000000007,0.9565286563181162,154
27,28,28,0,5,5,0,23,5,0,0.059984696935260796,0.10642379007151409,0.008417667779287725,0.04502918713556106,0.006537842020411988,0.0,0.0,1378750.626033329,0.0,0.0,5199.8000000000075,0.9698078895019154,159
28,32,32,0,16,16,0,16,16,0,0.06561008032059228,0.10919908458497847,0.008677111297325124,0.049089828561730955,0.007843140461536186,0.0,0.0,1402108.5691451244,0.0,0.0,4627.800000000007,0.97312914939747,158
29,38,38,0,22,22,0,16,22,0,0.06617112407208095,0.1066053484913476,0.00814014877332324,0.04993416511440126,0.008096810184356438,0.0,0.0,1564938.611150714,0.0,0.0,5883.800000000007,0.9658363129834552,157
30,41,41,0,26,25,0,15,26,1,0.06958599290476293,0.11852753654932877,0.00797800886628208,0.053570638923223154,0.008037345115257702,0.0,0.0,1528422.2584376843,0.0,0.0,6011.800000000007,0.9650930939858486,153
31,49,49,0,31,31,0,18,31,0,0.06058054106352197,0.11229895215183978,0.008195066177677129,0.045936485090118925,0.0064489897957259075,0.0,0.0,1171661.3617849534,0.0,0.0,6327.800000000007,0.9632582720855073,153
32,32,32,0,22,21,0,10,22,1,0.07139855805658066,0.11860334147042347,0.008112379366870875,0.05420223560715737,0.009083943082552415,0.0,0.0,1499824.0296705526,0.0,0.0,5251.800000000007,0.9695059567841378,152
33,47,47,0,32,32,0,15,32,0,0.07307230977367728,0.11185994652830863,0.008556330049561727,0.05475147793035871,0.009764501793756842,0.0,0.0,1456461.534154513,0.0,0.0,4791.800000000007,0.9721769000567866,153
34,39,39,0,20,19,0,19,20,1,0.053976737766010106,0.09103868980847316,0.008158934660080802,0.038995987796463676,0.006821815309465618,0.0,0.0,1282354.4490268813,0.0,0.0,5775.8000000000075,0.9664634040126858,153
35,34,34,0,17,17,0,17,17,0,0.05803130040950851,0.10156018954486726,0.007493931285260274,0.04369306863892825,0.006844300485319985,0.0,0.0,1203823.8789221244,0.0,0.0,5607.800000000007,0.9674388789470445,158
36,42,42,0,20,20,0,22,20,0,0.06054484581018586,0.09692167778722385,0.007715621545902763,0.04662551172393705,0.006203712540346063,0.0,0.0,1256257.087618783,0.0,0.0,5352.800000000007,0.9689195105438388,160
37,37,37,0,23,23,0,14,23,0,0.07023733902644103,0.14544697681718624,0.00801571182120796,0.05464091258971603,0.007580714615517044,0.0,0.0,1778580.1521615493,0.0,0.0,5528.800000000007,0.9678975844221298,157
38,36,36,0,16,16,0,20,16,0,0.0737421162603898,0.13140400136874378,0.008070599713344485,0.05461396346271463,0.011057553084330662,0.0,0.0,1845321.0738198906,0.0,0.0,4492.800000000007,0.9739130131840082,156
39,36,36,0,19,18,0,17,19,1,0.06866595781735316,0.13237145469053227,0.007823205344409657,0.0537598580447802,0.007082894428163297,0.0,0.0,1292293.0394231835,0.0,0.0,4479.800000000007,0.9739884963634526,159
40,30,30,0,19,19,0,11,19,0,0.057326915319908675,0.09209010830184512,0.008276870579095636,0.043135731726209596,0.005914313014603451,0.0,0.0,1390041.217777217,0.0,0.0,5490.800000000007,0.9681182275620442,156
41,38,38,0,11,11,0,27,11,0,0.058591999753701565,0.10841922876650707,0.008037428130835399,0.0448176678723648,0.005736903750501371,0.0,0.0,1045084.3333892686,0.0,0.0,4320.800000000007,0.9749117137120421,162
42,33,33,0,18,18,0,15,18,0,0.06068636368475107,0.08348930581892822,0.007806033446578487,0.04418164743204122,0.00869868280613136,0.0,0.0,1485125.0209608453,0.0,0.0,4554.800000000007,0.9735530164820425,159
43,37,37,0,23,22,0,14,23,1,0.06618867443437923,0.12539661157577262,0.008370415891004042,0.050576053700777016,0.007242204842598161,0.0,0.0,1409039.7411471282,0.0,0.0,5254.800000000007,0.9694885375888814,157
44,37,37,0,19,19,0,18,19,0,0.04697116930200866,0.07767788884489349,0.007657650293170675,0.03405173865261963,0.005261780356218363,0.0,0.0,914363.9161461717,0.0,0.0,4671.800000000007,0.9728736678670428,159
