slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,40,40,0,0,0,0,40,0,0,0.060846574069946466,0.1172966204200441,0.008016907094050053,0.04858234047941491,0.004247326496481506,0.0,0.0,831561.6996510944,0.0,0.0,117578.20000000001,0.32514440913933074,40
1,40,40,0,0,0,0,40,0,0,0.06730485928003163,0.13200519878235176,0.007724401640133979,0.053674008613373035,0.005906449026524621,0.0,0.0,1027189.9930277979,0.0,0.0,76258.20000000001,0.5623060004408037,71
2,29,29,0,0,0,0,29,0,0,0.05223568519712812,0.10449001339947477,0.007854084699833428,0.039804567862517494,0.00457703263477721,0.0,0.0,837420.8651812761,0.0,0.0,63415.200000000004,0.6360200933034567,85
3,42,42,0,1,0,0,41,1,1,0.0620258493688652,0.12852849916193443,0.007800610138151217,0.048664085222746595,0.0055611540079674,0.0,0.0,962330.1675398777,0.0,0.0,30070.200000000004,0.8274081199720824,115
4,43,43,0,7,7,0,36,7,0,0.054805469829948245,0.0912617916443191,0.007992895757321091,0.04121973846894958,0.005592835603677581,0.0,0.0,1016102.3609048778,0.0,0.0,2829.2000000000057,0.9837614333468023,132
5,36,36,0,25,25,0,11,25,0,0.08769518520667287,0.13494057499361156,0.007843942689195164,0.07063886804902302,0.009212374468454689,0.0,0.0,1836705.4929880651,0.0,0.0,3348.2000000000057,0.9807825643757117,130
6,42,42,0,31,31,0,11,31,0,0.05767919598457882,0.10064093623129028,0.008283267476502246,0.042960063864747995,0.006435864643328576,0.0,0.0,1113374.074139858,0.0,0.0,4491.200000000006,0.9742221650809977,130
7,34,34,0,22,22,0,12,22,0,0.05649130643995041,0.10149390080359617,0.0069887125538226035,0.043517041235638265,0.005985552650489545,0.0,0.0,929808.6800507377,0.0,0.0,4299.200000000006,0.9753241744113433,135
8,49,49,0,38,38,0,11,38,0,0.06963674808926018,0.11897396337378877,0.007465035577786675,0.057059090373795106,0.00511262213767839,0.0,0.0,1035417.8992112648,0.0,0.0,4071.2000000000057,0.9766328104911288,136
9,39,39,0,24,24,0,15,24,0,0.061055608199091484,0.1179709330879578,0.008357473737697442,0.046450957659730494,0.006247176801663543,0.0,0.0,1260913.1920451135,0.0,0.0,3926.2000000000057,0.9774650571208169,133
10,56,56,0,35,35,0,21,35,0,0.062259039640296235,0.09711205643875279,0.008262163212162285,0.048373745633645576,0.005623130794488372,0.0,0.0,1314525.4616502055,0.0,0.0,3353.2000000000057,0.9807538662160673,136
11,43,43,0,29,29,0,14,29,0,0.05738308095952525,0.100356697789753,0.007374999548847309,0.0430438978878401,0.006964183522837832,0.0,0.0,1052424.560728899,0.0,0.0,3340.2000000000057,0.9808284814311428,138
12,38,38,0,25,25,0,13,25,0,0.06597072907065046,0.13775059976578816,0.00853321418745427,0.05220442135368343,0.005233093529512762,0.0,0.0,910711.4960306919,0.0,0.0,3785.2000000000057,0.9782743452227896,137
13,41,41,0,28,28,0,13,28,0,0.04573724289603339,0.07153500511646088,0.00805503808690337,0.033186002456251515,0.0044962023528785245,0.0,0.0,969995.5419052249,0.0,0.0,5796.200000000006,0.9667319454138045,134
14,36,36,0,18,17,0,18,18,1,0.05290150719592571,0.09842922866163213,0.007664410258248399,0.04113189051035291,0.004105206427324393,0.0,0.0,719620.1001483497,0.0,0.0,6702.200000000006,0.9615318388862358,141
