slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,10,10,0,0,0,0,10,0,0,0.043678889935406764,0.0878370272981831,0.007580315130146439,0.03425720667914266,0.001841368126117657,0.0,0.0,358222.4285170723,0.0,0.0,364591.2,0.027038624776902,10
1,13,13,0,1,0,0,12,1,1,0.059842885709524916,0.11244393023325566,0.007894246787292428,0.04613118952966195,0.005817449392570548,0.0,0.0,1021168.4678396024,0.0,0.0,351671.2,0.0615174080494616,21
2,12,12,0,0,0,0,12,0,0,0.07280104287529143,0.15152676429090214,0.00800769917407273,0.05882402242721586,0.005969321274002848,0.0,0.0,1160110.9570985024,0.0,0.0,339095.2,0.0950781803742069,32
3,16,16,0,0,0,0,16,0,0,0.07107946621522353,0.14051416673487127,0.007528313532352958,0.05737365647802157,0.006177496204849,0.0,0.0,949548.9150172416,0.0,0.0,321969.2,0.14078124866568176,46
4,15,15,0,0,0,0,15,0,0,0.07874899591553117,0.12318638533905986,0.00837386771155169,0.06225183744059428,0.008123290763385178,0.0,0.0,1194983.7527208556,0.0,0.0,309955.2,0.17284224729080022,57
5,14,14,0,0,0,0,14,0,0,0.05595351975269224,0.11330096099368432,0.008467100190725671,0.04200045577126972,0.005485963790696844,0.0,0.0,970290.1791212753,0.0,0.0,306405.2,0.18231590678132548,61
6,21,21,0,0,0,0,21,0,0,0.06328754966912833,0.11622781513340617,0.00830061705295476,0.046540415581417256,0.008446517034756304,0.0,0.0,1305042.953979254,0.0,0.0,286005.20000000007,0.2367560908958931,75
7,16,16,0,0,0,0,16,0,0,0.06577854131285199,0.12304961903616159,0.0075900396678038815,0.05081440587950895,0.007374095765539151,0.0,0.0,1038764.002287366,0.0,0.0,281139.2,0.24974167598910346,82
8,16,16,0,0,0,0,16,0,0,0.052536409842765266,0.10714145575537272,0.008595884096159538,0.0395510372765861,0.004389488470019624,0.0,0.0,888661.7559127598,0.0,0.0,278423.2,0.25698969265847427,87
9,16,16,0,1,0,0,15,1,1,0.06668965025735345,0.12114894525866034,0.007917198526129416,0.05055228343006401,0.008220168301160022,0.0,0.0,1222209.6479053148,0.0,0.0,273359.2,0.27050366777397283,89
10,19,19,0,0,0,0,19,0,0,0.06490456104366327,0.12347733390331662,0.008116233180897785,0.049011483391678407,0.0077768444710870745,0.0,0.0,1128795.4493502483,0.0,0.0,270661.2,0.27770364898677213,93
11,10,10,0,0,0,0,10,0,0,0.06667324491727974,0.1049262984578677,0.008231885980136907,0.04721455513415711,0.011226803802985732,0.0,0.0,1943869.6786462949,0.0,0.0,265537.2,0.2913777422908429,92
12,19,19,0,0,0,0,19,0,0,0.057778896011747315,0.12196628537906719,0.008440338728627242,0.04116108728020113,0.008177470002918937,0.0,0.0,1170553.6902148493,0.0,0.0,254082.2,0.32194697312576326,103
13,17,17,0,0,0,0,17,0,0,0.0708916501945212,0.1298103831142248,0.008415837579302744,0.05309687104363651,0.009378941571581966,0.0,0.0,1504618.9846950015,0.0,0.0,240966.2,0.3569488091476588,113
14,13,13,0,0,0,0,13,0,0,0.07701658659943973,0.15068672542958583,0.00799371082362236,0.05885511581804456,0.010167759957772807,0.0,0.0,1600187.7747588246,0.0,0.0,241025.2,0.35679135959556274,112
15,17,17,0,0,0,0,17,0,0,0.05931341046934495,0.12352988711634436,0.007800619019914947,0.042900377377520664,0.008612414071909338,0.0,0.0,1392597.1341585352,0.0,0.0,231144.2,0.3831601566169375,118
16,17,17,0,0,0,0,17,0,0,0.0673269851634577,0.1183067389541798,0.007517837408285387,0.05039325873075393,0.009415889024418393,0.0,0.0,1487989.8134752926,0.0,0.0,238580.2,0.3633161757798823,113
17,10,10,0,0,0,0,10,0,0,0.06525369691576544,0.13102133294768192,0.0071682333225715975,0.049369580962590316,0.008715882630603524,0.0,0.0,1321146.228515002,0.0,0.0,241165.2,0.35641775048889424,112
18,17,17,0,0,0,0,17,0,0,0.07025599170583871,0.12219898467132025,0.008169302467464628,0.05230551545117537,0.009781173787198717,0.0,0.0,1546944.4771131913,0.0,0.0,236050.2,0.37006782606467925,115
19,20,20,0,0,0,0,20,0,0,0.06605803711510182,0.10740238892598986,0.008186919507460332,0.04779875483356545,0.01007236277407604,0.0,0.0,1389052.2911113354,0.0,0.0,230018.2,0.38616504128914353,122
20,14,14,0,0,0,0,14,0,0,0.06544354160896428,0.1030408230227599,0.0071618171082678496,0.05158442699312329,0.006697297507573133,0.0,0.0,933750.2528388471,0.0,0.0,235809.2,0.3707109674554444,118
21,15,15,0,0,0,0,15,0,0,0.07399133720453152,0.14218324625318512,0.008029880338123924,0.05644281686197587,0.009518640004431745,0.0,0.0,1508434.9493178697,0.0,0.0,232774.2,0.3788102791607245,124
22,21,21,0,1,0,0,20,1,1,0.06698606601301663,0.13124598319700223,0.007376521282922199,0.050053667183777885,0.009555877546316534,0.0,0.0,1404442.6411412968,0.0,0.0,221226.2,0.4096276931879318,128
23,21,21,0,1,0,0,20,1,1,0.055202568175617174,0.08015280875150747,0.008104462361829042,0.03807746212910064,0.009020643684687486,0.0,0.0,1573926.810797107,0.0,0.0,222802.2,0.4054219221014338,125
24,15,15,0,0,0,0,15,0,0,0.05686600097988061,0.10454144842907094,0.008043506780849901,0.04174435599773833,0.007078138201292377,0.0,0.0,1391748.187732987,0.0,0.0,221981.2,0.4076128726483975,125
25,19,19,0,0,0,0,19,0,0,0.059783531952505624,0.11605953027358087,0.008119281351171874,0.044020477532395665,0.0076437730689380865,0.0,0.0,1202417.1618988567,0.0,0.0,221580.2,0.4086829958753555,126
26,9,9,0,0,0,0,9,0,0,0.06709241726292786,0.14175977832886405,0.00875938108232713,0.05182361505056765,0.006509421130033076,0.0,0.0,1020558.1968270527,0.0,0.0,237893.2,0.36514952903903464,115
27,18,18,0,0,0,0,18,0,0,0.06926811447936213,0.11686465544646037,0.008720923814814438,0.05094611444716065,0.009601076217387046,0.0,0.0,1717119.1727946503,0.0,0.0,229265.2,0.38817452455572543,121
28,16,16,0,0,0,0,16,0,0,0.06051573729262054,0.11015628708945086,0.007858910506081057,0.04546722288765209,0.007189603898887399,0.0,0.0,1196057.7342140195,0.0,0.0,234813.2,0.37336892938574395,122
29,18,18,0,0,0,0,18,0,0,0.060567315051117426,0.12434633645283041,0.008321301845334821,0.04337643896250375,0.008869574243278855,0.0,0.0,1352556.0714085058,0.0,0.0,221500.2,0.4088964867934518,130
30,10,10,0,0,0,0,10,0,0,0.07906502839675823,0.13381043771499787,0.008119944697710844,0.06077666711472148,0.010168416584325893,0.0,0.0,1628639.2051817756,0.0,0.0,221437.2,0.40906461089145263,127
31,12,12,0,0,0,0,12,0,0,0.06826820828548677,0.11251666508615311,0.008114527647122477,0.05245781514326778,0.0076958654950965155,0.0,0.0,1240442.3821628855,0.0,0.0,228300.2,0.3907497587552625,123
32,16,16,0,1,0,0,15,1,1,0.06432761272773328,0.11830299455075012,0.007421867263983351,0.0473674568301871,0.009538288633562837,0.0,0.0,1418268.4370259836,0.0,0.0,225784.2,0.3974640481293925,126
33,13,13,0,0,0,0,13,0,0,0.06797321947400078,0.12246626171995098,0.007620211239371122,0.051184967550490915,0.009168040684138755,0.0,0.0,1566333.6203523504,0.0,0.0,221818.2,0.40804786039401886,126
34,10,10,0,0,0,0,10,0,0,0.06494597499524697,0.1057892231873415,0.009507720834330984,0.04688468972363617,0.008553564437279807,0.0,0.0,1740148.748990634,0.0,0.0,230652.20000000004,0.3844731257632299,117
35,13,13,0,0,0,0,13,0,0,0.0726102730601549,0.13287851002502696,0.008639470155394131,0.055760143418268286,0.008210659486492468,0.0,0.0,1402609.9816430588,0.0,0.0,223998.2,0.40223023287589343,124
36,17,17,0,0,0,0,17,0,0,0.06550697383509803,0.11870571867527734,0.008445565746693733,0.04795673476534807,0.009104673323056216,0.0,0.0,1491275.8651803038,0.0,0.0,225737.2,0.3975894740437742,121
37,20,20,0,0,0,0,20,0,0,0.07138470234962328,0.12025281787157474,0.007933784734039401,0.052753544651947315,0.010697372963636572,0.0,0.0,1648258.6955946158,0.0,0.0,209898.2,0.43985800719037416,129
38,19,19,0,0,0,0,19,0,0,0.059345081310744584,0.12319434867961294,0.008663234391795704,0.04324286041120653,0.007438986507742355,0.0,0.0,1250325.5186889078,0.0,0.0,217510.2,0.419544346333507,127
39,12,12,0,0,0,0,12,0,0,0.07039879192037608,0.1070223591470761,0.00798713993174281,0.055282516256487745,0.007129135732145522,0.0,0.0,1184073.299117735,0.0,0.0,226363.2,0.3959189076096703,123
40,17,17,0,0,0,0,17,0,0,0.079332798944066,0.16100936210741007,0.008572314695140373,0.058501796231382075,0.012258688017543554,0.0,0.0,2070829.2116084069,0.0,0.0,216525.2,0.4221729532625682,127
41,11,11,0,0,0,0,11,0,0,0.05617995262507773,0.10973276931808945,0.00789573259262217,0.03968376012290199,0.008600459909553567,0.0,0.0,1340583.3105235167,0.0,0.0,229335.2,0.3879877200023911,118
42,17,17,0,0,0,0,17,0,0,0.05637532845112504,0.09076364088303367,0.006944290798375341,0.04081818336497499,0.008612854287774715,0.0,0.0,1198180.1986630026,0.0,0.0,222959.2,0.4050029461746697,123
43,16,16,0,0,0,0,16,0,0,0.08457488470353358,0.1480021222544723,0.008066881416386345,0.06537427791472886,0.011133725372418388,0.0,0.0,1668071.39548324,0.0,0.0,225118.2,0.3992413600225446,122
44,27,27,0,0,0,0,27,0,0,0.06636077080570249,0.10683721185317657,0.0076525960428470464,0.05039745819450521,0.008310716568350243,0.0,0.0,1301822.6607474813,0.0,0.0,201339.2,0.4626988667902068,141
45,25,25,0,0,0,0,25,0,0,0.05412063540048848,0.11138815212974584,0.00804424520869772,0.03939976928619764,0.006676620905593112,0.0,0.0,1159623.991507688,0.0,0.0,191893.2,0.48790680694443256,149
46,12,12,0,0,0,0,12,0,0,0.05728660299247889,0.10628215537360729,0.007340509606152544,0.04087473903556473,0.009071354350761623,0.0,0.0,1323800.0768905112,0.0,0.0,195594.2,0.47803018334600045,146
