slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,25,25,0,0,0,0,25,0,0,0.059789302611420764,0.1058595255735546,0.00843437430791904,0.042182410745159514,0.009172517558342204,0.0,0.0,1380956.1316093146,0.0,0.0,337566.6,0.10226328627550263,25
1,34,34,0,0,0,0,34,0,0,0.06149457912049711,0.13543786105642033,0.00803126378022924,0.04485055009825035,0.008612765242017527,0.0,0.0,1440315.9099544578,0.0,0.0,298398.6,0.20642806917511747,49
2,19,19,0,0,0,0,19,0,0,0.06135731342963596,0.13009750043375407,0.007819873629495131,0.045170762099464815,0.008366677700676011,0.0,0.0,1414478.8838800706,0.0,0.0,281249.60000000003,0.2520347343595918,62
3,31,31,0,1,0,0,30,1,1,0.0586364575092367,0.10842611791701769,0.008131946728608832,0.041316892129597556,0.0091876186510303,0.0,0.0,1509755.7157758095,0.0,0.0,250655.60000000003,0.3333975143848883,84
4,23,23,0,1,0,0,22,1,1,0.08043677649293669,0.13209474739059626,0.008044316630140401,0.05875958340117682,0.013632876461619476,0.0,0.0,2152650.1270652544,0.0,0.0,231284.60000000003,0.3849134460012189,91
5,32,32,0,0,0,0,32,0,0,0.06932891425838397,0.13705159613241413,0.008276262469189638,0.05090986999769904,0.01014278179149529,0.0,0.0,1669378.5306977034,0.0,0.0,201485.60000000003,0.4641619745353699,112
6,34,34,0,0,0,0,34,0,0,0.06309117151134998,0.13616921667482287,0.008440845533504241,0.044293060941003874,0.010357265036841864,0.0,0.0,1625784.95638556,0.0,0.0,175310.60000000003,0.533772707592902,128
7,16,16,0,0,0,0,16,0,0,0.06379535143615667,0.1181054021552864,0.008070435249147044,0.04728179742423699,0.008443118762772619,0.0,0.0,1278446.756030955,0.0,0.0,184786.60000000003,0.5085718935927807,128
8,19,19,0,0,0,0,19,0,0,0.06513033616525174,0.10311825598919576,0.00827586184399449,0.04679271031074,0.010061764010517274,0.0,0.0,1578745.7252721507,0.0,0.0,174493.60000000003,0.5359454666724819,131
9,30,30,0,0,0,0,30,0,0,0.07527994583942665,0.14892619691409967,0.008038166507583306,0.05680703330235196,0.010434746029491408,0.0,0.0,1625964.7164511827,0.0,0.0,151955.60000000003,0.5958838315875022,144
10,23,23,0,0,0,0,23,0,0,0.06542662005251869,0.1210913558877815,0.007917610382489827,0.04720766308698492,0.01030134658304394,0.0,0.0,1661429.5563432565,0.0,0.0,126274.60000000002,0.6641808033411023,154
11,27,27,0,0,0,0,27,0,0,0.06382565357351891,0.10017102566146804,0.008590252857175788,0.045694518130598966,0.00954088258574416,0.0,0.0,1566883.800706972,0.0,0.0,118371.60000000002,0.6851983247681769,159
12,31,31,0,0,0,0,31,0,0,0.07111976520799937,0.10843450592425616,0.0077341187215838325,0.05149457786746058,0.011891068618954953,0.0,0.0,1740648.2866547636,0.0,0.0,88594.60000000003,0.7643883457138936,176
13,27,27,0,1,0,0,26,1,1,0.06445480364920514,0.1449297838078361,0.007752725882972835,0.04800244440407156,0.008699633362160756,0.0,0.0,1401559.6176329788,0.0,0.0,97133.60000000002,0.7416794230939026,173
