slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,43,43,0,0,0,0,43,0,0,0.05947374505931842,0.10289375754319537,0.00812933826615144,0.046275218776328945,0.005069188016838043,0.0,0.0,895513.0261069982,0.0,0.0,314834.0,0.15767309580567568,43
1,33,33,0,0,0,0,33,0,0,0.06563895043253382,0.10821205552207427,0.007804491403797281,0.05123463657779552,0.0065998224509410145,0.0,0.0,929435.7525604417,0.0,0.0,286919.0,0.23235866194714894,66
2,43,43,0,0,0,0,43,0,0,0.0707594141682962,0.1192691300089099,0.008078484597415192,0.05384605859232661,0.008834870978554392,0.0,0.0,1249783.8906714148,0.0,0.0,236610.0,0.3669585597444397,102
3,38,38,0,0,0,0,38,0,0,0.06939965290929022,0.12316094997739825,0.008034791005098123,0.05262909057975419,0.008735771324437914,0.0,0.0,1224022.0748672218,0.0,0.0,203140.0,0.4565063261336608,125
4,39,39,0,0,0,0,39,0,0,0.054011069397886025,0.09891194736118097,0.00803513845362484,0.039787690638568636,0.006188240305692541,0.0,0.0,1007760.3668216557,0.0,0.0,174406.0,0.5333830969561251,147
5,43,43,0,0,0,0,43,0,0,0.05935032856129411,0.10497111674239988,0.008020148011859275,0.04433826351540665,0.006991917034028186,0.0,0.0,1003274.3037924259,0.0,0.0,136496.0,0.6348099216891807,172
6,36,36,0,1,0,0,35,1,1,0.07250340677604951,0.12513918236035335,0.008649189459806857,0.05555137201109622,0.008302845305146422,0.0,0.0,1305441.2970303663,0.0,0.0,102256.00000000001,0.7264177950434361,193
7,44,44,0,1,0,0,43,1,1,0.061309026497967836,0.12255420089067066,0.007610507884843716,0.04747376481592678,0.006224753797197332,0.0,0.0,953106.7258715129,0.0,0.0,66264.00000000001,0.8227130806090425,217
8,35,35,0,1,0,0,34,1,1,0.06597925497231982,0.12114532142851771,0.008038505382400854,0.048719402710432395,0.009221346879486562,0.0,0.0,1335487.3611558094,0.0,0.0,53568.000000000015,0.856680766359791,222
9,38,38,0,0,0,0,38,0,0,0.052791994512228546,0.11083176691167156,0.0077416106765179045,0.03766946773086408,0.0073809161048465485,0.0,0.0,1074234.6109629602,0.0,0.0,49004.000000000015,0.8688915821889037,229
10,48,48,0,0,0,0,48,0,0,0.06654756333275287,0.1487262203248643,0.008056321687543524,0.05153452543229233,0.006956716212917018,0.0,0.0,1129564.613146259,0.0,0.0,21261.000000000022,0.9431169685927329,248
