slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,5,5,0,0,0,0,5,0,0,0.06886127041590792,0.07869073027710319,0.008337506169499877,0.048209075394610314,0.012314688851797737,0.0,0.0,1877521.4124378874,0.0,0.0,373169.8,0.017748809726863657,5
1,2,2,0,0,0,0,2,0,0,0.051507856130724346,0.08556954897225438,0.008990527276011127,0.03803864899883363,0.004478679855879596,0.0,0.0,754324.0577755411,0.0,0.0,373307.8,0.017385568477819136,5
2,7,7,0,0,0,0,7,0,0,0.08029129245040201,0.1024583044041857,0.008058190927329118,0.06099539909308046,0.011237702429992417,0.0,0.0,2030512.6065734562,0.0,0.0,361372.8,0.048800672154241664,12
3,3,3,0,0,0,0,3,0,0,0.09350144879002402,0.1580264551482124,0.007840301534611823,0.07338730512581552,0.012273842129596665,0.0,0.0,1474167.1392600879,0.0,0.0,363248.8,0.04386269691360756,11
4,3,3,0,1,0,0,2,1,1,0.021716548054154926,0.026090068703107615,0.007852525017420751,0.01272610267543373,0.0011379203613004457,0.0,0.0,465855.443345093,0.0,0.0,363485.8,0.043238869551118,12
5,5,5,0,0,0,0,5,0,0,0.06057513680022948,0.09460539348440754,0.007578623146922705,0.04565748530873,0.007339028344576774,0.0,0.0,1228236.4728878164,0.0,0.0,362719.8,0.0452551217016115,14
6,6,6,0,0,0,0,6,0,0,0.072714429551532,0.10677092500431258,0.007004338274498311,0.054117441716886476,0.011592649560147201,0.0,0.0,1644906.5787761265,0.0,0.0,356645.8,0.06124300102549851,17
7,2,2,0,0,0,0,2,0,0,0.06938814774563862,0.07660165429438506,0.00768717648763292,0.04921979608271768,0.012481175175288005,0.0,0.0,1867905.1579390552,0.0,0.0,355249.8,0.06491752844336907,18
8,5,5,0,0,0,0,5,0,0,0.055975762924317364,0.07060153227138256,0.007989201541665023,0.04062197478999409,0.007364586592658255,0.0,0.0,1383207.5033098646,0.0,0.0,355053.8,0.06543343630433085,19
9,6,6,0,0,0,0,6,0,0,0.06890571369781905,0.1451541800090514,0.007807064232970204,0.05064778170795,0.01045086775689884,0.0,0.0,1827437.8544620096,0.0,0.0,346868.8,0.08697785386541335,24
10,2,2,0,0,0,0,2,0,0,0.05741785198934751,0.06288006315835189,0.008977432461530765,0.038764330606135114,0.009676088921681626,0.0,0.0,1640822.5419099797,0.0,0.0,352353.8,0.07254033030737583,20
11,3,3,0,0,0,0,3,0,0,0.06524232108667398,0.09208205004258321,0.006465062730086971,0.04643533477871542,0.012341923577871587,0.0,0.0,1741732.5795230956,0.0,0.0,349705.8,0.07951035079628799,22
12,7,7,0,0,0,0,7,0,0,0.08292515174072349,0.12405222597501223,0.009032979751264112,0.06400187312166014,0.009890298867799246,0.0,0.0,2277668.4796736552,0.0,0.0,345804.8,0.08977849653920589,25
13,8,8,0,0,0,0,8,0,0,0.08038853189562296,0.1702259240042012,0.007975730658602485,0.06592990521907426,0.006482896017946222,0.0,0.0,1522423.0121155542,0.0,0.0,338163.8,0.10989100656782291,31
14,3,3,0,0,0,0,3,0,0,0.04295624589811057,0.057540393459774505,0.008524929813053103,0.02679499315485748,0.007636322930199985,0.0,0.0,1093484.6114817292,0.0,0.0,339395.8,0.10664815715606324,31
15,4,4,0,0,0,0,4,0,0,0.08359296281256129,0.12162997264364085,0.007908248888274585,0.06568695346467761,0.009997760459609085,0.0,0.0,1674803.0793937338,0.0,0.0,340040.8,0.10495039914422466,30
16,7,7,0,0,0,0,7,0,0,0.058800479652993475,0.08151296919904448,0.00713547285437366,0.04075489392890989,0.010910112869709944,0.0,0.0,1644432.27920068,0.0,0.0,333420.8,0.12237545036650521,32
17,6,6,0,0,0,0,6,0,0,0.07746045743201312,0.13716657218479072,0.008297487221598928,0.06290958808238246,0.006253382128031732,0.0,0.0,1213357.19811518,0.0,0.0,335917.8,0.1158028895051707,33
18,2,2,0,0,0,0,2,0,0,0.06348633655698485,0.07459478157098978,0.009119872434291146,0.04432336684405676,0.010043097278636939,0.0,0.0,2226464.0390918883,0.0,0.0,337516.8,0.11159402894558967,31
19,10,10,0,0,0,0,10,0,0,0.06978094966010695,0.08933938304740921,0.007804893904365405,0.051245621379586215,0.010730434376155343,0.0,0.0,1909296.5023501546,0.0,0.0,328569.8,0.1351441699253092,35
20,4,4,0,0,0,0,4,0,0,0.06058597921078167,0.11572041347831072,0.008374721070036041,0.045910320698359236,0.006300937442386384,0.0,0.0,1024261.9006542041,0.0,0.0,331272.8,0.128029379373372,35
21,7,7,0,0,0,0,7,0,0,0.07389459454259302,0.1262600643627515,0.00829096044058926,0.05713523720332293,0.008468396898680805,0.0,0.0,1789877.7936483065,0.0,0.0,331860.8,0.12648165579048665,36
22,6,6,0,0,0,0,6,0,0,0.053070610504401455,0.07644528167560678,0.007125977678257304,0.036570497078875656,0.009374135747268496,0.0,0.0,1199962.3074115023,0.0,0.0,331258.8,0.12806622993486927,38
23,8,8,0,0,0,0,8,0,0,0.07221024717612344,0.10123442781292469,0.008473600359082937,0.05349690899061138,0.010239737826429125,0.0,0.0,1640099.0401016064,0.0,0.0,327657.80000000005,0.13754472078855973,39
24,6,6,0,0,0,0,6,0,0,0.06761359851534397,0.10497734386189383,0.008133721044825215,0.05373247948590431,0.005747397984614447,0.0,0.0,1359634.0380569347,0.0,0.0,335970.8,0.11566338380807384,37
25,11,11,0,0,0,0,11,0,0,0.08475984597605556,0.13463157820794555,0.007617849931244694,0.06348565887039626,0.01365633717441463,0.0,0.0,1742565.2336249007,0.0,0.0,324422.80000000005,0.1460598326773932,43
26,3,3,0,0,0,0,3,0,0,0.11614373192925335,0.15564414659172174,0.008710426905385536,0.09792825333600226,0.009505051687865557,0.0,0.0,1654119.7714514479,0.0,0.0,330115.80000000005,0.1310748150628248,41
27,5,5,0,0,0,0,5,0,0,0.08150345575413856,0.13560372274784893,0.00711774956484669,0.06541172163209659,0.008973984557195289,0.0,0.0,1272453.7506393474,0.0,0.0,327679.80000000005,0.13748681276334973,44
28,2,2,0,0,0,0,2,0,0,0.045010803024725196,0.05675664841307679,0.009840540717433514,0.02560600090630017,0.009564261400991507,0.0,0.0,1792724.463994843,0.0,0.0,326369.80000000005,0.1409349724463086,45
29,5,5,0,0,0,0,5,0,0,0.08152207349101061,0.10574752660281113,0.0074030883320958,0.06361936355159169,0.010499621607323126,0.0,0.0,1774479.3023843355,0.0,0.0,329156.80000000005,0.13359907852538777,42
30,7,7,0,0,0,0,7,0,0,0.07515716547999239,0.15322117892591847,0.007991944889536766,0.05799654834315548,0.009168672247300138,0.0,0.0,1318979.9226668382,0.0,0.0,331168.80000000005,0.12830312640163732,41
31,5,5,0,0,0,0,5,0,0,0.04498846565293417,0.0670044406001148,0.008495334858270349,0.030561456667118708,0.005931674127545112,0.0,0.0,1267383.9739682316,0.0,0.0,329092.80000000005,0.13376753823508958,40
32,8,8,0,0,0,0,8,0,0,0.06291158726507175,0.13463918447712386,0.007773415395482811,0.047008202453308834,0.008129969416280101,0.0,0.0,1204908.3650882547,0.0,0.0,335101.8,0.11795075080386863,39
33,6,6,0,0,0,0,6,0,0,0.07968446272647874,0.10890014786075478,0.008388132745718629,0.061798620947009775,0.009497709033750351,0.0,0.0,2000109.032950499,0.0,0.0,330627.80000000005,0.12972713738521036,38
34,7,7,0,0,0,0,7,0,0,0.06119353622824673,0.10437619546070553,0.007907966809737101,0.045799117823263416,0.007486451595246204,0.0,0.0,1331393.1563642859,0.0,0.0,331331.8,0.1278740805784907,38
35,3,3,0,0,0,0,3,0,0,0.05758802891118328,0.09404356338429025,0.0072370922200465275,0.04383875260824272,0.0065121840828940335,0.0,0.0,1334156.9875450756,0.0,0.0,337727.8,0.11103863834016647,34
36,7,7,0,0,0,0,7,0,0,0.07097558102223402,0.1409981158949425,0.007414533347657955,0.057815154650870275,0.0057458930237057814,0.0,0.0,1184685.2905807646,0.0,0.0,335038.8,0.1181165783306064,37
37,6,6,0,0,0,0,6,0,0,0.0604089876489605,0.10061843352855758,0.008578607417607626,0.044717925050730266,0.007112455180622604,0.0,0.0,1417961.8378239693,0.0,0.0,332349.8,0.12519451832104633,40
38,6,6,0,0,0,0,6,0,0,0.05949322041875832,0.10012982969216008,0.007999720122724034,0.04106133453709998,0.010432165758934303,0.0,0.0,1490966.1553100238,0.0,0.0,331381.8,0.12774247143028616,41
39,4,4,0,0,0,0,4,0,0,0.04357178757130145,0.05182069920448678,0.009371112488437073,0.027211977629121434,0.006988697453742941,0.0,0.0,1779654.8187105316,0.0,0.0,330713.8,0.12950076965029866,40
40,7,7,0,0,0,0,7,0,0,0.07951293403024298,0.12038767723989205,0.008366998787143623,0.060678704840542864,0.010467230402556513,0.0,0.0,1477582.4032136756,0.0,0.0,323750.80000000005,0.14782865962926217,44
41,2,2,0,0,0,0,2,0,0,0.08041401931293576,0.12279234141616677,0.007361029171583281,0.06040503742581296,0.012647952715539517,0.0,0.0,1529428.1146084385,0.0,0.0,329010.80000000005,0.13398337723814502,39
42,4,4,0,0,0,0,4,0,0,0.0769310899451458,0.10082606806893059,0.007665367436418376,0.05983167172196541,0.009434050786762033,0.0,0.0,1635154.4685865503,0.0,0.0,334165.8,0.12041447405825756,35
43,6,6,0,0,0,0,6,0,0,0.0662623577702699,0.10142277333323343,0.008188353415020779,0.048820094953156534,0.009253909402092593,0.0,0.0,1875145.3051537648,0.0,0.0,331933.8,0.12628950643410808,36
44,3,3,0,0,0,0,3,0,0,0.08387571199921467,0.13068941006149826,0.006253545196623603,0.06544390210564764,0.012178264696943428,0.0,0.0,1719060.1637435472,0.0,0.0,332522.8,0.12473915066825858,35
45,6,6,0,0,0,0,6,0,0,0.06163752334924403,0.10568284914240367,0.008056762066224988,0.0448153068806852,0.008765454402333846,0.0,0.0,1529306.3891642105,0.0,0.0,328565.8,0.13515469865716556,37
46,1,1,0,0,0,0,1,0,0,0.04331762078562628,0.04331762078562628,0.005484475449735228,0.033014571358538615,0.004818573977352437,0.0,0.0,514084.5510466876,0.0,0.0,332634.8,0.12444434617628042,34
47,7,7,0,0,0,0,7,0,0,0.05894133241682948,0.11291225286352449,0.007289369783077014,0.04334460553505889,0.008307357098693574,0.0,0.0,1281653.78085891,0.0,0.0,327763.8,0.13726570939436633,39
48,10,10,0,0,0,0,10,0,0,0.05332569511628464,0.08875142476236746,0.0076600072159988455,0.038144619976735294,0.007521067923550501,0.0,0.0,1142821.6011804398,0.0,0.0,320329.80000000005,0.1568333575494164,45
49,3,3,0,0,0,0,3,0,0,0.0686790229370931,0.09966304961622564,0.008857946687765073,0.05021396699502718,0.009607109254300859,0.0,0.0,2066719.9201752048,0.0,0.0,322533.80000000005,0.15103202629656054,41
50,3,3,0,0,0,0,3,0,0,0.08146046958140735,0.12737726055717458,0.007698094154017486,0.0640752808135388,0.009687094613851055,0.0,0.0,1704732.5267177478,0.0,0.0,327361.80000000005,0.13832384694593058,39
51,1,1,0,0,0,0,1,0,0,0.059121299892850074,0.059121299892850074,0.009329232154479701,0.044959110052493895,0.0048329576858764794,0.0,0.0,913906.6295209472,0.0,0.0,327905.80000000005,0.13689193941346522,39
52,5,5,0,0,0,0,5,0,0,0.08090892199434728,0.12699845741773322,0.008329222919514568,0.057133864446834805,0.01544583462799791,0.0,0.0,2680157.86553065,0.0,0.0,323000.80000000005,0.14980279685233022,39
53,1,1,0,0,0,0,1,0,0,0.04591250969528641,0.04591250969528641,0.006442274932542044,0.029570240378213323,0.00989999438453104,0.0,0.0,1758998.2570854141,0.0,0.0,330368.8,0.13040887277291002,35
54,8,8,0,0,0,0,8,0,0,0.05884309435974619,0.1133099473101915,0.007655621814759527,0.043608902542316995,0.007578570002669662,0.0,0.0,1319341.9338968988,0.0,0.0,326128.80000000005,0.1415693285406544,41
55,6,6,0,0,0,0,6,0,0,0.04801941838425542,0.07999651026299427,0.007818243899497163,0.03433844353521919,0.0058627309495390785,0.0,0.0,1110332.4804790372,0.0,0.0,328259.80000000005,0.1359601466441771,40
56,8,8,0,0,0,0,8,0,0,0.08210895247621408,0.11443561118855007,0.007945382945264793,0.0611832474819418,0.012980322049007502,0.0,0.0,1942577.304971771,0.0,0.0,317641.80000000005,0.1639086653568923,45
57,2,2,0,0,0,0,2,0,0,0.09452233396895099,0.12431162387928989,0.006511473747049471,0.0775392147764573,0.010471645445444221,0.0,0.0,1183764.7477814246,0.0,0.0,322514.80000000005,0.1510820377728782,43
58,8,8,0,1,0,0,7,1,1,0.042569713358699676,0.09481284131670449,0.006654322219505861,0.029722060953499985,0.0061933301856938305,0.0,0.0,835877.0300889348,0.0,0.0,318400.80000000005,0.16191083848714738,47
59,6,6,0,0,0,0,6,0,0,0.05678263316106252,0.12515277062130842,0.007283720676072538,0.04304318902167691,0.006455723463313085,0.0,0.0,870485.9813657237,0.0,0.0,319825.80000000005,0.15815997776331814,46
60,2,2,0,0,0,0,2,0,0,0.09803319458219753,0.12763597187419984,0.008081685197575267,0.08074015913292454,0.009211350251697711,0.0,0.0,1525556.9395823611,0.0,0.0,327828.80000000005,0.13709461750170027,40
61,6,6,0,0,0,0,6,0,0,0.0561831971762704,0.1012707973572431,0.007915916488422292,0.04333749922447689,0.004929781463371201,0.0,0.0,890928.3625834255,0.0,0.0,327203.80000000005,0.13873973185425692,43
62,3,3,0,0,0,0,3,0,0,0.07829148895944481,0.09678586386630668,0.008270926531870592,0.05520939110868369,0.014811171318890528,0.0,0.0,2615995.1475795847,0.0,0.0,325311.80000000005,0.1437198220223166,40
63,3,3,0,0,0,0,3,0,0,0.05683813852174377,0.07690260811476615,0.007070932348338811,0.04677447446519626,0.002992731708208684,0.0,0.0,1222059.7555937383,0.0,0.0,330130.80000000005,0.1310353323183634,38
64,5,5,0,0,0,0,5,0,0,0.06855944832825803,0.09315610555156473,0.007890755339877454,0.05126998500600055,0.009398707982380036,0.0,0.0,1547093.4352472413,0.0,0.0,331358.80000000005,0.12780301163846008,36
65,9,9,0,0,0,0,9,0,0,0.09406841837882189,0.14137967069822235,0.008779375102537285,0.07633781776259527,0.008951225513689336,0.0,0.0,1799539.890900282,0.0,0.0,330891.80000000005,0.1290322410826904,38
66,5,5,0,0,0,0,5,0,0,0.07018221752015939,0.16202485922169393,0.008080301698029303,0.053059031281655455,0.009042884540474628,0.0,0.0,1615247.317920446,0.0,0.0,328067.80000000005,0.13646552577328253,39
67,3,3,0,0,0,0,3,0,0,0.0848027419692275,0.1039460541506157,0.007268386754054712,0.06289672613836343,0.014637629076809365,0.0,0.0,2242262.4472465105,0.0,0.0,330266.8,0.13067735543524728,37
68,5,5,0,0,0,0,5,0,0,0.0797448425424526,0.12729933007049932,0.009626587579166833,0.0590493763546616,0.011068878608624166,0.0,0.0,2349063.5124662193,0.0,0.0,326516.8,0.14054804155058742,40
69,4,4,0,0,0,0,4,0,0,0.050305261854221676,0.07699341447088294,0.007623835851563513,0.03748453405735833,0.005196891945299828,0.0,0.0,1089707.0124021764,0.0,0.0,331582.8,0.12721340265450387,39
70,3,3,0,0,0,0,3,0,0,0.079569617058888,0.09130829894244527,0.009858785325481728,0.05945305482175026,0.01025777691165602,0.0,0.0,1868242.1849982727,0.0,0.0,334062.8,0.12068558890355896,37
71,10,10,0,0,0,0,10,0,0,0.08822703137331424,0.16139373763964218,0.007542508781135796,0.06855892293832665,0.012125599653851788,0.0,0.0,1700498.6986923001,0.0,0.0,326541.80000000005,0.140482236976485,43
72,5,5,0,0,0,0,5,0,0,0.05699866140107503,0.08651245144936154,0.00866618738445643,0.039693859886869944,0.008638614129748663,0.0,0.0,1296382.4743482608,0.0,0.0,329906.80000000005,0.13162494130231972,39
73,2,2,0,0,0,0,2,0,0,0.06473365675148078,0.06568736278918405,0.008579206022391659,0.042359347716878826,0.013795103012210303,0.0,0.0,2392274.7978086136,0.0,0.0,335674.80000000005,0.11644250996544458,35
