slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,11,11,0,0,0,0,11,0,0,0.05358935479443396,0.10133490256959168,0.008583576896197615,0.042977381123795094,0.002028396774441252,0.0,0.0,542883.8372542753,0.0,0.0,162739.0,0.07005222916833331,11
1,13,13,0,0,0,0,13,0,0,0.0568148914301039,0.10722582084657911,0.00865596073706026,0.04340528137423686,0.004753649318806789,0.0,0.0,956391.0344740958,0.0,0.0,140715.0,0.1959050960582407,20
2,10,10,0,0,0,0,10,0,0,0.07067661311138643,0.09529544452425158,0.008391866600196354,0.05614842116127331,0.006136325349916765,0.0,0.0,1066555.1238561156,0.0,0.0,130550.0,0.2539914741882764,27
3,17,17,0,0,0,0,17,0,0,0.06618528219150996,0.13816378115637182,0.008345141513686722,0.052065996233457146,0.005774144444366092,0.0,0.0,1029161.150427331,0.0,0.0,107588.0,0.3852044023360267,42
4,16,16,0,0,0,0,16,0,0,0.058803637512730766,0.1379970429300275,0.00812478763245895,0.044805245136984126,0.005873604743287698,0.0,0.0,1067574.2433795622,0.0,0.0,91124.0,0.47928547754831485,54
5,11,11,0,0,0,0,11,0,0,0.05661153051441834,0.0921776649453627,0.008879814513650162,0.041679444187449934,0.006052271813318243,0.0,0.0,997540.4610577849,0.0,0.0,89700.0,0.4874227134024389,57
6,11,11,0,0,0,0,11,0,0,0.058371041824123886,0.10779360764142168,0.0074267101241650224,0.046459759131521894,0.004484572568436979,0.0,0.0,725457.1875669792,0.0,0.0,92391.0,0.472045394804512,59
7,4,4,0,0,0,0,4,0,0,0.06262138876953051,0.09811068900168536,0.008102942871239477,0.04965114559011832,0.004867300308172701,0.0,0.0,854366.1541333771,0.0,0.0,100757.0,0.42423913416153325,54
8,14,14,0,0,0,0,14,0,0,0.05423730279075883,0.09688211580332971,0.007452487492761316,0.04064489741150689,0.006139917886490631,0.0,0.0,1301684.90334857,0.0,0.0,83099.0,0.5251431444930799,64
9,12,12,0,0,0,0,12,0,0,0.052779179882524375,0.10107907782512765,0.00815298891309576,0.041144485137070724,0.0034817058323579077,0.0,0.0,645218.0125749739,0.0,0.0,82724.0,0.5272860261260128,70
10,16,16,0,0,0,0,16,0,0,0.06988732222295801,0.1329413381101131,0.008115990334134229,0.05556105183265682,0.006210280056166957,0.0,0.0,1314047.968500677,0.0,0.0,73748.0,0.5785780408918959,77
11,10,10,0,0,0,0,10,0,0,0.05215187935135346,0.09272327751464815,0.007793464401196352,0.038980904523975485,0.005377510426181621,0.0,0.0,1008566.8846884563,0.0,0.0,79100.0,0.5479948342266769,72
12,14,14,0,0,0,0,14,0,0,0.0671570485487674,0.12259613334904547,0.007761920446368861,0.05288558907412982,0.0065095390282687345,0.0,0.0,1233959.4593831548,0.0,0.0,78040.0,0.5540520463091007,77
13,11,11,0,0,0,0,11,0,0,0.06079585767831335,0.10359604084533633,0.008113544490660428,0.04683209589014141,0.005850217297511509,0.0,0.0,1315985.4876849619,0.0,0.0,74723.0,0.5730065486462703,76
14,14,14,0,0,0,0,14,0,0,0.061861352111562136,0.11327068718752754,0.008563139491098515,0.04677588481932183,0.006522327801141802,0.0,0.0,1443796.1436016294,0.0,0.0,59969.00000000001,0.6573160836123841,84
15,9,9,0,0,0,0,9,0,0,0.05049551529386614,0.08330308032060169,0.009362381952549619,0.03614393695697524,0.004989196384341276,0.0,0.0,1074023.911830118,0.0,0.0,60338.00000000001,0.655207488085578,81
16,16,16,0,0,0,0,16,0,0,0.06240213335242906,0.12793134773787804,0.007689791883100466,0.050683803615703744,0.004028537853624857,0.0,0.0,953184.5490377957,0.0,0.0,64037.00000000001,0.6340701036583275,86
17,17,17,0,0,0,0,17,0,0,0.04805478897836039,0.10569689890230939,0.008071652384715437,0.0367478113838246,0.003235325209820346,0.0,0.0,662379.8298675655,0.0,0.0,59505.00000000001,0.6599675424861998,91
18,13,13,0,0,0,0,13,0,0,0.06396502639915111,0.12268620015852735,0.007069284161024169,0.050029087136903634,0.0068666551012233155,0.0,0.0,925413.2859219966,0.0,0.0,56801.00000000001,0.6754191476474016,94
19,32,32,0,0,0,0,32,0,0,0.06318163345856556,0.11944389822483557,0.008162718943188728,0.04954620888339548,0.005472705631981347,0.0,0.0,955377.6816606967,0.0,0.0,26364.000000000007,0.849346849678282,118
20,10,10,0,0,0,0,10,0,0,0.08351089995124075,0.11718060603807424,0.007843892201573149,0.06585796007714988,0.009809047672517727,0.0,0.0,1661247.327496155,0.0,0.0,27861.000000000007,0.8407924661996137,114
21,9,9,0,0,0,0,9,0,0,0.06204619036083089,0.11162021479809854,0.00819622538443459,0.04777742013345532,0.0060725448429409775,0.0,0.0,1336364.863780001,0.0,0.0,42899.0,0.7548600555434919,107
22,11,11,0,0,0,0,11,0,0,0.05749336518814469,0.09417432351512117,0.007741838019746849,0.04310833195086437,0.006643195217533459,0.0,0.0,1186950.8473008266,0.0,0.0,43097.0,0.7537286140413033,106
23,15,15,0,1,0,0,14,1,1,0.07001658844798873,0.11684198133881052,0.008089742944943908,0.05551142357732534,0.006415421925719496,0.0,0.0,1238363.4757371957,0.0,0.0,40905.0,0.7662544714796741,107
24,13,13,0,0,0,0,13,0,0,0.06345383215536624,0.10461977199332953,0.008590888024567804,0.04648033852911744,0.008382605601680995,0.0,0.0,1504202.255867212,0.0,0.0,35103.00000000001,0.7994091361044126,107
25,10,10,0,0,0,0,10,0,0,0.07451364418812635,0.10436663029523352,0.00824970803061765,0.05824139504307725,0.008022541114431448,0.0,0.0,1523439.303963584,0.0,0.0,39657.0,0.7733859815540749,103
26,14,14,0,0,0,0,14,0,0,0.09460224800805864,0.19039997034927775,0.008838488274184878,0.07412102351796303,0.011642736215910736,0.0,0.0,2119684.518079249,0.0,0.0,33514.00000000001,0.8084892398770271,105
27,5,5,0,0,0,0,5,0,0,0.062432496482936396,0.10140388601239617,0.008066856681819176,0.04749526943878944,0.006870370362327785,0.0,0.0,1364380.856004663,0.0,0.0,38769.00000000001,0.7784603252608601,97
28,6,6,0,0,0,0,6,0,0,0.04503768361412185,0.07128620774911705,0.008049200773118744,0.03173162176279666,0.005256861078206443,0.0,0.0,1405514.4084368423,0.0,0.0,46177.00000000001,0.7361284128961474,91
29,12,12,0,0,0,0,12,0,0,0.058635513875390115,0.09418133329478491,0.007937891897802533,0.0445658633503282,0.006131758627259375,0.0,0.0,1288067.1098883597,0.0,0.0,37799.00000000001,0.7840032457513799,96
30,11,11,0,0,0,0,11,0,0,0.0752557945708468,0.12235086596043837,0.008408638086728664,0.06043079808547667,0.006416358398641469,0.0,0.0,1764493.3522190927,0.0,0.0,27687.000000000007,0.8417867632772946,102
31,17,17,0,0,0,0,17,0,0,0.04659321754742784,0.07410680568216639,0.007443194642067549,0.03462845987080343,0.004521563034556862,0.0,0.0,940406.1634602144,0.0,0.0,28583.000000000007,0.8366667047623401,106
32,12,12,0,0,0,0,12,0,0,0.05984556936664199,0.09741048821920466,0.007988820298029867,0.04224327440392811,0.009613474664684018,0.0,0.0,1677626.009544626,0.0,0.0,21589.000000000007,0.8766328758042948,107
33,10,10,0,0,0,0,10,0,0,0.06629757547193743,0.12212507882043432,0.007467040621537771,0.0509968857742336,0.007833649076166061,0.0,0.0,1188892.9279590882,0.0,0.0,23287.000000000007,0.8669299077703745,108
34,14,14,0,0,0,0,14,0,0,0.06633517778360676,0.10393797078841818,0.007424039312872899,0.05344606426490644,0.005465074205827429,0.0,0.0,1403476.897658449,0.0,0.0,18865.000000000007,0.8921987679859198,111
35,13,13,0,1,0,0,12,1,1,0.06237680881472706,0.12696055317497862,0.007835180788404233,0.04716930942483552,0.007372318601487317,0.0,0.0,1226706.1484491373,0.0,0.0,21505.000000000007,0.8771128812900718,109
36,13,13,0,0,0,0,13,0,0,0.04333576880674924,0.08451539189194282,0.007573519064828579,0.03225422806072367,0.003508021681196987,0.0,0.0,585288.8712209013,0.0,0.0,20239.000000000007,0.8843472496828535,113
37,19,19,0,0,0,0,19,0,0,0.05298061445562977,0.09677408116247373,0.007890447265360995,0.040210389681814014,0.004879777508454768,0.0,0.0,962754.6813845844,0.0,0.0,7884.000000000007,0.9549480565492177,122
38,8,8,0,0,0,0,8,0,0,0.055809414743503885,0.09486920619138019,0.0072168313633038175,0.04115902317248577,0.007433560207714291,0.0,0.0,1170433.1328882729,0.0,0.0,23607.000000000007,0.865101315443605,114
39,16,16,0,0,0,0,16,0,0,0.0567254989036865,0.12118672578297865,0.008165289857179039,0.04306789092234116,0.005492318124166297,0.0,0.0,1067483.4839188776,0.0,0.0,24474.000000000007,0.860146973108264,115
