slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,14,14,0,0,0,0,14,0,0,0.06883756768466723,0.12640843295511262,0.008203271655780501,0.05652386246678688,0.00411043356209984,0.0,0.0,982277.3773143674,0.0,0.0,158342.2,0.0907513342237729,14
1,9,9,0,0,0,0,9,0,0,0.04871378234185183,0.1148056613985838,0.008117644034980621,0.037676468038866824,0.002919670268004382,0.0,0.0,371403.36407525075,0.0,0.0,150796.2,0.13408274197197523,22
2,13,13,0,0,0,0,13,0,0,0.043311575428973174,0.07916659238222461,0.007473951476686756,0.032893318014962966,0.0029443059373234553,0.0,0.0,716095.9763425875,0.0,0.0,140719.2,0.19194791502771813,30
3,14,14,0,0,0,0,14,0,0,0.06373236679446487,0.12498666710298345,0.00841695228111503,0.0499627981948346,0.005352616318515246,0.0,0.0,1364713.363061582,0.0,0.0,127721.20000000001,0.26658635100852046,37
4,17,17,0,0,0,0,17,0,0,0.06315957612945299,0.10121304615050362,0.008022003662590356,0.0495105347400337,0.005627037726828944,0.0,0.0,1101910.5427498126,0.0,0.0,105265.20000000001,0.3955354753649519,52
5,12,12,0,0,0,0,12,0,0,0.05722416763653638,0.10370757470976645,0.009047337864510925,0.04442944273732478,0.0037473870347006777,0.0,0.0,776911.6126822458,0.0,0.0,107087.20000000001,0.38507300188002946,54
6,13,13,0,0,0,0,13,0,0,0.05897048608311333,0.12777901440070072,0.007870882103356095,0.046555261362709606,0.004544342617047619,0.0,0.0,913513.145258696,0.0,0.0,108305.20000000001,0.37807887855146993,54
7,9,9,0,0,0,0,9,0,0,0.06396144083247916,0.13013297761354592,0.007447362193000105,0.05176522180292589,0.004748856836553161,0.0,0.0,1129302.9975256028,0.0,0.0,105583.20000000001,0.39370942346143645,56
8,10,10,0,1,0,0,9,1,1,0.05850559659858528,0.09838715607904797,0.009396953935010546,0.04230951153570655,0.006799131127868176,0.0,0.0,1355243.062736241,0.0,0.0,104998.20000000001,0.39706866988771505,57
9,20,20,0,0,0,0,20,0,0,0.0594228456175553,0.10546471799829255,0.007990836289631122,0.04697885098319423,0.004453158344729957,0.0,0.0,963508.1719104064,0.0,0.0,94537.20000000001,0.4571388867514766,67
10,12,12,0,0,0,0,12,0,0,0.045053991309365354,0.087949452379515,0.007969104013651472,0.034233164307358656,0.0028517229883552216,0.0,0.0,547785.5411537781,0.0,0.0,90134.20000000001,0.48242224062310857,72
