slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,17,17,0,0,0,0,17,0,0,0.06206069091261397,0.11276168151214043,0.008026369753578379,0.04741599379164733,0.006618327367388277,0.0,0.0,1265139.5094064614,0.0,0.0,148760.80000000002,0.12786990581092517,17
1,9,9,0,0,0,0,9,0,0,0.04922172854232259,0.07076014538928674,0.00752969157693783,0.034960290026915135,0.006731746938469624,0.0,0.0,1383229.2912275875,0.0,0.0,136939.80000000002,0.1971720999602512,21
2,9,9,0,0,0,0,9,0,0,0.06520762108811086,0.11500573267927117,0.008471510639598896,0.049298614063176344,0.007437496385335626,0.0,0.0,1493338.9925304402,0.0,0.0,129033.80000000002,0.24352208278273413,28
3,6,6,0,0,0,0,6,0,0,0.05231050269632719,0.09786623573621736,0.007475122543144814,0.03824562556032806,0.006589754592854308,0.0,0.0,1087681.5613822865,0.0,0.0,128119.80000000002,0.2488805300758975,29
4,6,6,0,0,0,0,6,0,0,0.06652611947171923,0.1080465684080484,0.007849728798459018,0.05241194131245925,0.0062644493608009786,0.0,0.0,1444797.6085966658,0.0,0.0,126990.80000000002,0.25549944363605226,31
5,15,15,0,0,0,0,15,0,0,0.0536561929476863,0.09087917095692509,0.00806354363411614,0.03736850686688818,0.008224142446681983,0.0,0.0,1646078.2918891863,0.0,0.0,106369.80000000002,0.3763928152250253,43
6,13,13,0,0,0,0,13,0,0,0.05766588034463809,0.10747326716415903,0.008365201141610415,0.04344445401460868,0.005856225188418994,0.0,0.0,1408271.6736834308,0.0,0.0,95587.80000000002,0.4396037328561929,50
7,8,8,0,0,0,0,8,0,0,0.05639262951323076,0.11263761222210485,0.008888087980387977,0.042060485121235766,0.005444056411607022,0.0,0.0,1164292.5419711033,0.0,0.0,96341.80000000002,0.43518330697102325,52
8,18,18,0,0,0,0,18,0,0,0.060177980857289426,0.1465023741696171,0.007691466912769445,0.04521684077215992,0.0072696731723600515,0.0,0.0,1374464.7926926943,0.0,0.0,72346.8,0.5758572050010611,67
9,10,10,0,0,0,0,10,0,0,0.06523807245140868,0.09982455491062568,0.008096611903877596,0.049462716455655635,0.007678744091875448,0.0,0.0,1526879.267548088,0.0,0.0,65797.8,0.6142515937569984,70
10,15,15,0,0,0,0,15,0,0,0.05863858220358108,0.09310418936932255,0.009026562211939303,0.041855795409564314,0.007756224582077463,0.0,0.0,1609069.741832909,0.0,0.0,53558.8,0.6860043688347077,78
11,10,10,0,0,0,0,10,0,0,0.059881209971553995,0.09162849724441818,0.008104131688588874,0.04399089319268792,0.007786185090277201,0.0,0.0,1458049.1190622742,0.0,0.0,67032.8,0.607011241014048,72
12,10,10,0,0,0,0,10,0,0,0.06189613940645814,0.11210959506397869,0.00789644920605983,0.046618953629212714,0.0073807365711855855,0.0,0.0,1534889.406282684,0.0,0.0,75581.8,0.5568915846581908,68
13,18,18,0,0,0,0,18,0,0,0.051012985029546674,0.12505873541733437,0.007793482955554138,0.036768398935287085,0.006451103138705445,0.0,0.0,1287048.002152901,0.0,0.0,53739.8,0.6849432321169149,82
