slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,7,5,2,0,0,0,5,2,0,0.06325377879436825,0.11434331534959453,0.008009969647457347,0.046731340291576176,0.008512468855334725,0.0,0.0,1368132.2814458744,0.0,0.0,166308.40000000002,0.05723747685728442,5
1,9,3,6,0,0,0,3,6,0,0.0450822867096361,0.06598522655425522,0.006899119470407124,0.030564937298869665,0.0076182299403593084,0.0,0.0,1324817.9820171203,0.0,0.0,159249.40000000002,0.09725325868709234,8
2,8,4,4,0,0,0,4,4,0,0.06176851548892605,0.07824536809013602,0.007551763452476409,0.04526145199505495,0.008955300041394693,0.0,0.0,1435769.1369195275,0.0,0.0,157054.40000000002,0.1096961884386759,9
3,11,7,4,0,0,0,7,4,0,0.059795527975267944,0.1218593845337392,0.008379468693755422,0.0432691636020836,0.00814689567942892,0.0,0.0,1669082.3510792758,0.0,0.0,144814.40000000002,0.1790818194907865,15
4,13,10,3,0,0,0,10,3,0,0.041030907808384816,0.07657639694391084,0.008182459211845787,0.027489659523350196,0.005358789073188837,0.0,0.0,778449.5393529221,0.0,0.0,133821.40000000002,0.2413985059414281,23
5,10,7,3,0,0,0,7,3,0,0.05062238895980168,0.0752983039941317,0.007999284268686901,0.03486383674115036,0.007759267949964425,0.0,0.0,1375693.1157735933,0.0,0.0,120194.40000000001,0.31864670809397,30
6,13,8,5,0,0,0,8,5,0,0.03520707487385007,0.04896393981066224,0.008457387171480953,0.02243411546735663,0.004315572235012483,0.0,0.0,810798.6840724495,0.0,0.0,118113.40000000001,0.3304433991249701,32
7,10,7,3,0,0,0,7,3,0,0.059388198949526676,0.08962772298736688,0.008789180571401064,0.045564356853621084,0.005034661524504528,0.0,0.0,1534563.955588799,0.0,0.0,107092.40000000001,0.39291881087540403,37
8,17,11,6,0,0,0,11,6,0,0.04853431619958781,0.08313846355772371,0.00882051112136677,0.035333993804431085,0.004379811273789954,0.0,0.0,966420.9035996373,0.0,0.0,98668.40000000002,0.4406724510700919,44
9,8,4,4,0,0,0,4,4,0,0.06823051005236387,0.10391106156457658,0.006544044565778057,0.05462404718367744,0.007062418302908366,0.0,0.0,1086528.8448745585,0.0,0.0,99002.4,0.43877908499399687,44
10,10,6,4,0,0,0,6,4,0,0.03706733656271463,0.051613334476711514,0.007836881990652692,0.023732765445028097,0.005497689127033844,0.0,0.0,965299.5607944668,0.0,0.0,96762.4,0.4514771089773897,44
11,15,9,6,0,0,0,9,6,0,0.08066638379163359,0.125547127672686,0.008049350468545418,0.06431502251109963,0.008302010811988513,0.0,0.0,2005033.0744485566,0.0,0.0,81952.40000000001,0.5354314550461607,49
12,15,9,6,0,0,0,9,6,0,0.04268540154604997,0.07707910500714774,0.007712648613310734,0.029169902129201366,0.005802850803537864,0.0,0.0,1072011.8322918098,0.0,0.0,77200.40000000001,0.5623694059252154,52
13,7,4,3,0,0,0,4,3,0,0.051454468428071526,0.09339142559870156,0.010174869958635771,0.03493865086442384,0.006340947605011926,0.0,0.0,1172238.5520052346,0.0,0.0,78317.40000000002,0.5560374002156396,52
