slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,10,10,0,0,0,0,10,0,0,0.058534166770058106,0.09395959474974305,0.007933716005566801,0.04518912882757039,0.005411321936920918,0.0,0.0,763505.8059816946,0.0,0.0,355198.60000000003,0.058689060344311095,10
1,14,14,0,0,0,0,14,0,0,0.06396533925684339,0.12892037294178635,0.00876556123199214,0.04940317981784589,0.0057965982070053565,0.0,0.0,981153.6381727401,0.0,0.0,332190.60000000003,0.11966250477680074,23
2,9,9,0,0,0,0,9,0,0,0.05330981492541352,0.07575518396867595,0.007032015632829313,0.03847740661893136,0.007800392673652843,0.0,0.0,933733.2832145409,0.0,0.0,323141.6,0.14364323750757269,28
3,12,12,0,0,0,0,12,0,0,0.05704151660759884,0.08667018149916982,0.007707048072283922,0.043264787136310684,0.006069681399004247,0.0,0.0,970001.9658772914,0.0,0.0,303863.6,0.19473181807822348,37
4,10,10,0,0,0,0,10,0,0,0.07619340223934183,0.1505420071424849,0.007997581585938454,0.061831727174670816,0.006364093478732564,0.0,0.0,1018153.3432232343,0.0,0.0,297483.6,0.21163944044780292,43
5,10,10,0,1,0,0,9,1,1,0.05742973150540517,0.09249154620622851,0.007201466108235165,0.041794592442121276,0.008433672955048722,0.0,0.0,1187541.2544713197,0.0,0.0,293809.6,0.22137589884683662,44
6,12,12,0,1,0,0,11,1,1,0.06540329120386715,0.10865055408403887,0.00841063911603889,0.0482852087383471,0.00870744334948115,0.0,0.0,1452338.2479042455,0.0,0.0,277854.6,0.26365820525853556,52
7,11,11,0,1,0,0,10,1,1,0.07071536778936799,0.11714565728795555,0.007874556021416453,0.05407379458568642,0.008767017182265125,0.0,0.0,1444771.587615038,0.0,0.0,263099.6,0.3027603946101256,57
8,13,13,0,0,0,0,13,0,0,0.07592006789068573,0.13007538179531322,0.008254758158539714,0.06049659688319564,0.007168712848950372,0.0,0.0,1377459.5073790986,0.0,0.0,242886.60000000003,0.3563268163901112,66
9,14,14,0,0,0,0,14,0,0,0.06003991107893606,0.09101275619770928,0.008681247318541783,0.04235005530476663,0.00900860845562763,0.0,0.0,1373704.5689849288,0.0,0.0,225871.60000000003,0.4014182262049065,73
