slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,14,14,0,0,0,0,14,0,0,0.06781072368565152,0.12150306776199099,0.008208165750121467,0.05020536931786953,0.009397188617660535,0.0,0.0,1742801.2242404327,0.0,0.0,349107.80000000005,0.0707700219166677,14
1,11,11,0,0,0,0,11,0,0,0.057241911537166484,0.09899279855474477,0.008288528657490815,0.04021527201110498,0.008738110868570672,0.0,0.0,1473753.766121099,0.0,0.0,338373.80000000005,0.09934100940175539,21
2,18,18,0,1,0,0,17,1,1,0.05432602698237524,0.09487448502550468,0.007763750651300459,0.03913399429255944,0.007428282038515345,0.0,0.0,1285073.434874828,0.0,0.0,314847.80000000005,0.16196082042971993,34
3,10,10,0,1,0,0,9,1,1,0.07317622873653948,0.13534462642626827,0.008724606871013542,0.05586182123804357,0.008589800627482358,0.0,0.0,1784804.8592660513,0.0,0.0,313766.80000000005,0.164838148310415,34
4,17,17,0,0,0,0,17,0,0,0.05255573943925709,0.11558924483765001,0.008354224388254552,0.03784201038720617,0.006359504663796383,0.0,0.0,1239321.9624373298,0.0,0.0,285577.80000000005,0.23986959662578067,48
5,16,16,0,0,0,0,16,0,0,0.0898898265199297,0.17924764058918682,0.008181220643535138,0.06968894082259716,0.012019665053797406,0.0,0.0,2083686.0102196059,0.0,0.0,271686.80000000005,0.2768436591518989,53
6,11,11,0,0,0,0,11,0,0,0.07533496528735034,0.11976926819095565,0.008476192222302942,0.05675926364543586,0.010099509419611541,0.0,0.0,1734714.6431471833,0.0,0.0,270404.80000000005,0.28025599434436044,56
7,14,14,0,0,0,0,14,0,0,0.07278874574621962,0.12403649644924289,0.007834214418212264,0.05492673467650786,0.010027796651499495,0.0,0.0,1575690.5829737554,0.0,0.0,261991.80000000002,0.3026491113288996,62
8,8,8,0,0,0,0,8,0,0,0.08954137443356384,0.14485726543240898,0.007155409978858326,0.07082645706508336,0.011559507389622175,0.0,0.0,1456738.2848136842,0.0,0.0,261705.80000000002,0.3034103655138014,63
9,8,8,0,0,0,0,8,0,0,0.08290994539654695,0.13173938928229395,0.008063751910096756,0.06777305631482644,0.007073137171623764,0.0,0.0,1404615.3517502495,0.0,0.0,254307.80000000002,0.3231018286603151,68
10,11,11,0,0,0,0,11,0,0,0.07706527953330301,0.1107289005575103,0.008655930008226695,0.05620553031030016,0.012203819214776158,0.0,0.0,2162222.105531756,0.0,0.0,247645.80000000002,0.34083426005827056,70
11,11,11,0,0,0,0,11,0,0,0.06895708272026363,0.16160503768720114,0.0077086784577276865,0.05196573109989115,0.0092826731626448,0.0,0.0,1339156.302116294,0.0,0.0,234172.80000000002,0.3766957203141478,76
12,15,15,0,0,0,0,15,0,0,0.06589851830146641,0.1192295491301591,0.007703520078325412,0.04747444096175237,0.010720557261388618,0.0,0.0,1400266.8108347133,0.0,0.0,224475.80000000002,0.40250649594698695,80
13,12,12,0,0,0,0,12,0,0,0.054529152764549164,0.1142800512597118,0.008543748385452162,0.03998143770634858,0.0060039666727484215,0.0,0.0,1306867.1713624124,0.0,0.0,221249.80000000002,0.41109323021444477,81
14,10,10,0,0,0,0,10,0,0,0.06568622016013848,0.13337067667953928,0.00762904977169859,0.05199056251097419,0.006066607877465697,0.0,0.0,992651.4638964164,0.0,0.0,232786.80000000005,0.3803848752102099,81
15,15,15,0,0,0,0,15,0,0,0.07346237259696084,0.1294582617599392,0.00793270098453368,0.056868681420496524,0.008660990191930647,0.0,0.0,1356948.9662410102,0.0,0.0,236121.80000000002,0.37150801259955535,83
16,12,12,0,0,0,0,12,0,0,0.06901151383201208,0.12378279748313618,0.008299000240050957,0.05011964270329045,0.010592870888670688,0.0,0.0,1461389.7584889391,0.0,0.0,236964.80000000002,0.3692641759636387,84
17,16,16,0,0,0,0,16,0,0,0.05495588707212795,0.10079441565615155,0.008435087515309322,0.03995886633355269,0.0065619332232659386,0.0,0.0,1148001.0652994676,0.0,0.0,231411.80000000002,0.3840447510991606,92
18,12,12,0,0,0,0,12,0,0,0.048878734504993214,0.09030593563061642,0.0077677186341525845,0.03470589299059737,0.006405122880243257,0.0,0.0,984020.0615542311,0.0,0.0,233910.80000000002,0.3773930930289878,89
19,11,11,0,0,0,0,11,0,0,0.0786722969779045,0.13965651119060052,0.008982182742026244,0.059981839376162284,0.00970827485971598,0.0,0.0,1912632.2695456557,0.0,0.0,238294.80000000002,0.36572407783105376,84
20,9,9,0,0,0,0,9,0,0,0.056720670534261934,0.11223943939303577,0.007755283752775458,0.041051868618867574,0.007913518162618911,0.0,0.0,1249617.2888134369,0.0,0.0,239119.80000000002,0.3635281522976834,85
21,10,10,0,0,0,0,10,0,0,0.06577592791742125,0.10308956577808262,0.007506584747226458,0.04667882695636422,0.011590516213830582,0.0,0.0,1914307.2058299915,0.0,0.0,246357.80000000002,0.34426256561824753,80
22,14,14,0,0,0,0,14,0,0,0.0750626284858937,0.12191842982470061,0.008416900085560544,0.05744899075535994,0.009196737644973212,0.0,0.0,1620216.7277836278,0.0,0.0,228629.80000000002,0.39144967817047727,89
23,13,13,0,0,0,0,13,0,0,0.0723406918978031,0.12493405041683059,0.008599835978182268,0.05356989453282891,0.010170961386791908,0.0,0.0,1704442.8341493052,0.0,0.0,220852.80000000002,0.4121499361983818,91
24,12,12,0,0,0,0,12,0,0,0.0626642762687852,0.12489880374186421,0.007562168550103398,0.044736746433864626,0.010365361284817161,0.0,0.0,1490156.719912981,0.0,0.0,218413.80000000002,0.4186418905934003,88
25,7,7,0,0,0,0,7,0,0,0.0993132313394135,0.14423310957896035,0.00810875332858144,0.07991344899955151,0.011291029011280564,0.0,0.0,2089533.5949441236,0.0,0.0,223691.80000000002,0.4045932906356685,87
26,13,13,0,0,0,0,13,0,0,0.049136192772789945,0.1082060590511313,0.008562392358871655,0.034657539033668146,0.005916261380250146,0.0,0.0,1142496.8428408415,0.0,0.0,216329.80000000002,0.4241889315770898,93
27,10,10,0,0,0,0,10,0,0,0.08454390783598355,0.1718003209172352,0.008514213239978596,0.06688432366099936,0.009145370935005583,0.0,0.0,1610525.0275912348,0.0,0.0,232797.80000000002,0.38035559620309833,88
28,10,10,0,0,0,0,10,0,0,0.06966407370195822,0.1294658505997934,0.008389544542011022,0.05482439954996604,0.006450129609981162,0.0,0.0,1309080.3904055145,0.0,0.0,239263.80000000002,0.36314486347731334,84
29,18,18,0,0,0,0,18,0,0,0.07016089525585273,0.13058239403404429,0.008247966492838352,0.051448218816599,0.010464709946415384,0.0,0.0,1653795.6836218939,0.0,0.0,217297.80000000002,0.4216123789512686,93
30,9,9,0,1,0,0,8,1,1,0.05345239301176963,0.11286642426561228,0.0069936482402855465,0.039176518923604006,0.007282225847880083,0.0,0.0,1118123.221772324,0.0,0.0,224327.80000000002,0.402900431679034,90
31,5,5,0,0,0,0,5,0,0,0.04221694052138125,0.08418088883589274,0.00848226330811645,0.029527071752943,0.00420760546032181,0.0,0.0,665629.8105783106,0.0,0.0,237224.80000000002,0.3685721267046371,85
32,9,9,0,0,0,0,9,0,0,0.06760257110899381,0.1393660924957142,0.008291176939081029,0.050504261208250766,0.00880713296166203,0.0,0.0,1546780.6342449072,0.0,0.0,230578.80000000002,0.38626197045588484,88
33,4,4,0,0,0,0,4,0,0,0.03351874421826446,0.0584656159107587,0.009235645023969376,0.018017344437923934,0.006265754756371152,0.0,0.0,671070.4152954493,0.0,0.0,238728.80000000002,0.364568887914105,83
34,14,14,0,0,0,0,14,0,0,0.07770648226769557,0.1436008555167066,0.008495753770229878,0.0594612698603588,0.009749458637106885,0.0,0.0,1892333.024992453,0.0,0.0,223832.80000000002,0.4042179869990562,88
35,15,15,0,0,0,0,15,0,0,0.061993954677220506,0.13994996289908823,0.007370045945344162,0.04595676088446295,0.008667147847413403,0.0,0.0,1187321.2469746803,0.0,0.0,219725.80000000002,0.41514970356336167,92
