slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,8,8,0,0,0,0,8,0,0,0.04268526449318281,0.07527035603508198,0.00780815312057381,0.03008522119501193,0.004791890177597072,0.0,0.0,604833.7614848895,0.0,0.0,361424.20000000007,0.03748343538414978,8
1,13,13,0,0,0,0,13,0,0,0.07383822231684033,0.12703613484454554,0.00838866008104771,0.06053325696744656,0.004916305268346058,0.0,0.0,1002767.4972765017,0.0,0.0,337338.20000000007,0.10162738029801377,20
2,16,16,0,1,0,0,15,1,1,0.06211825831168319,0.09372802312321911,0.008545487049613715,0.04313788915941345,0.010434882102656022,0.0,0.0,1592468.2076281135,0.0,0.0,309047.20000000007,0.17696975120053504,33
3,19,19,0,0,0,0,19,0,0,0.07345688911242576,0.10541882020192798,0.008049261079554023,0.05662585441673025,0.008781773616141476,0.0,0.0,1452917.2810028687,0.0,0.0,282002.20000000007,0.24899387269000828,47
4,16,16,0,0,0,0,16,0,0,0.06248427203453412,0.14268795814841023,0.007898877182934246,0.04836199268350781,0.006223402168092051,0.0,0.0,953901.3201120307,0.0,0.0,259893.20000000004,0.30787282636021585,63
5,15,15,0,1,0,0,14,1,1,0.06867201375083451,0.12801006352644242,0.00930665768931128,0.052183083144361486,0.007182272917161747,0.0,0.0,1377871.7736128715,0.0,0.0,246621.20000000004,0.3432177751643678,70
6,14,14,0,0,0,0,14,0,0,0.0661471338641553,0.09659825383113155,0.007730497759486916,0.04776156274117963,0.010655073363488757,0.0,0.0,1499869.4745946408,0.0,0.0,234195.20000000004,0.3763097231631918,76
7,14,14,0,0,0,0,14,0,0,0.06521292842640591,0.11118745645230312,0.007080135995723666,0.05110551657434775,0.007027275856334502,0.0,0.0,903333.5556391947,0.0,0.0,225898.20000000004,0.39840564240882526,84
8,11,11,0,0,0,0,11,0,0,0.06826275819973912,0.1219389469956387,0.007958687220071356,0.04893470059341638,0.01136937038625138,0.0,0.0,1513893.2427818463,0.0,0.0,223054.2,0.405979560009715,83
9,17,17,0,0,0,0,17,0,0,0.0561659168792293,0.10464223045815847,0.007464157750208141,0.041492239883706906,0.007209519245314249,0.0,0.0,852794.4922110033,0.0,0.0,206459.2,0.4501740616225014,94
10,9,9,0,0,0,0,9,0,0,0.06040421389798645,0.07912374756503918,0.008209465374821602,0.042812350547109766,0.009382397976055081,0.0,0.0,1750562.9044461483,0.0,0.0,216273.2,0.4240381870320895,89
11,16,16,0,1,0,0,15,1,1,0.061325231027149235,0.10218860940367759,0.00817949381047054,0.044746845587467235,0.00839889162921146,0.0,0.0,1233039.3280333253,0.0,0.0,213559.2,0.4312658988354702,93
12,10,10,0,0,0,0,10,0,0,0.07612666206297006,0.12663763049940904,0.007960892733411029,0.056543031188149205,0.011622738141409815,0.0,0.0,1599002.2892561057,0.0,0.0,212666.2,0.4336440663522053,94
13,7,7,0,0,0,0,7,0,0,0.06221393191941497,0.10382877473938729,0.008393291638776319,0.04316710164217389,0.010653538638464771,0.0,0.0,1386920.7115964878,0.0,0.0,227429.2,0.39432840336277675,90
14,8,8,0,0,0,0,8,0,0,0.06704715722723989,0.10969103794191837,0.00757450806526912,0.048680977424923125,0.010791671737047634,0.0,0.0,1715741.9816886238,0.0,0.0,220862.2,0.411817122380021,91
15,10,10,0,0,0,0,10,0,0,0.06905091619148981,0.09005662648744996,0.007871938002478329,0.05007887193106244,0.011100106257949037,0.0,0.0,1756211.2012319814,0.0,0.0,223736.2,0.4041633111335523,88
16,13,13,0,0,0,0,13,0,0,0.061958776911356844,0.11218440550069143,0.008161949949465959,0.04539758352368666,0.008399243438204229,0.0,0.0,1274937.92774958,0.0,0.0,218332.2,0.41855481982385045,91
17,13,13,0,0,0,0,13,0,0,0.044812103774176056,0.08691450093747516,0.008028571130823475,0.02957052956055697,0.007213003082795595,0.0,0.0,1130990.8165332137,0.0,0.0,216738.2,0.42279983552561495,89
