slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,13,10,3,0,0,0,10,3,0,0.05156597785289592,0.12283076853962968,0.00759840376612126,0.036992117181417775,0.006975456905356883,0.0,0.0,1110559.8360628632,0.0,0.0,361544.4,0.040052635296129346,10
1,16,8,8,0,0,0,8,8,0,0.04427026029585467,0.07883868798021512,0.008242839840154335,0.027639618646627628,0.008387801809072715,0.0,0.0,1164123.3662042678,0.0,0.0,351400.4,0.0669862735091844,15
2,12,7,5,0,0,0,7,5,0,0.035204444150162384,0.05910021991040661,0.007454694855181467,0.025132633038939377,0.0026171162560415366,0.0,0.0,660635.199951873,0.0,0.0,341746.4,0.09261889804672707,22
3,13,9,4,0,0,0,9,4,0,0.059045483013365985,0.12381315291134673,0.00858455304543559,0.04246780970661181,0.007993120261318591,0.0,0.0,1277924.2822033765,0.0,0.0,327201.4,0.1312377631698428,31
4,10,8,2,1,0,0,7,3,1,0.03969977269033327,0.05936291718446731,0.007575384870683649,0.024818107275556143,0.00730628054409347,0.0,0.0,1185729.9430235762,0.0,0.0,319573.4,0.15149109442863462,34
5,11,8,3,0,0,0,8,3,0,0.0343605664447664,0.06179584786865368,0.008462191148134311,0.023525979663710023,0.002372395632922067,0.0,0.0,349598.8536850038,0.0,0.0,319786.4,0.15092555174927924,37
6,9,4,5,0,0,0,4,5,0,0.041484368546938606,0.05297830321573737,0.008135271452455756,0.029444029826697388,0.003905067267785469,0.0,0.0,606866.4972220977,0.0,0.0,318305.4,0.15485779920526654,38
7,12,6,6,0,0,0,6,6,0,0.061008487893816354,0.10591001017113284,0.007010868740411194,0.04305509298362838,0.01094252616977677,0.0,0.0,1189861.7241912584,0.0,0.0,312801.4,0.16947163445020486,39
8,8,6,2,0,0,0,6,2,0,0.04352086797411845,0.06861264743194406,0.008802845121564437,0.02983407125381674,0.004883951598737268,0.0,0.0,856019.2808130697,0.0,0.0,309951.4,0.17703875480777653,41
9,8,4,4,0,0,0,4,4,0,0.05777040840249477,0.09671133085670269,0.007071261692389608,0.044933670127358466,0.0057654765827467,0.0,0.0,1169111.0433745873,0.0,0.0,306812.4,0.1853732077209055,40
10,15,11,4,0,0,0,11,4,0,0.07654791132903138,0.15773824948454848,0.008318221652047073,0.058495988121292905,0.00973370155569141,0.0,0.0,1716160.0789952667,0.0,0.0,294495.4,0.21807644331536513,47
11,8,3,5,0,0,0,3,5,0,0.05584693012136305,0.06372198779418972,0.007331838360576472,0.03699453819111786,0.011520553569668709,0.0,0.0,1293092.7575300266,0.0,0.0,300169.4,0.20301123597892246,45
12,10,6,4,0,0,0,6,4,0,0.04309075688955532,0.05413122034873813,0.008296607540367698,0.028880956825822018,0.005913192523365605,0.0,0.0,893284.0521245766,0.0,0.0,306170.4,0.18707780114882167,45
13,11,6,5,0,0,0,6,5,0,0.06258751262531984,0.09224852527725151,0.007802446597029133,0.04980977483690671,0.004975291191384008,0.0,0.0,896908.1697895381,0.0,0.0,310866.4,0.1746093109035035,42
14,11,10,1,0,0,0,10,1,0,0.04520670493685807,0.09175499690579444,0.007295142207823073,0.03147037397912137,0.006441188749913629,0.0,0.0,839992.6052724203,0.0,0.0,300054.4,0.20331657592317542,48
15,11,6,5,0,0,0,6,5,0,0.049607803058984434,0.07363835332004823,0.006748566844084868,0.03770680728876678,0.005152428926132777,0.0,0.0,922263.8516456257,0.0,0.0,305271.4,0.18946476297389425,45
16,13,8,5,0,0,0,8,5,0,0.05973699077741871,0.07888319950832623,0.00828074236818429,0.04536652489427773,0.0060897235149567,0.0,0.0,1078200.9499018611,0.0,0.0,300224.4,0.20286520383167117,47
17,9,7,2,0,0,0,7,2,0,0.04610670728948123,0.0880982440789563,0.008235247887132154,0.031659128057613305,0.00621233134473577,0.0,0.0,1047402.6609111862,0.0,0.0,295161.4,0.2163081267686484,48
18,8,4,4,0,0,0,4,4,0,0.051697685915893805,0.0705177842117944,0.008061659757253883,0.03713602547269621,0.006500000685943709,0.0,0.0,964858.3056291353,0.0,0.0,301663.4,0.19904447183358498,44
19,14,5,9,0,0,0,5,9,0,0.06769463861422656,0.12924806192074098,0.00697038666594964,0.05249107654723738,0.008233175401039539,0.0,0.0,1165194.283554106,0.0,0.0,310577.4,0.1753766434590608,40
