experiment,region,x_name,x_value,seed,trace_hash_nunique,total_arrivals_nunique,trace_consistent
length,Alabama,fixed_sfc_len,1.0,1,1,1,True
length,Alabama,fixed_sfc_len,1.0,2,1,1,True
length,Alabama,fixed_sfc_len,1.0,3,1,1,True
length,Alabama,fixed_sfc_len,1.0,4,1,1,True
length,Alabama,fixed_sfc_len,1.0,5,1,1,True
length,Alabama,fixed_sfc_len,3.0,1,1,1,True
length,Alabama,fixed_sfc_len,3.0,2,1,1,True
length,Alabama,fixed_sfc_len,3.0,3,1,1,True
length,Alabama,fixed_sfc_len,3.0,4,1,1,True
length,Alabama,fixed_sfc_len,3.0,5,1,1,True
length,Alabama,fixed_sfc_len,6.0,1,1,1,True
length,Alabama,fixed_sfc_len,6.0,2,1,1,True
length,Alabama,fixed_sfc_len,6.0,3,1,1,True
length,Alabama,fixed_sfc_len,6.0,4,1,1,True
length,Alabama,fixed_sfc_len,6.0,5,1,1,True
length,Arizona,fixed_sfc_len,1.0,1,1,1,True
length,Arizona,fixed_sfc_len,1.0,2,1,1,True
length,Arizona,fixed_sfc_len,1.0,3,1,1,True
length,Arizona,fixed_sfc_len,1.0,4,1,1,True
length,Arizona,fixed_sfc_len,1.0,5,1,1,True
length,Arizona,fixed_sfc_len,3.0,1,1,1,True
length,Arizona,fixed_sfc_len,3.0,2,1,1,True
length,Arizona,fixed_sfc_len,3.0,3,1,1,True
length,Arizona,fixed_sfc_len,3.0,4,1,1,True
length,Arizona,fixed_sfc_len,3.0,5,1,1,True
length,Arizona,fixed_sfc_len,6.0,1,1,1,True
length,Arizona,fixed_sfc_len,6.0,2,1,1,True
length,Arizona,fixed_sfc_len,6.0,3,1,1,True
length,Arizona,fixed_sfc_len,6.0,4,1,1,True
length,Arizona,fixed_sfc_len,6.0,5,1,1,True
load,Alabama,arrival_rate,20.0,1,1,1,True
load,Alabama,arrival_rate,20.0,2,1,1,True
load,Alabama,arrival_rate,20.0,3,1,1,True
load,Alabama,arrival_rate,20.0,4,1,1,True
load,Alabama,arrival_rate,20.0,5,1,1,True
load,Alabama,arrival_rate,35.0,1,1,1,True
load,Alabama,arrival_rate,35.0,2,1,1,True
load,Alabama,arrival_rate,35.0,3,1,1,True
load,Alabama,arrival_rate,35.0,4,1,1,True
load,Alabama,arrival_rate,35.0,5,1,1,True
load,Alabama,arrival_rate,50.0,1,1,1,True
load,Alabama,arrival_rate,50.0,2,1,1,True
load,Alabama,arrival_rate,50.0,3,1,1,True
load,Alabama,arrival_rate,50.0,4,1,1,True
load,Alabama,arrival_rate,50.0,5,1,1,True
load,Arizona,arrival_rate,20.0,1,1,1,True
load,Arizona,arrival_rate,20.0,2,1,1,True
load,Arizona,arrival_rate,20.0,3,1,1,True
load,Arizona,arrival_rate,20.0,4,1,1,True
load,Arizona,arrival_rate,20.0,5,1,1,True
load,Arizona,arrival_rate,35.0,1,1,1,True
load,Arizona,arrival_rate,35.0,2,1,1,True
load,Arizona,arrival_rate,35.0,3,1,1,True
load,Arizona,arrival_rate,35.0,4,1,1,True
load,Arizona,arrival_rate,35.0,5,1,1,True
load,Arizona,arrival_rate,50.0,1,1,1,True
load,Arizona,arrival_rate,50.0,2,1,1,True
load,Arizona,arrival_rate,50.0,3,1,1,True
load,Arizona,arrival_rate,50.0,4,1,1,True
load,Arizona,arrival_rate,50.0,5,1,1,True
reliability,Alabama,fixed_reliability,0.99,1,1,1,True
reliability,Alabama,fixed_reliability,0.99,2,1,1,True
reliability,Alabama,fixed_reliability,0.99,3,1,1,True
reliability,Alabama,fixed_reliability,0.99,4,1,1,True
reliability,Alabama,fixed_reliability,0.99,5,1,1,True
reliability,Alabama,fixed_reliability,0.996,1,1,1,True
reliability,Alabama,fixed_reliability,0.996,2,1,1,True
reliability,Alabama,fixed_reliability,0.996,3,1,1,True
reliability,Alabama,fixed_reliability,0.996,4,1,1,True
reliability,Alabama,fixed_reliability,0.996,5,1,1,True
reliability,Alabama,fixed_reliability,0.999,1,1,1,True
reliability,Alabama,fixed_reliability,0.999,2,1,1,True
reliability,Alabama,fixed_reliability,0.999,3,1,1,True
reliability,Alabama,fixed_reliability,0.999,4,1,1,True
reliability,Alabama,fixed_reliability,0.999,5,1,1,True
reliability,Arizona,fixed_reliability,0.99,1,1,1,True
reliability,Arizona,fixed_reliability,0.99,2,1,1,True
reliability,Arizona,fixed_reliability,0.99,3,1,1,True
reliability,Arizona,fixed_reliability,0.99,4,1,1,True
reliability,Arizona,fixed_reliability,0.99,5,1,1,True
reliability,Arizona,fixed_reliability,0.996,1,1,1,True
reliability,Arizona,fixed_reliability,0.996,2,1,1,True
reliability,Arizona,fixed_reliability,0.996,3,1,1,True
reliability,Arizona,fixed_reliability,0.996,4,1,1,True
reliability,Arizona,fixed_reliability,0.996,5,1,1,True
reliability,Arizona,fixed_reliability,0.999,1,1,1,True
reliability,Arizona,fixed_reliability,0.999,2,1,1,True
reliability,Arizona,fixed_reliability,0.999,3,1,1,True
reliability,Arizona,fixed_reliability,0.999,4,1,1,True
reliability,Arizona,fixed_reliability,0.999,5,1,1,True
