slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,26,26,0,0,0,0,26,0,0,0.05890827410081523,0.09859603466839702,0.008302663492649872,0.0461266423105207,0.004478968297644662,0.0,0.0,684113.3187438822,0.0,0.0,143894.2,0.16990277260187991,26
1,19,19,0,0,0,0,19,0,0,0.05710319837526827,0.0950377568840298,0.008080197361218842,0.044063572825207405,0.0049594281888420185,0.0,0.0,959586.0029517297,0.0,0.0,129997.2,0.25007182159170505,38
2,24,24,0,0,0,0,24,0,0,0.06352387443686773,0.11344265269717325,0.007981945544259118,0.051245844095891745,0.004296084796716867,0.0,0.0,803666.2429431848,0.0,0.0,111165.20000000001,0.35870991114890316,55
3,19,19,0,0,0,0,19,0,0,0.05988063858616704,0.10212970559901889,0.008063521890048374,0.04698228305379893,0.004834833642319746,0.0,0.0,787869.8719205146,0.0,0.0,101782.2,0.4128385854434652,64
4,23,23,0,0,0,0,23,0,0,0.05432429989401819,0.08055293853983074,0.008198962263862132,0.04130614417422167,0.0048191934559343955,0.0,0.0,860769.4192020843,0.0,0.0,83056.2,0.520865181930726,80
5,17,17,0,1,0,0,16,1,1,0.06479670835633114,0.12707486418905706,0.007986394913333191,0.05042256675045443,0.006387746692543519,0.0,0.0,853693.4325577408,0.0,0.0,69141.2,0.6011380693663894,91
6,14,14,0,0,0,0,14,0,0,0.050334748063703715,0.07549083359355437,0.008017936452196481,0.03567761574053147,0.006639195870975766,0.0,0.0,984830.3266586808,0.0,0.0,60845.2,0.6489960552928187,96
7,24,24,0,0,0,0,24,0,0,0.05556732894080075,0.11147478528390142,0.008045703080298361,0.04187304676154461,0.005648579098957783,0.0,0.0,928678.1882804529,0.0,0.0,49355.20000000001,0.715279596553025,107
8,16,16,0,0,0,0,16,0,0,0.06769129958678152,0.11365234583908142,0.008698844410900469,0.05187439991559169,0.007118055260289366,0.0,0.0,1222079.176106053,0.0,0.0,50738.20000000001,0.7073013426311047,106
9,22,22,0,0,0,0,22,0,0,0.06753822621137638,0.08833017874279546,0.00883095654817745,0.05336866997121456,0.005338599691984355,0.0,0.0,924457.3994977705,0.0,0.0,38340.20000000001,0.7788229566036059,118
10,24,24,0,0,0,0,24,0,0,0.057237577745752166,0.08815318050099208,0.008422077983485486,0.04282847174407121,0.005987028018195467,0.0,0.0,1017557.9388239022,0.0,0.0,29981.200000000008,0.8270443770904699,125
11,20,20,0,0,0,0,20,0,0,0.06519662137176377,0.09893663601770182,0.008182237995524332,0.051678492195412574,0.005335891180826852,0.0,0.0,990058.0043949296,0.0,0.0,24558.200000000008,0.8583285933005742,130
12,29,29,0,0,0,0,29,0,0,0.06238307423103445,0.11099266487605189,0.008540549259020945,0.0487928899599953,0.0050496350120182035,0.0,0.0,1016285.7400917556,0.0,0.0,16630.20000000001,0.9040636598898619,139
13,13,13,0,1,0,0,12,1,1,0.0709500624482233,0.10254362703135907,0.007519860559576677,0.053801606876890486,0.009628595011756131,0.0,0.0,1207662.8661957,0.0,0.0,22795.200000000008,0.8684989921901951,135
14,21,21,0,0,0,0,21,0,0,0.06631233576017273,0.10506012610938305,0.007949505360251343,0.0504274858792126,0.007935344520708784,0.0,0.0,1353116.090409975,0.0,0.0,10630.200000000008,0.9386764751693432,145
15,22,22,0,3,3,0,19,3,0,0.0690320906299561,0.12983445908649802,0.008349019250326155,0.05369390598056448,0.006989165399065461,0.0,0.0,1393692.8424711397,0.0,0.0,5110.200000000007,0.9705202652264658,152
16,24,24,0,3,3,0,21,3,0,0.07537656823287188,0.13667757045982,0.008154214737789843,0.059735441454069595,0.00748691204101244,0.0,0.0,1175410.2650487688,0.0,0.0,5940.200000000007,0.9657321591128043,155
17,25,25,0,7,6,0,18,7,1,0.07047609851662935,0.09198430436667153,0.008320474742354311,0.05411303796573686,0.008042585808538179,0.0,0.0,1293123.8240159913,0.0,0.0,5333.200000000007,0.9692338222585785,158
18,19,19,0,3,3,0,16,3,0,0.07401478473375506,0.13707444231929483,0.007743546505605357,0.05896949508784276,0.007301743140306954,0.0,0.0,1095939.246394754,0.0,0.0,6505.200000000007,0.9624727856739864,156
19,30,30,0,6,6,0,24,6,0,0.06153866269526853,0.07938957426277174,0.007968949319537292,0.04563340195325264,0.007936311422478604,0.0,0.0,1287480.805006721,0.0,0.0,6297.200000000007,0.9636726966036752,160
20,23,23,0,0,0,0,23,0,0,0.06481646787243102,0.1076026239111589,0.008728585175060186,0.049550249031728624,0.0065376336656422255,0.0,0.0,1393665.1992889738,0.0,0.0,8779.200000000008,0.9493545286830631,154
21,22,22,0,0,0,0,22,0,0,0.05156933737725278,0.08656602365944012,0.007765601529126879,0.03776276685937124,0.006040968988754645,0.0,0.0,1175309.5337927924,0.0,0.0,7381.200000000007,0.9574193146431822,151
22,14,14,0,0,0,0,14,0,0,0.05475701453475871,0.09377799803980455,0.008164542999241855,0.0383872843633495,0.008205187172167349,0.0,0.0,1264583.2032901177,0.0,0.0,13539.200000000008,0.9218950285613414,141
23,19,19,0,4,4,0,15,4,0,0.0688173520305278,0.1055176846037718,0.008198571279697201,0.052293271022949006,0.008325509727881588,0.0,0.0,1405726.5613441956,0.0,0.0,6104.200000000007,0.9647860754951652,148
