slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,17,17,0,1,0,0,16,1,1,0.1186126356465377,0.16367779321709658,0.007749907230385972,0.08126875033101727,0.02260243525697183,3.2526065174565133e-19,0.0,2992298.663924056,402164.71793068014,3.4590509763171638e-18,135560.93333333335,0.21652219780693993,16
1,17,17,0,1,0,0,16,1,1,0.12657075340040677,0.1758442287728814,0.008182765713280533,0.08619387362286232,0.026056308828321335,4.0657581468206416e-19,0.0,3774046.2897130693,445470.76955687744,3.479679865156962e-18,109766.6,0.36560119196923446,27
2,25,25,0,4,0,0,21,4,4,0.1134146887311503,0.15099823965396636,0.008244757665075734,0.07424171925942613,0.02397441093311497,1.466254366599444e-18,0.0,3242780.1644588737,539800.6148620034,1.2838986584770359e-17,69955.93333333335,0.5956879349333369,44
3,15,15,0,2,0,0,13,2,2,0.13480584633568427,0.1950490336465053,0.007686590883648079,0.0878107724235552,0.027838772323198608,2.101684211279593e-18,0.0,3782945.3199405246,665620.3098652764,1.4754951479856767e-17,53497.600000000006,0.6908092837665858,52
4,12,12,0,2,0,0,10,2,2,0.11839022715890843,0.16625732477486915,0.006899361769725995,0.08256941086406133,0.024579679653182963,8.673617379884035e-19,0.0,3131021.808212315,386977.6644933574,8.580757081422378e-18,45913.26666666668,0.7346431278172776,55
5,13,13,0,0,0,0,13,0,0,0.11182713930949226,0.15584468940559792,0.008026942822805635,0.07246236837848878,0.023896678180332157,1.0675221390626506e-18,0.0,3925319.2795071676,701108.7573705864,8.955643815730177e-18,22133.933333333345,0.8720763791198862,65
6,17,17,0,1,0,0,16,1,1,0.12766894472244822,0.18016867106611606,0.00838670827239734,0.0887409212933801,0.02465414483232366,6.505213034913027e-19,0.0,3812803.4470067425,617661.7070753707,6.179926735249413e-18,13112.933333333345,0.9242134740763259,70
7,21,21,0,8,7,0,13,8,1,0.1344857138960647,0.2000078905463371,0.008365678794481555,0.09339934456670251,0.025566802095023173,1.8681637433596383e-18,0.0,4051386.163707067,680454.202732185,1.5102668788053077e-17,4793.933333333344,0.9722933424881008,75
8,22,22,0,5,2,0,17,5,3,0.14655714113150536,0.22190212276751606,0.007859264624865454,0.10227631655254407,0.026629400195348953,2.5000426565548102e-18,0.0,3636546.4119663816,804296.7702214654,1.5091507255955194e-17,2813.6000000000113,0.9837387284813836,78
9,22,22,0,9,8,0,13,9,1,0.13184567141152553,0.17621052300798537,0.008268916865410696,0.08802132028651904,0.028090549188090928,7.339214706055722e-19,0.0,3908270.873878457,495072.7708340431,5.949407748957318e-18,4979.600000000011,0.9712202773478452,76
10,32,32,0,27,26,0,5,27,1,0.1321606679889721,0.18591826870232045,0.008323240543743483,0.08615837107715672,0.028426968115155927,3.4694469519536144e-19,0.0,4220349.524407513,692953.7973793147,3.475972105078e-18,5190.266666666679,0.9700027240827797,77
11,15,15,0,8,5,0,7,8,3,0.13286915733941315,0.16662220377405224,0.007778316216284052,0.0899881449841521,0.028690909750940123,1.1151793774136618e-18,0.0,4075623.504606195,704622.6996363271,8.395212339639099e-18,4928.933333333346,0.9715131066141268,78
12,19,19,0,7,3,0,12,7,4,0.1338120276999696,0.20909771198276672,0.00852917246159636,0.09223330449174251,0.025575807300318294,1.4817429690635227e-18,0.0,3994549.9290255993,613394.7018962568,8.36981234396562e-18,5695.600000000013,0.967082137453287,78
13,18,18,0,7,7,0,11,7,0,0.13508181823772591,0.18685688441140008,0.007814226697322487,0.09801752309933988,0.02488437460324105,4.731064025391292e-19,0.0,3818927.4478696194,484976.1021012159,3.555863616085609e-18,4829.266666666679,0.972089132605036,79
14,16,16,0,5,5,0,11,5,0,0.14191994694202928,0.17483693686524943,0.00814640160508797,0.10151459778136772,0.025215112238257155,1.3404681405275327e-18,0.0,3947023.9112298484,637806.0758925821,9.509501837063123e-18,5110.266666666679,0.9704650860821716,79
15,23,23,0,12,10,0,11,12,2,0.12094615304587206,0.1494309153172615,0.00801116272308295,0.08130049369921465,0.024967179859929613,3.154042683594195e-19,0.0,4111528.213781001,671203.4612554937,2.833361416777142e-18,3482.26666666668,0.9798741527697987,81
16,16,16,0,8,7,0,8,8,1,0.15316880877050754,0.18960705131084113,0.007282055510513665,0.10532232908892303,0.028353689377723607,1.8431436932253575e-18,0.0,3781503.397051933,682144.8520900346,1.2040991240565114e-17,5811.26666666668,0.9664136390624993,80
17,18,18,0,7,5,0,11,7,2,0.14498864937522163,0.23121822765902045,0.0074802578130402815,0.1035878652341244,0.026742420904204502,1.6164468753420247e-18,0.0,3688752.1167904497,537338.6169348382,8.288427415934914e-18,4894.600000000014,0.9717115369721993,81
18,20,20,0,9,9,0,11,9,0,0.15347395627912916,0.22038960857356954,0.008633328585761614,0.11256647511637136,0.023530840786202722,9.462128050782583e-19,0.0,4115128.7258308944,543173.6017786129,5.306776113198608e-18,3548.933333333348,0.9794888511036387,83
19,22,22,0,12,11,0,10,12,1,0.14236989387952664,0.19393956667194112,0.007691908416501807,0.10478828778060094,0.023993136976643258,4.77048955893622e-19,0.0,3668641.1394021423,623053.8552148689,3.976535112430751e-18,3145.600000000015,0.9818199261839067,85
20,21,21,0,12,10,0,9,12,2,0.1436387009990055,0.20549696152178465,0.00857227841916933,0.09750314536516597,0.02815470143870333,1.3492293702041833e-18,0.0,3690993.8781636665,597025.7037321464,7.929978723485565e-18,3605.600000000015,0.9791613446874028,86
21,29,29,0,19,19,0,10,19,0,0.13645386136634385,0.2084256633010898,0.007515321953919976,0.09523185059505848,0.023175136734063385,2.6020852139652105e-19,0.0,3429306.8593889377,663965.6361201552,1.2308959329825858e-18,2634.600000000015,0.984773263455023,88
22,22,22,0,15,15,0,7,15,0,0.15908205718173907,0.19542310190957102,0.008119687098972013,0.10736851630544128,0.03101974765274593,1.3629970168389198e-18,0.0,4002904.052141831,880199.012591374,1.0606057784847922e-17,4707.933333333349,0.9727903816374472,88
