slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,15,15,0,0,0,0,15,0,0,0.057116665134574765,0.08583731067471963,0.008120214791090999,0.0452759594551008,0.003720490888382958,0.0,0.0,593207.9899687303,0.0,0.0,356195.0,0.04574948027175896,15
1,17,17,0,0,0,0,17,0,0,0.07150623444681017,0.1256103873705852,0.00815660670157575,0.058799444731796935,0.004550183013437493,0.0,0.0,797495.369686382,0.0,0.0,345378.0,0.07472834822863761,27
2,26,26,0,1,0,0,25,1,1,0.06621881522204653,0.10872354243508973,0.007923417729966853,0.05134659335946673,0.006948804132612931,0.0,0.0,1096798.1294150138,0.0,0.0,322755.0,0.13533562656722176,48
3,18,18,0,0,0,0,18,0,0,0.05876534654347851,0.0918350288261581,0.007667878761510048,0.04588194021109803,0.0052155275708704275,0.0,0.0,740693.8824863597,0.0,0.0,313324.0,0.16060138451317008,56
4,12,12,0,0,0,0,12,0,0,0.06701125953303384,0.09348197558165729,0.008115774337697222,0.05031033269606272,0.008585152499273899,0.0,0.0,1111520.8631580619,0.0,0.0,312128.0,0.16380548232923975,57
5,18,18,0,0,0,0,18,0,0,0.06661362156786149,0.10627557061375792,0.00764547282797163,0.054198075310876975,0.0047700734290128805,0.0,0.0,844651.4321306292,0.0,0.0,298048.0,0.201525964979961,69
6,18,18,0,0,0,0,18,0,0,0.06914968436569424,0.11690007893150164,0.008000384702356358,0.05514797032774951,0.006001329335588368,0.0,0.0,969962.2771598689,0.0,0.0,294406.0,0.21128292505197277,76
7,25,25,0,0,0,0,25,0,0,0.06757076498494427,0.1324693640211556,0.008298712842658313,0.05338452648832793,0.005887525653958026,0.0,0.0,864291.164956889,0.0,0.0,277478.0,0.25663323260249893,91
8,20,20,0,0,0,0,20,0,0,0.06640309690414367,0.10213029306636265,0.007933468100740079,0.05166682463195208,0.006802804171451517,0.0,0.0,1180875.3796630895,0.0,0.0,273132.0,0.26827621680704683,93
9,16,16,0,1,0,0,15,1,1,0.07318925209109094,0.14552574393589618,0.008438330439637666,0.0575464931031225,0.007204428548330754,0.0,0.0,1087874.124176842,0.0,0.0,270102.0,0.2763936218092973,97
10,15,15,0,0,0,0,15,0,0,0.06563475016749613,0.10045256110612,0.007610154307265708,0.051896980476763874,0.006127615383466556,0.0,0.0,1128422.1578538804,0.0,0.0,266557.0,0.285890717760775,101
11,22,22,0,0,0,0,22,0,0,0.0633904863458129,0.09333753305743007,0.008290466431213388,0.0482531773853685,0.006846842529231006,0.0,0.0,998797.1512947052,0.0,0.0,256237.00000000003,0.31353811697636036,111
12,23,23,0,0,0,0,23,0,0,0.0641545068180547,0.12905916891888813,0.008435833754516005,0.04658742490754798,0.009131248155990692,0.0,0.0,1350091.9566280835,0.0,0.0,240473.00000000003,0.35577005508047743,125
13,18,18,0,0,0,0,18,0,0,0.060154588286772386,0.09800921088676878,0.007201875497231612,0.043604612815185295,0.009348099974355473,0.0,0.0,1174643.745927642,0.0,0.0,237433.00000000003,0.36391425019824675,127
14,20,20,0,0,0,0,20,0,0,0.05794072217681482,0.07615159606539998,0.00822205684406577,0.04290408101432104,0.0068145843184280065,0.0,0.0,1012315.1919238284,0.0,0.0,236064.00000000003,0.3675818170127949,129
15,15,15,0,0,0,0,15,0,0,0.06529182132990549,0.1136465062097031,0.007280451946664776,0.049300344443955264,0.008711024939285435,0.0,0.0,1236607.2911273008,0.0,0.0,243039.00000000003,0.34889571143830767,123
16,16,16,0,0,0,0,16,0,0,0.05977946625202219,0.0868835143574386,0.008049135741935238,0.04251832557704731,0.009212004933039647,0.0,0.0,1284476.3002187829,0.0,0.0,234142.00000000003,0.37273087721554243,131
17,21,21,0,0,0,0,21,0,0,0.06468482869650911,0.1083968562751976,0.007989690294610498,0.04869477334954044,0.00800036505235818,0.0,0.0,1238905.3881026227,0.0,0.0,230427.00000000003,0.38268340513084287,132
18,17,17,0,0,0,0,17,0,0,0.06405641884810347,0.09511790112448382,0.007727760065258584,0.048352690413745424,0.007975968369099464,0.0,0.0,1170432.451301006,0.0,0.0,230127.00000000003,0.3834871085964122,133
19,12,12,0,0,0,0,12,0,0,0.06101533634669623,0.09117803194221365,0.00817597911461669,0.04420826585614899,0.008631091375930553,0.0,0.0,1276534.6605168048,0.0,0.0,233688.00000000003,0.37394714846010413,128
20,12,12,0,0,0,0,12,0,0,0.06375547078487519,0.09411358241018827,0.007523078401884314,0.047381783551029705,0.008850608831961178,0.0,0.0,1207365.836579521,0.0,0.0,241873.00000000003,0.3520194389078205,120
