slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,13,13,0,0,0,0,13,0,0,0.1370418947337143,0.18748951509744732,0.008362192596595557,0.10118856299996624,0.018174026146725634,8.006416042969879e-19,0.0,2955135.338680146,286418.0454532474,6.449082340584658e-18,350527.2666666667,0.06858539977917044,13
1,23,23,0,1,0,0,22,1,1,0.1410533090231458,0.2013709024626248,0.0073792414494450185,0.09260531031736698,0.03149163332884871,9.265000383057946e-19,0.0,3338344.3156722207,544021.6489804637,5.905337560637056e-18,309464.60000000003,0.17769636173382164,33
2,25,25,0,2,0,0,23,2,2,0.1374778373204954,0.18226667083035894,0.008041789035657172,0.08830203971874857,0.030757309467334175,2.168404344971009e-18,0.0,3759607.5875262865,709429.3726715011,1.4193669330579114e-17,277251.60000000003,0.26329215233303194,48
3,17,17,0,2,0,0,15,2,2,0.11875764963619036,0.15091134624615693,0.007878338293287579,0.07906716931362182,0.026164176877603015,8.0953762212251e-19,0.0,3296776.9828581433,301633.8080442493,5.2442310351125714e-18,260685.60000000003,0.3073110225738205,55
4,16,16,0,0,0,0,16,0,0,0.12587165993265315,0.19891786309954468,0.008307307501846103,0.08162097422449688,0.02727465267524433,4.336808689942018e-19,0.0,3471027.5243236283,496130.6458600793,4.0885763009814375e-18,248028.60000000003,0.34094296997437945,61
5,13,13,0,2,0,0,11,2,2,0.1363612690295075,0.1918054986407532,0.007820413280103572,0.09515452196728492,0.02616662728851856,2.286680945605791e-18,0.0,3211735.398540801,368520.346948591,1.5393284689618054e-17,238509.26666666672,0.3662375672687662,66
6,23,23,0,1,0,0,22,1,1,0.1327239164160092,0.1713897304122444,0.008018482955031382,0.09207418507497808,0.027306476314467962,3.154042683594195e-19,0.0,3327335.2398421364,490512.8123824192,2.63470815253993e-18,211819.2666666667,0.43715774393945595,79
7,21,21,0,1,0,0,20,1,1,0.13271664184065862,0.20048778576507997,0.008433552108202264,0.08640746525183142,0.028809945204178,1.2576745200831851e-18,0.0,3846886.106042831,688797.8110390387,8.582009569859118e-18,192803.26666666672,0.4876867090788277,85
8,22,22,0,5,0,0,17,5,5,0.12624206888488795,0.17311573623829846,0.008160059353871206,0.08071559610460856,0.030892902107683147,6.122553444624025e-19,0.0,3932380.961313568,716465.8452947586,5.077959673689267e-18,179833.26666666672,0.5221503543174506,90
9,21,21,0,5,0,0,16,5,5,0.11852048393949896,0.15592700716118962,0.008550471141443505,0.06992956742959282,0.032261894487458614,8.944667923005412e-19,0.0,4318079.567062845,638846.7718500432,7.600853012023722e-18,172107.93333333335,0.5426779678371197,92
10,24,24,0,2,0,0,22,2,2,0.1366087274011543,0.20684782586873515,0.008559605267466784,0.09229918766363822,0.028563515263216842,1.3996064408449238e-18,0.0,3570086.8689222736,598517.2890304056,1.107662524225273e-17,137652.60000000003,0.6342320452911288,109
11,27,27,0,5,0,0,22,5,5,0.11756401824111036,0.14983405499199423,0.0076708602987175115,0.07542894825425649,0.027390826044402163,1.9909894440188354e-18,0.0,3465736.674424119,560824.6348757035,1.525458953675812e-17,126199.60000000003,0.6646647460558124,113
12,23,23,0,2,0,0,21,2,2,0.12760379590111015,0.16494135852573755,0.008422532382390584,0.08005080812006625,0.030624681750489734,9.912705577010326e-19,0.0,4047063.575481086,728082.4188513263,7.6915174252426e-18,114578.60000000003,0.6955438533278275,118
13,17,17,0,1,0,0,16,1,1,0.12183202096559743,0.1717543016522561,0.00754775622933488,0.07919970196120234,0.03043432071486428,5.421010862427522e-19,0.0,3665779.95779645,464652.0535675525,4.811772597687758e-18,106085.26666666669,0.7181121823095833,122
14,18,18,0,2,0,0,16,2,2,0.12076735160074827,0.1643227863615714,0.008542050280246228,0.07860090878030664,0.027691627496931315,7.589415207398531e-19,0.0,3967423.4565836047,625990.6298628134,6.951981929259354e-18,90181.26666666669,0.7603719983369586,127
15,19,19,0,3,0,0,16,3,3,0.12526632797282486,0.1708287559660706,0.008042181663245423,0.08869855177677059,0.023224381411810963,7.589415207398531e-19,0.0,3612925.1843808056,506880.8008536643,6.789421985084875e-18,93913.60000000002,0.7504545109111848,126
16,9,9,0,1,0,0,8,1,1,0.11203598971942275,0.1397621941495113,0.008624169647094714,0.06908288077221691,0.028791150811271184,3.7947076036992655e-19,0.0,4093908.739371897,784173.6854876375,3.7973344882523396e-18,109984.26666666669,0.7077518312852663,118
17,23,23,0,0,0,0,23,0,0,0.12355538794463318,0.17052431636212184,0.007983974774547018,0.08121201570890309,0.02756394279598001,4.525365589504714e-19,0.0,3747471.2335912855,568939.5487676326,3.894966967486349e-18,91114.2666666667,0.7578928479123144,124
18,23,23,0,5,0,0,18,5,5,0.13038255038426871,0.16380466345314595,0.00776976383135949,0.08623455305887005,0.027329462901343256,1.1082955540962933e-18,0.0,3838349.092938232,576540.6657663439,8.343408456137628e-18,98128.93333333336,0.739253604776833,123
19,25,25,0,1,0,0,24,1,1,0.12988120878006523,0.172048661773104,0.008371394111869858,0.08633687990889283,0.028883759063033355,5.782411586589357e-19,0.0,3886951.5218238584,521992.2670669698,4.4435053360482615e-18,98692.60000000003,0.7377558400865603,127
20,20,20,0,2,0,0,18,2,2,0.12837318036971998,0.18429458138893604,0.008465595941143784,0.08409799261947748,0.02984596682195725,2.650271977186789e-19,0.0,4244547.944816988,673357.0610999395,2.6299763666262307e-18,93296.26666666669,0.7520948776801883,129
21,20,20,0,4,0,0,16,4,4,0.1363498376134094,0.21656436577998245,0.007714163854496713,0.09622808619726429,0.02535113585420192,1.0299920638612292e-18,0.0,3648333.8113318924,447315.5656190143,7.980975036513948e-18,101173.60000000002,0.7311633725586479,125
22,15,15,0,0,0,0,15,0,0,0.1303887611807662,0.18147742045868553,0.00760832301200302,0.08056384519698614,0.03489808167013131,1.6768993601109135e-18,0.0,3848226.5664535826,664023.2975478324,1.1365401306796932e-17,96581.26666666669,0.7433660361529041,126
23,19,19,0,1,0,0,18,1,1,0.1405975476348843,0.19287850368091625,0.008150844600342481,0.09241966480304115,0.03132074620358812,1.831097002419963e-18,0.0,4212147.395742842,715920.4088229896,1.1653163163286384e-17,87246.60000000003,0.7681699405801052,132
24,13,13,0,1,0,0,12,1,1,0.1329395315985021,0.17398324245173336,0.008036284870621564,0.08746728031762986,0.029538333071602935,1.1564823173178713e-18,0.0,4107855.4444165328,602017.2001005746,9.500578200605113e-18,93196.60000000003,0.7523597101121171,127
25,23,23,0,2,0,0,21,2,2,0.13007489158251678,0.16828446214386394,0.008651822660029848,0.08366870424605413,0.03222880563531505,1.1358308473657666e-18,0.0,4352059.528033634,645002.9704289085,7.918725301675979e-18,81362.26666666669,0.7838056827902674,132
26,19,19,0,1,0,0,18,1,1,0.13201850274422255,0.18494974954057836,0.007972133008445804,0.0873274428472112,0.02915013643299737,3.854941057726238e-19,0.0,3997004.0077562016,650107.2242278844,3.3411051135932453e-18,62646.933333333356,0.8335357219978675,139
27,25,25,0,3,0,0,22,3,3,0.12444395342749243,0.18252245967260142,0.008198545813431947,0.08022629066826165,0.030265223467566063,7.885106708985487e-19,0.0,4136201.6533343913,647191.4037105738,6.502877488830327e-18,50757.60000000003,0.865127839663537,143
28,17,17,0,1,0,0,16,1,1,0.12248675021085333,0.17580760418282965,0.007745860584970357,0.07630597561493327,0.03237976506774,1.7889335846010823e-18,0.0,4205770.070339952,841558.2134212479,1.072688272237593e-17,45369.600000000035,0.8794447340772378,144
29,16,16,0,1,0,0,15,1,1,0.13613643879913628,0.17740522734735842,0.008448378515956312,0.08582283353698025,0.03314204870580097,2.284052576702796e-18,0.0,4742691.752994764,1114991.6474346123,1.5447815231877167e-17,61174.93333333336,0.8374470933002,138
30,18,18,0,1,0,0,17,1,1,0.1357839245812798,0.1828667118439832,0.007780360010124149,0.08423016302312143,0.03639865947009448,1.3265532463352053e-18,0.0,4089623.4788555764,602599.7744412343,8.422892461575542e-18,50279.600000000035,0.8663979724641585,142
