slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,19,19,0,0,0,0,19,0,0,0.05717396675019822,0.10661818123409819,0.00829394062748795,0.038142126826306175,0.007350192510935116,5.021567956774968e-19,0.0,1019705.5861978777,261104.24906117356,4.913312523501313e-18,158275.8666666667,0.09415957660717222,19
1,18,18,0,0,0,0,18,0,0,0.06396993464797898,0.1084097677743115,0.0072773274064196775,0.04215873448879281,0.011486938471598377,4.336808689942018e-19,0.0,1170859.814983059,234542.64669959826,3.761168533649954e-18,140569.2,0.1954979219152947,33
2,19,19,0,1,0,0,18,1,1,0.062455013289573,0.12835538471337427,0.00786213502211744,0.041822104423899276,0.009383044155050138,6.264279218805137e-19,0.0,1591491.2349071163,407035.7021634868,1.0926836822955394e-17,127524.86666666667,0.27015291941045205,44
3,20,20,0,0,0,0,20,0,0,0.06843478843663368,0.10720846738598074,0.008129300011970745,0.04255186818585425,0.013813855164453274,5.421010862427522e-19,0.0,1791262.500767985,467416.822784994,5.675186851585333e-18,115886.53333333333,0.33676113338697866,56
4,19,19,0,1,0,0,18,1,1,0.05169421886878717,0.09363265564743505,0.008246327201783175,0.03517202341840704,0.005685995413870697,1.927470528863119e-19,0.0,1095448.7680183523,247078.73925012443,3.611317409260074e-18,100954.53333333334,0.42221957684373024,71
5,25,25,0,1,0,0,24,1,1,0.061759928607228703,0.12487817896231816,0.008129239298907498,0.04345442698751988,0.007974455477591732,6.505213034913027e-19,0.0,1032723.0443622706,149973.70717327457,5.994871406528069e-18,92484.53333333334,0.4706948658926645,80
6,25,25,0,1,0,0,24,1,1,0.07063278643401402,0.10519187050007076,0.008180258726776201,0.04577359067062855,0.012752882834956564,6.143812310751192e-19,0.0,1773170.354946165,370925.9586563427,6.649477408924536e-18,82421.86666666667,0.5282852643896826,90
7,23,23,0,0,0,0,23,0,0,0.07092752162787823,0.1545639215660065,0.008080666904111902,0.04701858597264132,0.011482836742924194,6.033820786006285e-19,0.0,1741573.690503497,326495.2218160341,1.0699240795402947e-17,68275.86666666667,0.6092452925934871,103
8,18,18,0,0,0,0,18,0,0,0.07256614074414736,0.12583686609572758,0.007237852985879871,0.047887883758989704,0.012661680595154039,1.3974161334257613e-18,0.0,1534123.6774893175,249840.53639468597,1.3467897089780445e-17,61353.20000000001,0.6488649227772048,109
9,23,23,0,0,0,0,23,0,0,0.06894301946310116,0.11284321635755916,0.008517374784359578,0.04527567217172189,0.01208278936737224,1.5084551965015713e-19,0.0,1785074.1878851224,297685.3467323762,2.1523789672668785e-18,49352.86666666668,0.7175449259669208,121
