slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,41,41,0,1,0,0,40,1,1,0.05696590954046328,0.10740922088210957,0.008029712340887635,0.04433355999169706,0.004602637207878587,0.0,0.0,860535.8009226928,0.0,0.0,126991.8,0.2779871939633557,40
1,60,60,0,0,0,0,60,0,0,0.061980809795827464,0.12383139238203492,0.008068113029795987,0.04885898927983448,0.005053707486196986,0.0,0.0,811037.0892094374,0.0,0.0,73492.8,0.5821561490467109,90
2,53,53,0,1,0,0,52,1,1,0.0576346835200317,0.11234197056435845,0.007893090029255747,0.04416360019964753,0.005577993291128415,0.0,0.0,839376.9959170363,0.0,0.0,31335.800000000007,0.8218400803248471,123
3,50,50,0,4,3,0,46,4,1,0.0607963075741778,0.10969343640576742,0.00834368200747217,0.047337727055887006,0.0051148985108186275,0.0,0.0,943350.8354161456,0.0,0.0,4312.800000000007,0.9754795441132825,155
4,57,57,0,20,20,0,37,20,0,0.05995047204728015,0.11034123183490757,0.008093522168106054,0.046767617521283146,0.005089332357890955,0.0,0.0,972753.4843100909,0.0,0.0,4108.800000000007,0.9766393876026376,163
5,53,53,0,26,26,0,27,26,0,0.05933078132643459,0.13510597291748974,0.0076996853241461174,0.047631009371183496,0.00400008663110498,0.0,0.0,563079.697442458,0.0,0.0,3939.8000000000065,0.977600238336466,172
6,50,50,0,24,24,0,26,24,0,0.05180434335569464,0.0987564662911763,0.007836700112855604,0.04012531461609746,0.0038423286267415795,0.0,0.0,567774.7938400054,0.0,0.0,4043.8000000000065,0.977008945577187,179
7,53,53,0,27,27,0,26,27,0,0.04383409494780599,0.07433840397468706,0.007595428321907559,0.03356982576981521,0.0026688408560832265,0.0,0.0,460234.60658144765,0.0,0.0,4399.800000000007,0.9749849049781164,187
8,42,42,0,19,19,0,23,19,0,0.045604833805928086,0.08600659246346175,0.00767077453720399,0.03330856084646831,0.004625498422255784,0.0,0.0,755004.6723115166,0.0,0.0,4931.800000000007,0.9719602150941121,193
9,48,48,0,32,32,0,16,32,0,0.052968135016361384,0.0948176967261098,0.008319548343370396,0.04168005408722243,0.0029685325857685585,0.0,0.0,606988.0455063613,0.0,0.0,4299.800000000007,0.9755534557081924,200
10,47,47,0,18,18,0,29,18,0,0.06217349218438025,0.12287970249448621,0.007815612695469319,0.050779715604931594,0.0035781638839793347,0.0,0.0,801568.786726804,0.0,0.0,4266.800000000007,0.9757410774491175,207
11,54,54,0,25,25,0,29,25,0,0.05744472958097389,0.12595633312465498,0.008340410251110958,0.0446663812864984,0.004437938043364524,0.0,0.0,912009.3352811084,0.0,0.0,3722.8000000000065,0.978833993420731,212
12,72,72,0,33,32,0,39,33,1,0.058440828089657997,0.1177686386448294,0.008232406776276176,0.045545700441415586,0.0046627208719662175,0.0,0.0,777424.008144871,0.0,0.0,4320.800000000007,0.9754340600548764,214
13,56,56,0,26,25,0,30,26,1,0.054447602124780094,0.10396246039239813,0.008124406961581098,0.0414033403543842,0.004919854808814796,0.0,0.0,982329.7851647335,0.0,0.0,4606.800000000007,0.9738080049668592,215
14,42,42,0,18,17,0,24,18,1,0.06446129994808915,0.10992791287860908,0.008634556692529233,0.049718795628638845,0.00610794762692107,0.0,0.0,1009602.5488214766,0.0,0.0,4825.800000000007,0.9725628788679928,217
15,59,59,0,29,29,0,30,29,0,0.04575699153006827,0.076496308467305,0.008962488416471516,0.0321188305608126,0.004675672552784149,0.0,0.0,896769.0354397156,0.0,0.0,4588.800000000007,0.9739103440982728,221
16,47,47,0,18,18,0,29,18,0,0.060996133346224335,0.12189847571947429,0.007859089316737757,0.048098538580094316,0.005038505449392257,0.0,0.0,748909.3954306473,0.0,0.0,5669.800000000007,0.9677643107061513,221
17,44,44,0,19,19,0,25,19,0,0.04931075868788092,0.09017852792561222,0.008908994773533723,0.03538236390927517,0.0050194000050720255,0.0,0.0,1018317.6991729005,0.0,0.0,6061.800000000007,0.9655355918442534,213
