slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,46,46,0,0,0,0,46,0,0,0.06781772565966143,0.13082745652030195,0.008113926349500141,0.04483483222566425,0.01095512173833623,8.579338930102687e-19,0.0,1173363.6419050947,211789.6084927108,1.0455721579858636e-17,328276.73333333334,0.12006523897877097,46
1,49,49,0,0,0,0,49,0,0,0.07009587050901168,0.14151025088383373,0.008196860620330754,0.04490928212557167,0.013489990663881258,5.487390587273574e-19,0.0,1434817.944231982,244478.2325316663,5.707094345875628e-18,284681.06666666665,0.2369219596496881,84
2,57,57,0,0,0,0,57,0,0,0.06784078728146871,0.1287304754930437,0.00821395662914252,0.04469480804230026,0.012063667188561406,7.380183209199574e-19,0.0,1406570.3526515306,322230.21124978166,6.7617660959326214e-18,232281.06666666668,0.37737840019399427,132
3,43,43,0,1,0,0,42,1,1,0.06487003214810742,0.1289169192600806,0.008284938661216382,0.04161071287472267,0.0117178000019563,5.782411586589357e-19,0.0,1492093.883585861,339484.86442982574,8.26931449011377e-18,210977.06666666668,0.43448305686109157,157
4,50,50,0,0,0,0,50,0,0,0.06960497972994824,0.12271694110023358,0.008054316407386393,0.04504333880975202,0.012732481299079225,6.678685382510707e-19,0.0,1533040.3687609446,322218.4898125209,5.630112657939679e-18,174690.0666666667,0.5317491419380236,186
5,47,47,0,0,0,0,47,0,0,0.06597151901022781,0.13021884255905736,0.00840336145392875,0.04297101779473581,0.011910036158366308,4.336808689942018e-19,0.0,1560398.469863621,354833.0202907618,6.397239859468912e-18,152182.40000000002,0.5920801866891254,207
6,54,54,0,1,0,0,53,1,1,0.06772140794836295,0.12514790665174982,0.008614415155677521,0.04436993206891491,0.011493548203925813,3.1912365831648807e-19,0.0,1536924.775778895,284584.0975343718,3.348051019240921e-18,122097.73333333337,0.6727211255242769,229
7,53,53,0,2,0,0,51,2,2,0.06251226694812177,0.1042983702856102,0.0081901176637165,0.038318101410520396,0.013179413299716254,2.8912057932946783e-19,0.0,1519043.8651124977,324407.39492536115,3.3886949345809258e-18,87300.73333333337,0.7659933156315331,253
8,50,50,0,0,0,0,50,0,0,0.07726334884052762,0.13831593122209004,0.007705381115940168,0.04848939936210408,0.016350727859902135,9.62771529167128e-19,0.0,1891563.9403227428,419075.2682176863,1.0075491939453655e-17,73337.0666666667,0.8034224552679295,265
9,47,47,0,2,0,0,45,2,2,0.061756259746201594,0.1176196889147577,0.008189055554033249,0.03862102784205913,0.012187898553324599,3.276699899067302e-19,0.0,1577324.9868223257,334775.78958871873,4.277521830176102e-18,52343.733333333366,0.8596943803664054,283
10,51,51,0,0,0,0,51,0,0,0.058105464865777036,0.0994502657452086,0.007917614594588082,0.03644573148782481,0.011783469223176789,2.8912057932946783e-19,0.0,1369431.9538621963,328785.36236595974,3.9823167925931316e-18,37508.40000000002,0.8994599932345027,305
11,44,44,0,1,0,0,43,1,1,0.06556958768664709,0.1357245992437052,0.007542279172895601,0.04293823285916614,0.011947896185232053,1.8154082888129378e-19,0.0,1489943.3475233193,326575.837661113,2.3956581908643714e-18,42701.733333333366,0.8855394376131268,306
12,48,48,0,1,0,0,47,1,1,0.06256272100348467,0.12062391351344266,0.007671799876096933,0.040278399955507506,0.012270090403668091,2.675903234219543e-19,0.0,1481328.3662979929,304405.11587405985,5.337231278194032e-18,24093.733333333363,0.9354175568048911,314
13,42,42,0,1,0,0,41,1,1,0.06323360026988636,0.13022127253537352,0.008017796706730163,0.04023977054203364,0.012594481242949377,2.1155164341180574e-19,0.0,1486295.8476592174,346003.22412302764,3.6400987655237386e-18,35850.733333333366,0.903903313074368,319
14,46,46,0,0,0,0,46,0,0,0.06537369793838586,0.11882522480322319,0.00860203382786611,0.04466394782137085,0.010142754217268806,4.808200938848759e-19,0.0,1406384.8649736822,232990.85556408143,4.64645349203429e-18,34767.40000000002,0.9068071516988527,327
15,52,52,0,0,0,0,52,0,0,0.06971179534103598,0.1290571600164427,0.007745562007135762,0.04525911122817586,0.013425494409297344,5.504411029541791e-19,0.0,1738767.1862712319,333802.6995931038,7.623854693477874e-18,14891.066666666695,0.960084995803283,338
16,62,62,0,1,0,0,61,1,1,0.0700293402114368,0.11765030837473159,0.008087392321735132,0.0434033144338867,0.014879208981108435,7.820474686780688e-19,0.0,1874425.1003641612,480523.5089514873,1.1482481430964222e-17,8345.400000000027,0.9776304355168234,349
17,58,58,0,17,16,0,41,17,1,0.0609017790951557,0.11494018402888204,0.007956962729926893,0.037571949954138296,0.012450790459151883,9.414048131825356e-19,0.0,1491179.8083164808,413229.1410739749,1.2263375027291215e-17,8557.400000000027,0.9770621766352319,351
