slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,55,55,0,1,0,0,54,1,1,0.06367540292407073,0.11718161815153166,0.008420498986745666,0.05061858445626905,0.004636319481056012,0.0,0.0,719203.7001407909,0.0,0.0,319164.60000000003,0.15433955125212429,54
1,46,46,0,0,0,0,46,0,0,0.06164062914330787,0.11578468510248098,0.008128833596881095,0.04665587223281022,0.006855923313616569,0.0,0.0,1016628.2610769566,0.0,0.0,281769.60000000003,0.253421568746943,85
2,45,45,0,0,0,0,45,0,0,0.06508044052076022,0.13152582611304678,0.008186227485822845,0.050477859374170535,0.006416353660766845,0.0,0.0,945491.8292526553,0.0,0.0,248639.60000000003,0.34120301652347307,116
3,48,48,0,0,0,0,48,0,0,0.06400809529638929,0.10413741134991836,0.00786441936490602,0.0497355658078883,0.006408110123594958,0.0,0.0,875630.4113854981,0.0,0.0,211500.60000000003,0.43960673487459145,154
4,49,49,0,0,0,0,49,0,0,0.057262780339837574,0.11411117244207744,0.00781744513880015,0.0427494406742433,0.0066958945267941135,0.0,0.0,1000046.1679254101,0.0,0.0,173078.60000000003,0.5414098977623016,183
5,57,57,0,0,0,0,57,0,0,0.06855300598512397,0.1337515465080985,0.007814118636104102,0.0524845328418943,0.008254354507125566,0.0,0.0,1187726.4875731005,0.0,0.0,129623.60000000002,0.6565485277994014,218
6,53,53,0,0,0,0,53,0,0,0.0689623745929132,0.1352943502692262,0.00789763023088131,0.05255908218571667,0.00850566217631522,0.0,0.0,1145720.6341556099,0.0,0.0,117162.60000000002,0.6895652685402207,235
7,54,54,0,0,0,0,54,0,0,0.05821444368560419,0.10220566805732775,0.008250008354087287,0.04380753022583846,0.0061569051056784355,0.0,0.0,1024556.985869328,0.0,0.0,92709.60000000002,0.754356084793752,263
8,51,51,0,1,0,0,50,1,1,0.06295139755336178,0.13186996689063632,0.008239425360980556,0.04681729252659553,0.007894679665785682,0.0,0.0,1117141.610518723,0.0,0.0,81054.60000000002,0.7852372430743273,275
9,49,49,0,0,0,0,49,0,0,0.06412467744323981,0.12774402695454717,0.008227683800138646,0.04801088178751562,0.007886111855585534,0.0,0.0,1209592.98316746,0.0,0.0,43355.60000000002,0.8851247408022901,305
