slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,11,10,1,0,0,0,10,1,0,0.05222173114988795,0.13262283186707327,0.0073868221665310775,0.03227195809480156,0.008640672563140338,1.7347234759768072e-19,0.0,984416.0187455306,243322.2198593517,3.2983655956024595e-18,156931.6666666667,0.09976499563071606,10
1,15,12,3,0,0,0,12,3,0,0.061937324609580034,0.11399483387585337,0.008310810446617104,0.04007655062239516,0.008131857543655273,9.396418828207704e-19,0.0,1238819.5740355814,303447.88493358035,8.256700182224227e-18,143120.0,0.1789953132977289,21
2,15,12,3,0,0,0,12,3,0,0.05692251565677919,0.10395532394824047,0.008071453148876903,0.03485451436542474,0.010875605087499523,0.0,0.0,1448487.317562809,387474.81472613075,0.0,122787.66666666669,0.29563128980876485,31
3,10,6,4,0,0,0,6,4,0,0.04211557410994236,0.07157787191541286,0.008536129581503703,0.0247654909035885,0.006659669446774326,0.0,0.0,1121665.4816690425,322403.957578672,0.0,117877.33333333333,0.3237993074159272,34
4,9,8,1,0,0,0,8,1,0,0.06117287210824827,0.1135829195633641,0.007960140732158394,0.0367246533073203,0.012537420474026732,0.0,0.0,1702638.9216165894,532906.5879105569,0.0,114089.00000000001,0.3455309970571868,36
5,12,9,3,0,0,0,9,3,0,0.09172930219983313,0.15241986486033202,0.00825201122964464,0.05963913051018456,0.015069668015050823,7.709882115452476e-19,0.0,2187692.5148470295,531838.208460052,5.1990080290658425e-18,106825.33333333334,0.3871988588233719,40
6,16,12,4,0,0,0,12,4,0,0.046919370051100556,0.08085358682870057,0.007651454468287029,0.029925045820778512,0.0076067240728573205,0.0,0.0,1064232.1514184892,204682.17703895367,0.0,101284.66666666669,0.4189827695331845,44
7,12,9,3,0,0,0,9,3,0,0.051128830478556195,0.07773166449163532,0.007953555064477431,0.028983533158463717,0.011504719711085527,4.818676322157798e-19,0.0,1439215.6755170731,462137.0818233574,1.211383964138796e-17,89994.0,0.4837514269488249,48
8,18,13,5,0,0,0,13,5,0,0.06656276908833554,0.11914059093363842,0.008047975913286296,0.04521102297513216,0.009400826584026007,5.337610695313253e-19,0.0,1256437.138398117,336736.32650730386,8.090662723361493e-18,77135.33333333334,0.5575148813792021,58
9,8,6,2,0,0,0,6,2,0,0.07143286153320767,0.1218376308766733,0.008635280378375519,0.045597877471870385,0.012506247227862866,7.228014483236697e-19,0.0,2057416.1267471213,281356.9523815599,9.299600186096738e-18,76171.00000000001,0.5630467580296346,56
10,13,10,3,0,0,0,10,3,0,0.0742089148636438,0.1238425745524941,0.008381325780072085,0.04760242596220395,0.012160166469077898,1.2143064331837649e-18,0.0,1395485.935793391,374701.013665899,9.557532020914097e-18,77166.0,0.5573389627301044,58
11,9,9,0,0,0,0,9,0,0,0.04655788192461051,0.08991259590794803,0.007436988305810469,0.02831615850525155,0.008146865960137936,3.854941057726238e-19,0.0,909078.1506311351,330345.2279439272,3.934843494478206e-18,79712.33333333334,0.5427319783773034,61
12,14,10,4,1,0,0,9,5,1,0.06605828681876301,0.12220792768239525,0.008656599044091195,0.03776585095815355,0.013027408614779466,7.709882115452476e-19,0.0,1890901.3575891368,551543.3066701308,9.611328947273856e-18,79276.00000000001,0.5452349948084876,61
13,14,10,4,0,0,0,10,4,0,0.05947393575061357,0.12792805248341083,0.0074108795751955114,0.03613185093070255,0.011201120030028846,5.204170427930421e-19,0.0,1488438.0781293858,437059.48220312863,5.811625198373115e-18,75407.33333333334,0.5674275148240144,64
14,19,19,0,2,0,0,17,2,2,0.05878039986752672,0.10694914934600049,0.008641893340058205,0.03551523230869358,0.010487071369420575,5.612340657572023e-19,0.0,1309334.9094096643,298877.7232239887,8.589239944671973e-18,57578.66666666667,0.6697012633636028,75
15,9,6,3,0,0,0,6,3,0,0.04851177347359584,0.07882564583631253,0.009050811767148557,0.022803272790636302,0.013866823309182682,5.782411586589357e-19,0.0,1243763.0507178507,702014.0521990778,1.0858448797326756e-17,62145.66666666667,0.6435027697626436,75
16,12,10,2,0,0,0,10,2,0,0.07096610849284024,0.12694690383533092,0.007596079851652292,0.04565017338733772,0.013028362801827717,3.035766082959412e-19,0.0,1637038.435929543,497454.07354823884,3.995180163230637e-18,59688.000000000015,0.6576011197604446,75
17,9,8,1,0,0,0,8,1,0,0.05928035686074265,0.08179194924768542,0.009018245286758226,0.03649149857129964,0.009379358402876927,1.0842021724855044e-18,0.0,1654274.975541223,404840.92072046583,1.7044374920609097e-17,66207.00000000001,0.620205021712568,74
18,14,12,2,0,0,0,12,2,0,0.05846577906632285,0.10393683176026738,0.00728911168972063,0.034459459516613805,0.013252813847097618,7.228014483236697e-19,0.0,1403809.3571077094,386237.5440838593,7.659832437882074e-18,58675.66666666667,0.6634083473398997,78
19,17,14,3,0,0,0,14,3,0,0.06413166926319612,0.10263056359266591,0.008390222831882625,0.03775791242981629,0.012138156142520161,4.64658073922359e-19,0.0,2030262.0114818285,721648.2315447929,7.251077350176037e-18,42575.33333333334,0.7557675502754465,87
20,12,12,0,0,0,0,12,0,0,0.06250338945176066,0.10456178690296854,0.007267982377292649,0.03854862255375211,0.01214127634647843,2.8912057932946783e-19,0.0,1415084.41792633,370931.39899408986,4.778712760714513e-18,39387.66666666667,0.7740535289854656,90
21,12,8,4,0,0,0,8,4,0,0.08436524497015432,0.13366216725276645,0.008084346075821997,0.05395883910271197,0.016784917003717117,4.336808689942018e-19,0.0,2562055.0774129583,722149.3049510389,3.7745769221044896e-18,33734.33333333334,0.8064837495147895,88
22,9,8,1,0,0,0,8,1,0,0.06496075270137744,0.11005941511948975,0.008466810402831678,0.04577452047338881,0.009688351047157939,5.421010862427522e-20,0.0,1475460.2076104963,196091.91140600498,1.5456041197731606e-18,34145.33333333334,0.8041260571850338,89
23,13,12,1,0,0,0,12,1,0,0.07097893437488112,0.12676272994227716,0.00848417380020807,0.04714358423899776,0.011358164693375243,4.698209414103852e-19,0.0,2184917.2760941973,516561.833916764,4.704076392706495e-18,31816.333333333343,0.8174863137203161,88
24,9,8,1,0,0,0,8,1,0,0.06209221554878864,0.11346660440720541,0.008387908914496558,0.037572580270457005,0.011562302756646225,2.168404344971009e-19,0.0,1562203.396905609,470041.75419966795,3.4618489276329473e-18,38239.66666666667,0.7806390053712553,86
25,10,8,2,0,0,0,8,2,0,0.04704660115326742,0.10138097611355104,0.008251148138191711,0.0244220150248869,0.01114749137226015,0.0,0.0,1352592.7222559229,367934.8340906207,0.0,40331.66666666667,0.768638294048022,83
26,10,8,2,0,0,0,8,2,0,0.06088204660888712,0.10057490583861287,0.009138250177451885,0.03791238493718521,0.01035737180452883,7.589415207398531e-19,0.0,1752635.1320180187,432320.1619653193,9.66156021374671e-18,37917.33333333334,0.782488063346011,83
27,14,12,2,0,0,0,12,2,0,0.05520680714487063,0.09226036765375095,0.007795742270875231,0.03700288749559189,0.00842052153453336,6.505213034913027e-19,0.0,1242705.4574353916,229304.34651486124,1.1612108767349937e-17,26069.000000000007,0.8504557631523092,90
28,13,9,4,0,0,0,9,4,0,0.0753563056081224,0.1166650924825177,0.008624132043090142,0.045513974638393156,0.016386880702818782,3.854941057726238e-19,0.0,2309144.8825452826,603085.8246131022,6.016678297653882e-18,22352.66666666668,0.8717744264000351,92
29,12,8,4,0,0,0,8,4,0,0.05917525555836152,0.1036470789671986,0.007745747452569611,0.034920647155746866,0.014267258486980443,3.7947076036992655e-19,0.0,1847732.5367938979,496844.3217841526,6.978003336654843e-18,10763.000000000011,0.9382582906443785,94
30,11,9,2,0,0,0,9,2,0,0.05517692770095791,0.09856919111721583,0.007711345499084014,0.03198588574219768,0.010932884085696742,1.927470528863119e-19,0.0,1378804.3954204398,422388.61404827435,3.660446705874351e-18,13331.666666666677,0.9235231916232128,95
31,16,15,1,2,2,0,13,3,0,0.06562649492780885,0.10535076173526184,0.008142841285652198,0.04163421722334855,0.012861673350422969,4.670409358399096e-19,0.0,1591279.773945145,445655.4300790751,7.416379331106048e-18,6107.666666666677,0.9649635064411083,99
32,21,18,3,3,3,0,15,6,0,0.06621152475583494,0.09642935033193187,0.008473541833597102,0.04435420887704619,0.008999315661525224,1.1564823173178713e-18,0.0,1342242.5444172076,448860.4990143494,2.0170467574153324e-17,5567.333333333344,0.9680631165518414,101
33,11,9,2,0,0,0,9,2,0,0.09011762335300152,0.13356916881290845,0.007504411587872011,0.06280744816330198,0.015499464068192978,5.782411586589357e-19,0.0,1954122.4892278078,493156.97109544225,7.704569057513515e-18,6846.000000000011,0.960728073748157,99
34,7,7,0,0,0,0,7,0,0,0.05776898821437155,0.14121850165946198,0.0077721023071066824,0.03831579138433814,0.010379243965676063,7.434529182757744e-19,0.0,1322743.4478635287,294223.821155649,4.118689466796855e-18,15686.333333333343,0.9100156988272727,95
35,10,9,1,0,0,0,9,1,0,0.0613353635792504,0.10150664055511288,0.007700461229949024,0.04091295620991359,0.010218301066239496,5.782411586589357e-19,0.0,1538837.1985186941,370862.27077074285,7.97381581884419e-18,23476.333333333343,0.8653285376379861,91
36,9,7,2,0,0,0,7,2,0,0.059047090309158785,0.08863547775350133,0.0076845624856719755,0.04121629550634946,0.008284235198822197,6.195440985631454e-19,0.0,1371658.2810103253,185006.49501738496,7.243224951280736e-18,22098.00000000001,0.8732353160512382,92
37,10,9,1,0,0,0,9,1,0,0.0661163908848939,0.11528693290794566,0.008396991027895347,0.041521692663285585,0.01044928691399533,4.818676322157798e-19,0.0,1692149.5191287803,545567.0803951252,8.103676982536544e-18,36760.66666666667,0.7891232558717629,85
38,14,11,3,1,0,0,10,4,1,0.08168874832360842,0.13764111801625092,0.007986619138932685,0.05314969694524966,0.014407445525462132,3.035766082959412e-19,0.0,1992303.3085706744,493592.6958369013,4.09277971930656e-18,44230.33333333334,0.7462736797018561,79
39,11,9,2,0,0,0,9,2,0,0.042795061585958555,0.06199453882427477,0.00823805284964547,0.025371891372336745,0.00732259121455995,2.8912057932946783e-19,0.0,1291651.294949056,354343.454788091,6.090995620655917e-18,46024.000000000015,0.7359843508888672,79
40,12,10,2,0,0,0,10,2,0,0.056726289594941935,0.08562777883189873,0.007493249860869869,0.033182207961615855,0.011239183115476578,1.2143064331837649e-18,0.0,1622753.6093336225,449782.320726085,1.6821065754351998e-17,39532.66666666667,0.77322173972071,81
41,11,9,2,0,0,0,9,2,0,0.06401003934514528,0.11153507733572293,0.00802779253462149,0.040828580095747,0.009641174596972066,1.734723475976807e-18,0.0,1394869.9993574116,426569.7151010797,1.617889380043102e-17,34524.66666666667,0.8019500199820639,84
42,12,8,4,0,0,0,8,4,0,0.08009180902965983,0.14853681299540036,0.008131816094475549,0.050584176332061165,0.016136051626906178,1.3010426069826053e-18,0.0,2398179.577483081,698379.7843246739,1.0846037238115612e-17,32463.666666666675,0.8137729004969702,83
43,12,9,3,0,0,0,9,3,0,0.07137628116657528,0.08388085029208688,0.008592651384776067,0.044204719722374025,0.01457227105344864,3.854941057726238e-19,0.0,2256701.492334501,533934.6863557289,4.860065421933152e-18,28667.00000000001,0.835552394118963,83
