slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,6,4,2,0,0,0,4,2,0,0.07053041276466053,0.11397706404484975,0.009038798508279995,0.059095617208676496,0.0023959970477040334,0.0,0.0,610339.0682192696,0.0,0.0,170587.8,0.029084029509760523,4
1,14,9,5,0,0,0,9,5,0,0.061294616207069524,0.10727182806581634,0.007711124886820204,0.04783172624760974,0.0057517650726395765,0.0,0.0,1006348.7764335999,0.0,0.0,153112.8,0.12854458052405893,13
2,11,8,3,0,0,0,8,3,0,0.05667765866818873,0.08931718400688425,0.008331710280466472,0.04399626931232531,0.004349679075396951,0.0,0.0,724960.6193017004,0.0,0.0,139883.8,0.20383863656801626,21
3,10,5,5,0,0,0,5,5,0,0.05954297452255134,0.11809728135885574,0.008926092911018601,0.040691532703573466,0.00992534890795927,0.0,0.0,1200654.5041787843,0.0,0.0,134330.8,0.23544404084740955,23
4,17,11,6,0,0,0,11,6,0,0.066611462181144,0.11838437126680328,0.00793642350971459,0.05108105621255929,0.007593982458870122,0.0,0.0,1178725.5455005874,0.0,0.0,117831.8,0.3293495991412527,31
5,15,12,3,0,0,0,12,3,0,0.05457100761141562,0.09035422707789355,0.007767628854110299,0.04321852398464671,0.003584854772658597,0.0,0.0,602575.496843529,0.0,0.0,100881.8,0.42582206493194563,42
6,10,7,3,0,0,0,7,3,0,0.06288310040986293,0.10296114619675185,0.00743447198947714,0.050421025788811434,0.00502760263157435,0.0,0.0,908101.7144828989,0.0,0.0,100077.8,0.43039810401723866,46
7,14,10,4,0,0,0,10,4,0,0.07503072431352865,0.12521296806214535,0.00826198776759547,0.0635570374175076,0.0032116991284255837,0.0,0.0,908408.2043243715,0.0,0.0,96270.8,0.4520659905815553,49
8,16,10,6,0,0,0,10,6,0,0.06738471036879787,0.12736440617989453,0.008106596513231753,0.05135728326120764,0.007920830594358478,0.0,0.0,1017091.7601674304,0.0,0.0,91538.8,0.4789985987303198,50
9,11,8,3,0,0,0,8,3,0,0.0706743737596515,0.12412688354711196,0.00889102708809537,0.05365914704554252,0.00812419962601361,0.0,0.0,1555448.7709200704,0.0,0.0,88165.8,0.49819633484312265,53
10,10,3,7,0,0,0,3,7,0,0.0643319549493503,0.11763530260937591,0.009907700763333851,0.053385792569259155,0.0010384616167572933,0.0,0.0,658370.4708609803,0.0,0.0,104388.8,0.4058616556382606,44
11,10,8,2,0,0,0,8,2,0,0.05592396039762326,0.10823339909990126,0.008662248084255706,0.04303446654840644,0.004227245764961109,0.0,0.0,840778.7881219018,0.0,0.0,100726.8,0.426704261521772,47
12,9,7,2,0,0,0,7,2,0,0.06710005246057349,0.13060359455933346,0.008425301000423999,0.053798285338532835,0.004876466121616634,0.0,0.0,1160766.0297992823,0.0,0.0,103916.8,0.4085480865440546,45
13,12,9,3,0,0,0,9,3,0,0.05309668076135053,0.09570482400266334,0.008795780317115044,0.038654064104216596,0.005646836340018896,0.0,0.0,882904.2892606831,0.0,0.0,103933.8,0.40845132949871876,48
14,16,12,4,0,0,0,12,4,0,0.054587419538715744,0.12134006664711659,0.008066458280915062,0.03917568735233328,0.007345273905467399,0.0,0.0,1223640.3235430163,0.0,0.0,96532.8,0.4505747937652036,51
15,16,12,4,1,0,0,11,5,1,0.0521627324396628,0.09694681563102411,0.0077211632264020565,0.03682631821468325,0.0076152509985775016,0.0,0.0,1032361.3207764422,0.0,0.0,85053.8,0.5159085657304758,56
16,12,9,3,0,0,0,9,3,0,0.05056270061181947,0.07251967318391724,0.008700069464768336,0.03722450735396232,0.004638123793088821,0.0,0.0,839135.7475836799,0.0,0.0,82349.8,0.5312986275297698,60
17,17,11,6,0,0,0,11,6,0,0.04150680530177353,0.08630210735885313,0.008033017752750721,0.028531044684066142,0.00494274286495667,0.0,0.0,644146.4069661394,0.0,0.0,79090.8,0.5498475222797325,65
18,8,6,2,0,0,0,6,2,0,0.03529004630111995,0.06081961727444704,0.008246121539046249,0.02343935843204401,0.0036045663300296863,0.0,0.0,676493.0411201579,0.0,0.0,83963.8,0.5221123998137711,64
19,12,6,6,0,0,0,6,6,0,0.04616553326835721,0.08963079005405375,0.008237072339888317,0.02835987636190621,0.009568584566562685,0.0,0.0,1166660.696055453,0.0,0.0,78602.8,0.5526250186399602,65
20,12,7,5,0,0,0,7,5,0,0.05558353784089705,0.08476075679167269,0.008687698499517586,0.04048995688905959,0.0064058824523198655,0.0,0.0,1095221.9222108866,0.0,0.0,80854.8,0.5398075559284179,65
