slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,10,10,0,0,0,0,10,0,0,0.07361943885320396,0.1413942892007442,0.007799560321638676,0.048402403911608494,0.014123903144216677,1.2143064331837649e-18,0.0,1336595.271596525,270548.38136514113,1.5086461782804136e-17,365230.1333333333,0.041676965427824286,10
1,14,14,0,0,0,0,14,0,0,0.07263049475475947,0.10114175433224422,0.007688480199283957,0.04544017604181032,0.015621597389662192,1.053224967557347e-18,0.0,1901364.1729124668,467899.52989422815,1.4462635832411378e-17,350840.80000000005,0.07943296726594518,20
2,10,10,0,0,0,0,10,0,0,0.057466790051524164,0.09338053684802339,0.00889070998663122,0.033585082857439476,0.011440048512096483,5.204170427930421e-19,0.0,1487807.3166541506,388437.4413333943,6.423102865588041e-18,336551.13333333336,0.11692745491416656,29
3,12,12,0,1,0,0,11,1,1,0.06309804241016456,0.09216213996073415,0.008243746175617914,0.04108145322605987,0.009836385726354292,4.731064025391292e-19,0.0,1767798.1779036643,360614.5074976196,5.101274965565991e-18,324074.1333333334,0.14966570789792089,37
4,11,11,0,0,0,0,11,0,0,0.07798478359663363,0.11688015348502556,0.008319345624649336,0.048125154123038284,0.014847384526780224,1.261617073437678e-18,0.0,1852571.4181858993,579563.7441870348,1.2541296288898178e-17,317709.1333333333,0.16636675624620978,40
5,10,10,0,0,0,0,10,0,0,0.06728744113454656,0.11909006990255397,0.00793873211319581,0.04340535221602363,0.013579723083907924,0.0,0.0,1586647.277916486,387262.13332079485,0.0,309470.4666666667,0.1879840964387366,45
6,19,19,0,1,0,0,18,1,1,0.079613397292479,0.14478361071574505,0.007848786535214144,0.05246643115106991,0.013579609336818128,7.709882115452476e-19,0.0,1580398.5338263991,331002.8881296835,1.048760554620499e-17,299815.1333333334,0.21331861157131182,54
7,17,17,0,0,0,0,17,0,0,0.060061972250093555,0.08816466205017652,0.009012425255448963,0.036332356500593826,0.012740889825185934,4.591915083468019e-19,0.0,1518717.5681818658,258488.20338590312,5.688266131191607e-18,286691.1333333334,0.24775452021592137,63
8,14,14,0,1,0,0,13,1,1,0.06974503864807513,0.10526350619659763,0.009354051982426465,0.04520375492907802,0.012766326326366612,4.670409358399096e-19,0.0,2056729.8715620784,330013.4434467644,6.9233419213678906e-18,279740.80000000005,0.2659914177864984,68
9,5,5,0,0,0,0,5,0,0,0.04762291265645109,0.07538484054801356,0.008098101426443221,0.02539444840247267,0.013058979261131348,3.4694469519536144e-19,0.0,1634892.7730521196,452889.15666651976,4.385193311355698e-18,297583.13333333336,0.21917513001803313,60
10,11,11,0,0,0,0,11,0,0,0.06505316476694173,0.10710517440535289,0.00865394488227741,0.039869599335438405,0.012884115404601559,0.0,0.0,1824879.1095898899,313187.323555408,0.0,297748.13333333336,0.2187421884661922,60
11,7,7,0,0,0,0,7,0,0,0.058387055376197705,0.10805169983645432,0.007979263885489786,0.03920782135110711,0.010297473783613549,2.4781763942525814e-19,0.0,1268585.8443140483,164496.01002334623,5.556677019127178e-18,301650.1333333334,0.20850377673720188,58
12,16,16,0,1,0,0,15,1,1,0.0810336147264823,0.17296928210892382,0.00786786226418031,0.049633282087491404,0.01722163692317711,4.04768811061255e-19,0.0,1665274.8150972805,525723.304530467,4.281233488364719e-18,292876.1333333334,0.23152577174236832,65
13,11,11,0,0,0,0,11,0,0,0.05355228631600616,0.08654472205342824,0.008879305407814996,0.03237232192145724,0.010202030544049391,0.0,0.0,1618179.2878370157,384148.4415073411,0.0,287467.4666666667,0.24571750834877504,69
14,14,14,0,0,0,0,14,0,0,0.06088153916049653,0.12096169823851731,0.009105886118609697,0.0364382878410852,0.0116476057419794,3.097720492815727e-19,0.0,1651452.0514428073,419918.87356770074,5.14878438767256e-18,272569.13333333336,0.2848090692771206,79
15,6,6,0,0,0,0,6,0,0,0.07879889000406468,0.14857375651757232,0.008257533253355041,0.05749159327724928,0.011361067621572548,0.0,0.0,1146712.8324189673,249686.992564944,0.0,275743.13333333336,0.27648084815261653,78
16,5,5,0,0,0,0,5,0,0,0.06446044892832141,0.07893714981993347,0.008289646973479208,0.038654933680973336,0.014548831132183634,5.204170427930421e-19,0.0,1492589.1625700188,394302.1515013223,7.545087381225893e-18,279366.4666666667,0.26697362660006896,74
17,12,12,0,0,0,0,12,0,0,0.06263853762788006,0.14629250772543775,0.007885357976047131,0.04031392421013292,0.010716668483459644,4.336808689942018e-19,0.0,1330749.420074022,340584.17296815553,4.6237100257642835e-18,281026.13333333336,0.2626188468291274,74
18,9,9,0,0,0,0,9,0,0,0.052938296428232466,0.09336742339134595,0.007974124689648636,0.030695348630927613,0.012271695737537468,4.818676322157798e-19,0.0,1527342.1931443193,222303.0856346323,4.8409854160152126e-18,274966.1333333334,0.27851960927855834,75
19,13,13,0,0,0,0,13,0,0,0.07373717983039357,0.14075960139633487,0.008449489699669117,0.04608990918002676,0.013524283110913861,8.006416042969879e-19,0.0,1651492.5649770978,284800.4377512896,1.3746232111642934e-17,272648.80000000005,0.28460003285108015,79
20,15,15,0,0,0,0,15,0,0,0.054447290178371424,0.09726407879650972,0.00857471523677351,0.029768993651950255,0.012217760020998848,8.0953762212251e-19,0.0,1424172.827883014,399520.31777389406,9.05313990956912e-18,270953.80000000005,0.2890475233381735,86
21,7,7,0,0,0,0,7,0,0,0.04994475243716038,0.06911292444658004,0.00795938149088114,0.028076089821618487,0.011047349286652937,2.4781763942525814e-19,0.0,1746446.736483425,430915.2970082459,4.492709853724028e-18,267945.4666666667,0.2969410536520414,85
22,5,5,0,0,0,0,5,0,0,0.055364795082588805,0.07159287363949748,0.007724906854213766,0.03281953434915645,0.012337954669479985,8.673617379884035e-19,0.0,1606520.573218871,243875.6415149997,1.2479594941244579e-17,266650.13333333336,0.3003398634913421,84
23,12,12,0,0,0,0,12,0,0,0.07487611954975593,0.1548268507431343,0.008072043151165763,0.04975837008191122,0.014255575610215841,7.228014483236696e-20,0.0,1808221.6017230302,365433.5656978435,1.838635815057623e-18,263173.80000000005,0.3094613734795224,86
24,13,13,0,0,0,0,13,0,0,0.08389280428349642,0.12188942169423092,0.008130556024139007,0.05169603291723305,0.017539164826372435,2.0349640775881776e-18,0.0,2193258.6800459293,471817.0736122585,1.8473073327647704e-17,254038.4666666667,0.3334314667517506,92
25,9,9,0,0,0,0,9,0,0,0.053717517457024716,0.07582822827551577,0.00761374658067397,0.031665231346394256,0.012375964274530223,6.746146851020917e-19,0.0,1806926.3197096675,341277.628294364,1.112027157745689e-17,247889.80000000005,0.3495648806209588,92
26,5,5,0,0,0,0,5,0,0,0.08143214795740984,0.12836829881531167,0.007734450676651126,0.05488576813118166,0.01590170593986827,0.0,0.0,2103471.7314420477,658759.486549747,0.0,258128.46666666667,0.32269976404248113,87
27,17,17,0,0,0,0,17,0,0,0.07866224014722119,0.14110890712378424,0.008136812618926969,0.05302159010918081,0.01244187856077127,9.183830166936038e-19,0.0,1539180.2959518696,376991.02712119464,7.650011338932314e-18,245694.13333333336,0.35532606446333526,100
28,11,11,0,0,0,0,11,0,0,0.07547643901540968,0.12739409220442316,0.008122060168238245,0.049309742015240215,0.016023458372833907,7.885106708985487e-20,0.0,1743426.1646137128,343353.4694444141,5.545310980009367e-19,246270.80000000002,0.35381295560538617,98
29,18,18,0,0,0,0,18,0,0,0.07330985498373249,0.12357560741365224,0.00823668725866505,0.04660772453401489,0.015077718367509988,5.300543954373578e-19,0.0,2140461.334370161,495123.9286012668,6.7698721815047635e-18,242754.13333333333,0.3630402957506831,101
30,13,13,0,0,0,0,13,0,0,0.0750104033798321,0.12816797537401842,0.00835233555058663,0.049408875309561104,0.013185370431645789,2.6688053476566264e-19,0.0,1905128.8423066987,334770.16065620433,3.173285060787074e-18,234973.80000000002,0.38345502052142955,106
31,11,11,0,0,0,0,11,0,0,0.07733339503351101,0.14244672720545237,0.0073000627386376775,0.052266621878258125,0.015140035424666066,4.731064025391292e-19,0.0,2121895.1016589124,332915.6904270129,7.417433503094547e-18,241947.13333333336,0.3651577735224142,101
32,12,12,0,0,0,0,12,0,0,0.07188314055584648,0.13018235578305448,0.0082592325511874,0.043658282249126,0.016795759118751946,1.8070036208091741e-19,0.0,1706880.4560573704,357139.1008876844,1.5944948175480453e-18,232046.4666666667,0.39113601589166624,107
33,7,7,0,0,0,0,7,0,0,0.0766097628246498,0.11431520860057633,0.008926222471160854,0.04837188878858279,0.016097344926667142,2.4781763942525814e-19,0.0,2276645.2088977485,532989.1842928075,4.384849264247153e-18,235042.13333333336,0.3832757214949096,104
