slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,8,8,0,0,0,0,8,0,0,0.04298101656537352,0.07600101049282079,0.00780815312057381,0.03008522119501193,0.005087642249787784,0.0,0.0,604833.7614848895,0.0,0.0,361424.20000000007,0.03748343538414978,8
1,13,13,0,0,0,0,13,0,0,0.07430922341338086,0.12755214759742844,0.00838866008104771,0.06053325696744656,0.005387306364886583,0.0,0.0,1002767.4972765017,0.0,0.0,337338.20000000007,0.10162738029801377,20
2,16,16,0,1,0,0,15,1,1,0.0628843931569322,0.09440455416722032,0.008545487049613715,0.04313788915941345,0.01120101694790503,0.0,0.0,1592468.2076281135,0.0,0.0,309047.20000000007,0.17696975120053504,33
3,19,19,0,0,0,0,19,0,0,0.07415518465233618,0.10704974113124978,0.008049261079554023,0.05662585441673025,0.009480069156051917,0.0,0.0,1452917.2810028687,0.0,0.0,282002.20000000007,0.24899387269000828,47
4,16,16,0,0,0,0,16,0,0,0.06295015883415173,0.14343752875699778,0.007898877182934246,0.04836199268350781,0.00668928896770966,0.0,0.0,953901.3201120307,0.0,0.0,259893.20000000004,0.30787282636021585,63
5,15,15,0,1,0,0,14,1,1,0.06932129071117205,0.1291307023197102,0.00930665768931128,0.052183083144361486,0.007831549877499287,0.0,0.0,1377871.7736128715,0.0,0.0,246621.20000000004,0.3432177751643678,70
6,14,14,0,0,0,0,14,0,0,0.06686690475578629,0.09749472677003623,0.007730497759486916,0.04776156274117963,0.01137484425511974,0.0,0.0,1499869.4745946408,0.0,0.0,234195.20000000004,0.3763097231631918,76
7,14,14,0,0,0,0,14,0,0,0.06567800016533858,0.11180415433937746,0.007080135995723666,0.05110551657434775,0.00749234759526716,0.0,0.0,903333.5556391947,0.0,0.0,225898.20000000004,0.39840564240882526,84
8,11,11,0,0,0,0,11,0,0,0.06900219779696426,0.12289435887837605,0.007958687220071356,0.04893470059341638,0.01210880998347652,0.0,0.0,1513893.2427818463,0.0,0.0,223054.2,0.405979560009715,83
9,17,17,0,0,0,0,17,0,0,0.056562075842218,0.10513318908939528,0.007464157750208141,0.041492239883706906,0.0076056782083029515,0.0,0.0,852794.4922110033,0.0,0.0,206459.2,0.4501740616225014,94
10,9,9,0,0,0,0,9,0,0,0.06121425299820227,0.08070570512727253,0.008209465374821602,0.042812350547109766,0.010192437076270903,0.0,0.0,1750562.9044461483,0.0,0.0,216273.2,0.4240381870320895,89
11,16,16,0,1,0,0,15,1,1,0.061910473682933294,0.10293966544212373,0.00817949381047054,0.044746845587467235,0.008984134284995515,0.0,0.0,1233039.3280333253,0.0,0.0,213559.2,0.4312658988354702,93
12,10,10,0,0,0,0,10,0,0,0.07692745840125989,0.12738709582260563,0.007960892733411029,0.056543031188149205,0.01242353447969965,0.0,0.0,1599002.2892561057,0.0,0.0,212666.2,0.4336440663522053,94
13,7,7,0,0,0,0,7,0,0,0.06291809033347082,0.10513364431939363,0.008393291638776319,0.04316710164217389,0.01135769705252061,0.0,0.0,1386920.7115964878,0.0,0.0,227429.2,0.39432840336277675,90
14,8,8,0,0,0,0,8,0,0,0.06788629509492045,0.11100348849009312,0.00757450806526912,0.048680977424923125,0.011630809604728207,0.0,0.0,1715741.9816886238,0.0,0.0,220862.2,0.411817122380021,91
15,10,10,0,0,0,0,10,0,0,0.06991173760714214,0.09120459176679244,0.007871938002478329,0.05007887193106244,0.011960927673601369,0.0,0.0,1756211.2012319814,0.0,0.0,223736.2,0.4041633111335523,88
16,13,13,0,0,0,0,13,0,0,0.06258882761069037,0.1134458221297483,0.008161949949465959,0.04539758352368666,0.00902929413753776,0.0,0.0,1274937.92774958,0.0,0.0,218332.2,0.41855481982385045,91
17,13,13,0,0,0,0,13,0,0,0.045369643999407336,0.08807462492092812,0.008028571130823475,0.02957052956055697,0.007770543308026868,0.0,0.0,1130990.8165332137,0.0,0.0,216738.2,0.42279983552561495,89
18,10,10,0,0,0,0,10,0,0,0.07763583216187248,0.12555616555280835,0.00814271771240129,0.05840429433251646,0.011088820116954723,0.0,0.0,1364678.1280009921,0.0,0.0,210408.2,0.4396573947427851,92
19,16,16,0,0,0,0,16,0,0,0.07496307937457058,0.1687785607354559,0.008061026646770362,0.05608152118297183,0.010820531544828394,0.0,0.0,1612833.536328862,0.0,0.0,198818.2,0.47052297315147407,98
20,21,21,0,0,0,0,21,0,0,0.05500215186672305,0.10806783545096171,0.008671114342587964,0.03979228572532105,0.006538751798814036,0.0,0.0,1028500.7277613383,0.0,0.0,190613.2,0.49237388521733205,103
21,10,10,0,1,0,0,9,1,1,0.06169001977883283,0.08508369568547719,0.0074980952687031905,0.044363179093613425,0.009828745416516226,0.0,0.0,1158108.8786860825,0.0,0.0,206961.2,0.44883717461981276,97
22,10,10,0,0,0,0,10,0,0,0.053502538651809685,0.10159255996439923,0.007502669956238298,0.036395356789914735,0.009604511905656653,0.0,0.0,1093149.6809028648,0.0,0.0,208201.2,0.4455349039358806,93
23,9,9,0,0,0,0,9,0,0,0.061689937718228366,0.1082697888323002,0.008232767931211521,0.047673694855224984,0.005783474931791861,0.0,0.0,1012652.8890331712,0.0,0.0,205968.2,0.45148165428847786,95
24,13,13,0,0,0,0,13,0,0,0.06650297780436133,0.11514137413499773,0.00892030576194584,0.04827747996492034,0.00930519207749515,0.0,0.0,1439674.6785666258,0.0,0.0,201607.2,0.46309552723414593,97
25,12,12,0,0,0,0,12,0,0,0.057926681698695436,0.12442412570254065,0.008330242582550487,0.04255865438163187,0.00703778473451309,0.0,0.0,1154906.5483145695,0.0,0.0,216297.2,0.4239742721156263,94
26,6,6,0,0,0,0,6,0,0,0.07123557429399045,0.1362381686214629,0.007964233846385125,0.056082493866112006,0.0071888465814933175,0.0,0.0,1128675.727458251,0.0,0.0,222311.2,0.4079582592985551,90
27,9,9,0,0,0,0,9,0,0,0.07475349670207855,0.11308062024246213,0.008182786203567056,0.05875776510764798,0.007812945390863515,0.0,0.0,1266904.384493961,0.0,0.0,219356.2,0.4158277833880871,92
28,12,12,0,1,0,0,11,1,1,0.08427687591367837,0.12506099160650377,0.008671131258527502,0.06359337694166496,0.012012367713485916,0.0,0.0,2049181.8986277706,0.0,0.0,212571.2,0.43389706289653873,95
29,13,13,0,0,0,0,13,0,0,0.05788266144942314,0.09842246335139461,0.008694591702644716,0.039106998711019074,0.010081071035759349,0.0,0.0,1244868.3521456504,0.0,0.0,212478.2,0.43414473319783364,99
30,14,14,0,0,0,0,14,0,0,0.07872811907875177,0.13613699654375,0.007864223891018245,0.06095426773778118,0.009909627449952354,0.0,0.0,1494094.1835576992,0.0,0.0,218164.2,0.41900222423909295,97
31,11,11,0,0,0,0,11,0,0,0.06351705597639984,0.11157019152449003,0.008019793347535657,0.04910421789350909,0.006393044735355089,0.0,0.0,930685.5022908858,0.0,0.0,218717.2,0.4175295180389199,98
32,5,5,0,0,0,0,5,0,0,0.08646569163274348,0.15002855249077382,0.0080216448253654,0.0694771830613217,0.008966863746056389,0.0,0.0,1511756.3836902683,0.0,0.0,228493.20000000004,0.3914948420662413,89
33,8,8,0,0,0,0,8,0,0,0.05752934039998005,0.08148480313919841,0.00793303663693809,0.04337229030814346,0.006224013454898499,0.0,0.0,1110779.5358916675,0.0,0.0,232359.20000000004,0.3811992142726268,85
34,15,15,0,0,0,0,15,0,0,0.06874979901818193,0.12746294407921116,0.007517181798341438,0.04987020812566299,0.011362409094177479,0.0,0.0,1546204.8866511101,0.0,0.0,230358.20000000004,0.38652812043274654,88
35,14,14,0,0,0,0,14,0,0,0.07876696931864935,0.13470768168725533,0.008971141586403714,0.05841174390554132,0.011384083826704335,0.0,0.0,1792123.0007793563,0.0,0.0,216731.2,0.42281847737625,90
36,5,5,0,0,0,0,5,0,0,0.04441703758731129,0.06461275561875843,0.008876897157907007,0.028759575857667703,0.006780564571736579,0.0,0.0,1685183.1791800917,0.0,0.0,221764.2,0.4094149867696123,86
37,13,13,0,0,0,0,13,0,0,0.056592169456708426,0.10463931386234157,0.007931566681013484,0.04062204403167805,0.008038558744016884,0.0,0.0,1363650.316884658,0.0,0.0,213144.2,0.43237109426597975,90
38,15,15,0,0,0,0,15,0,0,0.06276175028607649,0.12862690768471607,0.00817558392331395,0.047205096087625666,0.007381070275136884,0.0,0.0,1118580.9353092227,0.0,0.0,211963.2,0.4355162407802733,96
