slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,4,4,0,0,0,0,4,0,0,0.04142277599626648,0.04991353458734901,0.008382405181002903,0.03046702345945368,0.0025733473558098995,0.0,0.0,636888.145221939,0.0,0.0,165994.80000000002,0.04626889854396321,4
1,14,14,0,2,0,0,12,2,2,0.05403658353182055,0.09519593060968126,0.008753527324345974,0.04008848341576686,0.005194572791707726,0.0,0.0,1073014.86128189,0.0,0.0,144918.80000000002,0.16736206950044752,16
2,14,14,0,0,0,0,14,0,0,0.05841034636312216,0.09448302308133064,0.007936094309727465,0.04483299843973025,0.005641253613664446,0.0,0.0,1102484.0367953754,0.0,0.0,122659.8,0.29525222381437743,28
3,20,20,0,2,0,0,18,2,2,0.057930009944847684,0.11165677029949185,0.007615171683449725,0.04364230014493219,0.006672538116465756,0.0,0.0,928235.6203854982,0.0,0.0,100997.8,0.4197122859352431,39
4,12,12,0,0,0,0,12,0,0,0.06383414007359305,0.11610864835220105,0.007913381471770927,0.04947741751226035,0.0064433410895617755,0.0,0.0,1152215.1010462577,0.0,0.0,78099.80000000002,0.5512738454608446,48
5,15,15,0,0,0,0,15,0,0,0.04946770707942067,0.08121118683652138,0.007894538899519972,0.035303253249507636,0.006269914930393072,0.0,0.0,876037.1205423109,0.0,0.0,72248.80000000002,0.5848910471720987,54
6,14,14,0,0,0,0,14,0,0,0.05531107855366292,0.08878053394102094,0.007931277260652332,0.04189579061872615,0.0054840106742844365,0.0,0.0,1229495.3508000313,0.0,0.0,66414.8,0.6184105745662973,55
7,10,10,0,0,0,0,10,0,0,0.05594730440313407,0.10345860388349049,0.008452508461042969,0.041813065595215054,0.005681730346876045,0.0,0.0,1221829.9216029397,0.0,0.0,64413.8,0.6299074162385276,56
8,9,9,0,0,0,0,9,0,0,0.039738309758575,0.052711375795836055,0.007970620897928956,0.030261799187347886,0.0015058896732981575,0.0,0.0,312673.2500140103,0.0,0.0,69298.8,0.6018404139552468,58
9,7,7,0,0,0,0,7,0,0,0.0511014740351091,0.08934760003486059,0.007441519358212836,0.0408019782176979,0.0028579764591983585,0.0,0.0,840275.7973772008,0.0,0.0,62614.8,0.6402436572022169,61
10,18,18,0,1,0,0,17,1,1,0.06926936294410081,0.11516854467899815,0.008821256121359013,0.05299459420832421,0.007453512614417605,0.0,0.0,1427413.017276684,0.0,0.0,40495.8,0.767329434787455,73
11,8,8,0,0,0,0,8,0,0,0.06719452689464805,0.11984790733475269,0.007779538248685188,0.04988150351159015,0.009533485134372709,0.0,0.0,1532105.531277494,0.0,0.0,37550.8,0.7842500738302927,70
12,15,15,0,0,0,0,15,0,0,0.071870076936369,0.11336530610096705,0.007965885846472428,0.05681876319037159,0.007085427899524992,0.0,0.0,1179074.7082350978,0.0,0.0,32421.800000000003,0.8137189898407219,78
13,16,16,0,0,0,0,16,0,0,0.070536701597855,0.1290958313418253,0.008629068586783426,0.052504334667011585,0.00940329834405999,0.0,0.0,1578875.611398544,0.0,0.0,23627.800000000007,0.8642453394986894,82
14,14,14,0,0,0,0,14,0,0,0.05395908156300177,0.09882533578819835,0.007593405857780288,0.041648552346779236,0.004717123358442226,0.0,0.0,798441.9960979355,0.0,0.0,25128.800000000007,0.8556212718575011,85
15,9,9,0,0,0,0,9,0,0,0.06345674410024645,0.09995662026124334,0.00754311168423559,0.04920146229272192,0.006712170123288935,0.0,0.0,979733.9194230088,0.0,0.0,22967.800000000007,0.8680374012196649,88
