slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,8,8,0,0,0,0,8,0,0,0.0891809741974891,0.13171247560694158,0.007681110025583569,0.06761455542832946,0.00992377211044404,1.4094628242311558e-18,0.0,1378020.9606871372,226719.85410018647,1.0857264815266564e-17,155725.8,0.09693705354502213,8
1,14,14,0,0,0,0,14,0,0,0.07903214684301736,0.134996186384179,0.007888124829486956,0.05426643006597017,0.01188831176739311,5.575896887068309e-19,0.0,1678401.866976091,365955.89889969974,8.31902376205107e-18,129240.13333333333,0.2505289707406595,22
2,13,13,0,0,0,0,13,0,0,0.07751769179112257,0.13187845347738195,0.006890964808056453,0.05346675615634544,0.009405249485261617,1.1342422727540662e-18,0.0,1763287.1908942978,423144.6333110003,1.3194770983009882e-17,113886.8,0.33956384124962735,30
3,10,10,0,0,0,0,10,0,0,0.059319197224562414,0.08689317869517589,0.008004507846870807,0.03783352458129094,0.01041631092156861,7.37257477290143e-19,0.0,1750546.0280326952,268559.8061089068,1.0530128372980665e-17,101028.8,0.4141281290267208,34
4,13,13,0,0,0,0,13,0,0,0.07592990598993013,0.14386066381059365,0.007915907557764843,0.0491441376384103,0.01508238519998097,0.0,0.0,1940865.5193122602,509999.614754408,0.0,92059.13333333333,0.46614374627652144,39
5,9,9,0,0,0,0,9,0,0,0.07463515100182533,0.13161031809334148,0.007428609070246044,0.05181010689050111,0.010592677977861722,1.734723475976807e-18,0.0,1844026.7589619434,441071.31474994693,2.2830489836374413e-17,84361.46666666667,0.5107829617490267,43
6,17,17,0,1,0,0,16,1,1,0.07473147097560735,0.1178147544410251,0.008540556560311281,0.050481309164426426,0.010881570151532686,1.1384122811097797e-18,0.0,1648375.3563224892,400993.6479930971,1.4878854631952375e-17,69861.8,0.5948673697444586,52
7,9,9,0,0,0,0,9,0,0,0.0685690427191653,0.11612747456026873,0.008380222614492677,0.04465889716967337,0.010985207243118852,1.927470528863119e-18,0.0,1639202.369745396,393642.1170957645,1.766754009525016e-17,60760.46666666667,0.6476465296310601,56
8,15,15,0,0,0,0,15,0,0,0.08816155070299354,0.15372948356255708,0.00836292139291737,0.0578035858027282,0.01727911926773567,4.336808689942018e-19,0.0,1962665.5922184724,469284.9927741753,5.452713700921652e-18,38011.8,0.779567367076892,64
9,15,15,0,0,0,0,15,0,0,0.06709324233583727,0.1036768458026796,0.00767333643158076,0.042912856051888514,0.012231138532174663,1.0408340855860842e-18,0.0,1642363.5150846154,470580.2557612706,1.4467465662557336e-17,40533.80000000001,0.7649421427983237,66
10,12,12,0,0,0,0,12,0,0,0.05804255897565924,0.0958972136604788,0.007825010410155564,0.03732875548106453,0.009850441047673852,2.168404344971009e-19,0.0,1639636.3713857606,422452.39286537375,2.754382473577406e-18,42697.133333333346,0.7523968473227874,68
11,10,10,0,0,0,0,10,0,0,0.07586516095137943,0.13618199462247438,0.007927540263264005,0.0563199400758503,0.008717742208321425,8.673617379884036e-20,0.0,1453370.9015179016,216275.35810457435,2.2072451799952098e-18,43165.466666666674,0.7496809551589773,68
12,12,12,0,1,0,0,11,1,1,0.06193198981836265,0.09251749258910659,0.007690841842356243,0.04038438747656661,0.01008648792457946,1.5770213417970974e-19,0.0,1532871.7115087395,328788.9282292484,2.1033520025078006e-18,47859.80000000001,0.7224582438828636,67
13,12,12,0,0,0,0,12,0,0,0.06015891025475543,0.12010087512468277,0.00804648590280945,0.03948408382749022,0.009232576085527668,7.228014483236697e-19,0.0,1363831.8954234498,253319.16267958298,7.906363958346075e-18,49345.466666666674,0.713842776712684,68
14,15,15,0,0,0,0,15,0,0,0.06691423824483235,0.0965562192117159,0.009193232800167829,0.04062143512178049,0.012713870190994632,1.5323390704461795e-18,0.0,1970219.190717826,491922.6552140577,1.6884994962111322e-17,42648.80000000001,0.7526771351261701,72
15,16,16,0,0,0,0,16,0,0,0.06751468542203778,0.12446978541318449,0.008313724289779664,0.039555320923573924,0.0162680181746833,1.6263032587282567e-19,0.0,2010568.6296119818,520136.86778631725,2.6983271295529852e-18,18013.80000000001,0.8955369289812563,85
16,12,12,0,0,0,0,12,0,0,0.05035712540090737,0.1180186060892549,0.008138783757563698,0.030499579695046644,0.00978600052234453,3.2526065174565133e-19,0.0,1215452.0221505738,387701.1181208068,7.493041155801545e-18,19690.133333333342,0.8858157747522158,87
17,14,14,0,0,0,0,14,0,0,0.056041936248982134,0.08939547034154395,0.008385751132849954,0.031007575974652167,0.013176210885443901,2.4781763942525814e-19,0.0,1863510.151090337,498057.5864722126,3.378291009356466e-18,6011.80000000001,0.965137223109478,92
18,6,6,0,0,0,0,6,0,0,0.06422686025800796,0.10584430752591671,0.009372340248993524,0.045292662984718346,0.005914916143873299,5.782411586589357e-19,0.0,1036484.6732488001,257418.88225240968,1.3786677083258906e-17,27078.80000000001,0.8429684682020252,85
19,14,14,0,0,0,0,14,0,0,0.07950600630234629,0.137686396039879,0.00819189851262279,0.05452436099998155,0.013487868101392178,7.434529182757744e-19,0.0,1831922.4826563983,413055.5956732501,8.427307380982438e-18,16350.133333333342,0.905184628475617,90
20,7,7,0,0,0,0,7,0,0,0.09430433056381904,0.15414081582747102,0.006788482514502334,0.06487301028628821,0.01410408423177569,6.195440985631454e-19,0.0,1791135.367344519,243814.24681090028,8.148646944136427e-18,36320.80000000001,0.7893735741566139,79
21,9,9,0,0,0,0,9,0,0,0.06489589000899239,0.13077156591944225,0.008938435331831264,0.0413864702226277,0.010967353485292897,2.8912057932946783e-19,0.0,1874431.0469774988,349295.7216147685,3.2179854892837825e-18,41836.133333333346,0.7573898362616642,77
22,13,13,0,0,0,0,13,0,0,0.06182022589608262,0.09310756669979535,0.007950924216328068,0.03428253419202236,0.01460909845902539,8.006416042969879e-19,0.0,1846902.1988337326,634540.1892891238,1.014404124314709e-17,26233.133333333342,0.8478725382515531,84
23,14,14,0,0,0,0,14,0,0,0.06736795122492034,0.09930607829009803,0.008100773401716336,0.03798443179376037,0.016949070455010325,1.2390881971262907e-19,0.0,2365715.7680636635,653071.1331387621,2.328928811984789e-18,14554.133333333344,0.9155997366454459,87
24,10,10,0,0,0,0,10,0,0,0.0682351899982227,0.12617885287577094,0.008810540509183609,0.04220683824604082,0.014685563079387315,3.4694469519536144e-19,0.0,2107321.4606286115,381218.1946160639,7.036523518117327e-18,17149.466666666678,0.9005492481134697,85
25,15,15,0,0,0,0,15,0,0,0.05362091780565038,0.10843546914047263,0.0077001536108970555,0.03203677312854212,0.010975240868036485,7.517135062566164e-19,0.0,1488786.0834667801,363074.70054719795,1.287266269752151e-17,16673.133333333346,0.9033115327412881,87
26,14,14,0,0,0,0,14,0,0,0.06867642729522669,0.12537436051376835,0.008132711438696717,0.047789723007078344,0.009979001636969593,1.858632295689436e-19,0.0,1623226.8803198542,229355.2717151749,2.045831593134843e-18,5197.133333333343,0.9698615223609743,94
27,11,11,0,0,0,0,11,0,0,0.06564795510602942,0.13222966356187268,0.006996857246935792,0.045319981951955815,0.01043975834326461,7.885106708985487e-20,0.0,1411104.150963026,344071.0328086429,2.295203390096214e-18,4526.800000000009,0.9737488242409902,92
28,16,16,0,9,9,0,7,9,0,0.04979081573506785,0.08811145293600695,0.00880350391929593,0.02987227003589756,0.009060955750095022,0.0,0.0,873376.9706813878,408448.46445369336,0.0,5055.466666666676,0.9706830555777852,96
29,12,12,0,2,2,0,10,2,0,0.058983834863317465,0.10056610588941783,0.0076718694119637335,0.04060637052772878,0.008701502785222104,1.7347234759768072e-19,0.0,1307287.122771951,325842.73642325343,2.5485185841952544e-18,5656.80000000001,0.9671958886998395,97
30,11,11,0,1,1,0,10,1,0,0.0654388483203123,0.11879727140281304,0.008433921325142561,0.04149968723973857,0.012977353027824018,6.938893903907229e-19,0.0,1967457.3279664244,424533.1694313407,1.045313166232797e-17,6088.80000000001,0.9646906956433996,93
31,13,13,0,0,0,0,13,0,0,0.07273901756891506,0.12306912074687615,0.007780663722383791,0.04799350462813807,0.012887109477636808,1.2009624064454818e-18,0.0,1574511.1200667159,423016.9853417702,1.1350612034121706e-17,12609.466666666676,0.9268769714380929,94
32,16,16,0,0,0,0,16,0,0,0.0614856212491129,0.10533019238154437,0.008433002031940827,0.0413606517140825,0.008924525431058726,2.710505431213761e-19,0.0,1349905.2778193906,341831.99515549105,5.136373390602236e-18,4955.800000000008,0.9712610283585534,98
33,11,11,0,4,4,0,7,4,0,0.07608137561619718,0.13553915541939196,0.007219839201523698,0.05006369693758853,0.013501621791505,2.7259940336778397e-18,0.0,1551383.3869168176,268501.73050733376,2.318269250386943e-17,4560.133333333342,0.973555522307623,95
34,18,18,0,9,9,0,9,9,0,0.07663973607392244,0.12949587985579677,0.008186236625004305,0.05417488036761805,0.010093967703092692,1.6383499495336511e-18,0.0,1588211.8963953594,367042.51387690316,1.2078651461644654e-17,6437.800000000008,0.9626668244010442,94
35,12,12,0,0,0,0,12,0,0,0.06980031706521132,0.13972907847558827,0.00803360282318118,0.05094697316008484,0.009429126969562206,2.8912057932946783e-19,0.0,1418002.0592577849,241171.63582201093,6.212946161389291e-18,9286.133333333342,0.9461491741948104,91
36,6,6,0,0,0,0,6,0,0,0.051793059531973135,0.07497551524775245,0.0070174854057821106,0.030256897673384932,0.012260818442607457,1.4456028966473392e-19,0.0,1726380.8793565289,400713.3708985035,2.672283162670822e-18,21296.80000000001,0.8764986215639131,85
37,7,7,0,0,0,0,7,0,0,0.07469661855886703,0.15100066016085678,0.007604000628286564,0.04933877161504159,0.010896789205897192,4.956352788505163e-19,0.0,1401760.213766863,461767.6549084591,4.4841614549244924e-18,31685.80000000001,0.8162522079913338,83
38,13,13,0,0,0,0,13,0,0,0.08085616747140138,0.1467340337974996,0.008527241839225954,0.05570953808936877,0.013668130910927303,1.2676825401368974e-18,0.0,1850253.1207865882,381039.36674292415,1.0180003353597884e-17,30137.80000000001,0.8252291497769102,83
39,11,11,0,0,0,0,11,0,0,0.08027625233976164,0.17405693117159088,0.008552856885310094,0.05174853962306201,0.014113901907752956,3.154042683594195e-19,0.0,2085073.127125115,654579.0347537576,1.3097867293613667e-18,26063.466666666674,0.8488564450923924,89
40,13,13,0,0,0,0,13,0,0,0.059013000909380255,0.1382245684825146,0.0075797065306243035,0.036968077568941146,0.012131514250841541,5.671211363770331e-19,0.0,1380688.6824988383,330565.2028380894,6.138905099262464e-18,12734.13333333334,0.9261540222072993,97
41,13,13,0,1,1,0,12,1,0,0.07715632444234709,0.12493850718884354,0.007915485824427686,0.05043429585894623,0.01453715012300801,2.168404344971009e-19,0.0,1848973.77618974,493160.8405078097,2.350228370079574e-18,4478.133333333342,0.9740310450637064,97
42,15,15,0,1,1,0,14,1,0,0.06676675422624635,0.11097919342951713,0.008213514511434917,0.04004366242687161,0.012603611544396398,2.7879484435341545e-19,0.0,1981924.4372161017,672169.1987164344,2.7625811823537724e-18,6004.133333333343,0.9651816825541525,98
43,5,5,0,0,0,0,5,0,0,0.07557090674861797,0.09046411437747667,0.008010792346999966,0.04617889272400411,0.017378334647748364,5.204170427930421e-19,0.0,2223919.55409013,700924.9209045054,6.256918199977686e-18,13792.466666666676,0.9200166858228882,92
44,14,14,0,4,3,0,10,4,1,0.06637311089132307,0.09657989468412663,0.00825319018623732,0.043288905594545714,0.011202451550838776,3.4694469519536144e-19,0.0,1999171.0058667448,744740.7427082732,4.862274661465229e-18,7264.133333333342,0.9578748694728695,96
45,13,13,0,4,4,0,9,4,0,0.07219836860221758,0.12255921203468623,0.007988083794064637,0.049026703826522196,0.01073805679512823,5.782411586589357e-19,0.0,1678692.3971261017,475311.7267656322,6.631078793121659e-18,7372.133333333342,0.9572485712087595,98
46,11,11,0,0,0,0,11,0,0,0.07745330697718143,0.14543273955285108,0.008351534647725525,0.047857311403445686,0.016224917082638693,0.0,0.0,2106629.4437699215,501482.4564212223,0.0,5801.466666666676,0.9663569583090256,97
47,14,14,0,1,1,0,13,1,0,0.06668664175896699,0.12633896879085169,0.008104660842271698,0.04063951820615584,0.014509415309587142,5.337610695313253e-19,0.0,1938167.9013516617,493323.19074938545,9.671503565369911e-18,7195.80000000001,0.9582711384362723,97
48,13,13,0,2,2,0,11,2,0,0.050591634483786924,0.08786807499674656,0.00796593589945348,0.03179529348412708,0.009282466799568182,2.365532012695646e-19,0.0,1238204.9519447864,377266.387065453,6.57790799876768e-18,8974.133333333342,0.9479584802911282,96
49,9,9,0,0,0,0,9,0,0,0.06524443861845244,0.10663137941179726,0.007764390639127867,0.041303519828240515,0.013476386631823645,9.637352644315594e-20,0.0,1877634.3154347679,531275.366131831,1.1883205726103803e-18,19570.133333333346,0.8865116617123381,88
50,12,12,0,0,0,0,12,0,0,0.06473092617724513,0.11019297316489265,0.008097300124802103,0.040491737574387954,0.01279149448395647,3.6140072416183483e-19,0.0,1914045.1734895827,486745.4055436282,4.802892458608226e-18,11030.133333333344,0.9360356170410344,90
51,7,7,0,0,0,0,7,0,0,0.08491851249869782,0.11846295679517188,0.009344307228657854,0.05646474613372475,0.012936833313967519,1.2390881971262908e-18,0.0,2457251.103306292,518926.4842312582,1.111930331848466e-17,21189.133333333342,0.8771229868086894,83
52,6,6,0,1,0,0,5,1,1,0.04743699319367465,0.07374561736595127,0.008647507319331133,0.02500704038770603,0.010585668822273634,3.4694469519536144e-19,0.0,1836272.7709538725,452234.7324773005,1.1017714982770207e-17,28952.80000000001,0.8321010335081169,79
53,7,7,0,0,0,0,7,0,0,0.08065643113468202,0.12953305843124738,0.008130102112855446,0.06068367954689622,0.010605436048290572,0.0,0.0,1945280.0814276997,290848.6084297191,0.0,26292.13333333334,0.8475303938294929,79
54,11,11,0,0,0,0,11,0,0,0.05478128480388611,0.09826508003348135,0.008283617586878771,0.03401877574671874,0.010560436240571252,5.519574696289841e-19,0.0,1564177.7429940642,450374.10233340686,1.0349940358114903e-17,34274.13333333334,0.8012423128653647,74
55,10,10,0,0,0,0,10,0,0,0.06557005771774695,0.11087298800625288,0.007648393652923529,0.044634872739621065,0.010142006047536059,6.938893903907229e-19,0.0,1745605.9019204616,346325.1852221518,7.32383179355532e-18,27879.80000000001,0.8383234227432095,77
56,18,18,0,0,0,0,18,0,0,0.06903546283565566,0.12625570540250508,0.007948281176768206,0.04410633606383969,0.012542466305837907,2.168404344971009e-19,0.0,1836834.8721917633,443603.6678177656,1.5849822931611264e-18,11075.133333333342,0.9357746594309886,87
57,15,15,0,4,3,0,11,4,1,0.07964036165820573,0.13305402458340215,0.007979306876092392,0.05145063831377247,0.01636658864639753,1.182766006347823e-18,0.0,1935192.9977883003,488612.64915173914,9.063013474641979e-18,5035.466666666674,0.9707990367378057,90
