slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,8,3,5,0,0,0,3,5,0,0.029572766368155017,0.042066272186037215,0.008162319243625678,0.01861878558284114,0.0027916615416881986,0.0,0.0,491022.57102389616,0.0,0.0,372111.2,0.009022655707389027,3
1,13,1,12,0,0,0,1,12,0,0.01556314145207738,0.01556314145207738,0.009841836762835586,0.005721304689241794,0.0,0.0,0.0,0.0,0.0,0.0,371643.2,0.010268996578421508,4
2,16,2,14,0,0,0,2,14,0,0.08161270417441746,0.09114546281612647,0.007151968928138769,0.06738519436491337,0.007075540881365304,0.0,0.0,912586.0466104487,0.0,0.0,369121.20000000007,0.01698538905009639,6
3,19,0,19,0,0,0,0,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369589.20000000007,0.015739048179063908,5
4,16,2,14,0,0,0,2,14,0,0.014604013169803545,0.018133347127352387,0.006685772403326275,0.00791824076647727,0.0,0.0,0.0,0.0,0.0,0.0,368325.20000000007,0.019105233779459274,7
5,15,2,13,0,0,0,2,13,0,0.05467940938712617,0.08809720488175754,0.010100839882220894,0.044578569504905276,0.0,0.0,0.0,0.0,0.0,0.0,367725.20000000007,0.020703106691039364,9
6,14,1,13,0,0,0,1,13,0,0.01044647360762011,0.01044647360762011,0.006219691889075845,0.004226781718544265,0.0,0.0,0.0,0.0,0.0,0.0,366933.20000000007,0.022812298934325126,10
7,14,2,12,0,0,0,2,12,0,0.03145136522001307,0.04270006336195329,0.008524474140439987,0.018003129390233925,0.004923761689339162,0.0,0.0,719093.3167348641,0.0,0.0,366451.20000000007,0.024095923506627814,10
8,11,2,9,0,0,0,2,9,0,0.06704981122405305,0.09757862011260915,0.007268771258098191,0.052868125055842305,0.006912914910112563,0.0,0.0,1487161.511070982,0.0,0.0,364999.20000000007,0.02796277595265162,9
9,17,0,17,0,0,0,0,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364999.20000000007,0.02796277595265162,9
10,9,0,9,0,0,0,0,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367941.20000000007,0.02012787244287051,6
11,16,3,13,0,0,0,3,13,0,0.053588799544794286,0.09307717862528944,0.008856546804449856,0.04243300839282447,0.0022992443475199622,0.0,0.0,214152.0108281381,0.0,0.0,364959.20000000007,0.028069300813423625,9
12,10,0,10,0,0,0,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364959.20000000007,0.028069300813423625,9
13,7,1,6,0,0,0,1,6,0,0.06371489313158013,0.06371489313158013,0.010448670266754861,0.04759307105464189,0.005673151810183377,0.0,0.0,1934538.9293956507,0.0,0.0,363393.20000000007,0.03223974911264771,10
14,8,0,8,0,0,0,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364993.20000000007,0.02797875468176747,8
15,10,0,10,0,0,0,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367405.20000000007,0.02155530557721541,6
16,13,4,9,0,0,0,4,9,0,0.0351368325617483,0.06514779965603915,0.00863025068965371,0.02521366805996109,0.0012929138121335014,0.0,0.0,240119.3632576397,0.0,0.0,367811.20000000007,0.020474078240379612,8
17,13,1,12,0,0,0,1,12,0,0.016925330668682428,0.016925330668682428,0.009734321553415887,0.00719100911526654,0.0,0.0,0.0,0.0,0.0,0.0,368059.20000000007,0.019813624103593108,7
18,10,4,6,0,0,0,4,6,0,0.04496027679377542,0.08600518615059118,0.008657296561384649,0.03598931232731243,0.00031366790507834447,0.0,0.0,229975.2134722781,0.0,0.0,365447.20000000007,0.026769697512005197,10
19,16,3,13,0,0,0,3,13,0,0.03934025740130578,0.0646832964242048,0.008225357882482907,0.028478633842898757,0.002636265675924112,0.0,0.0,216698.31564028232,0.0,0.0,366505.20000000007,0.0239521149445856,11
20,21,5,16,0,0,0,5,16,0,0.03415540122671247,0.0657310864089908,0.00861310162491083,0.024134170845045922,0.0014081287567557252,0.0,0.0,154901.1114741058,0.0,0.0,365035.20000000007,0.027866903577956847,15
21,10,2,8,0,0,0,2,8,0,0.07103461657738347,0.0720310613744011,0.0061592483026133875,0.06208852771774978,0.0027868405570202993,0.0,0.0,339936.73263286793,0.0,0.0,364199.20000000007,0.03009327316809185,16
22,10,1,9,0,0,0,1,9,0,0.03132823983741467,0.03132823983741467,0.01045918697443212,0.020869052862982556,0.0,0.0,0.0,0.0,0.0,0.0,365389.20000000007,0.026924158560124645,14
23,9,0,9,0,0,0,0,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367663.20000000007,0.020868220225236045,11
24,13,2,11,0,0,0,2,11,0,0.05045677201907953,0.05192894299591215,0.009262021045315007,0.03938860459867943,0.0018061463750850832,0.0,0.0,464866.45057674876,0.0,0.0,366357.20000000007,0.024346256929442034,12
25,12,5,7,0,0,0,5,7,0,0.04046070145224634,0.07025870808985415,0.007837655479182883,0.030408147690878295,0.002214898282185166,0.0,0.0,302127.27546150296,0.0,0.0,365711.20000000007,0.02606663343090998,15
26,6,2,4,0,0,0,2,4,0,0.042019825556645705,0.06040176966508866,0.008251046487285984,0.025779803960816215,0.007988975108543505,0.0,0.0,842659.0692831556,0.0,0.0,365813.20000000007,0.025794995035941293,15
27,9,0,9,0,0,0,0,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365813.20000000007,0.025794995035941293,15
28,12,0,12,0,0,0,0,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365813.20000000007,0.025794995035941293,15
29,13,5,8,0,0,0,5,8,0,0.0356333426402786,0.047950110497567575,0.009008834124940465,0.023404854066426155,0.0032196544489119803,0.0,0.0,484170.4833064439,0.0,0.0,361237.20000000007,0.03798143910825891,20
30,14,1,13,0,0,0,1,13,0,0.08122679130545006,0.08122679130545006,0.005572555047864946,0.06889583627543475,0.006758399982150367,0.0,0.0,530460.9285552102,0.0,0.0,361521.20000000007,0.03722511259677763,18
31,11,2,9,0,0,0,2,9,0,0.04469000692641746,0.05107513170132157,0.008349920041076268,0.03341611471425563,0.00292397217108556,0.0,0.0,468840.449854213,0.0,0.0,361907.20000000007,0.03619714769032778,19
32,5,0,5,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363877.20000000007,0.030950798297306514,16
33,8,3,5,0,0,0,3,5,0,0.058547211021511454,0.08147613128128532,0.007085387698186216,0.049534592573463425,0.0019272307498618161,0.0,0.0,551087.7940742817,0.0,0.0,364145.20000000007,0.030237081730134063,16
34,15,0,15,0,0,0,0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365065.20000000007,0.027787009932377815,15
35,14,0,14,0,0,0,0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365451.20000000007,0.026759045025927963,13
36,5,0,5,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365451.20000000007,0.026759045025927963,13
37,13,0,13,0,0,0,0,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365769.20000000007,0.025912172382790533,12
38,15,4,11,0,0,0,4,11,0,0.02576566378258549,0.037652020847412496,0.007896195376028209,0.016909394609887815,0.000960073796669465,0.0,0.0,181462.75098193003,0.0,0.0,363843.20000000007,0.03104134442896267,15
39,11,1,10,0,0,0,1,10,0,0.036366109489658356,0.036366109489658356,0.009666895133528272,0.026699214356130083,0.0,0.0,0.0,0.0,0.0,0.0,364757.20000000007,0.028607251360322272,13
40,9,1,8,0,0,0,1,8,0,0.03166216065834799,0.03166216065834799,0.00758334055772268,0.02407882010062531,0.0,0.0,0.0,0.0,0.0,0.0,368765.20000000007,0.01793346031096721,10
41,10,1,9,0,0,0,1,9,0,0.05446012612768436,0.05446012612768436,0.009172509357710228,0.045287616769974136,0.0,0.0,0.0,0.0,0.0,0.0,368631.20000000007,0.018290318594553434,10
42,13,0,13,0,0,0,0,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368631.20000000007,0.018290318594553434,10
43,19,3,16,0,0,0,3,16,0,0.017753712470115913,0.023478882636928315,0.00782868876930334,0.009925023700812574,0.0,0.0,0.0,0.0,0.0,0.0,367457.20000000007,0.021416823258211815,12
