slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,21,21,0,1,0,0,20,1,1,0.07169446269986064,0.11496103396072672,0.008400471530705965,0.04880434020502507,0.010525463043774922,4.1199682554449167e-19,0.0,1656360.8305893573,304742.9845295748,5.748926760890612e-18,329436.2666666667,0.11257364998449282,20
1,18,18,0,1,0,0,17,1,1,0.08374008854523532,0.14212439001167376,0.008156647544122651,0.05480060527677801,0.014936751777028402,3.5714895093640144e-19,0.0,1944678.6000079731,314620.4151924197,6.980374397908636e-18,295493.93333333335,0.20400657352319762,35
2,16,16,0,0,0,0,16,0,0,0.06997586935425094,0.11657462916470343,0.008319404684162448,0.047783354174332965,0.010313393765781553,7.589415207398531e-19,0.0,1591492.660089176,375347.43151168484,1.1773251653848369e-17,284309.26666666666,0.23413552082025735,45
3,16,16,0,1,0,0,15,1,1,0.06467473481304993,0.12566912848973708,0.007118433408457719,0.044444814211295564,0.009952750058968316,5.782411586589357e-19,0.0,1331975.9897199324,142250.4421183633,5.63256085607808e-18,266542.60000000003,0.28199487859975547,55
4,6,6,0,0,0,0,6,0,0,0.05977526743336511,0.09272745178242628,0.00801983661064021,0.04024700717048506,0.007384254515692679,7.950815931560366e-19,0.0,1436781.0429970466,205049.41419182424,1.677919706072825e-17,271016.60000000003,0.2699429405112672,53
5,17,17,0,0,0,0,17,0,0,0.05812741196008256,0.09395026944368098,0.007860958811594944,0.03441601989848211,0.013495387506627928,5.102127870520021e-19,0.0,1548222.6287233273,544877.4565955284,9.271589763604583e-18,251167.93333333335,0.3234107326001603,65
6,14,14,0,0,0,0,14,0,0,0.07773533138058693,0.1305429104918681,0.008167763116454587,0.052118879396776216,0.013252264911289927,1.3010426069826053e-18,0.0,1817465.0511276403,385390.4218438814,1.8252383477989414e-17,255515.26666666666,0.3117000056928393,65
7,10,10,0,0,0,0,10,0,0,0.06338938182017193,0.1226342169921005,0.008676895825274355,0.043990219646716816,0.008705813543969668,1.7347234759768072e-19,0.0,1126780.2777006763,85626.54588294926,5.2989258209927866e-18,265465.60000000003,0.2848960715638372,65
8,11,11,0,0,0,0,11,0,0,0.0776504294304871,0.11852594873334515,0.00897399602854431,0.04666477361344588,0.017618917111060953,9.462128050782583e-19,0.0,2430212.4824793465,572974.8130834792,9.12305738435749e-18,265510.2666666667,0.28477574972626774,63
9,8,8,0,0,0,0,8,0,0,0.06907749937944026,0.12376198128840257,0.008058521563491494,0.03798848243587305,0.017505828018338346,7.589415207398531e-19,0.0,2433166.4161273274,778672.0489478905,1.694463793848038e-17,255688.60000000003,0.3112330851291367,67
10,9,9,0,0,0,0,9,0,0,0.07673579567362239,0.11735165731254328,0.007551963862466827,0.04770437188360807,0.01664690619695514,1.3010426069826053e-18,0.0,1959680.43675786,436108.2637491907,1.525651127535113e-17,259759.93333333338,0.3002658394270956,66
11,18,18,0,0,0,0,18,0,0,0.06242765225335848,0.12428415510741117,0.008220105310488,0.037736923750918444,0.01329377930191723,5.300543954373578e-19,0.0,1499150.1728677445,314999.2309873539,1.0900066537770188e-17,238564.6,0.3573612451262922,76
12,14,14,0,0,0,0,14,0,0,0.06870607414480501,0.14817500457601498,0.00810822814033625,0.04279510459869136,0.013422262918872314,1.2390881971262907e-19,0.0,1633253.0553091962,487683.75943899294,2.4332588507722903e-18,238419.26666666666,0.3577527400604734,80
13,13,13,0,0,0,0,13,0,0,0.07240871695372844,0.1221418879058114,0.007567780532901155,0.048344773908986394,0.011976505735872308,6.672013369141566e-19,0.0,1551721.9147918439,338245.01349240943,7.899595082069087e-18,234855.2666666667,0.3673533451895239,81
14,12,12,0,0,0,0,12,0,0,0.07972790401484035,0.12255443090923547,0.00792320953684098,0.05100920643242309,0.013110374971964989,6.505213034913027e-19,0.0,1763004.5926862399,448284.60208619013,6.103555052938647e-18,231362.60000000003,0.37676179454812775,82
15,10,10,0,1,0,0,9,1,1,0.06424211963617471,0.10728978010890936,0.008160284989383627,0.0381071436040054,0.01493591308767711,3.854941057726238e-19,0.0,1726373.8396364856,313528.9117178047,4.0717118222924634e-18,233260.93333333335,0.37164811645142526,77
16,13,13,0,1,0,0,12,1,1,0.05263747489988685,0.12487348570177179,0.007491485035365522,0.029114190214842725,0.013680089370566417,1.0119220276531375e-18,0.0,1257456.6988645778,467095.72616008547,8.742696994363475e-18,234892.93333333338,0.3672518797593347,79
17,12,12,0,0,0,0,12,0,0,0.059255180386395885,0.10762699728713188,0.008861118370957164,0.03809005886706982,0.010257319909618883,7.228014483236696e-20,0.0,1389562.5692964345,326302.1233732579,1.619486512937593e-18,234998.60000000003,0.3669672378003085,81
