slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,16,2,14,0,0,0,2,14,0,0.019528315271637224,0.020829082804733782,0.007540770044296116,0.01198754522734111,0.0,0.0,0.0,0.0,0.0,0.0,174920.60000000003,0.004937749091806887,2
1,5,0,5,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174920.60000000003,0.004937749091806887,2
2,8,2,6,0,0,0,2,6,0,0.05006997429549632,0.05455878085276239,0.006687971407090512,0.03814251381404196,0.005239489074363848,0.0,0.0,615599.6012178992,0.0,0.0,173030.60000000003,0.015689299533644396,4
3,14,1,13,0,0,0,1,13,0,0.08326607802794389,0.08326607802794389,0.008220999664442709,0.07504507836350117,0.0,0.0,0.0,0.0,0.0,0.0,173486.60000000003,0.013095274665137602,4
4,15,0,15,0,0,0,0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174338.60000000003,0.008248543989769486,3
5,17,3,14,0,0,0,3,14,0,0.029887877914944027,0.031020555831811895,0.00771263789602718,0.020589320747138807,0.001585919271778039,0.0,0.0,213349.69040771844,0.0,0.0,171680.60000000003,0.023368978420671205,6
6,12,3,9,0,0,0,3,9,0,0.03598452308020537,0.05200920161430863,0.007550843500224755,0.02843367957998061,0.0,0.0,0.0,0.0,0.0,0.0,169620.60000000003,0.03508759953717133,9
7,7,2,5,0,0,0,2,5,0,0.037174087053000265,0.04777205608530156,0.005764010672728366,0.029068778248657858,0.0023412981316140434,0.0,0.0,287313.5610969135,0.0,0.0,169360.60000000003,0.03656664880430238,9
8,14,2,12,0,0,0,2,12,0,0.03581513981077848,0.05059888437402967,0.008529495100771405,0.026003599808438735,0.001282044901568346,0.0,0.0,300155.48019404395,0.0,0.0,168398.60000000003,0.04203913109268742,11
9,11,1,10,1,0,0,0,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168398.60000000003,0.04203913109268742,11
10,12,1,11,0,0,0,1,11,0,0.01789382629320622,0.01789382629320622,0.00720773958230048,0.010686086710905741,0.0,0.0,0.0,0.0,0.0,0.0,168612.60000000003,0.04082175977281799,11
11,14,2,12,0,0,0,2,12,0,0.029043571489555612,0.030320136793817124,0.008065022719282038,0.017572559895188106,0.003405988875085468,0.0,0.0,764346.3668238549,0.0,0.0,166822.60000000003,0.05100444511191282,12
