slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,6,1,5,0,0,0,1,5,0,0.06103871782479248,0.06103871782479248,0.009597029750821206,0.031486177157250606,0.011768148923869565,0.0,0.0,851746.8066206658,851746.8066206658,0.0,376424.46666666673,0.0022142124163064825,1
1,7,1,6,0,0,0,1,6,0,0.06811605368584998,0.06811605368584998,0.00875518458654749,0.03779631831133625,0.01789310505132609,1.734723475976807e-18,0.0,1525246.5620873473,0.0,2.5467175241497703e-17,375309.13333333336,0.005170618938637794,2
2,13,2,11,0,0,0,2,11,0,0.05585003366596621,0.056739340966696666,0.00981189023348349,0.03394261251609851,0.010629611568645525,4.336808689942018e-19,0.0,905496.8607468187,0.0,7.904953252138489e-18,372024.13333333336,0.013878146218247123,4
3,8,3,5,0,0,0,3,5,0,0.07175180340960631,0.10387666626487889,0.008170449381200253,0.03644568334722777,0.025262763613360995,0.0,0.0,1720346.3690184893,559534.8867416498,0.0,370346.80000000005,0.018324242339098906,5
4,14,3,11,0,0,0,3,11,0,0.048895645041023096,0.06550752777356803,0.008870844674460296,0.031196939159869114,0.005443059250406622,0.0,0.0,578447.6464435967,0.0,0.0,370761.80000000005,0.01722420464624108,6
5,12,4,8,0,0,0,4,8,0,0.06273334772540487,0.09390288504819316,0.008085535028483429,0.030629518374369058,0.019136578016198724,1.734723475976807e-18,0.0,886280.3082523771,308330.7042084683,2.8973112133742586e-17,370087.80000000005,0.019010771887171596,9
6,7,1,6,0,0,0,1,6,0,0.028183842120941775,0.028183842120941775,0.009480771933756026,0.018703070187185748,0.0,0.0,0.0,0.0,0.0,0.0,369789.80000000005,0.019800678471440625,10
7,9,5,4,0,0,0,5,4,0,0.0626721288886264,0.11354323900980745,0.008408887031701857,0.02781390988600756,0.019579927782694177,3.4694469519536144e-19,0.0,1877491.6353348095,892170.2209792444,9.713029421978254e-18,365906.4666666667,0.03009420387047168,14
8,7,1,6,0,0,0,1,6,0,0.05164545741690724,0.05164545741690724,0.010292948863391422,0.02442520305383934,0.014853588932954449,0.0,0.0,1819634.8305099863,909817.4152549931,0.0,366464.80000000005,0.0286142334804822,14
9,17,5,12,0,0,0,5,12,0,0.0457227035129374,0.07108444949555658,0.007520624837912268,0.020082619087436478,0.014767360134390228,1.3877787807814458e-18,0.0,1102642.4140800869,590490.1992979882,2.5827581750170675e-17,363168.80000000005,0.03735091838568538,16
10,13,2,11,0,0,0,2,11,0,0.049563462365179,0.05179169827967958,0.00949662016898472,0.0249055965401895,0.014099745890090696,0.0,0.0,1281223.710379524,422307.9544089097,0.0,364353.1333333333,0.0342116140300841,15
11,14,3,11,0,0,0,3,11,0,0.02242863449447029,0.024682318072482935,0.007372714689868655,0.012910279886523574,0.0021456399180780615,0.0,0.0,188897.67416805844,0.0,0.0,361403.1333333333,0.042031159075699986,18
