slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,7,5,2,0,0,0,5,2,0,0.05948757059404355,0.11169332683182912,0.008009969647457347,0.04673134029157618,0.004746260655010023,0.0,0.0,802694.6614379188,0.0,0.0,166457.40000000002,0.056392831511960506,5
1,9,3,6,0,0,0,3,6,0,0.04204878388085576,0.05712387768411613,0.006899119470407124,0.030564937298869665,0.004584727111578976,0.0,0.0,941363.7812527352,0.0,0.0,159398.40000000002,0.09640861334176842,8
2,8,4,4,0,0,0,4,4,0,0.06033305129090696,0.06686798552217277,0.007551763452476409,0.04526145199505495,0.007519835843375604,0.0,0.0,1237337.2575938194,0.0,0.0,157240.40000000002,0.10864179894719772,9
3,11,7,4,0,0,0,7,4,0,0.061008081543998456,0.12273139307832187,0.00837946869375542,0.0432691636020836,0.00935944924815943,0.0,0.0,1026476.9639039253,0.0,0.0,145776.40000000002,0.1736284716907759,15
4,13,10,3,0,0,0,10,3,0,0.03858600720390531,0.07305384136736928,0.008182459211845785,0.027489659523350196,0.0029138884687093256,0.0,0.0,508720.13450221176,0.0,0.0,135019.40000000002,0.2346073306145957,23
5,10,7,3,0,0,0,7,3,0,0.04970022080786649,0.07779316279724471,0.007999284268686903,0.03486383674115035,0.006837099798029235,0.0,0.0,969044.1252865613,0.0,0.0,121923.40000000002,0.30884542083178856,30
6,13,8,5,0,0,0,8,5,0,0.03491388493262568,0.0495993141471454,0.008457387171480951,0.02243411546735663,0.004022382293788096,0.0,0.0,598257.3443500989,0.0,0.0,120661.40000000001,0.3159993968438608,32
7,10,7,3,0,0,0,7,3,0,0.05982078145961927,0.09330713497721083,0.008789180571401064,0.045564356853621084,0.005467244034597121,0.0,0.0,1110091.7553849851,0.0,0.0,109780.40000000002,0.37768118209533263,37
8,17,11,6,0,0,0,11,6,0,0.048410677724621175,0.08413120115343059,0.008820511121366772,0.035333993804431085,0.0042561727988233156,0.0,0.0,656343.4461542461,0.0,0.0,102048.40000000002,0.4215120398808653,44
9,8,4,4,0,0,0,4,4,0,0.06538910341295251,0.10156724126001135,0.006544044565778058,0.05462404718367744,0.004221011663497005,0.0,0.0,802263.721739721,0.0,0.0,101363.40000000002,0.42539514096507247,44
10,10,6,4,0,0,0,6,4,0,0.03693046699208167,0.049249477703161085,0.00783688199065269,0.023732765445028097,0.0053608195564008795,0.0,0.0,965299.560794467,0.0,0.0,98948.40000000002,0.43908519807216784,44
11,15,9,6,0,0,0,9,6,0,0.08320723404877675,0.12880915026485146,0.008049350468545418,0.06431502251109965,0.010842861069131682,0.0,0.0,1488829.4186609078,0.0,0.0,85195.40000000002,0.5170476640737754,49
12,15,9,6,0,0,0,9,6,0,0.04172116250626174,0.0827748071548327,0.007712648613310734,0.029169902129201366,0.004838611763749638,0.0,0.0,796199.4489003128,0.0,0.0,80695.40000000002,0.5425570872546985,52
13,7,4,3,0,0,0,4,3,0,0.051105831009503506,0.09266580344463306,0.010174869958635771,0.03493865086442384,0.005992310186443904,0.0,0.0,922990.0613795,0.0,0.0,81410.40000000002,0.5385039233492852,52
14,16,11,5,0,0,0,11,5,0,0.050556274231312176,0.08267677040790936,0.008848925234552232,0.037765344052306395,0.003942004944453552,0.0,0.0,703436.3569389834,0.0,0.0,69180.40000000002,0.6078328667943271,61
15,13,6,7,0,0,0,6,7,0,0.061950049784227995,0.11698447182705717,0.008128542966981733,0.04357470278066885,0.01024680403657742,0.0,0.0,1265589.5816542942,0.0,0.0,75922.40000000002,0.5696140821085975,56
16,4,4,0,0,0,0,4,0,0,0.037496317215079705,0.06047860716109627,0.009562582164974465,0.026177065893507982,0.0017566691565972594,0.0,0.0,376036.12048991426,0.0,0.0,88369.40000000001,0.49905501759016446,52
17,15,12,3,1,0,0,11,4,1,0.06329938372193113,0.10126121559575302,0.008756004584961914,0.04599255917996908,0.008550819957000138,0.0,0.0,1447355.3561418606,0.0,0.0,82107.40000000002,0.5345527971365955,57
18,9,7,2,0,0,0,7,2,0,0.07208150828461592,0.13767674339376157,0.0072377549467607365,0.06254626102270945,0.002297492315145748,0.0,0.0,354854.1881796013,0.0,0.0,80270.40000000002,0.544966310555119,60
19,11,7,4,0,0,0,7,4,0,0.030649476421578663,0.058226722760706805,0.009043655189359888,0.017487850908953075,0.004117970323265698,0.0,0.0,650444.8669044696,0.0,0.0,89033.40000000002,0.49529096048080157,54
20,10,8,2,0,0,0,8,2,0,0.066954445689755,0.09495345313466849,0.008367612801393462,0.05009027092527742,0.008496561963084119,0.0,0.0,1446861.8691101545,0.0,0.0,80857.40000000002,0.5416387480201852,56
21,6,4,2,0,0,0,4,2,0,0.040952192910698224,0.055996902156878685,0.007511231690791765,0.026816531243251663,0.006624429976654797,0.0,0.0,1069613.5909813219,0.0,0.0,82793.40000000002,0.5306640272916815,54
22,8,4,4,0,0,0,4,4,0,0.06342640194660604,0.08278222378667732,0.008365528765665646,0.05103067170362246,0.004030201477317927,0.0,0.0,711259.4738061472,0.0,0.0,84910.40000000002,0.518663260875234,53
23,15,13,2,0,0,0,13,2,0,0.04180711003557764,0.06621784396415499,0.007769855521073232,0.029384801495108658,0.00465245301939575,0.0,0.0,807281.3105822523,0.0,0.0,72088.40000000002,0.5913481106587439,62
24,9,4,5,0,0,0,4,5,0,0.04635300891773424,0.07900154829387603,0.0070681857933923425,0.03830569780468199,0.0009791253196599133,0.0,0.0,131767.72837161607,0.0,0.0,78466.40000000002,0.5551927548703157,58
25,16,6,10,0,0,0,6,10,0,0.0521094818499257,0.0785826001164803,0.008022033803600353,0.03573435305442784,0.00835309499189751,0.0,0.0,944398.6295776452,0.0,0.0,78598.40000000002,0.5544444784570086,56
26,14,9,5,0,0,0,9,5,0,0.0439335168851801,0.105264712749664,0.008654456416554083,0.03202588563950208,0.003253174829123933,0.0,0.0,674741.0743329397,0.0,0.0,69614.40000000002,0.6053726246475447,62
27,15,8,7,0,0,0,8,7,0,0.07577813643801036,0.09296283571538015,0.008108098491060547,0.05385460045608674,0.013815437490863077,0.0,0.0,1905406.636101946,0.0,0.0,61332.40000000001,0.6523213008218569,63
28,18,11,7,0,0,0,11,7,0,0.04216952878352313,0.069174822987946,0.00838368705867598,0.028104393023824007,0.005681448701023149,0.0,0.0,982631.5080348949,0.0,0.0,58389.40000000001,0.6690044635821806,65
29,9,6,3,0,0,0,6,3,0,0.05095749695973536,0.10764476423661934,0.009017621869169868,0.03564407620153806,0.006295798889027422,0.0,0.0,1179572.4784729807,0.0,0.0,67836.40000000001,0.6154516811843629,60
30,16,11,5,0,0,0,11,5,0,0.05598049063118251,0.09711372009107985,0.008570381749413152,0.04112322150794459,0.006286887373824769,0.0,0.0,1456200.0942865422,0.0,0.0,54517.40000000001,0.6909539050391882,66
31,7,4,3,0,0,0,4,3,0,0.09130533051425041,0.10623124402309887,0.008579211024059208,0.07192642439783306,0.010799695092358143,0.0,0.0,1754322.9536729497,0.0,0.0,58879.40000000001,0.6662267708358134,64
32,12,6,6,0,0,0,6,6,0,0.04250307903257016,0.07985242518874569,0.00818081044312736,0.03068325616732411,0.0036390124221186864,0.0,0.0,512226.3985835009,0.0,0.0,57096.40000000001,0.6763341711761658,66
33,10,8,2,1,0,0,7,3,1,0.04109241547681332,0.0822869399112118,0.00858715370342916,0.026871963943773256,0.005633297829610895,0.0,0.0,814895.3406093108,0.0,0.0,59512.40000000001,0.6626384453083636,65
34,12,10,2,0,0,0,10,2,0,0.047092419924782546,0.09114759970277081,0.007195463650134806,0.03548839860801763,0.004408557666630111,0.0,0.0,821393.7510123237,0.0,0.0,56192.40000000001,0.6814587308551778,68
