slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,10,8,2,0,0,0,8,2,0,0.07906995241524623,0.15458599972739753,0.008562173663653281,0.05038906584613199,0.01600196704901393,6.505213034913027e-19,0.0,1757409.6456769882,389674.93534212443,1.0326186580832248e-17,365166.8,0.03858641450697531,8
1,12,9,3,0,0,0,9,3,0,0.06346875037694179,0.13250986020153066,0.00772997749232857,0.04333330819500217,0.010336910080430299,9.637352644315594e-20,0.0,1151144.1748109655,341138.8003507761,1.333357240540163e-18,353943.80000000005,0.06813440372721158,16
2,12,11,1,0,0,0,11,1,0,0.06276045085713972,0.11331521971880659,0.008001534956921845,0.04182156375452096,0.009138232435563593,3.154042683594195e-19,0.0,1098137.595598932,370717.95974439126,4.484557263100088e-18,340308.80000000005,0.10403272262749874,26
3,11,10,1,0,0,0,10,1,0,0.05864524706875431,0.09362920218864983,0.007600672472256739,0.03393359696135993,0.015004318018063267,8.673617379884036e-20,0.0,1345131.8290356263,434566.7815052165,1.0219498736197336e-18,322943.4666666667,0.14975228799675355,36
4,9,9,0,0,0,0,9,0,0,0.08498203225425545,0.14424022788286495,0.007806757746246695,0.05414874939722352,0.016886398406652035,4.818676322157797e-20,0.0,2171128.6341870124,752680.8024310487,9.84886362156301e-19,316892.80000000005,0.16568252353465862,36
5,16,11,5,0,0,0,11,5,0,0.08555235733786465,0.13401549798944307,0.008637229036264578,0.05566531465131755,0.015312690823897109,1.4193192076173877e-18,0.0,1962474.2591049746,589790.3521280299,1.3432315138993846e-17,302416.4666666667,0.2037959104438526,43
6,11,10,1,0,0,0,10,1,0,0.08034211657037951,0.1298145689515038,0.008509450110893628,0.05173705833671911,0.01421946208465231,2.6020852139652105e-19,0.0,1567956.9331291334,379578.34021130425,3.2828455876143373e-18,291634.1333333333,0.23218370952630196,52
7,11,9,2,0,0,0,9,2,0,0.06958678786117117,0.11783714285819687,0.008230842337413148,0.04129756412881744,0.014644584519047972,0.0,0.0,1471216.7526973702,449747.47282585833,0.0,290143.4666666667,0.23610834666411107,54
8,9,6,3,0,0,0,6,3,0,0.07366940639978833,0.12366934247020332,0.008807603007818486,0.047945804632908005,0.012516301772472233,1.734723475976807e-18,0.0,1698735.7423776926,230367.53168189185,1.4426806288150712e-17,290262.80000000005,0.23579416506855289,53
9,10,9,1,0,0,0,9,1,0,0.07036345734713788,0.12527079132378885,0.008505562217356133,0.04221716267418483,0.017225838047077464,4.818676322157798e-19,0.0,2277578.039880617,515678.4954597459,7.332361239977698e-18,281783.1333333333,0.25811948799984274,57
10,8,8,0,0,0,0,8,0,0,0.05754879181493283,0.08623148991039606,0.008517514045938871,0.03469714985943165,0.011180510883286648,1.0842021724855044e-19,0.0,1474059.772232077,359889.54706383555,1.2588380496506299e-18,278885.4666666667,0.2657484841176815,59
11,16,13,3,0,0,0,13,3,0,0.06946559590137512,0.1502240666223061,0.008644535953806022,0.046101923488948045,0.010694279276143286,0.0,0.0,1237602.0598410342,352008.80112157844,0.0,271922.4666666667,0.2840807169378281,65
12,10,6,4,0,0,0,6,4,0,0.05391391985333771,0.08909427037216996,0.008323688771942632,0.02671142849383616,0.015360959944536526,0.0,0.0,1578953.6746117056,579407.6961936854,0.0,277983.80000000005,0.26812239812881145,60
13,14,11,3,0,0,0,11,3,0,0.06177477116328263,0.13314561960113908,0.00704469916681631,0.03942799537551565,0.010552594130451098,3.9425533544927433e-19,0.0,1227342.3531453062,274696.6900979321,4.47714616605241e-18,268243.8,0.29376593506235016,66
14,13,12,1,1,0,0,11,2,1,0.06162334843847292,0.12608598041092428,0.007974580239271369,0.037024107302628284,0.01264246965476365,9.462128050782583e-19,0.0,1406675.8226746616,438168.1890955846,1.1960121653438633e-17,262047.46666666667,0.31007968277136944,73
15,7,7,0,0,0,0,7,0,0,0.07070201969990851,0.10980599666153239,0.009006052861223543,0.03913546065329504,0.017240140494089583,6.195440985631454e-19,0.0,2338393.698691386,516321.0814549666,8.832030762813263e-18,260418.13333333336,0.314369402433626,71
16,14,12,2,0,0,0,12,2,0,0.06980774974244837,0.14773492152985843,0.0073587716559040195,0.04562504043563173,0.013318553146759005,6.505213034913027e-19,0.0,1544720.2691084787,353084.7621112649,1.1451292747937063e-17,253977.13333333336,0.3313273101737616,74
17,12,12,0,0,0,0,12,0,0,0.044638100516419144,0.07769429153289115,0.007752514017451823,0.029807054096878182,0.005860590303845396,2.168404344971009e-19,0.0,679310.2967824332,244170.7258174077,3.710363188118674e-18,263169.1333333333,0.30712655129356814,74
18,15,12,3,0,0,0,12,3,0,0.05779119690972078,0.09145547936544032,0.008108938271951492,0.028405964069629582,0.018350929490955223,3.6140072416183483e-19,0.0,1908995.5563739103,657714.2675427278,8.823668712470144e-18,251385.4666666667,0.33815066745159394,79
19,12,7,5,0,0,0,7,5,0,0.044711550060000535,0.08338620571578018,0.008020239405063629,0.02502751881557016,0.008426437700130051,2.4781763942525814e-19,0.0,985301.0692467705,287091.55538208486,2.599859659048624e-18,260218.13333333336,0.3148959637669635,74
20,19,13,6,0,0,0,13,6,0,0.07954709090984075,0.14190982596006935,0.00799136061404345,0.05006974111672586,0.01796748158352706,4.0032080214849397e-19,0.0,2016734.561874125,440260.05692472594,4.493723495639662e-18,243292.46666666667,0.35945797180509786,81
21,15,6,9,1,0,0,5,10,1,0.062450030104601005,0.08416348319727192,0.006945909436644854,0.035035591175714254,0.01713804451123552,6.938893903907229e-19,0.0,1508479.2254668444,427311.2605384076,1.4559406465381065e-17,257348.80000000002,0.32245036369591284,76
22,12,10,2,0,0,0,10,2,0,0.06116184733711261,0.08634555169113618,0.008295960848734548,0.03649117660408963,0.01302407787595863,3.4694469519536144e-19,0.0,1409454.1621315414,375762.01339933544,6.80223004923843e-18,259236.80000000002,0.31747962470920643,76
23,8,7,1,1,0,0,6,2,1,0.04489774758864313,0.07583895198052605,0.009395447576948858,0.02390110121606953,0.008417768943384535,1.3010426069826053e-18,0.0,1317090.2125817307,647845.2312430586,1.6967886624657564e-17,279282.13333333336,0.26470413747322863,69
24,11,9,2,0,0,0,9,2,0,0.07682009104570704,0.13035707103280333,0.006937627925494845,0.0429459754345675,0.021036706154094805,7.709882115452476e-19,0.0,2173458.4201522185,618974.4602368118,7.275062551595255e-18,275990.4666666667,0.2733704594177425,67
25,9,8,1,0,0,0,8,1,0,0.05644993835746209,0.1068935023369783,0.008189605681674723,0.03372594911031848,0.011375790610688184,0.0,0.0,1255724.2568718763,428400.85645937093,0.0,277852.13333333336,0.26846905100659213,67
26,9,4,5,0,0,0,4,5,0,0.060604980545486103,0.0754066905505639,0.007310227539980929,0.038813632260265164,0.011300871808019482,2.168404344971009e-19,0.0,1381935.4208041255,231299.74533903226,3.2196478820598873e-18,280612.1333333333,0.26120250460653416,65
27,16,11,5,0,0,0,11,5,0,0.06024853743079536,0.1068816867113665,0.008028418178491035,0.041001325669646975,0.00874302303416761,1.5770213417970974e-19,0.0,1131604.5090710474,369367.5741259789,1.843425105789293e-18,277884.8,0.2683830459888137,70
28,9,7,2,0,0,0,7,2,0,0.07027626322917714,0.1275772666017129,0.00800228051795588,0.04635726452272145,0.011530740670861647,5.575896887068309e-19,0.0,2045561.168726927,347482.8526476386,4.372890804235897e-18,284540.13333333336,0.2508608400197846,63
29,13,12,1,1,0,0,11,2,1,0.061807840572114976,0.12532681083483163,0.008161733538918787,0.03607670135333879,0.015198936080703017,0.0,0.0,2102138.6911349697,435043.769795346,0.0,275432.80000000005,0.2748386879355319,65
30,15,13,2,0,0,0,13,2,0,0.05747355883021237,0.11124084867226991,0.008254036819396897,0.031866945981913926,0.01362934030722331,1.2009624064454818e-18,0.0,1532295.5639955602,572987.5173051128,1.9439499347458532e-17,267282.1333333333,0.2962978174734816,71
31,13,9,4,0,0,0,9,4,0,0.07423923732944143,0.10338638923416954,0.007753775303582517,0.04508761056105403,0.017408898751548985,1.3974161334257613e-18,0.0,2098278.1085407594,824000.195320566,1.826485462112997e-17,265883.1333333333,0.2999811140001777,71
32,16,13,3,0,0,0,13,3,0,0.0773274761742117,0.17106993109562277,0.008682863289080252,0.04722971351063329,0.016687521320143464,8.006416042969879e-19,0.0,2089077.0697478573,518169.19870680734,7.892851581893421e-18,268964.13333333336,0.29186943666011267,70
33,13,8,5,0,0,0,8,5,0,0.0664261059081413,0.14928963571870263,0.007811889146271353,0.04413056217161469,0.011841801350628709,5.421010862427522e-19,0.0,1324626.5886686214,333821.8283261842,1.3211452493656255e-17,278982.13333333336,0.26549397947323494,63
34,18,16,2,0,0,0,16,2,0,0.06462563700743751,0.0882342554648799,0.008340048003505273,0.03506766594528321,0.015353102149382906,2.1141942363467336e-18,0.0,1696469.9029429345,625739.9019917103,2.7233904202003297e-17,269030.1333333333,0.29169567142011144,72
35,8,8,0,0,0,0,8,0,0,0.06036835958186515,0.11762079307734999,0.00799321386340543,0.03273153959062799,0.016422609232610727,4.87890977618477e-19,0.0,1840058.9038368876,387690.7027090135,7.84085705514305e-18,262172.4666666667,0.3097505819380335,74
36,10,9,1,0,0,0,9,1,0,0.05665431618769327,0.09660311024958994,0.00779172063733755,0.027577316445460895,0.0178576142175015,3.854941057726238e-19,0.0,1901584.9551426147,566657.44118083,4.9923947077887235e-18,263512.4666666667,0.306222621004672,72
37,18,15,3,0,0,0,15,3,0,0.07746110493783478,0.13448000739640653,0.007880444021232764,0.05482409567278882,0.012207766678658605,1.0986582014519778e-18,0.0,1616741.7460416981,311542.76746024436,8.560254142672639e-18,254634.80000000002,0.3295958009893034,78
38,10,9,1,0,0,0,9,1,0,0.06762970252342847,0.13857440773437402,0.007409153125094882,0.03765464724011418,0.016953821643086044,9.637352644315595e-19,0.0,1603487.422895647,567006.8481871752,7.156979608144604e-18,253780.80000000002,0.3318442178826547,81
39,10,8,2,0,0,0,8,2,0,0.0664690506818595,0.1305380300054114,0.007867878785937409,0.04415085527299541,0.010584687499999103,2.168404344971009e-19,0.0,1382446.395053953,317316.1149822,3.095743808112723e-18,253133.13333333333,0.3335493990004461,83
