slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,21,15,6,0,0,0,15,6,0,0.04484376714690424,0.08788817748738449,0.007660515970212249,0.033282334155044946,0.003900917021647048,0.0,0.0,543978.0035065828,0.0,0.0,355034.80000000005,0.05945764371403106,15
1,13,10,3,0,0,0,10,3,0,0.07801555652283233,0.15214527439156175,0.007054084654985958,0.06218497191290231,0.008776499954944061,0.0,0.0,1288296.4686803645,0.0,0.0,340375.80000000005,0.0982916126680492,22
2,18,14,4,0,0,0,14,4,0,0.051248376852067165,0.10349308333960615,0.008033280626958636,0.03835909802212314,0.004855998202985387,0.0,0.0,739951.4922546732,0.0,0.0,323610.80000000005,0.14270470288662562,33
3,12,8,4,0,0,0,8,4,0,0.05867153855328834,0.09723456937291221,0.0075871361013749505,0.04279542319501987,0.008288979256893527,0.0,0.0,1128010.1262867982,0.0,0.0,309719.80000000005,0.17950412049630338,36
4,13,9,4,0,0,0,9,4,0,0.05368780139488952,0.13417101561140876,0.007969692673786196,0.042293067948837276,0.003425040772266047,0.0,0.0,398765.7918467063,0.0,0.0,305627.80000000005,0.190344464377867,41
5,8,6,2,0,0,0,6,2,0,0.09266579020507058,0.1681178795946399,0.008455499858380344,0.07736302882228752,0.0068472615244027195,0.0,0.0,1213340.7541449938,0.0,0.0,304942.80000000005,0.19215913582431643,43
6,10,7,3,0,0,0,7,3,0,0.04229295188080346,0.07247627422941656,0.0077877931404180395,0.029258433856235503,0.005246724884149916,0.0,0.0,658385.1246018327,0.0,0.0,303684.80000000005,0.1954917733128324,46
7,12,7,5,0,0,0,7,5,0,0.05937811121607657,0.08836656313463671,0.008364151147983457,0.04397073811300437,0.00704322195508874,0.0,0.0,1065606.3009000875,0.0,0.0,301584.80000000005,0.20105499964501317,46
8,9,7,2,0,0,0,7,2,0,0.07656544480709519,0.10568107717236866,0.008235167821190062,0.05723295104201489,0.011097325943890238,0.0,0.0,1567727.826210649,0.0,0.0,295472.80000000005,0.21724663742705552,46
9,13,7,6,0,0,0,7,6,0,0.04480134239589918,0.0765303117235488,0.008845172956144239,0.029337808642113942,0.006618360797641001,0.0,0.0,1005885.6405313864,0.0,0.0,294967.80000000005,0.2185844609021751,47
10,9,4,5,0,0,0,4,5,0,0.02868304067672036,0.03852332937284237,0.007236506493084208,0.019354482911254172,0.002092051272381979,0.0,0.0,339952.00041052204,0.0,0.0,301042.80000000005,0.20249084186979505,45
11,13,5,8,0,0,0,5,8,0,0.04583896161302622,0.07653757929197696,0.007474894757337591,0.0314208850548208,0.006943181800867818,0.0,0.0,707339.2509031179,0.0,0.0,302170.80000000005,0.19950259458279507,45
12,15,10,5,0,0,0,10,5,0,0.05549616177043486,0.10549920038329616,0.008340350613977112,0.04055757558749572,0.0065982355689620294,0.0,0.0,1047490.882801079,0.0,0.0,291250.80000000005,0.22843137151013515,50
13,11,7,4,0,0,0,7,4,0,0.07573274675272669,0.14079798463425802,0.008882784617013481,0.05716882294309692,0.009681139192616288,0.0,0.0,1794415.184414237,0.0,0.0,282046.80000000005,0.2528141977774646,54
14,15,9,6,0,0,0,9,6,0,0.05282467819927314,0.08387029592361074,0.007573138714553834,0.03830083140418633,0.0069507080805329795,0.0,0.0,1053918.6985948172,0.0,0.0,288327.80000000005,0.2361748527334515,52
15,13,6,7,0,0,0,6,7,0,0.07124123317665278,0.09771085545812573,0.008049605631980181,0.05498276919249263,0.008208858352179958,0.0,0.0,875176.7603852291,0.0,0.0,291510.80000000005,0.22774259110710315,53
16,10,8,2,0,0,0,8,2,0,0.05770474665862801,0.10197288932466993,0.008319064745875866,0.04287280733682591,0.006512874575926232,0.0,0.0,846121.761582356,0.0,0.0,287520.80000000005,0.23831272113824664,57
17,12,9,3,0,0,0,9,3,0,0.058376884205322575,0.13335989890796146,0.007208500537009495,0.045315769340773096,0.005852614327539984,0.0,0.0,796803.3582023294,0.0,0.0,283064.80000000005,0.25011735758405507,62
18,9,6,3,0,0,0,6,3,0,0.05335657150458014,0.09560875436958928,0.006832227720753242,0.04300441680063735,0.0035199269831895467,0.0,0.0,491186.71124530624,0.0,0.0,296569.80000000005,0.2143405139573401,55
19,11,8,3,0,0,0,8,3,0,0.05214374888617132,0.1100417964074497,0.00810545000090276,0.038837627005580175,0.0052006718796883825,0.0,0.0,874114.3588700262,0.0,0.0,292144.80000000005,0.22606302658586386,57
20,16,9,7,0,0,0,9,7,0,0.05727889341406987,0.09266814356920164,0.007849105309293935,0.04495600088089874,0.004473787223877213,0.0,0.0,741516.6831640571,0.0,0.0,295241.80000000005,0.2178585923235954,58
21,14,9,5,0,0,0,9,5,0,0.07572808306653606,0.10565549377683546,0.007974377113520798,0.06211702240476328,0.0056366835482519785,0.0,0.0,895730.1783481969,0.0,0.0,292448.80000000005,0.22525768334539575,61
22,15,9,6,0,0,0,9,6,0,0.05941331915121742,0.11589305987474083,0.007836748400787274,0.04300125579178698,0.008575314958643172,0.0,0.0,1194977.2434813352,0.0,0.0,293711.80000000005,0.22191180007989852,58
23,11,6,5,0,0,0,6,5,0,0.07661820905332305,0.10925330792544972,0.008194910587353945,0.06173567417830119,0.006687624287667923,0.0,0.0,979117.5195279829,0.0,0.0,289621.80000000005,0.2327468456506696,61
24,12,8,4,0,0,0,8,4,0,0.03581237526832945,0.061663279062190185,0.008019884863781412,0.02244923297305091,0.005343257431497125,0.0,0.0,837398.1870322662,0.0,0.0,285334.80000000005,0.24410377483450718,64
25,17,11,6,0,0,0,11,6,0,0.06748870635599527,0.1121767688722257,0.007177429293757708,0.04972089273667674,0.01059038432556083,0.0,0.0,1307211.676149375,0.0,0.0,275752.80000000005,0.26948798184162925,69
26,16,12,4,0,0,0,12,4,0,0.05488014356544108,0.10409728465640106,0.00790726187088208,0.040351745023676264,0.006621136670882739,0.0,0.0,991020.0553933674,0.0,0.0,270324.80000000005,0.28386759733261835,73
27,10,8,2,0,0,0,8,2,0,0.07542852384057395,0.14496684206406887,0.007621047618715002,0.059313010712996654,0.008494465508862296,0.0,0.0,899900.3502237045,0.0,0.0,264602.80000000005,0.2990260645101128,77
28,7,7,0,0,0,0,7,0,0,0.04928113141857589,0.0836255292652638,0.007949900487413543,0.035159026798578345,0.006172204132583994,0.0,0.0,905263.2543333692,0.0,0.0,261245.80000000002,0.3079192791754133,79
29,7,4,3,0,0,0,4,3,0,0.07804240578410993,0.127374289716074,0.008065627886197926,0.058212110669344945,0.011764667228567043,0.0,0.0,1729684.6930680166,0.0,0.0,267796.80000000005,0.2905646621744056,74
30,13,10,3,0,0,0,10,3,0,0.048382699769654695,0.11249513439386544,0.008934031986374684,0.034812534042941115,0.004636133740338891,0.0,0.0,892994.6709777698,0.0,0.0,264360.80000000005,0.2996671601160118,78
31,7,3,4,0,0,0,3,4,0,0.04091846007329968,0.047976138177864,0.006773178221882766,0.02810947945041936,0.006035802400997545,0.0,0.0,821237.5586776277,0.0,0.0,272215.80000000005,0.27885804447825946,71
32,14,10,4,0,0,0,10,4,0,0.06275175193273877,0.09964312997887105,0.008240811002071347,0.045227330851978165,0.009283610078689237,0.0,0.0,1493301.3532815033,0.0,0.0,262345.80000000005,0.30500520823950905,75
33,12,8,4,1,0,0,7,5,1,0.07619638190868527,0.14408135661100718,0.008205181008668025,0.057780756948155654,0.010210443951861591,0.0,0.0,1381821.1555044416,0.0,0.0,258972.80000000002,0.31394080939115,75
34,11,9,2,0,0,0,9,2,0,0.05963184400593237,0.08392814140532583,0.0078273121718857,0.041075000539481626,0.010729531294565045,0.0,0.0,1438654.8182657654,0.0,0.0,261159.80000000002,0.30814710653949307,69
35,12,6,6,0,0,0,6,6,0,0.06276483617044365,0.10350067027526544,0.0078537475456511,0.04389414422843335,0.011016944396359198,0.0,0.0,1550994.150029486,0.0,0.0,266445.80000000005,0.29414367111477513,64
36,12,7,5,0,0,0,7,5,0,0.07318358139188795,0.10747371136534285,0.00772220537924355,0.05857284621425605,0.006888529798388353,0.0,0.0,966343.4082639156,0.0,0.0,264153.80000000005,0.300215535283041,66
37,8,7,1,0,0,0,7,1,0,0.0483596894111494,0.07075399523930899,0.007911516097684155,0.028808751649716996,0.011639421663748258,0.0,0.0,1227505.0985198778,0.0,0.0,270743.80000000005,0.28275760122157845,62
38,14,9,5,1,0,0,8,6,1,0.07101189297159292,0.14214717092585263,0.00829238774749399,0.053821030602154776,0.008898474621944163,0.0,0.0,1375139.1690583136,0.0,0.0,261813.80000000002,0.3064145589103282,67
39,11,8,3,0,0,0,8,3,0,0.0634678918128034,0.09783380531552972,0.0072091786532450085,0.04906728183343824,0.007191431326120166,0.0,0.0,877210.0017575762,0.0,0.0,265920.80000000005,0.2955344776978204,66
40,10,6,4,0,0,0,6,4,0,0.04448365367819204,0.06414899841022133,0.007755797296071734,0.0304585024770809,0.0062693539050394055,0.0,0.0,910392.1764947007,0.0,0.0,267466.80000000005,0.29143888345517677,64
41,13,9,4,0,0,0,9,4,0,0.05237308031741302,0.08307723055398084,0.007855132518894015,0.035198368106572835,0.009319579691946168,0.0,0.0,1101454.5394794415,0.0,0.0,265116.80000000005,0.2976643986364267,64
42,11,7,4,0,0,0,7,4,0,0.05535541839091892,0.07447904539967014,0.007568496355544786,0.03687420571699712,0.01091271631837702,0.0,0.0,1457704.5747482297,0.0,0.0,258527.80000000002,0.315119683542493,64
43,12,9,3,0,0,0,9,3,0,0.06421062995362806,0.09652520891232472,0.007687853014922277,0.04571695922153826,0.010805817717167524,0.0,0.0,1458578.0647603637,0.0,0.0,255297.80000000002,0.32367645547246626,67
44,8,4,4,0,0,0,4,4,0,0.03268163185649433,0.03987802508418692,0.007940021570750648,0.020870578763073844,0.003871031522669836,0.0,0.0,774494.2850615398,0.0,0.0,264074.80000000005,0.3004248185593469,61
45,14,8,6,0,0,0,8,6,0,0.044593126337571724,0.07009346257633518,0.0076210200046906915,0.03213606533168706,0.004836041001193978,0.0,0.0,603679.2235284954,0.0,0.0,267717.80000000005,0.29077394545071134,61
46,14,11,3,0,0,0,11,3,0,0.04181636135398101,0.10514816708883917,0.007745420656198951,0.030600102224307094,0.0034708384734749628,0.0,0.0,664517.8445232502,0.0,0.0,263412.80000000005,0.3021785594316819,67
47,16,8,8,0,0,0,8,8,0,0.06442250390379411,0.1155219452829055,0.007840840971919307,0.04718844981574265,0.00939321311613216,0.0,0.0,1366424.3321935846,0.0,0.0,265421.80000000005,0.2968564062405623,65
48,13,10,3,0,0,0,10,3,0,0.07575882408629585,0.15814944018982335,0.008706051336010455,0.05745986726897621,0.009592905481309187,0.0,0.0,1396642.63247169,0.0,0.0,258755.80000000002,0.31451567611214193,68
49,10,10,0,0,0,0,10,0,0,0.04146138135076284,0.0898954599243781,0.007684509979140647,0.0273804044616406,0.006396466909981592,0.0,0.0,760153.6919326662,0.0,0.0,266921.80000000005,0.29288267314614747,66
50,8,4,4,0,0,0,4,4,0,0.0472253475095928,0.08245069824320789,0.0089811326755853,0.033529722412573085,0.00471449242143442,0.0,0.0,883553.4076181203,0.0,0.0,268708.80000000005,0.28814863245300126,65
51,10,7,3,0,0,0,7,3,0,0.0560165548057785,0.07606472900718406,0.0076383033041635615,0.04053791998566702,0.007840331515947919,0.0,0.0,1080840.3250335194,0.0,0.0,270499.80000000005,0.28340399513826997,65
52,15,8,7,0,0,0,8,7,0,0.061290870044527816,0.07998928119540187,0.007684433348564814,0.04481697034026618,0.008789466355696822,0.0,0.0,1345362.734913428,0.0,0.0,267931.80000000005,0.2902070261959082,65
53,11,7,4,1,0,0,6,5,1,0.0636014730819754,0.08736494189705364,0.007464982862721928,0.046761702209644894,0.009374788009608585,0.0,0.0,1071240.4898710307,0.0,0.0,280921.80000000005,0.25579449759827566,61
54,10,4,6,0,0,0,4,6,0,0.03623824204397946,0.05271527817528258,0.009386567594637968,0.021132694551841295,0.005718979897500198,0.0,0.0,878337.1576485333,0.0,0.0,290457.80000000005,0.23053215173938246,55
55,8,5,3,0,0,0,5,3,0,0.07913944058700594,0.13943048308923892,0.006501052254333219,0.06118138269378657,0.011457005638886155,0.0,0.0,1189939.2719951237,0.0,0.0,295830.80000000005,0.21629823979518847,52
56,13,6,7,0,0,0,6,7,0,0.07356403271161427,0.12206156650178213,0.007663801432045202,0.05834791709266981,0.007552314186899253,0.0,0.0,991994.1802312067,0.0,0.0,299423.80000000005,0.20677982445636678,51
57,11,7,4,0,0,0,7,4,0,0.0732553022062542,0.12971620012445229,0.009050978137475574,0.053381954028478965,0.01082237004029966,0.0,0.0,1884946.2490993107,0.0,0.0,294497.80000000005,0.21982956393842512,49
58,13,9,4,0,0,0,9,4,0,0.04489273048185901,0.06859925383907574,0.007825687650753274,0.032985148260565665,0.004081894570540073,0.0,0.0,759482.732358937,0.0,0.0,289315.80000000005,0.23355748720193026,53
59,10,6,4,0,0,0,6,4,0,0.06794847820658619,0.09698826657095042,0.007797428985516239,0.05061916389750825,0.009531885323561709,0.0,0.0,1477215.996267672,0.0,0.0,293441.80000000005,0.22262707203689314,50
60,11,6,5,0,0,0,6,5,0,0.06192242320505653,0.1267785989948712,0.008772887613247215,0.04383503221981281,0.009314503371996507,0.0,0.0,1338419.3541071515,0.0,0.0,293628.80000000005,0.2221316799777895,50
61,16,11,5,0,0,0,11,5,0,0.09255975942182312,0.16195144693619817,0.008565140491810914,0.07573369056332804,0.00826092836668417,0.0,0.0,1491805.3900799807,0.0,0.0,287926.80000000005,0.2372371640473584,52
62,17,11,6,0,0,0,11,6,0,0.05445276630178474,0.09628828944274254,0.007633079090168407,0.03858131683423868,0.008238370377377652,0.0,0.0,1069698.7455565035,0.0,0.0,280750.80000000005,0.25624750317103895,55
63,10,8,2,0,0,0,8,2,0,0.06703996913252402,0.11298175020564308,0.00813231264032168,0.049265213293106465,0.009642443199095869,0.0,0.0,1255597.4349202854,0.0,0.0,275750.80000000005,0.2694932801524218,54
64,9,7,2,0,0,0,7,2,0,0.05685033183996483,0.0867481546794439,0.007700526418537095,0.04024645245943786,0.008903352961989887,0.0,0.0,1133586.5646914933,0.0,0.0,282073.80000000005,0.25274267058176514,52
65,10,8,2,0,0,0,8,2,0,0.06341436090660996,0.12596559088426137,0.0075199813744801615,0.05086173946965636,0.0050326400624734376,0.0,0.0,810915.0301351526,0.0,0.0,281152.80000000005,0.2551825427017358,53
66,8,5,3,0,0,0,5,3,0,0.048716776073519444,0.08606728096641283,0.007766394362295643,0.03702251783139924,0.003927863879824559,0.0,0.0,511252.61929904873,0.0,0.0,280308.80000000005,0.25741842985619323,54
67,16,9,7,0,0,0,9,7,0,0.0753534082401596,0.1373719176432318,0.008233739214875998,0.058774819127721534,0.008344849897562064,0.0,0.0,1242053.5615885733,0.0,0.0,267991.80000000005,0.29004807687213163,61
68,14,10,4,0,0,0,10,4,0,0.057414149598094745,0.1088127598187995,0.008004818776067813,0.040432801497827554,0.008976529324199385,0.0,0.0,1261614.4858977252,0.0,0.0,259359.80000000002,0.3129155862527909,65
69,11,9,2,0,0,0,9,2,0,0.057510456715141066,0.12998822493834716,0.008521704959770851,0.041265119892843566,0.00772363186252664,0.0,0.0,1518772.0955711456,0.0,0.0,264203.80000000005,0.30008307751322716,61
70,10,4,6,0,0,0,4,6,0,0.032349250179904046,0.04937179188301067,0.009842856982054428,0.017591229362455347,0.004915163835394276,0.0,0.0,650289.4012071511,0.0,0.0,263320.80000000005,0.30242228172813945,62
71,16,10,6,0,0,0,10,6,0,0.044458816850053574,0.07120258400817071,0.008002121956757612,0.029584221948725637,0.006872472944570332,0.0,0.0,827257.0981915205,0.0,0.0,256949.80000000002,0.3193000507578174,67
72,9,5,4,0,0,0,5,4,0,0.06945578376374266,0.12237001584652836,0.0078891953293834,0.05458507161191013,0.006981516822449127,0.0,0.0,1168501.5019314452,0.0,0.0,259585.80000000002,0.3123168771332324,67
73,19,9,10,0,0,0,9,10,0,0.055982422554992334,0.09332843105133933,0.007847236795714575,0.04157025598073307,0.006564929778544688,0.0,0.0,1304966.169724735,0.0,0.0,256185.80000000002,0.3213240054805727,67
74,11,9,2,0,0,0,9,2,0,0.0420030622344573,0.06763730753041566,0.007862095526933852,0.028574612141506146,0.005566354566017303,0.0,0.0,914931.2377435246,0.0,0.0,247384.80000000002,0.34463922212320275,70
75,9,6,3,0,0,0,6,3,0,0.04442214151711199,0.08602065541247872,0.008785815063536253,0.031087305237440268,0.0045490212161354735,0.0,0.0,658172.8168397761,0.0,0.0,252269.80000000002,0.3316980980123917,68
76,13,11,2,0,0,0,11,2,0,0.05414910581771237,0.09412261208888986,0.008466363761762229,0.03751849870213257,0.008164243353817583,0.0,0.0,1081640.9079837035,0.0,0.0,261483.80000000002,0.3072887801910995,65
77,10,5,5,0,0,0,5,5,0,0.04462652346770685,0.10221752634736898,0.00727453550127273,0.03173527261747063,0.005616715348963482,0.0,0.0,814622.3152092656,0.0,0.0,268042.80000000005,0.2899129699469215,63
78,12,8,4,0,0,0,8,4,0,0.056048708036772456,0.10313190376976306,0.00809804334208945,0.03978252736668066,0.008168137328002341,0.0,0.0,1076938.3453475405,0.0,0.0,262872.80000000005,0.30360910334567126,67
79,16,13,3,0,0,0,13,3,0,0.04478908564633506,0.08862810802817767,0.00845563524544261,0.03291369807657328,0.0034197523243191643,0.0,0.0,498858.2348346227,0.0,0.0,258519.80000000002,0.31514087678566327,75
80,10,7,3,0,0,0,7,3,0,0.06498039876011895,0.10525416819840025,0.008185011116144104,0.04850663708645026,0.00828875055752457,0.0,0.0,1304401.4481292383,0.0,0.0,262963.80000000005,0.3033680302046101,72
81,14,8,6,0,0,0,8,6,0,0.043351078444456535,0.05680766967824266,0.008712161871050922,0.028674984441760344,0.005963932131645265,0.0,0.0,867985.7236421169,0.0,0.0,259461.80000000002,0.31264537240237067,74
82,13,8,5,1,0,0,7,6,1,0.06572358243035827,0.09316505080037484,0.00832366310894717,0.047653799128627536,0.009746120192783559,0.0,0.0,1408338.8191651232,0.0,0.0,255956.80000000002,0.32193066206632004,73
83,11,7,4,0,0,0,7,4,0,0.05321807256126946,0.10703185210685762,0.008056585717119386,0.04124128485822738,0.003920201985922686,0.0,0.0,620622.3576051864,0.0,0.0,272235.80000000005,0.2788050613703339,69
84,12,7,5,0,0,0,7,5,0,0.052069929807886994,0.0759790617132975,0.008522611088644333,0.03425462611884149,0.009292692600401166,0.0,0.0,1319755.3263538065,0.0,0.0,264465.80000000005,0.29938899879940273,70
85,12,9,3,0,0,0,9,3,0,0.06146162142756331,0.10419088635924828,0.006764812707475662,0.045499686274456046,0.009197122445631596,0.0,0.0,945863.7357916449,0.0,0.0,269600.80000000005,0.2857855858395226,69
86,17,12,5,0,0,0,12,5,0,0.039064736335841975,0.06980097911613907,0.00803984814725482,0.025271229229482037,0.0057536589591051105,0.0,0.0,944576.4060107134,0.0,0.0,271864.80000000005,0.2797878980223525,67
