algo,region,time_slots,arrival_rate,mean_service_time,seed,trace_seed,algo_seed,trace_hash,arrivals_per_slot,diversity,p_split,split_reliability_mode,split_recovery_coverage,split_workload_shares,mechanism,fixed_sfc_len,fixed_reliability,max_backup_level,explicit_split_replicas,split_enforce_distinct,strict_split_resource_ablation,split_replica_resource_scale,cap_base_min,cap_base_max,cap_scale,total_arrivals,total_accepted,total_rejected,acceptance_ratio,avg_cost_per_arrival,total_cost,total_cost_resource,avg_cost_per_accepted,final_utilization,avg_utilization_over_time,avg_leftover_capacity_sum_over_time,final_leftover_capacity_sum,final_leftover_capacity_min,final_leftover_capacity_max,final_leftover_capacity_avg,avg_e2e_delay_accepted,p95_e2e_delay_accepted,avg_access_delay_accepted,avg_processing_delay_accepted,avg_network_delay_accepted,avg_split_proc_overhead_accepted,avg_split_net_overhead_accepted,total_transmitted_bits_accepted,avg_transmitted_bits_per_accepted,total_split_transmitted_bits_accepted,avg_split_transmitted_bits_per_accepted,avg_split_overhead_ratio_accepted,p95_split_overhead_ratio_accepted,rga_accepted_total,rga_rejected_total,rga_rejection_ratio,mdca_rejected_total,mdca_capacity_rejected_total,mdca_reliability_rejected_total,mdca_qos_rejected_total,mdca_rejection_ratio,capacity_rejection_ratio,reliability_rejection_ratio,qos_rejected_total,qos_rejection_ratio,method,recovery_coverage,coverage_tag
mdca,Alabama,120,12.0,9.0,1,7107730351518388438,14880128096359974019,b56db0d21b7c94cf1cbfdd4fe281852f506f1185a6b9dd5f9c177f64d601d89e,"[7, 9, 8, 11, 13, 10, 13, 10, 17, 8, 10, 15, 15, 7, 16, 13, 4, 15, 9, 11, 10, 6, 8, 15, 9, 16, 14, 15, 18, 9, 16, 7, 12, 10, 12, 7, 10, 12, 12, 16, 5, 11, 10, 11, 10, 12, 9, 13, 8, 12, 9, 13, 18, 17, 15, 16, 9, 8, 12, 15, 7, 16, 12, 14, 12, 14, 9, 8, 8, 8, 16, 13, 9, 14, 8, 14, 10, 14, 12, 9, 15, 11, 15, 11, 17, 9, 7, 9, 11, 9, 5, 16, 13, 11, 5, 16, 12, 14, 12, 20, 5, 13, 8, 10, 17, 15, 13, 12, 12, 10, 12, 14, 10, 8, 17, 8, 12, 6, 21, 14]",False,,,,,,,0.999,2,False,False,False,1.0,500,700,0.2,1390,898,492,0.6460431655,34.2476122444,47604.1810197264,34023.1810197264,53.0113374384,0.8022430152,0.5873586258,72792.1666666667,34885.4,0.0,1723.8,254.6379562044,0.0557330809,0.1170457023,0.0080758249,0.041195125,0.0064621311,0.0,0.0,945958466.6338863,1053405.8648484258,0.0,0.0,0.0,0.0,907,483,0.3474820144,9,0,0,9,0.0064748201,0.0,0.0,9,0.0064748201,MDCA,none,none
mdca,Alabama,120,12.0,9.0,1,7107730351518388438,1274429512653363058,b56db0d21b7c94cf1cbfdd4fe281852f506f1185a6b9dd5f9c177f64d601d89e,"[7, 9, 8, 11, 13, 10, 13, 10, 17, 8, 10, 15, 15, 7, 16, 13, 4, 15, 9, 11, 10, 6, 8, 15, 9, 16, 14, 15, 18, 9, 16, 7, 12, 10, 12, 7, 10, 12, 12, 16, 5, 11, 10, 11, 10, 12, 9, 13, 8, 12, 9, 13, 18, 17, 15, 16, 9, 8, 12, 15, 7, 16, 12, 14, 12, 14, 9, 8, 8, 8, 16, 13, 9, 14, 8, 14, 10, 14, 12, 9, 15, 11, 15, 11, 17, 9, 7, 9, 11, 9, 5, 16, 13, 11, 5, 16, 12, 14, 12, 20, 5, 13, 8, 10, 17, 15, 13, 12, 12, 10, 12, 14, 10, 8, 17, 8, 12, 6, 21, 14]",True,0.3,identical_active_pool,0.9,"0.5,0.5",,,0.999,2,True,False,False,1.0,500,700,0.2,1390,1044,346,0.7510791367,46.7437452573,64973.8059076858,46784.8059076858,62.2354462717,0.9240344494,0.73633783,46511.4305555556,13400.7333333333,0.1333333333,1206.0,97.8155717762,0.0645532659,0.1308020398,0.0080704916,0.0398551759,0.012715037,6.575831567e-19,0.0,1764326596.3201795,1689968.004138103,475052473.08690095,455031.1044893687,8.651844527e-18,5.037554315e-17,1073,317,0.228057554,29,12,0,17,0.0208633094,0.0086330935,0.0,17,0.0122302158,DMDCA,0.9,0p9
mdca,Alabama,120,12.0,9.0,1,7107730351518388438,1274429512653363058,b56db0d21b7c94cf1cbfdd4fe281852f506f1185a6b9dd5f9c177f64d601d89e,"[7, 9, 8, 11, 13, 10, 13, 10, 17, 8, 10, 15, 15, 7, 16, 13, 4, 15, 9, 11, 10, 6, 8, 15, 9, 16, 14, 15, 18, 9, 16, 7, 12, 10, 12, 7, 10, 12, 12, 16, 5, 11, 10, 11, 10, 12, 9, 13, 8, 12, 9, 13, 18, 17, 15, 16, 9, 8, 12, 15, 7, 16, 12, 14, 12, 14, 9, 8, 8, 8, 16, 13, 9, 14, 8, 14, 10, 14, 12, 9, 15, 11, 15, 11, 17, 9, 7, 9, 11, 9, 5, 16, 13, 11, 5, 16, 12, 14, 12, 20, 5, 13, 8, 10, 17, 15, 13, 12, 12, 10, 12, 14, 10, 8, 17, 8, 12, 6, 21, 14]",True,0.3,identical_active_pool,0.95,"0.5,0.5",,,0.999,2,True,False,False,1.0,500,700,0.2,1390,1058,332,0.7611510791,47.0041573387,65335.7787008072,47047.7787008072,61.7540441406,0.9303400009,0.7410155024,45686.2638888889,12288.4,0.0666666667,1393.6,89.696350365,0.0652387697,0.1297393471,0.0080744034,0.0402957623,0.0129050265,6.505213035e-19,0.0,1795298048.8644357,1696879.0631988996,481311409.6340649,454925.7179906096,8.502833826e-18,4.942319178e-17,1088,302,0.2172661871,30,13,0,17,0.0215827338,0.009352518,0.0,17,0.0122302158,DMDCA,0.95,0p95
mdca,Alabama,120,12.0,9.0,1,7107730351518388438,1274429512653363058,b56db0d21b7c94cf1cbfdd4fe281852f506f1185a6b9dd5f9c177f64d601d89e,"[7, 9, 8, 11, 13, 10, 13, 10, 17, 8, 10, 15, 15, 7, 16, 13, 4, 15, 9, 11, 10, 6, 8, 15, 9, 16, 14, 15, 18, 9, 16, 7, 12, 10, 12, 7, 10, 12, 12, 16, 5, 11, 10, 11, 10, 12, 9, 13, 8, 12, 9, 13, 18, 17, 15, 16, 9, 8, 12, 15, 7, 16, 12, 14, 12, 14, 9, 8, 8, 8, 16, 13, 9, 14, 8, 14, 10, 14, 12, 9, 15, 11, 15, 11, 17, 9, 7, 9, 11, 9, 5, 16, 13, 11, 5, 16, 12, 14, 12, 20, 5, 13, 8, 10, 17, 15, 13, 12, 12, 10, 12, 14, 10, 8, 17, 8, 12, 6, 21, 14]",True,0.3,identical_active_pool,0.99,"0.5,0.5",,,0.999,2,True,False,False,1.0,500,700,0.2,1390,1079,311,0.7762589928,46.7548405926,64989.2284236992,46665.2284236992,60.2309809302,0.909792633,0.7310300119,47447.7583333333,15913.0666666667,1.0,1393.6,116.1537712895,0.0655587877,0.1316158677,0.0080785782,0.040662335,0.0128017035,6.611724092e-19,0.0,1833455253.6363385,1699217.102535995,494944853.84561443,458707.000783702,8.652592946e-18,5.130694636e-17,1103,287,0.2064748201,24,9,0,15,0.0172661871,0.0064748201,0.0,15,0.0107913669,DMDCA,0.99,0p99
mdca,Alabama,120,12.0,9.0,1,7107730351518388438,1274429512653363058,b56db0d21b7c94cf1cbfdd4fe281852f506f1185a6b9dd5f9c177f64d601d89e,"[7, 9, 8, 11, 13, 10, 13, 10, 17, 8, 10, 15, 15, 7, 16, 13, 4, 15, 9, 11, 10, 6, 8, 15, 9, 16, 14, 15, 18, 9, 16, 7, 12, 10, 12, 7, 10, 12, 12, 16, 5, 11, 10, 11, 10, 12, 9, 13, 8, 12, 9, 13, 18, 17, 15, 16, 9, 8, 12, 15, 7, 16, 12, 14, 12, 14, 9, 8, 8, 8, 16, 13, 9, 14, 8, 14, 10, 14, 12, 9, 15, 11, 15, 11, 17, 9, 7, 9, 11, 9, 5, 16, 13, 11, 5, 16, 12, 14, 12, 20, 5, 13, 8, 10, 17, 15, 13, 12, 12, 10, 12, 14, 10, 8, 17, 8, 12, 6, 21, 14]",True,0.3,identical_active_pool,1.0,"0.5,0.5",,,0.999,2,True,False,False,1.0,500,700,0.2,1390,1087,303,0.7820143885,46.4986982385,64633.1905515143,46482.1905515143,59.4601569011,0.9055240561,0.7250526187,48502.2027777778,16666.0666666667,0.0,1562.6,121.6501216545,0.0655270894,0.1311450435,0.0080785263,0.0405922818,0.0128583075,6.483269661e-19,0.0,1873898050.9540694,1723917.2501877362,498428923.3933779,458536.2680711848,8.542996055e-18,4.925495382e-17,1108,282,0.2028776978,21,5,0,16,0.0151079137,0.0035971223,0.0,16,0.0115107914,DMDCA,1.0,1
mdca,Alabama,120,12.0,9.0,2,4521618134406134624,16121394405342853155,7404bdc3256a959c684d62eb3c10d5587d4c6ffb0abc5e614f237785895deb33,"[6, 14, 11, 10, 17, 15, 10, 14, 16, 11, 10, 10, 9, 12, 16, 16, 12, 17, 8, 12, 12, 6, 12, 9, 6, 16, 12, 11, 13, 9, 13, 14, 16, 12, 11, 17, 10, 22, 10, 12, 15, 14, 9, 11, 11, 18, 11, 10, 13, 13, 14, 13, 13, 11, 15, 10, 10, 13, 10, 15, 15, 7, 11, 12, 13, 9, 8, 7, 6, 6, 11, 13, 12, 4, 10, 6, 14, 14, 17, 6, 13, 9, 13, 11, 19, 8, 17, 11, 10, 9, 10, 16, 10, 9, 17, 9, 9, 10, 12, 16, 9, 10, 12, 13, 9, 16, 14, 12, 15, 11, 8, 12, 12, 12, 14, 13, 9, 10, 11, 10]",False,,,,,,,0.999,2,False,False,False,1.0,500,700,0.2,1409,944,465,0.6699787083,32.8627386281,46303.5987269399,32719.5987269399,49.0504223802,0.5481912693,0.5728766477,75044.6333333333,79381.8,0.0,2492.0,579.4291970803,0.0550640786,0.1148411786,0.0081812914,0.0408277305,0.0060550567,0.0,0.0,976301167.527158,1034217.338482159,0.0,0.0,0.0,0.0,949,460,0.3264726757,5,0,0,5,0.003548616,0.0,0.0,5,0.003548616,MDCA,none,none
mdca,Alabama,120,12.0,9.0,2,4521618134406134624,1988428424119012433,7404bdc3256a959c684d62eb3c10d5587d4c6ffb0abc5e614f237785895deb33,"[6, 14, 11, 10, 17, 15, 10, 14, 16, 11, 10, 10, 9, 12, 16, 16, 12, 17, 8, 12, 12, 6, 12, 9, 6, 16, 12, 11, 13, 9, 13, 14, 16, 12, 11, 17, 10, 22, 10, 12, 15, 14, 9, 11, 11, 18, 11, 10, 13, 13, 14, 13, 13, 11, 15, 10, 10, 13, 10, 15, 15, 7, 11, 12, 13, 9, 8, 7, 6, 6, 11, 13, 12, 4, 10, 6, 14, 14, 17, 6, 13, 9, 13, 11, 19, 8, 17, 11, 10, 9, 10, 16, 10, 9, 17, 9, 9, 10, 12, 16, 9, 10, 12, 13, 9, 16, 14, 12, 15, 11, 8, 12, 12, 12, 14, 13, 9, 10, 11, 10]",True,0.3,identical_active_pool,0.9,"0.5,0.5",,,0.999,2,True,False,False,1.0,500,700,0.2,1409,1093,316,0.7757274663,44.6667462924,62935.4455260171,45012.4455260171,57.5804625124,0.7144881723,0.7181629005,49518.1583333333,50163.8,0.4666666667,1833.6,366.1591240876,0.0624862724,0.125272205,0.0081776053,0.0394547335,0.0111822369,5.749346562e-19,0.0,1757452993.0561903,1607916.7365564413,480069292.5162812,439221.676593121,7.77322924e-18,4.899420907e-17,1105,304,0.2157558552,12,3,0,9,0.0085166785,0.0021291696,0.0,9,0.0063875089,DMDCA,0.9,0p9
mdca,Alabama,120,12.0,9.0,2,4521618134406134624,1988428424119012433,7404bdc3256a959c684d62eb3c10d5587d4c6ffb0abc5e614f237785895deb33,"[6, 14, 11, 10, 17, 15, 10, 14, 16, 11, 10, 10, 9, 12, 16, 16, 12, 17, 8, 12, 12, 6, 12, 9, 6, 16, 12, 11, 13, 9, 13, 14, 16, 12, 11, 17, 10, 22, 10, 12, 15, 14, 9, 11, 11, 18, 11, 10, 13, 13, 14, 13, 13, 11, 15, 10, 10, 13, 10, 15, 15, 7, 11, 12, 13, 9, 8, 7, 6, 6, 11, 13, 12, 4, 10, 6, 14, 14, 17, 6, 13, 9, 13, 11, 19, 8, 17, 11, 10, 9, 10, 16, 10, 9, 17, 9, 9, 10, 12, 16, 9, 10, 12, 13, 9, 16, 14, 12, 15, 11, 8, 12, 12, 12, 14, 13, 9, 10, 11, 10]",True,0.3,identical_active_pool,0.95,"0.5,0.5",,,0.999,2,True,False,False,1.0,500,700,0.2,1409,1109,300,0.7870830376,45.1928377407,63676.7083766579,45587.708376658,57.4181319898,0.7048523089,0.7197353922,49241.875,51856.8,0.1333333333,1833.6,378.5167883212,0.0632474969,0.1277888907,0.0081769042,0.0398222621,0.0115144699,5.807178453e-19,0.0,1827110727.466423,1647529.9616469098,497077796.5007833,448221.6379628344,7.782120102e-18,4.935399102e-17,1120,289,0.2051100071,11,3,0,8,0.0078069553,0.0021291696,0.0,8,0.0056777857,DMDCA,0.95,0p95
mdca,Alabama,120,12.0,9.0,2,4521618134406134624,1988428424119012433,7404bdc3256a959c684d62eb3c10d5587d4c6ffb0abc5e614f237785895deb33,"[6, 14, 11, 10, 17, 15, 10, 14, 16, 11, 10, 10, 9, 12, 16, 16, 12, 17, 8, 12, 12, 6, 12, 9, 6, 16, 12, 11, 13, 9, 13, 14, 16, 12, 11, 17, 10, 22, 10, 12, 15, 14, 9, 11, 11, 18, 11, 10, 13, 13, 14, 13, 13, 11, 15, 10, 10, 13, 10, 15, 15, 7, 11, 12, 13, 9, 8, 7, 6, 6, 11, 13, 12, 4, 10, 6, 14, 14, 17, 6, 13, 9, 13, 11, 19, 8, 17, 11, 10, 9, 10, 16, 10, 9, 17, 9, 9, 10, 12, 16, 9, 10, 12, 13, 9, 16, 14, 12, 15, 11, 8, 12, 12, 12, 14, 13, 9, 10, 11, 10]",True,0.3,identical_active_pool,0.99,"0.5,0.5",,,0.999,2,True,False,False,1.0,500,700,0.2,1409,1115,294,0.7913413769,43.8300028162,61756.4739680186,43896.4739680186,55.3869721686,0.6727934746,0.7025510564,52261.125,57489.4666666667,0.0,2080.0,419.6311435523,0.0633222811,0.1266377459,0.0081733192,0.0399077443,0.0114873374,5.79148712e-19,0.0,1818583764.0145462,1631016.8287125975,494666709.98778784,443647.2735316483,7.72627851e-18,4.960619785e-17,1124,285,0.2022711143,9,1,0,8,0.0063875089,0.0007097232,0.0,8,0.0056777857,DMDCA,0.99,0p99
mdca,Alabama,120,12.0,9.0,2,4521618134406134624,1988428424119012433,7404bdc3256a959c684d62eb3c10d5587d4c6ffb0abc5e614f237785895deb33,"[6, 14, 11, 10, 17, 15, 10, 14, 16, 11, 10, 10, 9, 12, 16, 16, 12, 17, 8, 12, 12, 6, 12, 9, 6, 16, 12, 11, 13, 9, 13, 14, 16, 12, 11, 17, 10, 22, 10, 12, 15, 14, 9, 11, 11, 18, 11, 10, 13, 13, 14, 13, 13, 11, 15, 10, 10, 13, 10, 15, 15, 7, 11, 12, 13, 9, 8, 7, 6, 6, 11, 13, 12, 4, 10, 6, 14, 14, 17, 6, 13, 9, 13, 11, 19, 8, 17, 11, 10, 9, 10, 16, 10, 9, 17, 9, 9, 10, 12, 16, 9, 10, 12, 13, 9, 16, 14, 12, 15, 11, 8, 12, 12, 12, 14, 13, 9, 10, 11, 10]",True,0.3,identical_active_pool,1.0,"0.5,0.5",,,0.999,2,True,False,False,1.0,500,700,0.2,1409,1116,293,0.7920511001,43.0179386523,60612.2755610595,42971.2755610595,54.3120748755,0.6759674851,0.6907802298,54329.2333333333,56931.8,1.5333333333,1833.6,415.5605839416,0.0632428112,0.1278474113,0.008176991,0.0399030951,0.0113977475,5.81738585e-19,0.0,1845524308.8425765,1653695.617242452,498226558.75768197,446439.5687792849,7.82652397e-18,5.001926294e-17,1125,284,0.2015613911,9,0,0,9,0.0063875089,0.0,0.0,9,0.0063875089,DMDCA,1.0,1
