region,fixed_reliability,method,recovery_coverage,coverage_tag,acceptance_ratio_mean,acceptance_ratio_std,acceptance_ratio_count,avg_cost_per_accepted_mean,avg_cost_per_accepted_std,avg_cost_per_accepted_count,p95_e2e_delay_accepted_mean,p95_e2e_delay_accepted_std,p95_e2e_delay_accepted_count,avg_e2e_delay_accepted_mean,avg_e2e_delay_accepted_std,avg_e2e_delay_accepted_count,capacity_rejection_ratio_mean,capacity_rejection_ratio_std,capacity_rejection_ratio_count,reliability_rejection_ratio_mean,reliability_rejection_ratio_std,reliability_rejection_ratio_count,qos_rejection_ratio_mean,qos_rejection_ratio_std,qos_rejection_ratio_count,avg_split_overhead_ratio_accepted_mean,avg_split_overhead_ratio_accepted_std,avg_split_overhead_ratio_accepted_count,p95_split_overhead_ratio_accepted_mean,p95_split_overhead_ratio_accepted_std,p95_split_overhead_ratio_accepted_count,avg_split_transmitted_bits_per_accepted_mean,avg_split_transmitted_bits_per_accepted_std,avg_split_transmitted_bits_per_accepted_count,acceptance_ratio_ci95,avg_cost_per_accepted_ci95,p95_e2e_delay_accepted_ci95,avg_e2e_delay_accepted_ci95,capacity_rejection_ratio_ci95,reliability_rejection_ratio_ci95,qos_rejection_ratio_ci95,avg_split_overhead_ratio_accepted_ci95,p95_split_overhead_ratio_accepted_ci95,avg_split_transmitted_bits_per_accepted_ci95
Alabama,0.999,DMDCA,0.9,0p9,0.7646798051,0.011615731126317431,5,60.39531801644,1.7473769446817835,5,0.12620479978000002,0.0035220647050786657,5,0.06312942646,0.0013876956764187365,5,0.00372194124,0.003433306949685788,5,0.0,0.0,5,0.00825003788,0.002390382592813553,5,8.0414961164e-18,1.0358914389730982e-18,5,5.0738107706e-17,5.980825621000056e-18,5,441371.6411080801,16135.497270203663,5,0.010181637247467946,1.5316434232047473,0.0030872258318697964,0.0012163688909054974,0.0030094262290309903,0.0,0.002095262724147216,9.079988805427377e-19,5.242424798850379e-18,14143.386948799565
Alabama,0.999,DMDCA,0.95,0p95,0.7747591094799999,0.01075831045744071,5,59.9175204294,1.59555641417397,5,0.1263192543,0.0024511547249181764,5,0.06357594584000001,0.0013728989509236241,5,0.0041525645,0.003925372541663898,5,0.0,0.0,5,0.008110914280000001,0.0025033191697982314,5,8.00411424e-18,9.740341229794059e-19,5,5.0591511601999996e-17,5.1431689203054205e-18,5,444078.6726587359,13036.109532388844,5,0.00943007489430663,1.3985668607792918,0.0021485318466084435,0.001203398989157323,0.0034407407373472677,0.0,0.002194255998554496,8.537785524634453e-19,4.508186327622311e-18,11426.653814009325
Alabama,0.999,DMDCA,0.99,0p99,0.78556346428,0.007230141207674718,5,58.42975320004,1.8271116245923702,5,0.1265542903,0.0034452494855864014,5,0.06391571727999999,0.0014862244864399705,5,0.0028655522,0.003010039086622362,5,0.0,0.0,5,0.00852647906,0.002075817812187532,5,8.055668632e-18,9.08006303682826e-19,5,5.1218251038e-17,4.5885433972006206e-18,5,446440.0892205198,13389.39621606251,5,0.006337498193094994,1.6015339516668978,0.0030198943232932094,0.0013027332007497577,0.0026384155889466396,0.0,0.0018195345368868356,7.959026170609819e-19,4.022035621908575e-18,11736.323245783342
Alabama,0.999,DMDCA,1.0,1,0.78842256178,0.0071677310785117,5,57.35495286092,1.9111731032076529,5,0.12643984408,0.0034605100270012515,5,0.06383206432,0.0014577232386777026,5,0.0017179604800000002,0.0018036616612535031,5,0.0,0.0,5,0.008809487539999999,0.0022848958266549865,5,8.0874536812e-18,9.077636010738346e-19,5,5.1120570606e-17,5.681546301550671e-18,5,443687.3196446216,13472.58086619848,5,0.006282793302908091,1.675217086412282,0.0030332707776202133,0.0012777507555932818,0.0015809791525254282,0.0,0.0020027994968432007,7.956898788444291e-19,4.9800949090512875e-18,11809.23780647965
Alabama,0.999,MDCA,none,none,0.6527365731,0.013395123960183816,5,50.74669985382,1.6494148863271292,5,0.11447439833999999,0.001789758975341364,5,0.05520943478,0.0008306359825579293,5,0.0,0.0,5,0.0,0.0,5,0.00399077206,0.0015989719954797154,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.01174134383486684,1.4457758930995996,0.001568792911023838,0.0007280845404502903,0.0,0.0,0.0014015607497963626,0.0,0.0,0.0
Arizona,0.999,DMDCA,0.9,0p9,0.7618909944400001,0.013448752061083695,5,47.545108982900004,2.349930852392759,5,0.13284824006,0.0038245747608265904,5,0.06599584053999999,0.0013542050880946048,5,0.0,0.0,5,0.0,0.0,5,0.0081795904,0.002021252197213244,5,7.9972618828e-18,4.971219944103614e-19,5,4.984351809e-17,2.5242587300936904e-18,5,446361.91573974286,4938.149258913186,5,0.011788350937880422,2.0598052103226996,0.0033523875868933955,0.001187013095922601,0.0,0.0,0.0017717056665547321,4.357466404638403e-19,2.2126103324084204e-18,4328.478670980266
Arizona,0.999,DMDCA,0.95,0p95,0.774662952,0.010030917648178372,5,47.3622098158,2.217179499647598,5,0.1344831052,0.003603055722112909,5,0.06636353632,0.0011557296436368017,5,0.0,0.0,5,0.0,0.0,5,0.00887599034,0.003433983862259018,5,8.0670016022e-18,5.264229623593307e-19,5,5.0910963448e-17,3.172596674472561e-18,5,449820.8350634404,8265.345612419696,5,0.00879248698530744,1.9434435191761525,0.003158217588374716,0.0010130416983391277,0.0,0.0,0.0030100195690621876,4.614300712708921e-19,2.780903597089684e-18,7244.894861584826
Arizona,0.999,DMDCA,0.99,0p99,0.78274437406,0.011777459731207337,5,46.192836175560004,2.1438747061994023,5,0.13342060902,0.0035599652739349043,5,0.0664551463,0.0011968676094212586,5,0.0,0.0,5,0.0,0.0,5,0.00999007338,0.0033434155985183622,5,8.1000856334e-18,4.792237784387317e-19,5,4.9830027101999997e-17,2.218457873741389e-18,5,450798.4251617198,6627.830364215923,5,0.010323398620008431,1.8791890346952667,0.0031204471452223846,0.0010491007152155737,0.0,0.0,0.002930632985685519,4.200581624491339e-19,1.944564063474915e-18,5809.549461187801
Arizona,0.999,DMDCA,1.0,1,0.78523432902,0.01151240247761597,5,45.329339972499994,1.9843955904428154,5,0.1345948762,0.0035996805624225188,5,0.06662982166,0.001199526553705473,5,0.0,0.0,5,0.0,0.0,5,0.009994630760000001,0.003436397137214556,5,8.0651626944e-18,5.261082663879243e-19,5,5.0743685432000004e-17,3.073833667143821e-18,5,452443.48631468974,7900.651332481545,5,0.010091065693520238,1.739399426316539,0.003155259130465678,0.0010514313826413865,0.0,0.0,0.003012134897826988,4.611542280898426e-19,2.6943340042543276e-18,6925.226230813586
Arizona,0.999,MDCA,none,none,0.6393302768,0.013789759505595939,5,40.43357869506,2.4778270915023657,5,0.11750029278,0.005164144775073926,5,0.05645908696,0.001482749992703246,5,0.0,0.0,5,0.0,0.0,5,0.00430749538,0.001875589856787687,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.012087257141971479,2.171911206731233,0.004526572474984539,0.0012996876727101353,0.0,0.0,0.0016440269957330546,0.0,0.0,0.0
