slot,arrivals,rga_accepted,rga_rejected,mdca_rejected,capacity_rejected,reliability_rejected,accepted,rejected,qos_rejected,avg_e2e_delay,p95_e2e_delay,avg_access_delay,avg_processing_delay,avg_network_delay,avg_split_proc_overhead,avg_split_net_overhead,avg_transmitted_bits,avg_split_transmitted_bits,avg_split_overhead_ratio,leftover_sum,utilization,active_tasks
0,17,13,4,0,0,0,13,4,0,0.05847750021529533,0.08790548198549693,0.007487935280838128,0.04549387180157638,0.00549569313288081,0.0,0.0,1011727.0651173134,0.0,0.0,97105.8,0.1903585888567979,13
1,13,9,4,0,0,0,9,4,0,0.061661615026950695,0.101975100187369,0.008175377447847207,0.04887902129738014,0.004607216281723335,0.0,0.0,746336.6605770446,0.0,0.0,85473.8,0.28734300064700746,20
2,25,15,10,0,0,0,15,10,0,0.05925416689233761,0.11001547571092292,0.008415837916267788,0.04494373509104501,0.0058945938850248035,0.0,0.0,1290889.3943988527,0.0,0.0,55841.80000000001,0.534406454065808,35
3,17,11,6,0,0,0,11,6,0,0.06766663223071698,0.10287339985707054,0.008482429716801512,0.05402915200137967,0.0051550505125357885,0.0,0.0,887491.9289367502,0.0,0.0,48419.80000000001,0.596289045563997,39
4,21,12,9,0,0,0,12,9,0,0.06658791075629979,0.10664936363604333,0.007998951204169326,0.05206052799807264,0.006528431554057812,0.0,0.0,1193196.5173849475,0.0,0.0,31864.800000000007,0.7343200752396262,47
5,16,12,4,0,0,0,12,4,0,0.05336965970372085,0.07521913724950972,0.008536227149080115,0.03744604581371841,0.007387386740922333,0.0,0.0,1181199.4127521499,0.0,0.0,18200.800000000007,0.8482467432847967,52
6,27,20,7,0,0,0,20,7,0,0.0669614206646987,0.10409606074971957,0.007939547770990743,0.054367339537069806,0.00465453335663815,0.0,0.0,977066.674554543,0.0,0.0,12498.800000000005,0.8957884485829203,58
7,19,9,10,0,0,0,9,10,0,0.0753161054378656,0.12812599495801993,0.007356686957089754,0.06330346046054264,0.004655958020233205,0.0,0.0,835288.204583072,0.0,0.0,15748.800000000005,0.8686908438444247,57
8,24,13,11,0,0,0,13,11,0,0.06623555913029235,0.10920130280546511,0.007047371099974858,0.05266310902540798,0.006525079004909507,0.0,0.0,1057804.536445372,0.0,0.0,14916.800000000005,0.8756278306574796,58
9,17,12,5,3,3,0,9,8,0,0.07268263236607433,0.09622443103542318,0.008319629735573635,0.05729519649673193,0.007067806133768774,0.0,0.0,1541664.2353888191,0.0,0.0,4990.800000000006,0.9583880843911126,64
10,15,12,3,8,8,0,4,11,0,0.06513327029568987,0.07888875371232545,0.007309700578944502,0.052821101942889775,0.005002467773855583,0.0,0.0,1080725.2099531638,0.0,0.0,3718.800000000007,0.9689936699995331,65
11,18,12,6,4,4,0,8,10,0,0.0648009223493775,0.08463340062210484,0.008345441144029693,0.051247774028576776,0.0052077071767710256,0.0,0.0,905323.6183827396,0.0,0.0,6010.800000000006,0.9498836053654924,65
12,18,11,7,0,0,0,11,7,0,0.05745845814988566,0.0864771315125343,0.007582475000910562,0.04338707224568562,0.006488910903289466,0.0,0.0,1215288.4859449835,0.0,0.0,6329.800000000006,0.9472238712388524,63
13,20,9,11,3,3,0,6,14,0,0.09594353165836755,0.13107684387025684,0.008805159140152346,0.08106424487182529,0.00607412764638992,0.0,0.0,1084487.7341746937,0.0,0.0,4476.800000000006,0.9626736748020623,66
14,19,14,5,4,4,0,10,9,0,0.06491830640137349,0.0988927174202971,0.008625734543698235,0.050056701601556376,0.006235870256118864,0.0,0.0,1268444.5321894633,0.0,0.0,3918.8000000000065,0.9673261250925487,67
15,27,11,16,7,6,0,4,23,1,0.09372248455409989,0.10055932104890702,0.008395646745265474,0.07898771156654351,0.006339126242290891,0.0,0.0,1153190.5553868841,0.0,0.0,3839.8000000000065,0.9679848053308076,68
16,22,13,9,5,5,0,8,14,0,0.06005820856117808,0.07615886771039676,0.00705130051772943,0.046010695866667645,0.006996212176781013,0.0,0.0,1243290.7210681452,0.0,0.0,4477.800000000006,0.9626653370775274,68
17,15,12,3,2,2,0,10,5,0,0.06554570128077135,0.1038334313261524,0.008166454042426836,0.049859936525670306,0.007519310712674207,0.0,0.0,1221403.6864359502,0.0,0.0,4169.800000000007,0.9652333562342833,70
18,24,13,11,2,2,0,11,13,0,0.06776937280107914,0.08830481902620317,0.006949309064878209,0.05336193132240652,0.007458132413794424,0.0,0.0,1064001.399841166,0.0,0.0,5344.800000000006,0.9554365299057503,69
19,21,14,7,3,3,0,11,10,0,0.06782682172965526,0.10442177900082894,0.007653831505250493,0.05496151043463149,0.005211479789773288,0.0,0.0,961305.0094270565,0.0,0.0,4279.800000000006,0.9643162065354419,70
20,19,13,6,5,5,0,8,11,0,0.06264337163528683,0.09542262975522474,0.00910950762106384,0.04784595804422544,0.005687905969997554,0.0,0.0,1359801.7905943855,0.0,0.0,6233.800000000006,0.9480242927942049,68
21,17,10,7,2,2,0,8,9,0,0.0527153284231877,0.07459248302806033,0.007495665930944071,0.038640371167133765,0.0065792913251098584,0.0,0.0,1093528.5824939157,0.0,0.0,7967.800000000006,0.9335666784506507,66
22,18,12,6,5,5,0,7,11,0,0.07285257447434008,0.1317189078800377,0.007858672873761404,0.06057694753762095,0.0044169540629577205,0.0,0.0,987904.5978331362,0.0,0.0,7084.800000000006,0.9409288892149865,66
23,23,14,9,1,1,0,13,10,0,0.08440167989183592,0.14138390823545233,0.00831152198247879,0.07082261365263798,0.005267544256719157,0.0,0.0,1041112.5461452794,0.0,0.0,4684.800000000006,0.9609394280987986,69
24,25,15,10,6,6,0,9,16,0,0.07039550330668215,0.10444482311725166,0.007822874036219713,0.053160939396562946,0.0094116898738995,0.0,0.0,1366507.6318806517,0.0,0.0,2730.800000000007,0.9772313418400357,71
25,15,9,6,3,3,0,6,9,0,0.04666316593520179,0.05586042625441337,0.008354655189269167,0.03075650342613238,0.007552007319800252,0.0,0.0,1556714.2405680323,0.0,0.0,6260.800000000006,0.947799174231762,68
26,23,13,10,2,2,0,11,12,0,0.08024216737929474,0.1325742567644627,0.007276694187729113,0.06785646008391043,0.0051090131076551686,0.0,0.0,1079203.4580592725,0.0,0.0,5525.800000000006,0.9539274017649295,70
27,24,17,7,7,7,0,10,14,0,0.07546654021321408,0.09990266096109983,0.007714651166757201,0.06113835363213097,0.006613535414325916,0.0,0.0,1275551.6735254873,0.0,0.0,3738.8000000000065,0.9688269155088346,72
